addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 마포구 서교동,357-1,1,,A02,A0203,A02030600,2852296,12,20220908160614,http://tong.visitkorea.or.kr/cms/resource/99/2849799_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2849799_image3_1.jpg,126.9217154529,37.5535519602,6.0,20220908160632,3,13,,코코넛박스,4039,"코코넛박스는 도심 속 휴식과 힐링의 공간이자, NFT 작품을 체험할 수 있는 아트플레이스이다. 동남아의 한적한 휴양지를 떠올리게 하는 이곳은 메타버스 세상에도, 현실에도 존재하는 하이브리드 뮤지엄이다. 일상을 여행으로, 무료함을 설레임으로, 상상을 현실로 만드는 공간이다. 개성 넘치는 트로피컬 인테리어가 돋보이는 32개의 독립공간이 있다. 각 공간마다 엄청난 에너지와 비타민을 전달받을 수 있다."
"서울특별시 마포구  신촌로2안길 (2, 보애빌딩)",지하,1,,A02,A0203,A02030600,2805902,12,20220128100721,,,126.9273314924,37.5576265872,6.0,20220321140230,0,13,,레치키치 스튜디오,4056,"한 공간에서 다양한 컨셉으로 촬영이 가능한 레치키치 스튜디오는 장소를 대여 할 수 있는 렌탈스튜디오 서비스와 증명사진, 이미지사진 등 다양한 사진촬영을 할 수있는 사진관이다."
서울특별시 마포구 월드컵로 365,(상암동),1,0.0,A02,A0202,A02020700,2784060,12,20211201011322,http://tong.visitkorea.or.kr/cms/resource/75/2796175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2796175_image2_1.jpg,126.8870625217,37.5725158027,6.0,20220506113604,0,13,,난지천공원,3900,"서울 마포구에 자리한 난지천공원은 이름 그대로 한강의 지류인 난지천을 따라 조성된 도심 속 공원이다. 난지천공원이 위치한 난지도는 90년대까지 쓰레기 매립지로 운영되었으나, 정화작업을 통해 아름다운 자연경관을 자랑하는 생태공원으로 조성했다. 난지천공원은 어린이들이 아름다운 자연을 배경으로 신나게 뛰어놀 수 있는 숲 놀이터와 모래놀이장 등을 갖춘 유아 숲 체험장을 비롯해 울창한 숲길과 넓은 잔디 광장, 오리 연못, 매점 등이 있어 가족 단위의 나들이 장소로 제격이다. 완만한 산책로를 따라 걷다 보면 봄날의 향기를 가득 머금은 유채꽃과 알록달록한 튤립 등 다채로운 꽃도 만날 수 있다. 탐스러운 꽃송이를 자랑하는 겹벚꽃도 피어 걷는 재미를 더한다."
서울특별시 마포구 성미산로17길,(연남동),1,0.0,A02,A0203,A02030600,2784040,12,20211201004741,http://tong.visitkorea.or.kr/cms/resource/62/2796362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2796362_image2_1.jpg,126.9170794124,37.5660143173,6.0,20221121102146,0,13,,연남동끝자락길,3974,"이름 그대로 연남동 끝자락에 자리한 이곳은 한때 피난길로 불렸다. 좁은 골목들이 얽히고설킨 이 동네가 지닌 정겨움에 매료된 젊은이들이 모여 연남동 끝자락길을 만들었다. 자신만의 브랜드를 사랑하는 이색 가게들로 채워진 거리다. 제로웨이스트샵인 유민얼랏은 친환경 세제와 천연 설거지 비누, 대나무로 만든 칫솔, 스테인리스 빨대 등 환경을 먼저 생각하는 친환경 생활용품들을 판매한다. 플라워에이블은 제로 웨이스트를 직접 실천하는 플라워샾이다. 비닐 포장지나 공단 리본, 플로랄 폼 대신 종이와 마 끈 등 천연소재를 사용해 꽃이나 화분을 포장한다. 이 외에도 카페와 찻집, 디저트 숍 등 개성 넘치는 가게들을 둘러보는 재미가 쏠쏠하다."
서울특별시 마포구 증산로 32,(상암동),1,0.0,A02,A0202,A02020100,2773410,12,20211111200432,,,126.8924206025,37.5641557594,6.0,20211118001727,0,13,,평화의공원,3901,"서울의 난지 매립장을 환경생태공원으로 재조성한 월드컵 공원은 테마별로 평화의 공원, 난지한강공원, 하늘공원, 난지천 공원, 노을공원으로 넓고 광활하게 펼쳐져 있다. 이중 평화의 공원은 전체를 대표하는 공간으로 유니세프 광장과 난지연못를 비롯해 평화의 정원, 피크닉장, 난지도 이야기(월드컵공원 전시관) 등이 있다. 449,000㎡ 규모의 평화의 공원은 월드컵공원 중 방문객이 가장 많은 공원으로 중앙에 대규모 호수인 난지연못을 중심으로 다양한 산책길들이 준비되어있으며 서울정원박람회가 개최되는 곳이기도 하다."
서울특별시 마포구 증산로 32,(상암동),1,0.0,A02,A0202,A02020100,2759900,12,20211020224401,,,126.8924206025,37.5641557594,6.0,20211102182213,0,13,,평화잔디광장,3901,서울시 마포구 성산동에 위치한 월드컵 공원의 5개 테마 중 하나인 평화의 공원 내 잔디광장으로 서울 최대의 크기를 자랑하고 있다.. 하늘공원보다 많이 알려져 있지는 않지만 인근 주민들에게는 훌륭한 휴식처로 이용되고 있다. 주변으로 연결된 난지 연못은 피크닉 장소로 인기고 난지연못 위로는 월드컵 경기장이 있고 그 옆으로 갈대밭으로 유명한 하늘공원이 있어 연계하여 둘러볼만하다. 6호선 월드컵 경기장역에 1번 출구에서 약 10분 내로 접근 가능하며 주차장도 넓어서 먼 곳에서 찾는 사람들이 많다. 가족 단위나 연인들이 찾기 좋은 도심 속 잔디 광장이다
서울특별시 마포구 월드컵로 251,(성산동),1,0.0,A02,A0202,A02020100,2759890,12,20211020224016,,,126.8964785141,37.5659583996,6.0,20221101094424,0,13,,평화광장,3901,"서울시 마포구 성산동에 위치한 광장으로 서울 월드컵 경기장 앞에 펼쳐져 있다. 디양한 축제나 걷기 대회가 열리는 곳으로 서울 시민들이 자주 찾는 곳이다
가까운 곳에 있는 평화의 공원 난지연못 주변으로 평화의 공원 별자리 광장과 평화 잔디광장 그리고 유니세프 광장까지 대규모 잔디 광장이 펼쳐져 있다. 6호선 월드컵 경기장역에 1번 출구에서 약 10분 내로 접근 가능하며 주차장도 넓어서 이용이 편리하다."
서울특별시 마포구 하늘공원로 108-2,(상암동),1,0.0,A02,A0202,A02020700,2733971,12,20210817184927,http://tong.visitkorea.or.kr/cms/resource/09/2780909_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/09/2780909_image2_1.png,126.8781800855,37.5694354462,6.0,20211126021316,1,13,,노을공원,3900,"노을공원 총면적의 57 정도는 골프장으로 만들어지고 나머지 부분은 자연 식생지, 운동시설 및 산책로 등 시민들이 여가를 즐길 수 있는 공간이다. 드넓은 잔디밭에 조각예술품과 전망데크가 있어 여유를 느낄 수 있다.
파크골프장, 가족 캠핑장, 노을 책방, 누에체험장, 반딧불이 서식처, 동시 농부정원 등 자연을 직접 체험할 수 있는 시설이 갖춰져 있다."
서울특별시 마포구 하늘공원로 95,(상암동),1,0.0,A02,A0203,A02030600,2720179,12,20210609021546,,,126.8834408034,37.5663553427,6.0,20221012145718,0,13,,메타세쿼이아 숲길 (마포구),3900,"메타세쿼이아 숲길은 월드컵공원을 조성하며 만들어진 숲길로, 한강 변에서부터 하늘공원으로 향하는 길 중간 샛길에 이어져 있으며, 사시사철 도심 속 산책 명소이자 유명 촬영지다.  메타세쿼이아 나무는 단풍이 들면 무척 아름다운 절경을 보이는 낙우송(落羽松)에 속한다. 그래서 이곳은 가을 단풍길이란 이름으로 불릴 만큼 화려한 단풍으로 더 많이 알려져 있다. 또한 여름날 마주하는 메타세쿼이아 숲길은 더욱더 싱그럽고 울창한 초록빛을 선사하며 비 오는 날이면 나무 향기와 초록빛이 진해져 낭만적인 우중 산책도 즐기기 좋다."
서울특별시 마포구 마포나루길 407,,1,0.0,A02,A0202,A02020700,2661506,12,20200630182244,,,126.8939818053,37.5558484197,6.0,20221108161944,0,13,,서울함공원,3954,"서울함 공원은 서울시와 자매결연을 맺고 30년간 해양수호의 임무를 수행하고 퇴역한 서울함을 비롯하여, 참수리호, 잠수함 총 3척의 퇴역 군함을 이용하여 조성한 서울시 최초의 함상테마파크다. 원형 그대로를 보존한 3척의 군함은 평소에 볼 수 없던 이색적인 전시와 체험의 공간을 제공하며, 서울 한강공원을 찾는 시민들에게 새로운 볼거리, 즐길거리를 통해 특별한 경험을 선사하고자 한다."
