addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 서대문구 연희동 170-181,,1,0,A01,A0101,A01010800,2783698,12,20211130221310,http://tong.visitkorea.or.kr/cms/resource/83/2796383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2796383_image2_1.jpg,126.9357023224,37.5798797061,6,20221121094702,0,14,,홍제천 폭포마당,,"서울 서대문구에 있는 홍제천 폭포마당은 홍제천을 따라 조성된 인공폭포다. 홍제천은 북한산에서 발원하여 종로구, 서대문구, 마포구를 흘러 한강으로 통하는 하천이다. 홍제천 인공폭포는 그중에서도 백련교 하류 안산 경사지에 있다. 홍제천 폭포마당에는 폭포뿐만 아니라 다양한 쉼터가 조성되어 시민들의 휴식처가 되어 준다. 폭포에서 오른쪽 산책로를 따라 걷다 보면 연희숲속쉼터로 이어진다. 정겨운 징검다리를 건너면 시원한 물살과 함께 더위마저 흘러가 버리는 기분을 느낄 수 있다. 테마산책길인 안산 초록숲길도 있다. 백련산 초록숲길과 연결되는 이곳은 메타세쿼이아 숲길을 지나 인왕산과 북한산이 한눈에 들어오는 봉수대, 백암을 지나는 코스다."
서울 서대문구 홍제동 산41-31,,1,0,A02,A0203,A02030600,2783484,12,20211130195550,http://tong.visitkorea.or.kr/cms/resource/89/2787789_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2787789_image2_1.jpg,126.9384796907,37.5854041134,6,20221102092447,0,14,,신기한놀이터 떼굴떼굴,,"홍제1동 주택가 산 아래 탁트인 야외 공간에 조성된 신기한놀이터 떼굴떼굴은 아이들이 신나고 안전하게 놀 수 있는 자연 모래놀이터다. 서대문구가 어린이가 바라고 꿈꾸는 놀이터를 만들어보자는 취지로, 2019년 11월에 개장한 놀이터는 모래놀이터 3곳, 세족장, 음수대, 공중화장실이 조성되어 있다. 놀이터는 세 개의 원형놀이터로 구성하고, 촉감놀이에 적합한 동해안 모래를 깊이 50cm 이상으로 조성했다. 원목 놀이기구, 천연목재 산책로, 황토 포장 등 놀이공간의 다양한 시설도 '천연재료'를 사용하였고, 자연 지형과 지물을 최대한 활용하여 다른 놀이터와 확실한 차이를 두었다. 다양한 놀이시설들 가운데 롱미끄럼틀과 짐라인은 아이들의 호기심을 유발한다. 관리사무실 앞에 비치되어 있는 어린이 자전거와 모래놀이 도구들은 대여해서 사용할 수 있다. 놀이터 개장은 오전 9시이며, 마감은 4월10월 중에는 오후 6시,  11월3월 중에는 오후 4시 40분이다."
서울특별시 서대문구 증가로20가길 91,"(북가좌동,해들목휴먼빌)",1,0,A02,A0202,A02020700,2759917,12,20211020225155,,,126.9194953851,37.5827901885,6,20211102013545,0,14,,은가어린이공원,3671.0,"서울 서대문구 북가좌동 주택가 한가운데 위치한 소규모 공원으로, 바닥에 분수와 같은 수경시설을 갖추고 있어 어린이들만 아니라 인근 주민들에게도 쉼터로 이용되고 있다. 아침저녁으로 가벼운 운동을 하기 좋고 한낮엔 나무 그늘 아래서 휴식을 취하기 좋다. 어린이 놀이시설, 운동시설, 정자, 벤치, 바닥 분수대가 설치되어 있어 인근 어린이집 아이들의 방문도 잦다. 하지만 화장실이나 주차시설은 없어 아쉽다."
서울특별시 서대문구 대현동,(대현동),1,0,A02,A0203,A02030600,2667611,12,20200818233748,http://tong.visitkorea.or.kr/cms/resource/71/2667471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2667471_image3_1.jpg,126.9424606606,37.5579323782,6,20221025160750,0,14,,이대거리,3767.0,"이대거리는 이화여대 정문에서 신촌 기차역까지 이어지는 골목거리로 카페, 음식점, 의류, 미용실, 화장품 등 특색있는 점포들이 가득한 거리다."
서울특별시 서대문구 봉원동,,1,0,A01,A0101,A01010400,2661502,12,20200630181158,,,126.9447737923,37.5772357314,6,20220525175436,1,14,,안산,3731.0,"무악산으로도 불리며, 정상에서는 평안도에서 올라온 봉화를 연결하여 남산으로 보냈던 봉수대가 위치하고 있다. 안산자락길을 통해 안산도시자연공원과 서대문독립공원, 홍제천 연계하여 관광 할 수 있다."
서울 서대문구 충정로 8,,1,0,A02,A0204,A02040800,2453179,12,20161213013619,,,126.9631392793,37.5597464264,6,20220720155857,3162,14,,고촌홀(제약박물관),3742.0,"고촌은 종근당 창업자 고 이종근 회장의 호에서 따왔다. 종근당의 창업전시관에서 고촌의 일생, 종근당의 발생 과정, 국내외 의약사를 살펴보고, 도전과 나눔 정신을 체험해 보도록 구성되어 있다. 고촌 선생이 세계 각국에서 수집한 종들을 모티브로 만들어진, 종이미지의 체험 전시관이 독특하다."
서울특별시 서대문구 연세로5길 11,(창천동),1,0,A02,A0203,A02030600,2018226,12,20150717191925,,,126.9364417897,37.5570295975,6,20220516160734,10543,14,,신촌 플레이버스,3789.0,"신촌 플레이버스는 신촌 연세로 스타광장 내에 위치한 이색체험 버스이다. 2층 버스로 이루어졌으며 버스에서 신촌 문화 체험과 음악감상 및 다양한 체험을 할 수 있다. 플레이 버스에서 직접 방송과 공연을 할 수 있고, 영상편지를 띄어 볼 수도 있다. 공연장, 디제이박스, 관광안내, 음악감상실을 갖춘 이색체험 버스이다."
서울특별시 서대문구 성산로13길 35-1,(연희동) 부근,1,0,A02,A0205,A02050200,1837036,12,20130812194350,http://tong.visitkorea.or.kr/cms/resource/85/2028285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2028285_image3_1.jpg,126.926114652,37.567694839,6,20210915002653,6612,14,,해병대104고지전적비,3707.0,"6.25 전쟁 당시 낙동강 전선까지 밀려 내려갔던 국군과 연합군이 인천상륙작전 성공 후, 북한군은 서울 사수의 최후 방어선으로 연희동 104고지 일대를 완전히 요새화하여 강력하게 방어하였다. 이에 한강을 도하한 한국 해병대가 1950년 9월 21일 공격을 감행하여 치열한 백병전 끝에 적을 격퇴시키고 104고지를 탈환함으로써 중앙청에 태극기를 게양하였으며 이는 수도 서울 탈환에 결정적으로 기여하였다. 이곳 격전지에서 3일 주야간의 끝없는 혈전으로 1개 중대 중 26명만이 생존하는 처절한 혈전 끝에 이 고지를 탈환하였다. 수도 서울 탈환 작전에서 장렬히 산화한 젊은 해병대원들의 명복을 길이 추모하기 위해 서대문구 연희동 궁동산의 끝자락에 이 비를 건립하였다.   규격  비높이 8m  건립자  해병대 사령부(1982.09.28. 건립)"
서울특별시 서대문구 독립문공원길 80,(현저동),1,0,A02,A0205,A02050200,1829735,12,20130723221943,http://tong.visitkorea.or.kr/cms/resource/50/2413950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2413950_image3_1.jpg,126.9555284897,37.572925314,6,20220617171625,5996,14,,순국선열추념탑,3732.0,"순국선열추념탑은 애국지사들과 항일투사들이 가장 많이 옥고를 치른 조국수난의 현장이었던 서대문형무소를 비롯하여 우리 산하와 해외 각처에서 조국 광복을 위하여 일제에 항거하다 장렬히 순국하신 선열들의 얼을 되새기며 원혼을 추모하기 위하여 서울특별시에서 1992년 8월 15일에 건립하였다.추념탑의 중앙에는 전국 14개도 전역에서 나타난 우리민족의 드높은 독립의지와 기상을 상징하고 있는 태극기를 음양각한 조각상이 높이 22.3m로 축조되어 있으며 좌우에는 길이 40m로 독립투쟁의 역사적 활동상을 형상화한 모습이 부조되어 있다. 좌측에는 항일의병무장상, 윤봉길이봉창열사 상징상, 독립군의병 순국선열 처형상, 유관순열사 운동상이, 우측에는 3.1독립만세상, 안중근의사 이토 히로부미 저격상, 순국선열 의병체포 처형상, 청산리 전투상이 새겨져 있다. 또한, 바로 아래의 순국선열추념탑기(殉國先烈追念塔記)에는 일제의 침략부터 조국독립을 쟁취하기 위한 우리 선열들의 자주독립 의지와 끊임없이 계속된 항일투쟁사가 기록되어 있다."
서울특별시 서대문구 통일로 251,,1,0,A02,A0205,A02050400,1829610,12,20130723022441,http://tong.visitkorea.or.kr/cms/resource/48/2413948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2413948_image3_1.jpg,126.9556062153,37.5745084649,6,20220517152658,3934,14,,송재서재필선생상,3732.0,"전남 보성 출신으로 개화운동가이자 독립운동가인 서재필 선생을 기리기 위하여 서대문독립공원 내에 건립되었다. 선생은 1896년 4월 7일 한국 최초의 민간신문인「독립신문」을 발간하였고 윤치호, 이상재 등의 협력을 얻어 독립협회를 창립하여 종래 중국을 사대하던 상징인 영은문을 헐고 그 자리에 국민의 성금을 모아 한국독립의 상징으로서 독립문을 세웠으며 종래의 모화관을 개수하여 독립관으로 고치고 독립협회의 집회장소와 사무실로 사용하였다. 또한, 토론회를 통해 시민들을 모아 나라의 독립과 개혁에 대한 토론을 시키고 만민공동회를 조직하여 러시아의 부산 절영도 조차(租借) 요구를 반대하는 등 국민의 독립사상과 민권사상을 크게 신장시켰다.1919년 3.1운동 이후 임시정부가 워싱턴에 구미위원회를 설치하자 그 위원장을 맡아 독립운동을 위한 외교활동을 전개하였고 전 재산을 독립운동의 경비에 바치는 등 조국의 독립을 위하여 헌신하셨으나 1951년 1월 5일 미국에서 87세의 생을 마감하였다.   규격  동상높이 3.5m, 좌대높이 2.8m  건립주체자  송재서재필선생동상건립추진위원회, (1990.04.07. 건립)"
서울특별시 서대문구 통일로 251,(현저동),1,0,A02,A0201,A02010100,1828571,12,20130717192817,http://tong.visitkorea.or.kr/cms/resource/28/2413928_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2413928_image3_1.jpg,126.9581338041,37.5730642335,6,20220526133449,7636,14,,독립관,3732.0,"독립관은 원래 1407년(태종 7년)에 중국 사신을 영접하기 위해 지어진 영빈관으로서 초기의 이름은 모화루였으나, 1429년(세종 11년) 확장 개축되면서 모화관이라 개칭되었다. 한말에 이르자 국제관계의 변화로 원래의 목적대로 사용되지 못하고 방치되어 있던 모화관을 서재필이 독립협회를 세우면서 독립관으로 개칭하고, 이곳에서 애국토론회를 개최하여 자주민권자강 사상을 고취시키는 독립운동의 기지로써 사용하였다. 그러자 일본제국주의자들은 독립운동 탄압의 일환으로써 이 건물을 철거해버렸다. 세워질 당시의 위치는 현재의 위치에서 동남쪽으로 약 350m 떨어진 곳이었으며, 서대문독립공원 조성사업계획에 의거 전문가의 고증 자문에 따라 지상층은 당초대로 한식 목조건물로 복원하여 순국선열들의 위패(位牌)봉안과 전시실로 사용하고, 지하층은 행사 및 유물보관을 위해 1995년 12월 28일부터 1996년 12월 31일까지 서울특별시에서 건립하였다."
서울특별시 서대문구 통일로 251,,1,0,A02,A0205,A02050200,1825057,12,20130703234030,http://tong.visitkorea.or.kr/cms/resource/97/2413897_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2413897_image3_1.jpg,126.9556062153,37.5745084649,6,20220629164958,6597,14,,3.1독립선언기념탑,3732.0,1919년 3월 1일 오후 2시 손병희 등 민족대표들은 태화관에서 독립선언식을 거행하고 독립만세를 삼창함으로써 거족적인 3.1독립만세운동의 불을 지폈다.3.1독립선언기념탑은 이날의 숭고한 자주독립정신을 기리기 위하여 1963년 8월 15일에 당시 재건국민운동본부 주관으로 온 국민의 성금을 모금하여 3.1독립만세운동의 현장이었던 탑골공원에 건립되었다. 그러나 1979년 탑골공원의 정비사업으로 철거되어 12년간 방치되었다가 각 계에서 복원의 목소리가 높아지자 1992년에 항일 독립운동의 터전인 서대문 독립공원으로 옮겨 세우게 되었다. 탑의 높이는 4.2m이며 탑 뒤에는 3.1독립선언문과 손병희 등 독립만세운동을 주도한 민족대표 33인의 이름이 판각되어 있다.
서울특별시 서대문구 홍지문길 1-38,,1,0,A02,A0201,A02010800,337557,12,20071219013150,http://tong.visitkorea.or.kr/cms/resource/86/2531186_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2531186_image2_1.jpg,126.9541779361,37.5968225119,6,20221109095609,27862,14,,옥천암(서울),3608.0,"옥천암는 서울시 서대문구 홍은2동 8번지 북한산 끝자락에 자리한 대한불교조계종 직할사찰이다. 관세음보살은 광세음보살(光世音菩薩) 또는 관세음자재보살(觀世音自在菩薩)이라고도 하며 보통 줄여서 관음보살이라고 부른다. 대자대비(大慈大悲)를 서원으로 하는 관음보살은 우리나라에서 주로 『화엄경, 『법화경, 『아미타경, 『능엄경을 중심으로 그 신앙이 전개된다. 각 경전상에서 공통적으로 나타나는 것은 관세음보살의 이름을 마음속에 간직하고 염불하면 모든 고통의 속박에서 벗어나고 어떠한 고난이나 재액에서도 반드시 해탈을 얻게 된다고 한다. 옥천암(玉泉庵)은 동해의 낙산 홍련암(紅蓮庵), 서해의 강화도 보문사(普門寺), 남해의 보리암(菩提庵)과 함께 4대 관음기도 도량으로 알려져 있다. 이는 옥천암에 있는 관음보살상 때문인데, 보도각 백불(普渡閣 白佛)로 불리는 이 관음보살은 많은 영험담을 가지고 있다.일찍이 조선 태조가 한양에 도읍을 정할 때도 이 석불에 기도한 일이 있고, 또 흥선대원군의 부인 민씨(閔氏)도 아들인 고종을 위해서 자주 찾아와 기도하였다고 한다. 삼각산의 맥이 비봉과 향로봉을 거쳐 인왕산으로 이어지기 직전 삼각산이 끝나는 지점에 자리한 옥천암은 서울이 대규모로 도시화되기 전만 해도  옥같이 맑은 물이 흘렀다. 그러한 까닭으로 절 이름 또한 옥천암이라 불리었던 것이다.  옥천암 마애좌상(보도각 백불)  서울특별시 유형문화재(1973.06.07 지정) 보도각 백불의 정확한 명칭은 '홍은동 보도각 마애보살좌상(弘恩洞 普渡閣 磨崖菩薩坐像)'이다. 흰색의 호분이 전체적으로 두껍게 칠해져 있기 때문에 백불(白佛) 또는 해수관음(海水觀音)이라고도 한다. 마애불상은 근래에 세워진 정면 1칸, 측면 2칸의 보도각이란 전각 안에 보존되어 있다. 전하는 말에 의하면 조선 태조 이성계가 서울로 도읍을 정할 때 이 석불에 기원을 했으며, 조선후기에는 고종의 어머니 흥선대원군의 부대부인 민씨도 아들의 천복을 빌었는데 이때부터 하얗게 칠을 하였다고 한다. 머리에는 꽃무늬가 장식된 화려한 관(冠)을 쓰고 있으며, 머리카락은 어깨를 따라 팔꿈치까지 길게 늘어져 있다. 비교적 둥근 얼굴은 눈이 가늘고 입이 작게 표현되어 고려시대 불상의 일반적인 특징을 보여준다. 옷은 양쪽 어깨를 감싸고 있으며 신체는 전체적으로 단정한 모습이다. 옷주름은 선이 깊지는 않지만 신체 전반에 부드럽게 흘러내리고 있다. 손은 오른손을 들어 엄지와 가운데 손가락을 맞대고 왼손은 무릎 위에 올려놓은 아미타불의 손모양을 하고 있다. 고려시대에 만들어진 마애불로서 북한산 구기리 마애석가여래좌상(보물)과 같은 계열의 작품으로 보인다."
서울특별시 서대문구 연세로 50,(신촌동),1,0,A02,A0201,A02010700,252532,12,20071025090000,http://tong.visitkorea.or.kr/cms/resource/22/2736322_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2736322_image2_1.jpg,126.938163603,37.5659535914,6,20220524150647,22273,14,,서울 연세대학교 스팀슨관,3722.0,"연세대학교에 최초로 세워진 건물로서, 1919년 착공하여 1920년 완성된 돌로 지은 2층 건물이다. 연세대학교의 전신인 연희전문학교의 설립자 언더우드(한국이름 원두우) 목사가 고향인 미국으로 돌아가서 항구적인  학교건축을 위해 미국 로스엔젤레스에 거주하던 찰스 스팀슨의 기부금을 얻어놓고 세상을 떠난 뒤, 후임교장인 에비슨이 그 기부금으로 건립한 것이다.  미망인인 언더우드 부인이 초석을 놓았고 당시 화학과 교수인 밀러가 공사를 감독하였다.  설계자는 알 수 없으나 당시 미국인 건축가들이 우리나라에 와서 설계와 기본계획을 작성하였다고 한다.  장방형의 평면에 맞배지붕을 하고 있으며 고딕양식의 건물이다.  면적  1,154㎡"
서울특별시 서대문구 연세로 50,(신촌동),1,0,A02,A0201,A02010700,252533,12,20071025090000,http://tong.visitkorea.or.kr/cms/resource/79/1505579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1505579_image3_1.jpg,126.9383080636,37.5649231574,6,20220630151338,31161,14,,서울 연세대학교 언더우드관,3722.0,"연세대학교 언더우드관은 이 학교의 전신인 연희전문학교에서 스팀슨관에 이어 지어진 교사로서 학관 (學館)이라 불러왔다. 연세대학교가 위치한 연희동은 이곳에 정종이 태종에게 양위한 후  살았던 연희궁이 있었기 때문인데, 연희궁의 위치는 지금의 연세대자리에서 연희입체교차로가 있던 부근으로 추정되고 있다. 신촌 캠퍼스를 마련한 초창기에 지어진 스팀슨관 (1920년), 아펜젤라관 (1924년), 언더우드관은 ㄷ자형으로 놓여 있는데, 그 가운데 언더우드관은 중앙에 위치한 가장 웅장한 건물이다. 나아가 정문에 들어서면 캠퍼스의 중앙을 가로지른 백양로의 끝자락, 캠퍼스의 중앙에 자리잡고 있다. 이 건물의 5층으로 된 중앙의 탑은 이 캠퍼스의 중심역할을 하고 있다.  언더우드관은 연희전문학교 창립자인 언더우드(H.G.Undewood)를 기념하기 위하여 그의 형인 존 티 언더우드(John T.Undewood)의 10만달러 기부금으로 지어졌다. 1921년 짓기 시작하여 1924년에 완공되었으며, 감독은 당시 화학과 교수였던 밀러가 담당했다. 구조는 본관건물인 스팀슨관과 같은 돌구조로서 지하 1층,지상 3층이며, 탑부분은 5층이다. 평면은 장방형으로 중앙에 현관부를 두고, 동서로 중앙복도를 두었다.  남북 양쪽에는 교실과 계단실을 두고 좌우 동서 양끝에는 큰 강의실을 두었다. 본래 문과대학 전용으로 사용되었으나, 현재는 대학본부 건물로 총장실 등 주요 행정부서가 있다.    면적  2,707㎡"
