addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 서초구 서초동 419-3,,1,0,A02,A0205,A02050600,2779508,12,20211125192807,http://tong.visitkorea.or.kr/cms/resource/82/2796482_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2796482_image2_1.jpg,127.0181503561,37.4820092204,6,20221122100122,0,15,,우면산 소망탑 전망대,,"서울 서초구와 경기도 과천시의 경계를 이루는 우면산은 소가 잠자는 모습을 닮았다고 해서 붙여진 이름이다. 우면동과 서초동, 양재동 등 도심에서 쉽게 오를 수 있는 산이라 새벽부터 늦은 밤까지 등산객들의 발길이 끊이지 않는다. 굳이 등산화가 필요 없을 만큼 경사도 완만한 편이라 초보 등산객들에게 특히 사랑받는 코스다. 성인 기준으로 대부분 1시간 남짓이면 정상인 소망탑까지 오를 수 있다. 우면산 소망탑은 이곳을 찾은 사람들이 각자의 소망을 담아 하나둘 돌을 올리기 시작한 것이 지금과 같은 큰 돌탑이 되었다. 소망탑 근처에 조성된 전망대는 우수경관 조망명소로 선정될 만큼 탁월한 전망을 자랑한다. 이곳에서 바라보는 야경은 손에 꼽을 만큼 화려하게 반짝인다. 선사시대 유적인 지석묘를 비롯해 백제 시대 사찰인 대성사 등 다양한 역사유적도 자리한다."
서울 서초구 서초동 1005-6,,1,0,A02,A0202,A02020700,2773409,12,20211111200206,http://tong.visitkorea.or.kr/cms/resource/28/2779928_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2779928_image2_1.jpg,127.0027210052,37.4890775675,6,20221209172520,5,15,,서리풀공원,,"서울 서초구 서래마을 주민들이 즐겨 찾는 서리풀공원은 휴식과 건강을 위한 공간이다. 서리골공원과 몽마르뜨공원, 서리풀공원을 하나로 묶어 서리풀공원이라 부른다. 1970년대 군부대가 주둔하여 주민들이 접근할 수 없었던 공간이 2015년 군부대이전과 함께 2019년 조성되었다. 잔디광장을 둘러가며 조성된 산책길이 아기자기하고 편안하다. 매년 6월 몽마르뜨공원에서 열리는 반포서래 한·불 음악축제를 비롯해 11월에는 문화 교류의 장인 서래당제, 12월에는 크리스마스 프랑스 전통장터 등이 성황리에 열린다. 서리풀공원의 산책로(등산로)는 반포동부터 방배동까지 서초구의 중심부를 가로지르는 두 가지(빠른 길, 여유롭게 가는 길)의 산책로(등산로)로 구성되어있다. 약 4km 산책로(등산로)는 몽마르뜨 공원까지 이어져 도로로 단절된 산책로(등산로)를 누에다리와 서리풀다리가 연결하여 북쪽으로는 한강을 남쪽으로는 우면산을 조망할 수 있다."
서울특별시 서초구 논현로5길 23-11,(양재동),1,0,A02,A0201,A02010800,2773272,12,20211111184437,,,127.0492617081,37.4716054309,6,20221206152216,0,15,,구룡사,6791.0,"서울 서초구 양재동에 있는 구룡사는 도심 지역에서 생활불교를 실천하는 통도사에서 운영하는 서울 포교당이다.
대지 2,314㎡, 7층 건물로 지상 2, 3, 4층에 만불보전 법당이 있고 1층에는 문화회관과 유치원이 있다. 
불교대학을 운영하고 있으며, 지하 160m에서 끌어올린 구룡토수 (九龍吐水)는 감로수로서 인근 주민들과 불자들에게 공양 되고 있다. 
신분당선 양재시민의숲역에서 주택가 길을 따라 능인선원 맞은편 양재대로 인근에 있다."
서울특별시 서초구 동산로 35,(양재동),1,0,A02,A0202,A02020700,2773271,12,20211111184345,http://tong.visitkorea.or.kr/cms/resource/58/2779758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2779758_image2_1.jpg,127.0424456515,37.4719469357,6,20211125231458,0,15,,양재근린공원,6780.0,"신분당선 양재시민의숲역 2번 출구에서 약 300m 거리에 있는 도심 속의 근린공원으로 숲속처럼 느껴지고 잘 가꾸어져 있어 많은 사람이 찾는 공원이다. 공원이 언남 중,고등학교와 매헌초등학교 사이에 있어서 방과후 학생들의 휴식처가 되어주는 동시에 인근 주민들의 체육 시설이 되어준다. 공원 내에는 놀이터, 분수대, 벤치, 산책로 등이 조성되어 있으며 운동 시설로는 농구장, 놀이터, 축구장, 운동장이 있다. 축구장에서는 서울시민리그(풋살경기)가 개최되기도 한다. 지하철 신분당선 양재시민의숲역 2번 출구에서 약 300m 거리에 있다."
서울특별시 서초구 신반포로11길 40,(반포동),1,0,A02,A0202,A02020100,2763875,12,20211028001346,,,126.9927436077,37.5077752176,6,20221129172716,0,15,,반포한강공원 달빛광장,6500.0,"서울 반포대교와 잠수대교 한강 남단에 있는 반포한강공원의 중심 광장으로, 달의 모습을 형상화하여 만든 테마 광장이다. 잠수교를 사이에 두고 동쪽에 2개, 서쪽에 3개의 초승마루가 있다. 주변에는 교량 양쪽에 설치된 달빛무지개분수를 비롯해 보행자 중심 다리로 거듭난 잠수교 등 재미있는 아이템이 가득하다. 달빛무지개분수는 총 길이가 1,140m로 2008년 세계에서 가장 긴 교량 분수로 기네스협회에 등재되었다. 세빛섬, 가빛섬, 예빛섬과 한강 주변의 빌딩 숲 야경이 달빛공원을 아름답게 만든다. 지하철 3호선, 9호선, 7호선 고속터미널역에서 가까워 접근성도 좋다."
서울특별시 서초구 남부순환로296길 4-9,(방배동),1,0,A02,A0202,A02020100,2763871,12,20211028001001,,,126.9924835083,37.4727848312,6,20221202102847,0,15,,방배배수지체육공원,6759.0,"서울 서초구 사당역 방배래미안 아파트 건너편에 있는 방배체육공원은 앞으로는 매봉재산과 뒤로는 우면산을 사이에 두고 울창한 숲속에 있는 30,353㎡ 규모의 체육공원이다. 방배체육공원으로도 불리며, 공원 전체가 금연금주 구역이다. 인조 잔디가 깔린 축구장, 풋살구장, 실내 배드민턴 코트도 있으며 야간 조명시설도 갖췄다. 시설은 서울시 공공서비스예약(yeyak.seoul.go.k) 사이트를 통해 예약, 이용할 수 있다. 여성축구교실, 유아축구교실, 서초홍명보어린이축구교실, 서초리틀야구단 프로그램이 운영되고 있다."
서울특별시 서초구 동광로 89,(방배동),1,0,A02,A0202,A02020300,2762910,12,20211027002758,,,126.9920579556,37.4937212817,6,20221214142900,0,15,,스파어바인,6584.0,"스파어바인(SPA IRVINE)은 서울 서초구 서래마을에 위치한 826m²(250평) 규모의 스파 및 피부관리 시설이다. 고급스러운 인테리어의 공간에는 다양한 프라이빗 트리트먼트실이 준비되어 있다. Signatue Special(ONEDAY 프로그램), Inne Beauty 프로그램, Couple 프로그램 등 다양한 프로그램을 제공하고 있다. 100 사전 예약제로 운영되므로 전화나 홈페이지를 통해 예약한 후에 이용할 수 있다."
서울특별시 서초구 효령로68길 30,(서초동),1,0,A02,A0201,A02010800,2759905,12,20211020224739,,,127.0231081164,37.4863171426,6,20221130104414,0,15,,수안사,6722.0,"서울 서초구 남부터미널역 경부고속도로 서초IC 인근 주택가에 있는 대한 불교 조계종 사찰이다. 건물 입구에는 수안불교회관과 사단법인 명상연구원 현판이 걸려 있다. 도심 사찰로는 규모가 크고 대리석 벽체와 기와지붕으로 지어졌으며, 1층 무량수전, 2층 사무실, 3층 법당, 지하 식당으로 이뤄져 있다. 지하철 3호선 남부터미널역 3번 출구에서 조금 걸어가면 된다."
서울특별시 서초구 성촌6길 1,(우면동),1,0,A01,A0101,A01010500,2757831,12,20211016004034,,,127.0206866531,37.4672554233,6,20211209014401,0,15,,우면산자연생태공원,6765.0,신분당선 양재시민의숲역에서 양재시민의 숲을 지나 삼성 RD 연구소에 다다르면 뒤로 작은 마을이 있다. 이곳을 지나면 우면산으로 올라가는 등산로가 있는데 그 입구에 우면산 자연생태공원이 조성되어 있다. 생태공원도 깔끔하게 정돈된 학습장이라기보다는 자연 그대로를 즐길 수 있게 되어 있다. 우면산 생태공원에서 멀리 청계산이 보인다.
서울특별시 서초구 신반포로49길 9,(잠원동),1,0,A02,A0202,A02020700,2757825,12,20211016002518,,,127.0199299159,37.5114974951,6,20221202100208,0,15,,한수공원,6531.0,"4호선, 9호선 동작역 1번 출구 반포주공아파트 단지 내에 있다. 반포주공아파트 96동 옆에 있는 한수공원은 아파트 단지 안에 있는 공원이지만 공원에서 한강 변 시민공원과 이어지는 산책길을 이용할 수 있다. 한강 공원의 갈대 섬과 함께 동작대교의 전망쉼터인 노을 카페와 구름 카페도 닿을 수 있다."
