addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 성동구 성수동2가,,1,,A02,A0203,A02030600,2930901,12,20221206180351,http://tong.visitkorea.or.kr/cms/resource/94/2930894_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2930894_image3_1.jpg,127.0566145649,37.5432527996,6.0,20221206180412,0,16,,성수동 카페거리,4795.0,"오래된 공장지대, 구두 공방 골목으로 대표되던 성수동 연무장길이 트렌디한 카페와 문화공간으로 거듭났다.
지금도 자동차 정비공장과 인쇄 공장, 수제화 거리의 활기는 여전하지만, 요란하게 돌아가는 공장사이에 글로벌 외식 업체와 편집숍 카페들이 들어서면서 성수동만의 독특한 분위기가 형성됐다. '대림창고'는 성수동 골목의 변화를 이끈 주인공으로, 현재 카페거리 곳곳에 들어선 창고형 카페의 원조라 할 수 있다. 이곳은 옛 창고의 붉은 벽돌 구조와 오래된 간판, 광활한 실내 공간을 살리고 감각적인 인테리어를 더해 패션쇼와 전시를 위한 공간으로 꾸며 오래된 성수동 건축의 새로운 가능성을 보여주었다. 
이 외에도 하루가 다르게 새로운 카페와 베이커리, 레스토랑과 복합 문화 공간이 문을 열고 손님맞이에 분주하다."
서울특별시 성동구 연무장13길 8,,1,,A02,A0203,A02030400,2850356,12,20220906160555,,,127.0584227632,37.5422307285,6.0,20221208104504,0,16,,리얼월드 성수,4783.0,"놀이와 문화가 공존하는 도심 속 신개념 놀이 문화 공간이다.
1층 매장에서 다양한 음료를 즐기는 것은 물론, 다양한 인터렉티브 게임을 구매할 수 있다.
몽환적인 호텔을 배경으로 다양한 인터렉티브 게임을 경험하며 스토리 속 진짜 주인공이 되어볼 수 있다."
서울특별시 성동구 성수이로26길 47,,1,,A02,A0203,A02030400,2811579,12,20220321154446,,,127.0627889477,37.5451860192,6.0,20220321164645,0,16,,그린워커스,4799.0,그린워커스는 플라스틱방앗간X노플라스틱선데이가 함께 만드는 자원순환 복합문화공간이다. 음료병뚜껑과 PP 재질 표기가 되어 있는 플라스틱을 모아 가져가면 모아진 플라스틱을 잘게 쪼개고 녹여 100 재활용 되어진 제품으로 만들어 낸다. 기존에는 플라스틱을 모아두고 예약하면 방문수거로 수거해 갔으나 상시수거로 변경되어 공간 운영시간 내 자유롭게 수거 활동이 가능하다. 그린워커스 쿠폰을 제작하고 도장을 적립하여 도장 개수마다 달라지는 리워드도 받을 수 있다.
서울특별시 성동구 응봉동 235,,1,0.0,A02,A0202,A02020100,2757822,12,20211016002017,,,127.03725221,37.5513459554,6.0,20221129162018,0,16,,응봉체육공원,,"서울 성동구 응봉산 아래 중랑천 변에 위치한 체육공원으로 축구, 테니스, 야구 등 다양한 종목의 스포츠를 즐길 수 있는 시설이다. 시원하게 뚫린 천변에 인조 잔디가 깔린 축구장과 화려한 색깔로 새롭게 변신한 농구장이 인기가 많으며, 운동에 관심 있는 구민들의 이용이 나날이 늘어가고 있다. 개보수 하면서 안전 펜스와 안전 패드를 설치해 더욱 안전하게 농구를 즐길 수 있다. 경의·중앙선 응봉역 2번 출구에서 바로 연결되어 있다."
서울특별시 성동구 금호동4가 산 27,(금호동4가),1,0.0,A02,A0202,A02020700,2741117,12,20210908003704,,,127.0214816511,37.5433327144,6.0,20221005172904,0,16,,달맞이봉공원,4740.0,"응봉산 근처에 있는 달맞이봉공원은 서울야경 명소로 많은 시민들이 찾고 있는 공원이며, 해돋이 명소이자 달 야경이 아름다운 곳으로 널리 알려져 있다. 또한 달맞이봉공원은 옛부터 정월 대보름에 사람들이 모여 달을 맞이하며 소원을 빌던 곳이였다고 한다. 서울의 남, 서 방향의 전망과 한강, 롯데월드타워, 청계산, 관악산의 경관을 한눈에 조망할 수 있다."
서울특별시 성동구 연무장1길 7-1,(성수동2가),1,0.0,A02,A0203,A02030600,2713660,12,20210414010122,,,127.0505511791,37.5449913775,6.0,20221117161328,0,16,,공간 와디즈,4782.0,"공간 와디즈는 와디즈에서 펀딩이 진행 중인 제품을 직접 보고 만지고 체험할 수 있는 곳이다. 스페이스는 테크·가전, 패션·잡화, 푸드, 뷰티, 반려동물 등의 카테고리로 구성, 다양한 제품을 소개하기 위해 제품은 2주에 한 번씩 바뀌며, 구경하다 마음에 드는 제품이 있다면 제품 옆 QR 코드를 통해 펀딩에 참여 할 수 있다.  2층은 펀딩이 끝난 제품만을 모아 놓았으며,  소규모 창업자들의 업무 공간인 워크 스테이션, 푸드 메이커들의 먹거리를 맛볼 수 있는 푸드 체험존이 자리해 있다.  지하 1층 스퀘어에서는 펀딩을 준비하는 예비 메이커를 위한 메이커 클래스, IR 행사 스타트업 관련 행사가 열린다. 3층 루프톱은 투자를 기다리는 영화의 시사회, 메이커의 소규모 공연 등 문화 행사가 펼쳐지는 장소. 평소엔 탁 트인 하늘 아래 광합성을 할 수 있는 풍경 맛집이다."
서울특별시 성동구 연무장7길 15,(성수동2가),1,0.0,A02,A0203,A02030600,2650231,12,20200324022553,,,127.0547758143,37.5442915346,6.0,20220818152450,0,16,,성수동 수제화거리,4782.0,"1970년대부터 모여든 수제화 업체가 하나의 골목을 만들고 역사를 만들었다. 현재 350여개 수제화 생산업체와 100여개 중간 가공, 원부자재 업체가 있으며 독특한 분위기의 카페도 속속 문을 열고 있다. 빈티지한 매력으로 데이트명소, 사진찍기 좋은 곳, 핫플레이스로 떠오르고 있다."
서울특별시 성동구 천호대로 346,,1,0.0,A02,A0204,A02041000,2555938,12,20180801000137,,,127.0572306273,37.5625727888,6.0,20220811103557,1267,16,,"서울교통공사 차량기지 (도봉, 모란기지)",4806.0,"stong안전 체험과 함께 궁금증도 해결한다.stong  서울교통공사는 각 차량사업소별로 견학과 역 안전체험을 실시하고 있다. 차량 설비와 시설을 둘러보면서 지하철 운영에 대한 이해를 높이고, 안전수칙을 배우는 프로그램으로 운영되어 있다. 어린이, 어르신, 교통약자, 외국인 등 대상에 따라 눈높이 교육을 진행하는 점도 특징적이다. "
서울특별시 성동구 천호대로 346,(용답동),1,0.0,A02,A0204,A02041000,2554065,12,20180718002953,,,127.0572583976,37.5627338812,6.0,20220411154828,714,16,,"서울교통공사 차량기지 (고덕, 방화, 수서, 군자, 신정, 신내, 천왕, 창동)",4806.0,"서울교통공사는 3가지 체험 프로그램을 운영하고 있다. 차량기지 안전체험에서는 전동차 정비시설 견학과 열차 내 안전수칙을 배운다. 역 안전체험은 어린이, 어르신 등 교통약자를 대상으로 한 프로그램으로 대상에 따라 다르게 운영한다. 테마견학은 다문화가정과 소년소녀가장 등을 초청하는 행사로 비정기적으로 운영한다."
서울특별시 성동구 자동차시장3길 64,(용답동),1,0.0,A02,A0204,A02041000,2553920,12,20180717192103,,,127.0603415156,37.5604508688,,20211224010434,418,16,,장안평 자동차산업 종합정보센터,4809.0,"자동차산업 활성화를 위해 장안평에 조성된 지상 3층 규모의 장안평 자동차산업종합센터는 자동차 매매, 정비, 튜닝, 부품, 재제와 관련된 산업 지원 및 프로그램을 운영한다. 가족단위 시민들이 참여할 수 있는 프로그램으로 로봇, 전자과학, 수소원료 전기차, 3D프린터, 자동차 체험도 제공한다."
