addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 성북구 선잠로 28,(성북동),1,0,A02,A0201,A02010900,2733963,12,20210817182833,http://tong.visitkorea.or.kr/cms/resource/87/2789487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2789487_image2_1.jpg,126.9981767437,37.5953679148,6.0,20221212172509,1,17,,성북동성당,2823,"성북동 산책로 중심에 자리 잡은 성당으로 길상사와 가까운 곳에 위치해 있다. 마당 한가운데 서있는 성모상은 일반적인 성모상과 달리, 아기 예수 대신 성경책을 끌어안고 있으며 가르마를 탄 쪽진 머리도 인상적이다. 성북동을 방문하는 사람이라면 누구든 볼 수 있는 장소에 자리 잡고 있으며 아름다운 건축물을 배경 삼아 사진 찍는 사람들이 많을 정도로 사랑받는 곳이다."
서울특별시 성북구 성북로23길 132-3,,1,0,A02,A0203,A02030600,2661492,12,20200630023540,,,126.9910580174,37.5929152943,6.0,20220516140921,0,17,,북정마을,2879,성북동에 위치한 마을로서 오래된 골목길의 정취를 즐길 수 있을뿐만 아니라 젊은 예술가들이 모여 살고 있는 곳이다. 한양도성 백악구간 코스에 포함되어 만해 한용운의 유택인 심우장과 연계하여 관광을 할 수 있다.
서울특별시 성북구 대사관로 121,(성북동),1,0,A02,A0204,A02040800,2554064,12,20180718001719,,,126.9930020876,37.599858967,,20220421144349,901,17,,한국가구박물관,2822,"서울 성북동 언덕에 위치한 한국가구박물관은 조선 후기에 제작된 전통목가구를 재료별(먹감나무, 단풍나무, 오동나무, 느티나무, 소나무, 종이 등), 종류별(사랑방, 안방, 부엌 등), 지역 특성 별로 분류 전시하고 있는 특수박물관으로 한국의 옛 가옥 10채와 더불어 실내 장식, 꽃담, 굴뚝, 마당 등 한국의 전통 주(住)생활 문화를 총체적으로 보여주고 있다.
박물관의 전시와 운영에 있어 가구와 자연과 어우러진 한국의 집문화(housing cultue)를 보여주기에 적합한 가이드 투어(한 그룹에 20명 최대 인원)로 관람방식을 택하고 있으며 가구라는 옛 생활기물을 유리 보관함 밖, 방 구조의 전시장에 전시하여 관람객들에게 아름다운 전통문화 경험을 제공하고 있다.
2010년 G20 서울정상회의의 20개국 정상 배우자의 공식 오찬지로 선정된 이후, 중국의 시진핑 주석 내외를 비롯하여 독일 대통령, 헝가리 총리, 싱가포르 총리, 벨기에 국왕 내외, 스웨덴 국왕, IMF총재, 영화배우 브레드 피트, 빅토리아 베컴 등 국빈 및 세계적인 인사들의 발걸음이 끊이지 않았다. 또한 2011년 CNN에서 서울에서 가장 아름다운 박물관으로 선정된 바 있으며 최근 3월에는 세계적인 주목을 받고 있는 BTS의 인터뷰 장소가 되기도 하는 등 서울의 대표적인 탐방지이자 정부 부처를 비롯한 기업 등이 선호하는 문화 공간으로 각광을 받고 있다."
서울특별시 성북구 성북로26길 8,(성북동),1,0,A02,A0201,A02010500,1395566,12,20111005185548,http://tong.visitkorea.or.kr/cms/resource/41/2028441_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2028441_image3_1.jpg,126.9947965053,37.5950623345,6.0,20220620112325,25758,17,,상허이태준가옥(수연산방),2837,"이 집은 상허 이태준이 1933년부터 1946년까지 살면서 많은 문학작품을 집필한 곳이다. 이태준은 이곳의 당호를 ''수연산방''이라 하고, 달밤, 돌다리, 코스모스피는 정원, 황진이, 왕자 호동 등 문학작품 집필에 전념하였다. 그의 수필 무서록에는 이 집을 지은 과정과 집터의 내력 등이 쓰여 있다.
이 집은 건물 중앙의 대청을 중심으로 하여 왼쪽에 건넌방, 오른쪽에 안방을 두어 T자형을 이루고 아담하면서도 화려하게 지어졌다. 이 건물의 안방 앞에는 누마루를 두고 그 뒤편에는 부엌과 화장실을 두어서, 공간의 기능을 집약시킨 독특한 구성을 보여준다. 누마루는 작은 규모의 집에서는 보기 드물게 섬세하고 화려하며 사랑방의 기능을 안채에 집약시켰다. 건넌방 앞에 놓인 툇마루는 건넌방보다 바닥을 약간 높이고 ''아(亞)''자 난간을 둘러서 세심하게 고려한 공간임을 느끼게 한다."
서울특별시 성북구 성북로29길 24,(성북동),1,0,A02,A0201,A02010400,1395466,12,20111005024447,http://tong.visitkorea.or.kr/cms/resource/93/2622293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2622293_image3_1.jpg,126.991669053,37.5936180016,6.0,20220518160900,28782,17,,만해한용운심우장,2879,"이 집은 3.1운동 대 민족대표 33인 중 한 분이자 님의 침묵의 시인인 만해 한용운 선생이 1933년부터 1944년까지 살았던 곳이다. 동쪽으로 난 대문을 들어가면 북쪽으로 향한 기와집인 심우장과 양옥의 관리사 그리고 만해가 직접 심었다는 향나무 등이 있다. 심우장은 전체 규모가 5칸에 불과한 작은 집으로, 이곳에는 가운데 대칭을 중심으로 왼쪽에 온돌방, 오른쪽에 부엌이 있다. 부엌 뒤로는 식사 준비는 하는 공간인 천마루방이 있다. 한용운의 서재였던 온돌방에는 심우장이라는 현관이 걸려있는데, 이는 근대의 대표적인 서화가인 위창 오세창이 쓴 것이다. 이 이름은 깨우침을 찾아 수행하는 과정을 소를 찾는 일에 비유한 불교 설화에서 따온 것이다.
심우장이 있는 성북동 일대는 1930년대 서울이 확장되면서 주거지로 개발되었는데, 이 집은 당시의 여느 집과는 다르게 검소하고 소박한 구성을 보여준다. 한용운은 조선의 불교를 개혁하려고 했던 승려이자 조국의 독립에 힘쓴 독립운동가이며 근대 문학에 큰 업적을 남긴 시인이었다. 한용운이 만년을 보낸 심우장은 그의 이 같은 면모를 살필 수 있는 역사의 현장이다."
서울특별시 성북구 성북로15길 9,(성북동),1,0,A02,A0201,A02010400,1395270,12,20111005020533,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image3_1.jpg,127.0003849431,37.5929960083,6.0,20220328135705,25802,17,,최순우 옛집,2880,"최순우 옛집은 우리 문화의 아름다움을 찾고 알린 혜곡 최순우(미술사학자, 前 국립중앙박물관장, 19161984) 선생이 1976년부터 1984년 작고하실 때까지 사시던 집이다. 1930년대 근대 한옥인 기념관은 시민들의 성금으로 매입하여 보전된 내셔널트러스트 시민문화유산 제1호(등록문화재 제268호)로 선생의 뜻을 기리기 위해 기념관으로 운영하고 있다."
서울특별시 성북구 대사관로13길 44,,1,0,A02,A0201,A02010800,479778,12,20080220175828,http://tong.visitkorea.or.kr/cms/resource/94/2031894_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2031894_image3_1.jpg,126.9908800117,37.6015254018,6.0,20210909005413,23405,17,,정법사(서울),2822,"삼선교에서 성북동길로 접어들어 길상사(옛 대원각)를 오른쪽에 두고 언덕길로 조금 오르다가 우측으로 보면 성북동에서는 가장 오래된 절인 정법사(正法寺)가 나온다. 이곳은 원래는 복전암(福田庵)이라고 불리우던 작은 암자였는데 1960년 석산(石山)스님이 가회동에 있던 건봉사(乾鳳寺) 포교당을 옮겨오면서 중창을 하여 정법사라 이름하였다. 복전암이 언제 누구에 의해서 지어졌는지 자세한 문헌은 없지만 지금의 길상사터가 예전에는 후궁터였다는 점에서 복전암이 혹시 후궁들의 기도처였던 것은 아닐까 추측해 볼 뿐이다.삼청동과 성북동 사이에 터널도 뚫리고 길도 좋아져 지금은 마을이 빼곡히 들어서 있지만 석산스님이 오실 당시만 하더라도 길상사가 있는 대원각까지 맑은 개울물이 흘렀고, 삼선교까지 걸망을 메고 30분씩을 걸어 다녀야만 했던 산길이었다고 한다. 북한산 줄기인 구준봉 자락 밑에 자리해서인지 정법사 일주문에 들면 이곳이 서울 한 중심에 있는 도심사찰인가 싶다. 무엇보다 항상 그 자리에 여법하게 계신 팔순이 넘으신 석산 노스님을 만날 수 있고, 스님께 그 옛날이야기며, 출가수행 이야기, 부처님 이야기를 전해들을 수 있어 생각만 해도 향냄새가 은은하게 풍겨오는 곳이다.    연혁   정법사는 원래 종로구 가회동에 있던 건봉사(乾鳳寺)의 포교당으로 1939년에 처음 설립되었는데 1960년 이곳의 조그만 암자인 복전암(福田庵)으로 이전하였다. 즉 정법사가 위치한 가회동은 수행처로 적합한 분위기가 아니었으므로 이 암자를 인수하여 정법사로 개칭한 것이었다. 따라서 정법사의 연혁을 살피기 위해서는 우선 복전암의 연혁을 살펴보아야 할 것이다. 그러나 이곳에 있었던 복전암이 언제 어떻게 창건되었는지는 알려진 바가 없다. 다만 현재 정법사 아래에 위치한 길상사(대원각)터가 원래는 후궁터였다는 점에서 복전암이 혹시 후궁들의 기도처였던 것은 아닐까 추측된다. 여하튼 복전암의 정확한 역사는 추후의 자료발굴에 기대할 수밖에 없으며, 정법사가 이곳으로 이전해 온 1960년 이후의 역사가 정법사의 연혁으로 이해되어야 하겠다. 절을 이전할 당시 이곳에는 칠성각 한 채만 덜렁 있는 고즈넉한 암자였는데, 석산(石山)스님이 서대문 신학대학에 있던 황태자궁을 이전해 대웅전을 건립하면서 정법사라고 부르게 된다. 이후 스님은 1969년에 대웅전 옆으로 팔상전을 새로 건립하고, 1975년에는 미륵불상을 모셨다. 1980년에는 산신각을 중수하였으며, 이어 범종루와 요사채 등의 불사를 이루면서 지금과 같은 모습을 갖추게 된다. 최근 2002년에는 대웅전 중창불사를 발원하여 3년 여의 불사 끝에 2004년 4월에 낙성식을 하였고, 2005년에는 대웅전 지하에 극락전을 건립하였다."
서울특별시 성북구 흥천사길 49-23,,1,0,A02,A0201,A02010800,479649,12,20080220014444,http://tong.visitkorea.or.kr/cms/resource/10/2033910_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2033910_image3_1.jpg,127.0074230376,37.5983843972,6.0,20221118152848,22654,17,,적조사(서울),2825,"적조암은 원래 흥천사의 산내암자로 전체적인 규모는 큰 편이 아니지만 아담한 분위기에 전형적인 암자의 틀을 갖추고 있는 절이다. 특히 대웅전 앞의 두 소나무가 사격을 한층 높여주며, 주위를 둘러싼 아름다운 수림은 청정도량으로서 적조암의 분위기를 대변해준다. 적조암의 창건은 1849년(헌종 15)에 혜암성혜(慧庵性慧)스님에 의해 이루어졌는데, 그는 이절을 염불관선(念佛觀禪)의 도량으로 삼았다. 창건주인 성혜스님에 대한 자료가 전혀 남아 있지 않아 창건배경 등을 알기 어려우나,『동사열전(東師列傳)에는 백파(白坡)스님의 제자로 혜암이라는 스님이 등장하고 있어 생존연대를 추정할 때 그를 동일인으로 추정할 수도 있다. 하지만 단정할 근거는 없는 상태이다.  그 뒤 가람이 소실되어 폐허로 있던 것을 1958년 경산스님이 주지로 부임하여, 1960년대 가람을 정비하였으며, 1977년에는 경산희진(京山喜璡)스님에 의해 건물과 가람이 복원되어, 당시 관자재보살의 강림도량으로 알려졌다. 아울러 이곳은 대한불교조계종 총무원장을 네 번이나 역임한 경산스님이 입적하기 전까지 전법교화(傳法敎化)하셨던 장소로, 경산스님의 수행과 업적은 현대불교사의 전개 과정에서 반드시 주목되어야할 부분이다. 1970년대 이후 총무원장과 동화사 주지 등 불철주야로 교단정화와 화합에 앞장선 경산스님은 1974년에 자공(慈空)스님에게 주지직을 물려주었다. 이후 자공스님은 대웅전 내부의 불상과 탱화불사를 시작하여 1974년에 석가삼존상 조성과 1975년에 칠성탱, 독성탱, 산신탱 조성, 1976년에 신중탱을 조성하여 전각 내 모든 성보를 이 당시 조성하게 되었다.  또 1979년에 경산스님이 입적한 후에는 스님의 사리를 수습하여 1982년 사리탑과 비석을 조성하였으며, 2002년에는 상좌인 자성(慈成)스님이 주지직을 이어 받아 현재 가람의 기틀을 이루었다. 스님은 오랜 세월 꿋꿋이 부처님을 모신 빛바랜 대웅전 복원 불사에 원을 세워 기도에 전념하신 바 주지로 부임하신지 3년 후인 2005년에 현재 대웅전의 전면 보수공사를 성취하게 되었다. 자성스님은 경산스님의 시봉하기 위해 강원에서의 공부를 중단하고 어린 시절 서울 적조암에 올라와 20여 년을 경산스님을 모신 상좌로서 누구보다 더 적조암을 아끼고 사랑하는 진심 어린 마음을 가지신 분이다. 그러기에 경산스님에 대한 자료가 전무한 가운데 경산대종사의 자료를 수집발췌하여 스님의 업적과 종단화합에 힘쓴 다양한 생애를 근래 책으로 엮어 놓게 되었다."
서울특별시 성북구 정릉로 202,(정릉동),1,0,A02,A0201,A02010800,316295,12,20071204011216,http://tong.visitkorea.or.kr/cms/resource/22/2034222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2034222_image3_1.jpg,127.0062951545,37.6057001931,6.0,20220518161621,23419,17,,봉국사(서울),2813,"봉국사(奉國寺)는 서울특별시 성북구 정릉 2동 637번지 정릉(貞陵)의 북동쪽 산등너머에 자리한다. 봉국사(奉國寺)는 신덕 왕후 강씨 정릉(貞陵)의 원찰(願刹)로 서울 성북구 정릉 북동쪽 산등너머에 자리한 조계종 소속 사찰이다. 봉국사가 1354년(고려 공민왕 3)에 나옹(懶翁) 대사에 의해 창건되었다는 설이 있으나, 1395년(태조 4)에 나라의 무궁한 발전을 위하여 당시 왕사(王師)였던 무학대사가 전각을 지어 약사여래를 봉안하고 약사사(藥師寺)라고 한 것이 창건의 시작이다.  1669년(현종 10)에 태조 이성계의 계비 신덕왕후의 정릉을 수봉(修封)하고 태묘에 제사를 드리게 되면서 정릉의 사초(沙草)를 새로 하는 동시에 정자각(丁字閣), 안향청(安香廳), 전례청(典禮聽) 등을 새로 세우면서 이 절을 원찰(願刹)로 하였다. 이 때 나라를 받든다는 뜻에서 절 이름을 봉국사로 고쳤다. 봉국사는 인근에 주택가가 밀집되어 있어 누구라도 쉽게 부처님의 지혜를 듣고 배울 수 있는 터전이 되고 있으며 천연의 청정수가 샘솟아 봉국약수를 찾는 발길이 이른 새벽부터 성시를 이루고 있다."
서울특별시 성북구 보문사길 20,,1,0,A02,A0201,A02010800,316104,12,20071203234013,http://tong.visitkorea.or.kr/cms/resource/87/1985187_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1985187_image3_1.jpg,127.0155032589,37.5842111903,6.0,20220801095833,30827,17,,보문사(서울),2874,"보문사(普門寺)는 서울시 성북구 보문동 3가 168번지에 자리한 대한불교보문종 총본산이다. 동대문 밖 비구니 수행도량 보문사(普門寺)에는 조선후기부터 불리워온 별칭이 있다. 그 별칭은 '탑골승방'으로 서울의 낙산 아래 동망봉을 경계로 청룡사, 미타사 등 비구니 도량이 군집해 있어 생긴 이름이다. 특히 보문사는 조선시대에 탑골 승방이라 불리는 옥수동의 두뭇개 승방, 석관동의 돌곶이 승방, 숭인동의 새절 승방(청룡사)과 함께 여승들이 거처하는 성 밖의 네 니사(尼寺) 중 하나로, 단종의 왕비 송씨와 연관된 동망봉과 청룡사미타사가 이웃해 있어 이 곳이 왕비와 후궁들의 기도처였음을 짐작할 수 있다.  또 동문 밖, 비구니 도량으로 왕을 여의거나, 나이가 찬 후궁들이 갈 곳 없이 방황할 때 이곳 탑골승방의 문은 활짝 열려 그녀들의 지친 마음을 감싸 주었다. 지금은 그 옛날 불심으로 수행한 비구니들의 흔적은 찾아 볼 수 없지만, 대웅전과 삼성각묘승전관음전 등에 남아 있는 불심어린 비구니스님들의 독경과 염불소리는 내세의 기복과 왕에 대한 사모의 마음으로 조성된 불화에서 그 마음을 엿볼 수 있다. 현재는 그런 역사적인 배경을 담은 듯 비구니 스님들이 상주하며, 정갈하고 단아한 가람, 그리고 정적인 분위기가 느껴지는 수행도량으로 널리 알려져 있으며, 세계유일의 비구니 종단인 보문종의 총본산으로서 한국불교 발전을 위해 포교사회복지교육활동에 전념하고 있다.  보문사는 도심사찰로서 넓은 대지위에 대가람이 여법하게 자리잡고, 낙산의 수림과 조화를 이루며 수행도량으로서의 정적인 분위기가 느껴지는 곳이다. 또 각각의 전각을 담당하는 별원이 자칫 복잡한 가람구성을 보이지만 정갈한 가람과 정진하는 비구니스님들의 가르침을 통해 번뇌에 흔들리는 속세인이 마음자세를 다잡을 수 있는 수행도량으로서 불자들의 귀의처가 되고 있다."
