addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 송파구 올림픽로 300,(신천동),1,0,A02,A0202,A02020300,2794934,12,20211214053726,http://tong.visitkorea.or.kr/cms/resource/26/2796126_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2796126_image2_1.jpg,127.1025779177,37.512623851,6,20220701144805,3,18,,시그니엘서울 에비앙 스파,5551.0,"압도적인 높이와 웅장한 위용을 뽐내는 롯데월드타워. 한국 대표 상징물인 이 빌딩 76101층에는 시그니엘서울이 자리했다. 시그니엘서울 에비앙 스파의 대표 프로그램은 에비앙스파 서울 리추얼 트리트먼트다. 전신과 얼굴 관리를 동시에 받을 수 있다. 바디 트리트먼트는 심신 안정과 피로 해소에 효과적인 아흐모니 수브리머, 피부 탄력 및 안티에이징을 고려한 소인 셰크허 프헤슈, 부종을 완화하고 셀룰라이트를 개선하는 콤플리스 듀 커흐, 타이와 시아추 테크닉을 조합한 스트레칭으로 몸의 균형을 회복해주는 아시안 터치가 있다."
서울특별시 송파구 탄천동로 211,(잠실동),1,0,A02,A0202,A02020700,2774464,12,20211115235540,,,127.0789108951,37.503152302,6,20211116002830,0,18,,잠실유수지공원,5573.0,"서울 송파구 잠실 유수지의 생태복원 공사를 통해 조성된 도심 속 생태공원이다. 유수지 내 습지 6,700㎡에는 갈대와 물억새 등 17종의 우리나라 자생 화초류를 식재되어 있고 주민들의 휴식을 위한 산책로와 벤치, 운동기구 등이 있어 송파구 서부권 지역인 잠실본동과 가락동 일대 주민들을 위한 친근한 생활공간으로 이용되고 있다. 공원 바로 옆에는 주민들을 위한 체육시설로 유소년야구장, 인조잔디축구장, 소프트테니스장, 족구장, 농구장, 다목적구장(풋살 등), 파크골프연습장 등이 조성되어 있다."
서울특별시 송파구 가락로7길 21,(석촌동),1,0,A02,A0201,A02010700,2762877,12,20211027001651,,,127.1028309684,37.502194511,6,20211109003954,0,18,,백제초기적석총,5682.0,"서울시 송파구 석촌동에 위치한 백제 초기 만들어진 돌무지무덤(적석총)으로, 적석총(돌무지무덤)과 토광묘(널무덤) 등 백제 초기 유적 5기가 보존되어 있다. 백제 한성시대에 살던 왕과 왕족, 귀족들의 무덤으로 안내되고 있다. 이 중 제3호, 제4호 돌무지무덤이 사적 제243호로 지정되어 있으며, 주변 5,000m²이 사적공원으로 꾸며져 있다. 지하철 8호선 석촌역과 9호선 석촌고분역을 이용할 수 있다."
서울특별시 송파구 올림픽로 424,(방이동),1,0,A02,A0202,A02020700,2761797,12,20211025235105,,,127.1229758237,37.5209871362,6,20221101131715,0,18,,올림픽공원피크닉장,5540.0,"서울 송파구 올림픽공원 몽촌 토성을 올라가는 길에 조성된 넓은 잔디광장이다. 올림픽공원은 어디든 산책하고 쉴 수 있는 곳이지만 이곳은 돗자리를 깔고 아이들과 마음껏 뛰어놀 수 있는 공간이다. 가족 단위 나들이객과 야외에서 데이트하고 싶어 하는 젊은 남녀들이 많이 찾는다. 멋진 자연의 풍광을 담고 싶어 하는 웨딩 포토 예비 신혼부부와 다양한 목적의 사진 촬영 인기 지역이기도 하다.
공원이 넓어 거리 두기가 잘 지켜지고 배달 음식을 주문해서 먹을 수도 있다
단, 10시 이후는 음주 불가이다
서울 도심에서 누워 하늘을 볼 수 있는 깨끗하고 정비가 잘 된 공원이다
피크닉장에서 가장 가까운 주차장은 올림픽공원 서 2문 주차장이다."
서울특별시 송파구 올림픽로 99,"(잠실동,잠실엘스)",1,0,A01,A0101,A01011400,2761777,12,20211025234352,,,127.0744219645,37.5190337103,6,20221201150802,0,18,,이랜드크루즈잠실선착장,5501.0,"서울 송파구 잠실동 한강 변에 있는 크루즈 선착장으로 1986년 서울 중심부를 동서로 가로지르는 한강 유람선 운항이 개시되었다. (주)이크루즈에서 여의도, 잠실, 뚝섬, 양화, 잠두봉, 선유도, 서울숲, 김포, 인천 지역에 7개의 선착장과 2개의 터미널을 운영하고 있는데 그중 한 곳이다. 2호선 신천역 7번 출구에서 700m 지점 석촌나들목에서  이용할 수 있다."
서울특별시 송파구 헌릉로 793,(장지동),1,0,A02,A0202,A02020700,2761745,12,20211025233137,,,127.1243465658,37.4709151949,6,20221129101046,0,18,,송파구자원순환공원,5842.0,"서울 송파구 장지동에 있는 5개 동 40,024.87㎡ 규모의 자원순환공원은 종합폐기물 처리시설을 갖춘 현대식 건물과 공원으로 조성해 놓은 테마공원이다, 장지동 일대 재활용 쓰레기, 음식물 처리시설과 대형 폐기물 및 생활 폐기물 처리시설을 갖춘 곳으로, 첨단 시설 처리 시스템을 도입하고 친환경 테마공원으로 조성하여 각종 체험 프로그램도 운영해 주민 친화적인 공간으로 이용되고 있다. 자원순환 홍보관에서는 자원순환과 환경보전의 중요성을 일깨워 주는 상시 체험과 전시공간이 있다."
서울특별시 송파구 송파동 152,,1,0,A02,A0202,A02020700,2758809,12,20211019184700,,,127.1155492027,37.504063967,6,20221130142049,0,18,,한양공원,,"송파동 한양2차 아파트 옆으로 길게 조성된 공원으로 30년 넘게 한 자리를 지키고 있다. 산책길과 벤치, 분수대, 운동시설 등이 설치되어 있으며 울창한 나무들이 있어 편안한 휴식처를 제공하고 있다, 주변으로 가락고등학교와 잠실여자고등학교가 있고 인근에 아파트 단지들이 많아 주민 쉼터 역할을 하고 있다. 송파역 1번 출구 송파2동 주민센터 지나면 도착할 수 있다."
서울특별시 송파구 올림픽로 424,(방이동),1,0,A01,A0101,A01010500,2758192,12,20211018231607,,,127.1229758237,37.5209871362,6,20211109002116,0,18,,올림픽공원들꽃마루,5540.0,"올림픽공원 사거리 인근 장미공원에서부터 한성백제박물관 사이 자그마한 언덕 경사로에 마련된 대규모 야생화 단지이다. 2,800㎡에 이르는 면적에 경사로 맨 꼭대기에는 원두막이 놓여 있고 자그마한 오솔길을 마련해 양 옆으로 광대한 꽃밭을 만들어 놓았다. 계절마다 각기 다른 야생화를 심어 놓아 들꽃의 향연을 즐길 수 있는 올림픽공원의 대표적인 포토존 중의 한 곳이다."
서울특별시 송파구 백제고분로39길 35,(석촌동),1,0,A02,A0201,A02010800,2758170,12,20211018225726,,,127.1028863751,37.5072494804,6,20211109004137,2,18,,불광사,5610.0,"1974년 고 광덕스님이 불광회(佛光會)를 창립하고, 같은 해 월간불광이 창간된 이래 많은 사람들이 불광 법문을 직접 듣고자 모여든 것이 1982년 불광사 건립의 계기가 되었다. 2013년 30년 된 초기의 불광사 건물이 낙후되자 현재의 불광사 중창불사가 준공되었다. 불광교육원, 불광도서관 시설을 비롯해 불광불교대학, 선재대학, 불광아카데미, 불광연구원 등 불자들을 위한 여러 활동을 전개하고 있다. 5호선 방이역 방이초등학교 인근에 있다."
서울특별시 송파구 오금로 219,(방이동),1,0,A02,A0202,A02020100,2758054,12,20211018201500,,,127.1178822057,37.5082190824,6,20221206132755,0,18,,방이동 고분공원,5644.0,"사적 제270호로 지정된 서울 송파구 방이동 일대에 있는 백제 초기(4C 초∼475)의 무덤군(31,154㎡)이다. 방이동 유적은 백제의 수도가 한성에 있을 때 만들어진 전기무덤으로 가락동·석촌동 무덤과 함께 한성백제의 문화를 알 수 있는 유적이다. 1971년 조사에 의해 고분 8기가 발견되었고, 1975년 잠실 일대를 개발하는 과정에서도 발굴되었다. 서울시는 1983년 복원 공사를 하여 오늘날의 고분 공원으로 조성하였다. 방이동 백제고분군 인접한 곳에 올림픽공원이 있다. 방이동 백제고분군에서 역사도 되짚어보고 올림픽공원에 있는 미술관이나 기타 시설들을 연계해서 즐기는 것도 좋다. 3개 지하철이 인접해 있어 대중교통을 이용하는 것도 편리하다."
서울특별시 송파구 성내천로23길 12,(마천동),1,0,A02,A0202,A02020700,2757653,12,20211015195145,,,127.1454548806,37.501795325,6,20221129161758,0,18,,마천공원,5732.0,"서울 송파구 마천동에 있는 근린공원으로 주택가에 자리 잡고 있다. 송파구가 테마를 도입하여 조성한 '철쭉 테마공원'으로 매년 4월에는 철쭉제가 열리고 있어 봄에 더욱 이용객이 많은 공원이다. 어린이 놀이시설과 족구, 배드민턴 운동장이 있어 지역 어린이와 어른 모두에게 휴식과 건강 증진에 도움을 주고 있다."
서울특별시 송파구 송파대로 111,,1,0,A02,A0202,A02020600,2606150,12,20190613000847,http://tong.visitkorea.or.kr/cms/resource/65/2609065_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/65/2609065_image2_1.bmp,127.1232769444,37.4805612782,6,20220414105320,0,18,,파크하비오 워터킹덤&스파,5837.0,"워터킹덤은 사계절 편안한 휴식도 즐기고 짜릿한 즐거움도 느낄 수 있는 실내형 워터파크이다. 서울 도심에서 멀리 나갈 필요 없이, 궂은 날씨에도 상관없이 가족,친구,연인과 함께 365일 워터파크를 즐길 수 있다."
