addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 양천구 중앙로14나길 39,(신정동),1,0,A02,A0201,A02010800,2758132,12,20211018223734,,,126.8665940483,37.5056370991,6.0,20221130092012,0,19,,향림사,8104.0,"서울 양천구 신정동 갈산공원과 목동 2차 우성아파트 사이에 위치한 3층 규모의 조계종 소속 불교 사찰로 종무소와 대웅전이 한 건물에 있다. 3층 대웅전을 향해 원형 계단을 오르다 보면 계단 천정의 불화가 유리 밖 건물들과 함께 어우러져 조화를 이룬다. 사찰 우측 계단을 통해 올라가면 체육시설이 있어 운동과 등산을 할 수 있고, 인근 갈산공원을 이용할 수도 있다."
서울특별시 양천구 목동동로 353,(목동),1,0,A02,A0201,A02010900,2753094,12,20211006001952,http://tong.visitkorea.or.kr/cms/resource/97/2779797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2779797_image2_1.jpg,126.8770200955,37.5333896158,6.0,20221025092318,0,19,,목5동성당,7988.0,"서울 양천구 목동, 파리공원 인근에 있는 성당으로 건축미가 아름답기로 유명하다. 1987년 설립된 성당은 높은 천장과 국내에 몇 안 되는 파이프 오르간 등을 갖추고 있어 고풍스러운 분위기를 느끼게 한다. 영화 속에서 결혼식이 열리는 장소로도 등장했으며,  지하 1층에 폐백실이 따로 마련돼 있을 만큼 가톨릭 신자들에게는 예식을 올리기 좋은 성당으로 인기 있는 곳이다."
서울특별시 양천구 안양천로 711,(신정동),1,0,A02,A0202,A02020100,2751345,12,20210929233709,http://tong.visitkorea.or.kr/cms/resource/17/2779817_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2779817_image2_1.jpg,126.8724127952,37.5115920667,6.0,20221024172325,0,19,,양천해누리체육공원,8018.0,"해누리체육공원은 전국 최초로 유수지 내 유휴 공간을 활용해 만든 야외 체육시설로써, 인조잔디축구장을 비롯하여 풋살장, 족구장, 야외농구장 등 다양한 체육시설을 갖추고 있어 동호회 경기 및 행사 장소로 많이 이용되고 있다. 축구장, 풋살장 이용은 팀 등록(공단 홈페이지 회원가입) 후 인터넷 신청 가능하며, 축구는 분기별, 풋살장은 매달 신청, 족구장 이용은 매주 월요일 09:00 유선 선착순 신청이다. 야외 시설 특성상 양천구 미세먼지 경보제 및 오존 예·경보제 운영계획에 따라 이용제한이 있음으로 확인 후 이용해야 한다."
서울특별시 양천구 목동동로 371,(목동),1,0,A02,A0201,A02010800,2751294,12,20210929225504,http://tong.visitkorea.or.kr/cms/resource/08/2779808_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2779808_image2_1.jpg,126.8785115657,37.535528283,6.0,20211202012228,0,19,,법안정사,7983.0,"목동에 있는 큰절 법안정사는 한불 수교 백 주년을 기념하여 1989년 서울 목동지구 아파트 단지 내 종교 부지에 건축된 현대식 도심 사찰이다. 1층 불교용품점, 2층 종무소관음전, 3층 요사채, 4층 법당으로 경내에는 범종각과 사적비가 있다. 예불 시간은 매일 오전 4시 30분, 오전 10시, 오후 6시이고, 매주 일요일 오전 10시에 정기일요법회가 있다."
서울특별시 양천구 목동동로 111,(신정동),1,0,A02,A0202,A02020700,2612214,12,20190720012452,http://tong.visitkorea.or.kr/cms/resource/03/2612203_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/03/2612203_image2_1.bmp,126.8681935535,37.5180551295,6.0,20220329102753,1,19,,"양천공원(통합놀이터,키지트,베이비존)",8013.0,"양천공원은 약 33,000㎡  넓이의 공원으로 양천구 공공시설이 모여있는 양천구의 중심에 위치하고 있다. 배드민턴장, 조깅트랙, 산책로 등이 잘 조성되어 있으며, 특히 공원 외곽에 설치된 우레탄 조깅코스는 친환경적이며 탄력성이 높은 재질로 조성돼 큰 호응을 얻고 있다. 1966년 10월 양천구민 헌장비를 설치하였고 2008년 대한민국 건국 60년과 구청 개청 20주년을 기념하여 양천의 어제와 오늘의 역사를 담은 원통모양의 높이 1m,지름 0.31m 크기의 타임캡슐을 설치하였다.  
쿵쾅쿵쾅 꿈마루 놀이터 : 전국 최초 실내외 통합놀이터로 야외 뿐만 아니라 실내에도 놀이공간(키지트)을 갖추고 있어 날씨와 상관없이 이용할수 있으며, 유니버셜디자인을 적용하여 물, 흙, 모래, 목재 등 정서 발달에 좋은 친환경 자연소재를 활용한 놀이공간이 마련되어있다.  
베이비존 : 약200㎡ 에 해당하는 영유아 전용공간으로 잔디광장에 유아그네, 흔들의자 등이 설치되어 있어 안전하게 뛰어놀수 있는 숲속 공간이다."
서울특별시 양천구 신월동,,1,0,A01,A0101,A01010500,2612198,12,20190720011457,http://tong.visitkorea.or.kr/cms/resource/92/2612192_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/92/2612192_image2_1.bmp,126.8293886741,37.5210179822,6.0,20220630105700,6,19,,"지양산(무장애숲길,유아숲체험원)",8037.0,"지양산에 장애인, 유아 등 모든 주민이 편리하게 산을 산책하며 숲을 이용할수 있는 무장애숲길을 조성하고, 등산로를 자연 친화적으로 조성하였다.(휠체어순환구간 570m, 휠체어 회차구간 210m) 또한 신정산,용왕산과 같이 도심 속 아이들이 숲속에서 마음껏 뛰어놀며 몸과 마음이 건강하게 성장할 수 있는 유아숲체험원이 있다. 인디언 집, 낙엽풀장, 하늘보기 해먹 등 유아숲체험원에서 감수성, 상상력을 키울수 있다."
서울특별시 양천구 목동로25길 23,(신정동),1,0,A02,A0203,A02030600,2612107,12,20190719234921,http://tong.visitkorea.or.kr/cms/resource/96/2612096_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/96/2612096_image2_1.bmp,126.8614911074,37.5279955212,6.0,20221025170947,1,19,,양천구 로데오거리,7938.0,"맛집과 패션의 거리인 목동로데오거리는 봄이 되면 거리에 만개한 벚꽃풍경도 유명하다. 뉴욕의 'soho 거리', 밀라노의 '몬떼 나뽈레오네 거리', 파리의 '샹제리제 거리' 등 각 도시마다 패션을 주도하는 거리가 있다. 대한민국 서울에는 패션을 주도하는 양천구의 '목동 로데오거리'가 있다. 매년 10월 개최되는 '목동로데오 패션거리 문화축제'에서는 축제 예술단의 길놀이 공연을 시작으로 패션노래자랑, 연예인 초청공연 등 다양한 볼거리를 제공하며 풍성한 먹거리장터도 운영한다. 목동로데오거리는 지하철5호선 목동역2번 출구로 나와 50m 거리에 있고, 다양한 의류 상설할인 매장들이 집중되어 잇어 알뜰 소비자들의 쇼핑명소로 유명하다. 특히, 이곳에는 양천구 맛집이라고 소문난 음식점들이 한데 모여 있다. 이 곳을 흔히 목동 음식문화의 거리라 부르는데 매년 봄 벚꽃이 만개할 무렵 목동역 부근 음식문화의 거리(신정중앙로)에서 벚꽃문화축제가 열린다."
서울특별시 양천구 신정동,,1,0,A02,A0202,A02020700,2612095,12,20190719232331,http://tong.visitkorea.or.kr/cms/resource/94/2612094_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2612094_image2_1.bmp,126.8787480766,37.5205772468,6.0,20220908173547,0,19,,안양천 사계절 테마원,8008.0,"양천구 안양천 좌안 제방 및 하천주변 나지에 생태보존과 이용이 조화를 이루는 생태하천의 사계절 테마원(장미원, 그라스원 등)과 포토존을 조성하여 이용 시민들에게 볼거리와 즐길거리를 제공하고 사람과 자연이 어우러지는 도심속 명소 조성 예정이다."
서울특별시 양천구 곰달래로13길 73,(신월동),1,0,A02,A0203,A02030600,2612074,12,20190719223851,http://tong.visitkorea.or.kr/cms/resource/69/2612069_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/69/2612069_image2_1.bmp,126.8337684087,37.5360468689,6.0,20220908153622,0,19,,푸드뱅크마켓 신월점&50스타트센터,7917.0,"2017년4월 이웃과 함께 나눔의 즐거움을 느끼게 해주는 푸드뱅크마켓과 50대 중년 독거남을 위한 공간인 50스타트센터가 문을 열었다. 50스타트센터는 50대이상 1인가구에 대한 맞춤형 상담과 금융, 복지, 건강 등 각종 정보 제공 및 자조모임 지원 등 다양한 복지서비스를 제공한다. 전국 지역자치단체 최초로 50대 독거남 고독사를 예방하고 지원하는 일명 '나비남'프로젝트를 시행하고 있다. 나비남은 '아닐 비'자와 '사내 남'자를 담아 '나는 혼자가 아니다'라는 의미로 50대 독거남의 사회적 고립과 개인의 복합적인 문제를 함께 해결하기 위한 종합적인 지원 프로젝트이다."
서울특별시 양천구 오목로 359,(목동),1,0,B01,B0101,B01010700,2611895,12,20190719020232,http://tong.visitkorea.or.kr/cms/resource/91/2611891_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/91/2611891_image2_1.bmp,126.8773230917,37.5246489705,6.0,20220613165326,1,19,,무중력지대 양천,7999.0,"청년공간 '무중력지대 양천'은 학교공부, 스펙쌓기, 혹은 직장생활에 치여 고달픈 삶 속에 사는 청년들의 아지트이다. 사회적 압박에서 벗어나 커뮤니티 활동을 할 수 있는 '비무장지대'(코워킹 스페이스), 간단한 요리를 하고, 배달음식을 먹을 수 있는 '먹어야지대'(공유부엌), 소규모 모임장소로 적합한 '만나야지대'(미팅룸), 20명까지 강연, 간담회 장소로 이용할 수 있는 '배워야지대'(세미나실), 팟캐스트 제작 등 녹음시설을 갖춘 '방송중지대'(녹음실)로 구성되어 있다. 무중력지대는 청년들을 위한 공간으로 스페이스클라우드 또는 전화를 통해 예약 후 이용할 수 있다. 비무장지대와 먹어야지대는 누구나 무료로 이용할 수 있도록 개방된 공간이다. 청년들을 위한 다양한 강연, 프리마켓, 영화제를 개최하며, 청년들의 활발한 활동을 지원하기 위해 청년들의 공방 여가활동 및 커뮤니티 활동 지원 프로그램도 진행하고 있다."
