addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 영등포구 128가길 13-8,,1,0,A02,A0203,A02030100,2781318,12,20211126033532,http://tong.visitkorea.or.kr/cms/resource/21/2781321_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/21/2781321_image2_1.png,126.8976520848,37.5143199779,6,20221209135114,0,20,,문래창작촌,,"서울 영등포구 문래동 예술촌은 한때 서울에서 가장 큰 철강공단지대로 불리기도 했던 철강소 골목이 현재는 예술가들이 이곳에 몰리면서 예술과 철공소가 공존하는 공간으로 거듭나고 있는 곳이다. 2010년 서울문화재단이 예술가들을 위해 지은 창작공간 문래 예술공장을 세우면서 저렴한 임대료와 독특한 분위기에 이끌린 예술가들이 하나둘씩 모여 둥지를 틀었다. 문래 창작촌으로 불리는 이곳은 버려진 철과 낡은 연장들을 활용해 재탄생한 작품들이 거리 곳곳에 배치돼있다. 철공소와 예술인 공방 사이사이로 벽화, 조형물이 있어 구경할 것도 많고 빈티지한 감성 사진을 찍기에 좋은 장소로 급부상했다. 당산로와 도림로 128길이 만나는 지점의 문래창작촌 부스는 이곳의 랜드마크로 활용된다. 평일보다는 주말에 내려진 셔터에 그려진 다양한 그림 작품들을 볼 수 있다. 
어벤저스 2 : 에이지 오브 울트론, 영화 아저씨, 영화 특별시민과KBS2 드라마 추리의 여왕 시즌2, MBC 예능프로그램놀면 뭐하니의 촬영지로 더욱 알려졌다. 현재 문래동에는 100여 개의 작업실이 있으며 약 200명의 예술가가 활동하고 있지만 재개발이라는 이슈가 문래동을 달구면서 예술가의 활동영역이 줄어들고 있다. 지하철 2호선 문래역 1번, 7번 출구에서 문래공원쪽으로 5분 거리에 있다."
서울특별시 영등포구 노들로 11,(양화동),1,0,A01,A0101,A01010800,2775504,12,20211118000712,http://tong.visitkorea.or.kr/cms/resource/87/2779987_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2779987_image2_1.jpg,126.8817497342,37.5506321412,6,20221024100410,0,20,,양화인공폭포,7200.0,"서울 영등포구 양화동 노들로 끝자락에 위치한 양화인공폭포는 19801990년대 신혼부부들이 제주도로 신혼여행을 가기 위해 김포공항으로 향하다 잠시 들러 기념 사진을 찍던 명소이다. 높이 15m, 길이 98m의 규모의 인공폭포로 주 폭포를 포함하여 모두 6줄기의 폭포수가 시원하게 쏟아져 내려오고 주변에 180개의 수중등을 설치해 야간에도 경관이 좋은 곳으로, 준공 후 30년 정도 운영되다가 시설의 노후화로 인한 누수 및 안전 문제가 제기되면서 2010년 가동을 멈췄다. 이후 월드컵대교 건설구간 남단 접속도로(IC) 부분에 저촉돼 철거 위기에 놓였으나, 영등포구와 서울시의 협상 끝에 2019년 2월 양화인공폭포를 새롭게 복원하기로 하여 현재 2022년 준공 목표로 공사가 진행 중에 있다. 새롭게 복원되는 양화인공폭포는 기존 폭포 이상의 규모로 폭포 상단부에 다양한 나무와 꽃들을 심어 녹색 환경의 전망대와 산책로를 조성하여 휴식공간으로 조성되며 야간 경관조명시설도 설치될 예정이다."
서울특별시 영등포구 여의공원로 68,(여의도동),1,0,A02,A0202,A02020700,2774305,12,20211115190049,http://tong.visitkorea.or.kr/cms/resource/67/2779867_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2779867_image2_1.jpg,126.9222994855,37.5268606279,6,20221025093318,0,20,,여의도공원 문화의마당,7243.0,"여가와 휴식을 즐길 수 있는 문화공간인 여의도공원은 한국 전통의 숲, 잔디마당, 문화의 마당, 자연생태의 숲 등 4개의 공간으로 이루어졌다. 이 중 문화의 마당은 24,730㎡ 규모의 광장으로 각종 행사와 공연 등 시민들이 함께 참여할 수 있는 문화 행사가 이루어지는 곳으로 여의도광장으로도 불린다. 농구, 배드민턴, 자전거, 인라인스케이트 등 가벼운 운동을 즐길 수 있으며 휴식을 하기에도 좋은 장소다. 광장 안에는 태극기 게양대와 공군창군 60주년 기념탑, 1945년 8월 여의도 공항에 착륙했던 실제 비행기 C47 전시관이 설치되어 있어 의미 있는 장소이기도 하다."
서울특별시 영등포구 양평동 488,,1,0,A01,A0101,A01010500,2774291,12,20211115185110,http://tong.visitkorea.or.kr/cms/resource/64/2779864_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/64/2779864_image2_1.png,126.8805116778,37.5250767552,6,20221025132714,0,20,,안양천 (제방)벚꽃길,7276.0,"안양천은 한강의 지류로 안양시, 광명시와 서울 금천구, 구로구, 양천구, 영등포구를 지나 성산대교 서쪽에서 한강에 합류하는 하천이다. 안양천 제방을 따라 영등포구부터 광명시로 길게 이어지는 안양천 벚꽃길은 서울에서 가장 긴 벚꽃길로, 봄철이면 길게 조성된 제방로를 따라 심어진 아름드리 벚나무들 사이를 여유롭게 산책하면서 벚꽃을 감상할 수 있는 곳으로 손꼽히는 서울 벚꽃 명소이다. 안양천은 제방을 따라 아파트들이 많이 들어서 있어 주변 주민들이 운동과 산책을 위해 늘 애용하는 장소로, 봄철이면 벚꽃 구경과 더불어 하천 주변에 조성된 꽃밭과 생태공원, 체육시설, 휴식 공간 등을 이용하는 사람들과 자전거 라이딩을 하는 사람들로 붐빈다. 안양천 제방과 하천 주변에는 생태 보존과 함께 생태하천을 이용한 사계절 테마원(장미원, 그라스원 등)과 포토존을 조성하여 이용 시민들에게 볼거리와 즐길 거리를 제공하고 있다."
서울 영등포구 여의도동 84-4,,1,0,A02,A0202,A02020700,2760268,12,20211021013451,,,126.932520738,37.5282273186,6,20221209160709,0,20,,여의도한강공원 멀티프라자,,"서울 마포대교 남단 여의도 한강공원에 있는 잔디 광장이다. 서울 불꽃축제가 열리는 곳이며 2019년서울시립교향악단의 강변연주회가 열린 바 있다. 2021년 공공디자인 프로젝트로 설치된 이색 그늘막인 '구름막'은 초록 잔디광장에 동그란 구름이 떠있는 것처럼 보이는데, 햇볕을 가려주는 역할을 해 나들이 나온 사람들에게 인기다. 근처 여의나루역에는 수상택시 정류장이 있다. 5호선 여의나루역 2번 출구를 이용하면 된다."
서울특별시 영등포구 대림로 106,(대림동),1,0,A02,A0202,A02020700,2753103,12,20211006002924,http://tong.visitkorea.or.kr/cms/resource/30/2784530_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2784530_image2_1.jpg,126.9030355727,37.4914005142,6,20221214130433,0,20,,대림어린이공원,7438.0,"서울 영등포구 대림동에 위치한 공원으로 어린이 놀이시설과 다양한 운동시설, 휴식공간이 갖춰져 있다. 산책로도 잘 조성되어 있어 가족 나들이로 좋고 인조잔디가 조성된 곳도 있어 안전하게 운동하기에도 좋다. 공원 지하에 공영주차장이 있어 이용하기 편리하다."
서울특별시 영등포구 문래동3가 61,,1,0,A02,A0202,A02020700,2751348,12,20210929233922,http://tong.visitkorea.or.kr/cms/resource/35/2779835_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/35/2779835_image2_1.png,126.8940523512,37.5165168806,6,20221024143419,0,20,,문래근린공원,7295.0,"서울시 영등포구 문래동에 있는 근린공원으로 주변에 문래역 1번 출구와 아파트 단지들이 있다. 공원 내에는 문래동의 유래가 되었던 물레의 조형물이 있으며, 건너편에는 있는 문래예술창작촌이 있다. 1961년 5.16 군사 정변의 발상지인 육군 제6관구 사령부가 주둔했었던 역사가 남아있는 장소로, 공원 동편에는 당시 육군 소장이었던 박정희 前 대통령의 흉상이 있다."
서울특별시 영등포구 여의도동 84-9,,1,0,A02,A0205,A02050300,2733852,12,20210813193630,http://tong.visitkorea.or.kr/cms/resource/42/2779842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2779842_image2_1.jpg,126.9286987769,37.5313018929,6,20221024143140,0,20,,물빛광장,7241.0,물빛광장 분수는 여의도 공원에서 한강으로 통하는 길목에 위치한 수경 공간이다. 지형을 이용하여 물의 흐름을 시각 · 청각화하여 볼거리를 제공하고 있다. 지하철 5호선 여의나루역과 연계되어 각종 공연과 한강 조망이 가능한 가족 나들이 장소이다.
서울특별시 영등포구 선유로 343,(당산동),1,0,A02,A0202,A02020700,2661405,12,20200629200717,http://tong.visitkorea.or.kr/cms/resource/01/2678801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2678801_image3_1.jpg,126.9018342452,37.5424362298,6,20220519173148,0,20,,선유도공원,7200.0,"과거 정수장 건축구조물을 재활용하여 조성한 국내 최초의 물공원이다. 수질정화원, 수생식물원, 생태숲 등 자연을 즐기기 좋고 한강전시관과 시간의 정원 등 볼거리와 휴식공간도 잘 가꾸어져 있다. 볏짚 공예품 만들기, 꽃과 나무를 주제로 한 영어와 한자 배우기, 나뭇잎과 꽃잎을 이용한 장식품 만들기 등 체험 프로그램도 흥미롭다."
서울특별시 영등포구 경인로88길 5-4,(문래동1가),1,0,B01,B0101,B01010700,2650230,12,20200324021935,,,126.900160219,37.5132812541,6,20220818152257,0,20,,문래예술공장,7363.0,"서울특별시 창작공간 문래예술공장은 자생적 예술 마을인 문래창작촌을 포함하여 국내외 다양한 예술가들을 위한 창작지원센터로 2010년1월28일에 개관했다. 문래동 철공소 거리의 옛 철재 상가 자리에 전문창작공간으로 새롭게 건립되었으며, 공동작업실, 다목적발표장을 비롯해 녹음실, 세미나실 등 창작 및 발표 활동을 위한 다양한 지원시설을 갖추고 있다."
