addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 용산구 후암로35길 39,,1,,A02,A0202,A02020500,2932122,12,20221209150819,,,126.9761522655,37.5497617088,6,20221209150900,0,21,,후암별채,4332.0,"오롯이 한 사람만을 위해 준비된 프라이빗한 공간으로 혼자만의 물놀이와 휴식이 가능한 공간이다.
지친 일상 속 피로를 풀어줄 반신욕과 따뜻한 차 한잔의 여유를 즐길 수 있다.
예약제로 운영되는 공간이며 1인 전용 공간이다."
서울특별시 용산구 이태원동,210-65,1,,A02,A0203,A02030600,2930839,12,20221206170152,,,126.987515439,37.538452116,6,20221206171542,0,21,,경리단길,4343.0,"경리단길은 국군재정관리단 정문으로부터 그랜드하얏트 호텔 방향으로 이어지는 길과 주변 골목길을 통칭하며, 과거 육군중앙경리단이 현 위치에 있어 경리단길이라 불리어왔다. 경리단길은 저마다 개성이 넘치는 식당과 카페의 다양하고 독특한 먹거리가 유명한 문화와 젊음의 공간이다. 또한, 서울의 평범한 동네 같으면서도 세계 각국에서 온 외국인들이 주민들과 자연스럽게 어울려 지내는 모습이 이국적이고 색다른 분위기를 자아낸다."
서울특별시 용산구 회나무로42길 10,(이태원동),1,0.0,A02,A0202,A02020300,2794932,12,20211214053429,http://tong.visitkorea.or.kr/cms/resource/43/2796143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2796143_image2_1.jpg,126.9956618545,37.5407158882,6,20221122133429,1,21,,러쉬 이태원SPA점,4346.0,"러쉬 이태원 SPA점은 테라피스트, 심리치유사, 음악가가 협력해 만들었다. 영국 전통 스파 혹은 감성 스파라 일컫는다. 9가지 트리트먼트를 각기 다른 프로그램으로 구성했다. 대표 프로그램은 The Good Hou이다. 흥겨운 분위기 속에서 육체 피로를 날려주고 내면에 편안함을 안겨준다. 가장 큰 특징은 배 위에 편안하게 누워 항해하는 테마로 꾸몄다는 것. 푸른 바다 빛깔 조명이 바다 한가운데 떠 있는 듯한 분위기를 느낄 수 있다. 선원들의 노랫소리, 직접 녹음한 파도와 갈매기 소리가 어우러져 생동감을 더한다. Tales of Bath 프로그램도 인기다. 입욕과 부드러운 마사지로 몸과 마음을 회복하며 삶을 되돌아본다는 의미를 담았다."
서울특별시 용산구 서빙고로 221,서빙고 1번 출구 맞은편,1,0.0,A02,A0202,A02020100,2783317,12,20211130181639,,,126.989199054,37.5230622673,6,20221104094354,0,21,,용산공원 (옛 미군기지),4383.0,"과거 한강과 인접했던 옛 미군장교숙소 5단지 부지는 조선시대 얼음을 저장했던 '서빙고'가 있던 곳으로 해방 후 미군부대가 이곳을 차지했으며 일대를 '캠프 서빙고'라 불렀다고 한다. 정부는 일부 시설 리모델링을 거쳐 20년 이곳을 일반에 처음 공개했다. 현재는 용산공원으로 유치중에 있으며 포토존으로 유명하다. 들내봄내 잔디마당, 빨간 테두리의 동그란 표지만, 두루두루 파빌리온 등에서 찍으면 색감 예쁜 인생 사진을 찍을 수 있다."
서울특별시 용산구 두텁바위로1가길 47,(후암동),1,0.0,A02,A0203,A02030400,2767753,12,20211103224717,http://tong.visitkorea.or.kr/cms/resource/25/2767725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2767725_image2_1.jpg,126.976249514,37.5485035237,6,20221212105051,0,21,,후암거실,4335.0,"출퇴근하는 지하철과 버스에서 휴대폰이나 태블릿PC로 유튜브와 넷플릭스에 빠져있는 사람을 마주치는 것이 어색하지 않은 일상이 되었습니다.그러나 여전히 갈증은 있습니다. 후암거실은 작은 사치를 통해 내가 좋아하는 감독과 배우를 만나고, 작은 화면에선 오롯이 그 감동을 전달받을 수 없는 다큐멘터리를 즐길 수 있는 공간입니다. 남산과 서울타워를 바라보며 편안한 쇼파와 집에서 갖추기 힘든 5.1채널 서라운드 스피커, HD를 넘어 4K까지 지원하는 빔 프로젝터로 영화를 즐길 수 있습니다."
서울특별시 용산구 신흥로3가길 66,(용산동2가),1,0.0,A02,A0203,A02030600,2761544,12,20211025193112,,,126.9840656245,37.5430043031,6,20221124165542,0,21,,해방촌마을,4338.0,"서울 남산 주변으로 용산구 용산동 1가와 용산동2가에 걸쳐있는 마을로 서울의 대표적 달동네이다. 1945년 일본의 식민지에서 해방되어 해외에서 살던 국민들이 돌아와 정착한 곳이며 또한 한국 전쟁 이후 북쪽에서 내려와 서울에 정착한 사람들이 모여 살던 동네라 하여 불린 이름이 '해방촌'이다. 1979년에 용산재개발지구로 선정되어 주택건립사업을 하였으나, 좁은 골목과 언덕 등 달동네의 모습을 유지하고 있는 곳이다. 2021년 용산구 도시재생사업을 통해 관광객들이 테마를 통해 마을을 들러볼 수 있도록 환경이 개선되었고, 해방촌 명소 '108계단'에는 경사형 승강기가 설치되었다. 드라마 내 이름은 김삼순, 이태원 클라쓰. 동백꽃 필 무렵, 소니 카메라 광고 등 촬영지로 알려지면서 많은 사람의 발길이 닿고 있다."
서울 용산구 이촌동 173-1,,1,0.0,A02,A0202,A02020700,2760249,12,20211021011310,,,126.9532022321,37.5266278745,6,20221128161119,0,21,,성촌공원,,"서울 용산구 이촌동 원효대교 북단 교차로와 맞닿은 곳 한강 그랜드오피스텔 앞에 있는 공원으로 자연과 함께 휴식할 수 있는 근린공원이다. 산책로, 지압장, 배드민턴장, 음수대 등이 설치되어 있어서, 산책과 운동하기 좋다. 2개의 정자와 벤치가 마련되어 있어 휴식을 취하기에도 좋으며, 5월과 9월 사이에는 바닥분수도 가동되어 찾는 이들에게 편안한 쉼터가 되고 있다."
서울 용산구 이촌동 302-183,,1,0.0,A01,A0101,A01011800,2758868,12,20211019192122,http://tong.visitkorea.or.kr/cms/resource/84/2791384_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2791384_image2_1.jpg,126.9676539295,37.5182707714,6,20220705145052,1,21,,거북선나루터,,"서울 한강공원 이촌지구에 위치한 거북선 나루터는 도하(渡河)체험장 및 수상레포츠 시설로 일반인들과 단체 생활의 팀워크 훈련장으로 이용되는 선착장이다. 거북선나루터는 1990년 10월 1일 국군의 날을 기념하여 180t 급 거북선 실물 크기로 제작된 거북선의 닻을 이곳에 내리고 유람선을 운영, 전시장으로 사용했었던 것에서 붙여진 이름으로 당시 거북선 유람선은 2005년부터 이순신 장군 한산대첩의 전승지인 통영시에서 운행 중이다. 주변을 따라 대나무숲, 갈대, 들꽃이 철 따라 피어나서 시민들의 산책과 운동코스로 자주 이용되고 있으며 매년 10월 열리는 불꽃축제 명당자리로도 유명하다. 4호선 이촌역 31번 출구로 나와 이촌한강공원 LG한강자이 아래 있다."
서울특별시 용산구 한강대로23길 55,(한강로3가),1,0.0,A02,A0202,A02020100,2758150,12,20211018224854,,,126.9647566449,37.5298249324,6,20211102015857,0,21,,용산역광장,4377.0,용산역 주변으로 고층 빌딩이 들어서면서 건물 사이로 디자인이 개선되고 소규모 광장이 많이 생겼다. 용산구는 용산역 전면에 대규모 광장을 조성하고 있는데 연면적 2만2505m² 규모로 지상공원과 지하광장을 개발 중이다. 지하광장은 국철 용산역과 지하철 4호선 신용산역과 향후 신분당선이 연결되며 용산역 주변의 대형 주상복합 건물들과 아모레퍼시픽 사옥 등이 연결된다. 지상에는 문화공원이 조성되어 용산에 녹지대 확충과 이용객들의 편의성을 확대하게 된다.
서울특별시 용산구 한강대로40길 46,(용산동5가),1,0.0,A02,A0201,A02010900,2758125,12,20211018222833,,,126.9719643184,37.5299444922,6,20221125111417,0,21,,왜고개,4383.0,왜고개는 기와와 벽돌을 구워 공급하던 와서(瓦署)가 있던 데서 유래한 명칭이다. 서울 명동성당과 중림동 약현성당을 지을 때 사용했던 벽돌도 이곳에서 공급해 주었다 전해진다. 이곳은 1899년 병인박해 때 새남터와 서소문에서 순교한 성인들이 매장되었던 유서 깊은 천주교의 성지이다. 또한 왜고개 성지는 1846년 9월 16일 병오박해 때 순교한 한국인 첫 사제 김대건 안드레아 신부의 시신이 모셔졌다가 이장된 역사를 지닌 곳이다. 4호선 용산역 1번 출구 용산우체국 삼거리에서 용산공원 가는 길에 있다.
서울특별시 용산구 이촌로 80-8,(이촌동),1,0.0,A02,A0201,A02010900,2733972,12,20210817185043,http://tong.visitkorea.or.kr/cms/resource/14/2780414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2780414_image2_1.jpg,126.9570963627,37.5251836679,6,20221209172104,0,21,,순교성지새남터기념성당,4374.0,"새남터는 억새와 나무가 많다 해서 붙여진 이름이다. 조선 초기 군사들의 연무장이며 국사범들을 처형하던 곳이었는데, 4대 박해 동안 천주교 신자들이 처형되었던 장소이다. 외관에 순교자들 소개가 붙어 있으며 형장도 일부가 보존되어 관람이 가능하다며, 내부엔 순교 당시의 다양한 전시품이 전시되어있다."
서울특별시 용산구 청파로 109,(한강로3가),1,0.0,A02,A0202,A02020600,2733969,12,20210817184821,http://tong.visitkorea.or.kr/cms/resource/33/2741633_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/33/2741633_image2_1.png,126.963378882,37.5337300099,6,20220915142331,1,21,,과학동아천문대,4370.0,"서울시 용산구 도심 속 위치한 천문대이다. 아동 과학 서적으로 잘 알려진 동아사이언스에서 운영하는 천문대로 천체 관측관, 보조 관측관, 천체 투영관, 다빈치 룸 등 시설을 갖췄다. 어린이들을 위한 다양한 프로그램들이 운영되고 있다."
서울특별시 용산구 녹사평대로 지하 195,(용산동4가),1,0.0,A02,A0203,A02030600,2650772,12,20200330222901,http://tong.visitkorea.or.kr/cms/resource/79/2599079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2599079_image3_1.jpg,126.9869739251,37.5347858656,6,20220316162804,0,21,,녹사평역 지하예술정원,4353.0,"서울지하철 6호선 녹사평역(용산구청)이 2019년 3월, 서울시의 공공 미술 프로젝트를 통해 예술과 자연이 어우러진 문화 공간으로 새롭게 태어났다.녹사평역은 지하 5층 승강장에 내리면서부터 지상으로 올라가기까지 다양한작품을 볼 수 있는 문화공간이다."
서울특별시 용산구 한남동,,1,0.0,A02,A0203,A02030600,2650771,12,20200330222017,http://tong.visitkorea.or.kr/cms/resource/83/2593783_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2593783_image3_1.jpg,126.9984451642,37.5326085465,6,20221005144046,1,21,,이태원 우사단길,4407.0,"우사단길은 한국적 정서와 이국적인 분위기를 느낄 수 있는 곳이다.파키스탄, 터키, 이집트, 레바논, 인도 등지의 음식점과 아랍어로 적힌 간판, 히잡과 터번을 쓴 이방인이 어우러져 이국적인 분위기가 짙으며, 오래된 집과 골목이 오밀조밀 이어지는 주택가로 한국적 정서와 분위기를 간직하고 있다.2010년대 초반부터는 젊은 예술가와 청년 창업자들이 우사단길로 들어와개성 넘치는 공간을 만들어냈다."
서울특별시 용산구 양녕로 445,,1,0.0,A02,A0202,A02020200,2638475,12,20191125183515,http://tong.visitkorea.or.kr/cms/resource/65/2638965_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2638965_image2_1.JPG,126.9580659298,37.5177234407,6,20211231221423,1,21,02-749-4500,노들섬,4427.0,"1950년대까지 중지도로 불리며 백사장과 스케이트장으로 활용되었던 노들섬은 670년대 한강개발계획으로 중지도의 모래를 사용하면서 한강중앙에 떠있는 섬이 되었다. 이와 함께 약 50여년간 제대로 활용되지 못하다가 2005년 서울시가 섬을 매입하고 시민들의문화 휴식 공간으로 만들기위한 준비를 시작하면서 다양한 시도 끝에 2019년 9월 최대한 원형을 그대로 간직한 채로 시민들을 위한 복합문화공간으로 돌아왔다.노들섬의 대표적 문화시설로는 라이브하우스, 노들서가, 앤테이블, 뮤직라운지류, 식물도, 스페이스445, 다목적홀숲 등이 있으며 각 시설들을 중심으로 다양한 문화 프로그램이 진행된다."
서울특별시 용산구 한강대로 405,(동자동) 서울역,1,0.0,A02,A0204,A02041000,2553906,12,20180717184559,,,126.9717164149,37.5548277077,6,20220222154246,481,21,,서울역,4320.0,"한국철도공사 코레일은 창의적 미래 인재 육성을 위해 다양하고 수준 높은 교육기회를 제공하고 있으며, 철도의 풍부한 인프라를 활용하여 진로상담, 안전 교육 등 다양한 체험의 장을 마련했다. 철도체험학습장 견학은 학생 단체를 대상으로 진행하며, 방문 단체 연령대에 따라 교육 내용, 교육 시간 등 프로그램 내용 협의가 가능하다."
서울특별시 용산구 한강대로23길 55,(한강로3가) 6층(용산 아이파크몰),1,0.0,A02,A0203,A02030600,2552690,12,20180705224924,http://tong.visitkorea.or.kr/cms/resource/96/2552696_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/96/2552696_image2_1.bmp,126.96485108,37.5298527082,6,20220406103040,730,21,,VRZONE 용산 아이파크몰점,4377.0,"VRZONE은 일반적인 VR체험에 머무르지 않고, 각방에 모니터  플레이어로 고객님이 선택하여 체험할 수 있다. 헌티드 시리즈, 로스트시티, 호스 스프린트, 스페이스 델타, 령; 저주받은 인형 등 색다른 컨테츠로 어느곳에서도 경험 하지 못했던 상상 그이상의 현실을 구현한다. HUNTED는 가상의 섬 센트럴시티에서 일어나는 알 수 없는 상황을 조사하러 갔다가 일어나는 악마와 좀비로 부터의 탈출 스토리이며, LOST CITY는 외계로부터 지구를 정복하기 위하여 지구에서 가장 강력했던 생명체인 공룡이 소환되고 이를 저지하는 스토리이다. 스페이스델타는 약 20여가지의 콘텐츠로 놀이기구를 탑승하는 체험을 할 수 있는 기구이다. 놀이기구를 VR로 재현함과 상상만 해왔던 장소를 탐험하는 상상 그이상의 현실을 구현한다."
서울특별시 용산구 한강대로21나길 17,,1,0.0,A02,A0203,A02030600,2545035,12,20180427201143,,,126.9641761485,37.5296166128,6,20220224172441,3073,21,,챔피언1250,4377.0,"플레이타임그룹의 익스트림 어린이 스포츠클럽 챔피언1250은 어린이 하루 권장 칼로리 소모량인 1250kcal를 모두 소모하고 갈 수 있도록 높이 오르고, 뛰고, 매달리고, 넘어가고, 소리치며 놀 수 있게 만들어진 공간이다. 국내 350여개, 해외 30여개 매장을 가지고 있는 플레이타임그룹은 1993년 국내최초 키즈놀이 공간 설립 이후, 25년간의 풍부한 경험과 노하우를 바탕으로 놀이콘셉트별, 연령별에 따라 15여개의 다양한 브랜드를 개발, 보유하고 있다."
서울특별시 용산구 한강대로72길 3,(남영동),1,0.0,A02,A0204,A02040600,2451912,12,20161212195027,,,126.973627752,37.5406904959,6,20220330175544,20264,21,,크라운해태 키즈뮤지엄,4352.0,"거침없이 팍팍, 아이들의 해방구  키즈뮤지엄의 프로그램은 매우 활동적이다. 보고 만지는 정도를 뛰어 넘어 온 몸을 움직이고, 친구들과 함께 다양한 놀이를 즐긴다. 커다란 블록놀이, 암벽등반, 벽면에 낙서하기 등 말리는 사람 없이 마음껏 놀 수 있으니 아이들 스트레스를 확실히 풀어주는 곳이다. 크라운제과가 운영하는 곳인 만큼 과자를 만드는 프로그램도 다양하게 마련되어 있다."
서울특별시 용산구 한강대로 405,,1,0.0,A02,A0203,A02030600,2440925,12,20161118193750,http://tong.visitkorea.or.kr/cms/resource/43/2440943_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/2440943_image2_1.JPG,126.9717164149,37.5548277077,6,20220520143801,20269,21,,레일크루즈 해랑열차,4320.0,"호텔과 열차가 결합된 레일크루즈 해랑은 2008년 11월 국내최초로 편의시설이 갖춰진 호텔식 관광전용열차로 출발하였다. 해랑은 해(태양)와 함께 아름다운 금수강산을 유람하는 최고의 열차라는 순우리말의 의미와 함께 봉황을 형상화한 독특한 로고와 열차 전면에 도색된 파랑색과 금빛 라인이 매력적이다. 한국적인 인테리어와 함께 장거리 여행객을 위해 맞춤형으로 제작된 객실에는 침대, 소파, 화장실(비데), 샤워실, TV 등 여행과 휴식에 필요한 모든 편의시설을 갖췄다. 객실 또한 스위트룸(2인기준), 디럭스룸(2인기준), 패밀리룸(3인기준), 스탠다드룸(4인기준)으로 객실이 구분되어 있어 부부나 연인, 혹은 가족 여행 등 여행 콘셉트에 맞춰 객실을 선택할 수 있다.

달리는 열차 내에서 창밖으로 펼쳐지는 풍경을 감상하며 와인과 케잌 등을 비롯해 다양한 식음료 서비스 받을 수 있는 고급 레스토랑칸과 아카펠라, 난타, 악기연주 등 해랑 승무원들의 특별공연과 다양한 문화이벤트가 펼쳐지는 이벤트 라운지칸도 해랑만의 또 다른 매력이다. 해랑은 이러한 상품의 우수성을 인정받아 , KATA(한국여행업협회)에서 주관하는 2014  2015  2016 우수여행상품 선정되었다. 해랑코스는 효도상품으로 인기인 화요일 출발 2박 3일 전국일주 코스와 자녀를 둔 가족단위의 여행객이 주로 이용하는 토요일 출발 1박 2일 동부권, 서부권 코스(격주운행)로 나뉜다. 해랑은 시즌 별로 고객의 만족도가 가장 높은 코스로 변화시켜 재이용하는 고객들도 꾸준히 증가하고 있는 추세이며, 정기코스 외에 스페셜코스와 단체 맞춤형 코스로도 운행 가능하다."
서울특별시 용산구 남산공원길 105,(용산동2가),1,0.0,A02,A0210,A02100700,2435104,12,20161018202921,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,126.9878594933,37.5511312042,6,20220518174015,4238,21,,남산서울타워 한복문화체험관,4340.0,"서울의 랜드마크인 남산서울타워 로비층(지하1층)에 위치한  남산서울타워 한복문화체험관은 조선시대의 대표적인 공간을 테마로 한 포토존과 다채로운 디자인 및 색상의 한복을 테마별 (전통, 개량, 혼례 등)로 구비하고 있다. 특히 체험관 내 대표 포토존은 경복궁 근정전의 어좌, 경복궁 교태전 중전의 방, 한옥의 사랑방에서 원형을 가져왔다. 한복과 더불어 사진이라는 매개체를 통하여 왕, 중전, 사대부를 어우르는 조선시대 사람들의 삶을 체험하고 공감하여, 한국 전통 미학의 가치를 국내외 다양한 사람들에게 알리는 것을 목적으로 하기 때문이다. 또한 오흥석 예술감독의 필모그래피 중 lt;광해, 왕이 된 남자gt;의 어좌, lt;궁합gt;의 공주방 등 한국영화 속 전통사극의 세트공간을 간접적으로 체험할 수 있도록 하였다. 또한 한복 디자이너, 포토그래퍼를 비롯한 전문 스탭이 한복체험은 물론 한국의 혼례식을 현대적으로 재해석한 혼례체험 및 기념촬영 등을 진행하고 있다."
서울특별시 용산구 한강대로23길 55,(한강로3가),1,0.0,A02,A0203,A02030600,1987566,12,20150209185702,,,126.9647566449,37.5298249324,6,20220407174819,37122,21,,서해금빛열차,4377.0,"장항선을 따라 아산온천, 수덕사, 남당항, 대천해수욕장, 국립생태원, 군산근대문화유산거리, 보석박물관 등 아산·예산·홍성·보령·서천·군산·익산 서해 7개 지역의 보석 같은 관광지를 찾아 떠나는 새로운 관광전용열차이다. 세계 최초 한옥식 온돌마루실과 달리는 족욕카페 등을 갖춘 차별화된 관광전용열차로 1량 전체가 온돌마루실로 구성되어 있다. 따뜻한 온돌에서 오순도순 둘러앉아 담소를 나눌 수도 있고, 편안하게 다리를 뻗고 누워갈 수도 있다. 온돌마루실은 1실 당 3인에서 6인까지 이용 가능하며, 총 9실이 운영되고 있다. 실내는 편백나무로 만든 실내등, 탁자, 베개, 창살 등으로 꾸며져 아늑하다. 족욕카페는 차 한 잔과 함께 달리는 열차 안에서 차창 밖 풍경을 보며 여유롭게 족욕을 즐길 수 있는 공간으로 취향에 따라 습식 족욕과 건식 족욕을 선택하여 사용할 수 있다."
