addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 은평구 불광동 산 43-108,,1,0,A01,A0101,A01010400,2779558,12,20211125200128,http://tong.visitkorea.or.kr/cms/resource/13/2796513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2796513_image2_1.jpg,126.9352735312,37.6170725958,6,20221121092119,1,22,,북한산 족두리봉,,"서울의 진산인 북한산은 은평구와 성북구, 강북구, 도봉구와 경기도 의정부시, 양주시, 고양시에 걸쳐 있다. 최고봉인 백운대와 동쪽의 인수봉, 남쪽의 만경대가 뻗어내린 화려한 능선이 일 년 내내 등산객들의 발길을 끌어모은다. 족두리봉은 북한산 가장 남서쪽에 솟은 높이 370m의 봉우리다. 멀리서 보면 봉우리 모양이 족두리를 쓴 것처럼 보인다고 해서 붙은 이름인데 한편으로는 독수리의 머리처럼 보인다고 하여 수리봉, 인수봉을 그대로 옮겨놓은 듯하다고 하여 작은 인수봉으로도 불린다. 불광역에서 출발하면 약 50분이면 족두리봉에 오를 수 있다. 시간은 짧지만, 난도는 조금 높다. 급경사의 계단은 물론 위험한 바위 구간이 있어 주의가 필요하다."
서울특별시 은평구 증산로5길 35-27,(증산동),1,0,A02,A0202,A02020100,2758161,12,20211018225317,http://tong.visitkorea.or.kr/cms/resource/73/2790973_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2790973_image2_1.jpg,126.9030357286,37.5844313697,6,20221108102938,0,22,,은평구생활체육광장,3493.0,"산속에 조성되어 있어 운동하는 동안 신선한 공기를 마실 수 있는 증산체육공원은 은평구 수색 증산 뉴타운 반홍산 내에 위치하고 있는 46,100㎡ 규모의 체육공원이다. 증산 생활체육 광장이라고도 불리며, 인조 잔디가 깔린 축구장 1면과 풋살구장, 농구장, 배구장과 족구장을 갖추고 있다. (6호선 증산역 3번 출구 증산초등학교와 증산중학교 뒤편)"
서울 은평구 진관동 127-27,,1,0,A02,A0201,A02010600,2724392,12,20210705220048,,,126.9392030359,37.6414864929,6,20221123151015,0,22,,은평한옥마을,,"은평 한옥마을은 북촌, 서촌에 이은 새롭게 만들어지고 있는 한옥 단지이다. 여유로움과 도심 속 전원을 한껏 느낄 수 있다. 국립공원 북한산, 그리고 진관사와 어우러진 역사 문화 마을이다. 은평한옥단지는 개인에게 한옥만을 지을 수 있게 토지를 분양해서 소유주의 취향에 따라 각 한옥마다 모양과 나무색이 달라 보는 즐거움이 있다. 상업시설을 제외한 곳은 대부분 개인의 사유지이기에 내부 관람은 불가하나 소유주의 허락이 있다면 관람이 가능하다. 또한, 산책로와 편의점, 카페 등 여러시설을 갖추고 있어 나들이를 즐기기에 적당하다."
서울특별시 은평구 응암로 376,(녹번동) 부근,1,0,A02,A0205,A02050200,1829586,12,20130723015212,http://tong.visitkorea.or.kr/cms/resource/76/2047976_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2047976_image3_1.jpg,126.9229971951,37.6056986983,6,20220518101930,5454,22,,윌리엄해밀턴쇼 동상,3459.0,"우리나라의 해군 및 해병대 창설에 크게 공헌한 미 해군대위 서위렴2세(William Hamilton Shaw)의 숭고한 한국사랑과 거룩한 희생을 추모하기 위하여 건립하였다. 서위렴2세는 6.25 전쟁 발발시 미국 하버드대학교에서 박사과정을 공부하는 학생신분이었음에도 불구하고, 자신이 태어나고 자란 제2의 조국인 대한민국의 자유와 평화를 지키기 위해 미 해군으로 자원입대하여 서울 수복 작전 중 1950년 9월 22일 은평구 녹번리 전투에서 29세의 꽃다운 나이에 전사하였다. 그가 전사한 녹번동에 비가 세워졌다가 응암어린이 공원을 거쳐 2010년 현 위치로 이전하였다.   규격  비높이 1.57m  건립자  서위렴2세전사기념비건립위원회(1956.09.22. 건립)"
서울특별시 은평구 불광로10길 20-8,(불광동),1,0,A02,A0201,A02010800,1579548,12,20120327192917,http://tong.visitkorea.or.kr/cms/resource/08/2048008_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2048008_image3_1.jpg,126.9341958425,37.6173975381,6,20220526105558,19381,22,,천간사,3363.0,"천간사는 1960년에 창건되었다가 2009년 재개발로 인해 재건축되었다. 사찰에는 부처님 진신사리탑이 있으며, 창건주스님 부도탑과 육영수 여사의 추모공덕비 등 다수의 비석과 탑들이 있다. 새로 신축하면서 국토해양부로부터 2011년 올해의 대한민국 한옥상을 수상하였다. 북한산과 둘레길이 바로 옆에 있어 공기가 좋으며, 하이킹을 즐길 수 있다."
서울특별시 은평구 진관길 73,(진관동),1,0,A01,A0101,A01010900,827515,12,20091027012100,http://tong.visitkorea.or.kr/cms/resource/00/1860200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1860200_image3_1.jpg,126.9465496889,37.6379287052,6,20220524140131,44215,22,,진관사계곡,3308.0,"은평구 진관내동 북한산성 입구에 위치해 산림 생태계와 조화를 이루고 있으며 도롱뇽, 산개구리 등 서울시 보호종이 관찰되는 곳이다. 2011년 국립공원관리공단 북한산국립공원사무소는 수환경 및 수서생태계 보호를 목적으로 은평구 진관동에 위치한 진관사 계곡(약0.5㎞, 3500㎡)을 북한산국립공원 특별보호구로 지정했다. 때문에 츨입이 제한되어 진관사 무료주차장 아래 마실길 근린공원 근처의 구역에서만 물놀이를 즐길 수 있다."
서울특별시 은평구 응암로 172,(응암동),1,0,A02,A0203,A02030600,713110,12,20090328005343,http://tong.visitkorea.or.kr/cms/resource/27/2531027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2531027_image2_1.jpg,126.9166871824,37.5872146236,6,20221025104247,25339,22,,응암동 감자국 거리,3478.0,"장충동에 족발이 있고 청진동엔 해장국이 있다면 응암동엔 감자탕이 있다. 응암동 대림시장에 있는 응암동 감자국거리에 가면 이화감자국, 장군감자국, 시골감자국, 응암동감자국, 대림감자국 등 어느 집에 들어가도 실패하지 않을 감자국 전문점들이 버티고 있다. (응암동에서는 감자탕을 감자국이라는 하는데 감자탕은 올림말이고 감자국은 내림말이라고 한다. 누구나 즐길 수 있는 서민적인 음식이라는 의미를 강조하기 위해 응암동에서는 감자국이라고 한다.)  응암동에서 감자국을 팔기 시작한 것은 1980년대 중반부터라고 한다. 대림시장에 있던 식당에서 돼지 뼈를 우린 국말에 감자, 우거지 등을 넣고 끓인 감자국을 팔기 시작했고 감자국의 인기가 알려지자 1980년대 후반부터는 타 지역에도 감자국(감자탕) 전문 식당이 생기기 시작했다. 그리고, 최근에는 전국 어디에 가더라도 얼큰한 감자탕 맛을 즐길 수 있게 되었다.감자국이 이렇게 인기를 끌게 된 데에는 값싸게 푸짐하게 먹을 수 있다는 점 외에도 감자국의 주원료인 감자와 돼지고기가 영양식으로 각광받게 된 것도 한 역할을 했다.잘 알려져 있는 것처럼 감자에는 수분 외에 녹말, 단백질, 무기질, 환원당, 비타민C, 필수아미노산이 함유되어 있으며, 또한 감자에 포함된 비타민C는 조리 후에도 거의 파괴되지 않는다고 한다.   그리고, 돼지고기는 풍부한 영양소 외에도 성인병 예방에 좋고 독소제거 효능이 있다고 한다. 때문에 최근에 감자국이 남녀노소가 사시사철 찾는 가족음식이 되고, 전국적으로 감자국 전문식당을 쉽게 찾을 수 있지만 원조 감자국에는 타지에서는 맛볼 수 없는 무언가가 있다. 제대로 된 국물맛을 내기 위해 수년간 참으로 많은 돼지뼈와 감자를 갖다 버렸다는 원조의 감자육수 제조비법은 절대 다른 곳에서는 흉내낼 수 없을 것이다. 또한 매일 담그는 겉절이와 시원한 깍두기, 달콤 짭짤한 쌈장에 배추속까지 모두 원조 감자국의 맛을 배가한다. 원조 감자국의 차이를 체감하고 싶다면 오늘 당장 응암동 감자국 거리로 떠나보자. 감자국은 밥상보다는 술상에 제격이라는 말이 있듯이 저녁시간에 가는 것이 더 좋겠다. 남은 감자탕 국물로 만들어 먹는 비빔밤도 잊지 말아야 할 것이다."
서울특별시 은평구 서오릉로23길 8-5,,1,0,A02,A0201,A02010800,127219,12,20070922090000,http://tong.visitkorea.or.kr/cms/resource/06/2551106_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/06/2551106_image2_1.bmp,126.9047680128,37.6159499573,6,20220715131650,30745,22,,수국사(서울),3424.0,"서울시 은평구 구산동 314번지에 소재한 대한불교조계종 수국사는 오랜 역사를 가진 고찰이다. 세조 5년(1459) 맏아들 의경대왕이 요절하자, 고양 봉현 능을 건립하고 원찰(願刹)로 삼아 중창한 것이 정인사(正因寺)인데 이 정인사가 바로 수국사의 전신이다. 정인사는 119칸의 호화찬란한 대찰로 광릉의 봉선사와 맞먹을 만한 풍광이 뛰어난 명찰이었다고 한다. 수덕사는 숙종과 인현왕후 능인 명릉의 원찰 기능까지 수행했지만 조선 후기에는 불상만 남긴 채 폐허가 되었는데 광무 4년(1900) 세자이던 순종이 병으로 위독하자 고종의 명으로 월초스님이 기도하여 병이 쾌차, 스님의 소원으로 수국사를 다시 중창하게 되었다. 1907년에는 불상의 개금과 불화 13점 등이 왕실의 발원으로 이루어지게 되는 등 수국사는 서울 근교의 명찰로 이름을 드날리게 되었다.이후 6.25동란으로 피해를 입어 건물 대부분이 파괴되었는데 역대 주지스님들이 계속하여 중창을 거듭해오다 1995년에 황금법당으로 중창하여 현재에 이르고 있다. 우리나라에 존재하는 유일한 금으로 칠해진 황금법당은 외9포, 내15포, 108평 규모에 청기와로 된 전통 목조법당이며 법당 안팎을 기와 이외에는100 순금으로 개금 불사했다. 현재 수국사에는 보물로 지정된 고려 목아미타불좌상(高麗 木阿彌陀佛坐像) 1점과 불화(아미타후불탱, 십육나한탱, 구품탱, 감로탱, 신중탱, 현왕탱) 6점이 남아있다."
서울특별시 은평구 연서로54길 127,(진관동),1,0,A02,A0201,A02010800,127557,12,20030702090000,http://tong.visitkorea.or.kr/cms/resource/96/2047996_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2047996_image3_1.jpg,126.9525129079,37.6423560749,6,20221115105740,22402,22,,삼천사(서울),3308.0,"통일신라시대 원효대사에 의해 창건되었고, 그 규모가 대단히 커서 한때 3000여 대중이 모여 수도 정진하였다고 한다. 임진왜란 때는 서울 지역 승병들의 운집처로 왜병과 혈전을 벌였던 곳이다. 임진왜란 때 소실되었던 것을 진영화상이 중창하고 성운화상에 의해 거듭 중창 복원하였다.경내에 있는 천년고불 마애석불은 고려시대 조성된 것으로 보물로 지정되어 있으며, 세존진신사리 석종탑과 나한사 5층 석탑이 봉안되어 있어 법신제불이 상주방광하는 성지이며, 기도 도량으로 널리 알려져 있다. 삼천사 마애여래입상은 양감을 뚜렷하게 표현하지는 않았지만, 원만한 얼굴 표정과 부드럽게 흘러내린 유려한 옷고름 등에서 고려불화를 연상케 하는 독특한 매력을 보여 주는 고려의 마애불이다.
현재 융기선을 따라 금분칠을 하여 본래의 모습과 다소 달라졌지만 아직도 사람들의 시선을 끌고 있으며 좌우에 네모난 목조가구의 흔적이 남아있다. 민머리 위에 높은 살상투가 솟아 있고, 풍만하고 둥근 얼굴에는 입가에 미소가 번져 온화한 느낌을 준다. 가슴에는 내의를 묶는 띠매듭이 리본형으로 표현되어 있는데 이러한 띠매듭은 통일신라 후기 상에 많이 보이는 형태이다. 양쪽으로 벌어진 연꽃대좌는 불안정라며 광배는 두 줄의 두광과 한 줄의 신광으로 간략화 되어 있다. 신체의 비례가 자연스럽고 조각수법도  섬세한 편이며 선묘도 유려하여 고려를 대표할 만한 뛰어난 마애불로 알려져 있다."
서울특별시 은평구 진관길 73,,1,0,A02,A0201,A02010800,127558,12,20030702090000,http://tong.visitkorea.or.kr/cms/resource/32/2048032_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2048032_image3_1.jpg,126.9469052095,37.6380064804,6,20220323162711,50070,22,,진관사(서울),3308.0,"진관사는 동 불암사, 서 진관사, 남 삼막사, 북 승가사와 함께  예로부터 서울 근교의 4대 명찰로 손꼽아 왔다. 진관사(津寬寺)의 연혁은 고려 제 8대 현종(顯宗)원년 서기 1010년에 현종이 진관대사(津寬大師)를 위해서 창건 하였다고 한다. 조선을 건국한 태조 이성계의 명령에 의하여 조종선령(祖宗仙靈)과 순국충열(殉國忠烈), 희생당한 고려 왕씨의 넋을 위로하기 위해 수륙사(水陸社)를 설치하고 춘추로 수륙대재(水陸大齋)를 장엄하게 베풀어 왔었다. 세종 때에는 집현전 학사들을 위한 독서당을 진관사에 세우고 성삼문, 신숙주, 박팽년 등과 같은 선비들을 독서하게 했다고 한다. 한국 동란 때 공비소탕의 일환으로 사찰을 잿더미로 만들고 말았다. 1963년 비구니 진관(眞觀)스님이 주지로 부임하여 30여 년간 복원 불사를 하여 지금의 가람으로 일신 중창하였다. 건물로는 대웅전, 명부전, 나한전, 칠성각, 독성각, 나가원, 홍제루, 동정각, 동별당, 요사체 등으로 이루어져 있다. 대웅전에는  본존불인 석가모니불과 협시보살로는 미륵보살과 제화갈화보살을 모셨으며, 명부전은 지장보살과 도명존자, 무독귀왕 십대 대왕을 모셨으며, 나한전은 석가모니불과 미륵보살, 제화갈라보살, 십륙나한상을 보셨다. 북한산 국립공원으로 지정된 만큼 아름다운 자연환경과 문화역사를 자랑하는 진관사는 현대를 살아가는 서울 시민들에게 마음의 평안과  일상에 찌든 때를  말끔히 씻어주는 청량제 역할을 하면서 오늘도 부처님의 자비를 세상에 전하고 있다."
