addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 종로구 북촌로11길 35-16,(가회동),1,0,A02,A0210,A02100700,2793186,12,20211213230857,http://tong.visitkorea.or.kr/cms/resource/47/2796947_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2796947_image2_1.jpg,126.9833340052,37.5829218735,6.0,20221123102018,0,23,,국악사랑,03052,"북촌 한옥마을의 정취를 느끼며 걷다가 고샅길로 접어들면 닿는 곳이다. 한옥 풍류를 다시 쓰다란 큼지막한 글귀가 붙은 대문을 열고 안으로 들어가면 본채, 별채, 마루로 이뤄진 공간이 펼쳐진다. 살림집을 겸하고 있어 장독, 맷돌, 소반 등 한국의 옛 세간을 엿보는 재미도 쏠쏠하다. 체험은 두 가지로 나뉜다. 첫 번째는 오미자차한과 혹은 과일국악 감상으로 이뤄진 프로그램이다. 음식을 맛보는 동안 흥겨운 국악 선율이 귓가에 울려 퍼진다. 두 번째는 오미자차한과 혹은 과일국악기 소개진도아리랑 배우기장구 배우기 체험이다. 국악기 소개를 통해 한국 전통 악기의 역사와 특징을 알려준다. 이어 전통 민요인 진도아리랑을 불러본다. 그런 다음 장구를 두들기며 세마치장단을 배운다. 체험의 마지막은 앞서 배운 진도아리랑에 장구 치기를 접목하는 시간이다. 생경한 느낌이 들지만, 관광객들이 가장 큰 즐거움을 얻어가는 체험이다. 어깨가 절로 들썩이는 모습을 발견할 수 있다. 예약은 필수다."
서울특별시 종로구 창의문로 119,(청운동),1,0,A02,A0202,A02020100,2787181,12,20211207185451,,,126.9671657723,37.5921816175,6.0,20221103111413,0,23,,윤동주시인의언덕,03046,"한국인이 가장 좋아하는 일제 강점기 저항시인 윤동주(19171945) 시인을 기리는 이 언덕은 서울 종로구 청운동 인왕산 자락 청원공원 내에 자리해 있다. 시인 윤동주는 연희전문학교에 다니던 1941년 종로구 누상동에 있는 후배 소설가 김송의 집에서 하숙했었는데 그는 이때 청운동과 누상동 일대를 산책하며 시상을 가다듬으면서 서시, 별 헤는 밤, 또 다른 고향 같은 대표작을 썼다고 한다. 청운동에 윤동주 시인의 언덕이 들어선 이유이다. 이곳에 머무는 동안 저녁 무렵 하숙집 근처 이 언덕에서 해지는 서울 풍경을 바라보며 조국의 어두운 현실에 가슴 아파하면서 시상을 떠올렸을 것으로 생각된다. 서시의 시비를 비롯해 가수 이승환과 그의 팬들이 기증한 소나무 10그루, 시인의 주옥같은 시를 새겨넣어 눈으로 감상할 수 있게 한 돌계단 등으로 모습을 갖추고 있다. 서시의 시비 앞에는 '서울 밤 경' 표지판이 세워져 있는데 윤동주 시인의 언덕에서 야경 보기 좋은 곳임을 안내하고 있다. '윤동주 소나무'로 불리는 소나무가 위치 한 곳도 해넘이 구간으로 일몰을 감상하며 사색하기 좋은 곳으로 이름나 많은 사람들이 혼자서도 찾는 곳이다. 
윤동주 시인의 언덕은 2012년 7월 용도 폐기된 청운 수도가압장을 리모델링해서 조성한 윤동주문학관과도 이어져 있으며, 맞은편에 창의문이 있다."
서울특별시 종로구 필운대로1길 14-4,(필운동),1,0,A02,A0201,A02010400,2783558,12,20211130201430,http://tong.visitkorea.or.kr/cms/resource/45/2792945_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2792945_image2_1.jpg,126.9688965725,37.5779721893,6.0,20221117130541,0,23,,홍건익가옥,03039,"서촌의 좁은 골목 사이에 있는 홍건익가옥은 지난 2017년 공공한옥으로 일반에 개방되었다. 1930년대 건축물인 이곳은 낮은 언덕을 따라 대문채와 행랑채, 사랑채, 안채, 별채 등 다섯 동이 자연스럽게 놓여 있다. 서울에 남아 있는 한옥 가운데 일각문과 우물, 빙고까지 갖춘 유일한 집이다. 특히 안채 대청마루의 풍혈판에 새겨진 팔괘 문양과 별채의 화초벽을 장식한 태극 문양, 이화꽃 문양, 연꽃 문양 등 당대 가옥의 화려한 면모를 엿볼 수 있다. 또 대청에 설치한 유리문과 처마에 설치한 차양이 근대 한옥의 특징까지 드러낸다. 이처럼 근대와 전통의 특성을 동시에 보여주는 홍건익가옥은 건축적, 문화적 가치를 높게 인정받아 서울시 민속문화재로도 지정됐다."
서울특별시 종로구 삼일대로 457,(경운동),1,0,A02,A0201,A02010700,2783547,12,20211130201257,http://tong.visitkorea.or.kr/cms/resource/95/2792895_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2792895_image2_1.jpg,126.9862006239,37.5754005765,6.0,20221116102921,1,23,,독립선언문 배부 터,03147,"서울 종로구에 있는 운현궁에서 길 하나만 건너면 독립선언문 배부 터라고 적힌 작은 표지석이 눈에 들어온다. 1919년 3·1운동 당시, 독립운동가들이 모여 독립선언문을 검토하고 배부했던 위치다. 지금도 표지석 앞에 민족대표 33인과 위안부 피해자 여성들의 이름을 기록한 돌이 자리해 보는 이들을 숙연하게 한다. 3.1 독립선언문은 이곳에서 멀지 않은 보성인쇄소에서 찍어낸 후 신축 중이던 천도교 대교당 마당(현재의 배부 터 바로 옆)에 갈무리해 두었다가 종교계, 학생 대표들에게 나누어주었다고 한다. 사람들이 무심하게 지나는 길옆에 자리해 그냥 지나치기 쉽지만, 나라의 독립을 위해 목숨을 걸고 싸웠던 1919년 봄의 자긍심을 느끼고 되돌아볼 수 있는 특별하고도 소중한 장소라 하겠다."
서울특별시 종로구 북촌로 70,(가회동),1,0,A02,A0201,A02010800,2774286,12,20211115184643,http://tong.visitkorea.or.kr/cms/resource/53/2784553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2784553_image2_1.jpg,126.9854282566,37.5829969015,6.0,20221027132601,0,23,,안국선원,03056,"서울시 종로구에 위치한 안국선원은 총 1,983㎡ 규모에 지상 4층의 본관과 3동의 부속건물로 현대적 시설을 갖춘 대한불교 조계종 사찰이다. 1996년 서초구에서 문을 열었다가 종로구 내수동을 거쳐 2001년 3월 종로구 가회동에 자리했다. 매월 정기법회일에 초심자 법문이 있으며, 약 일 개월 후에 초심자 법문에 참가한 신도들을 대상으로 간화선 공부를 위한 선원장 스님의 지도를 받을 수 있다. 정기법회는 매월 3일과 18일에 진행된다. 도심 속에 위치한 만큼 대중교통으로 편리하게 방문할 수 있는 사찰로, 지하철 3호선 안국역 2번 출구에서 700m 거리에 있다."
서울특별시 종로구 통일로18가길 26,(무악동),1,0,A01,A0102,A01020200,2774283,12,20211115183901,http://tong.visitkorea.or.kr/cms/resource/07/2780607_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/07/2780607_image2_1.png,126.9589446749,37.5789274555,6.0,20221209162139,1,23,,선바위(선암),03023,"서울시 종로구에 위치한 선바위(선암)는 1973년 1월 17일 서울특별시 민속문화재로 지정된 문화재이다. (바위 1基, 토지 52.9㎡) 선바위는 사람의 모습을 하고 있는 자연석으로, 직접적인 신앙대상물은 아니지만 신성한 대상물인 바위로, 마치 중이 장삼(검은 베로 만들어진 품과 소매가 넓은 중의 웃옷)을 입고 있는 형상이라 하여 불교의 선(禪) 자를 따서 선바위(선암)로 불리고 있다. 불력(佛力)을 지닌 존재처럼 신성시되었던 점이 주목된다. (출처: 서울특별시 종로구 문화과) 두 개의 큰 바위가 어깨를 나란히 하고 있는 형상으로 높이 7∼8m, 가로 11m 내외, 앞뒤 폭이 3m 내외이다."
서울특별시 종로구 통일로18가길 20,(무악동),1,0,A02,A0201,A02010800,2764331,12,20211028183611,,,126.9595307326,37.578933021,6.0,20211109011217,0,23,,인왕산국사당,03023,"인왕산 기슭에 위치한 국사당은 무속신으로 모시는 조선 태조와 무학대사, 다른 여러 신들을 모시는 당집으로 요란한 굿판을 벌이기 편리한 인왕산 속에 세운 굿당이다. 1973년 7월 16일 국가민속문화재 제28호로 지정되었다.
원래는 남산 꼭대기에 있었는데, 일본인들이 남산에 조선신궁(朝鮮神宮)을 지으면서 이곳 인왕산 기슭으로 이전되면서 건물을 해체하여 옮긴 후 원형대로 복원하였다. 인왕산을 선택해 옮긴 이유는 이곳이 풍수지리설에서 명당이고 현재 무속신으로 모시는 조선 태조와 무학대사가 기도하던 자리이기 때문이다. 
1925년에 새로 지어진 국사당은 영·정조 때의 건축기법을 바탕으로 원래의 국사당을 그대로 복원한 것으로, 다른 당집에 비해 건물이 견고하고 많은 무신도를 볼 수 있다."
서울특별시 종로구 창의문로 119,(청운동),1,0,A02,A0202,A02020700,2762885,12,20211027001811,http://tong.visitkorea.or.kr/cms/resource/04/2788004_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2788004_image2_1.jpg,126.9664297521,37.5913400353,6.0,20221103095628,2,23,,청운공원,03046,"서울 종로구 청운동에 있는 청운공원은 자하문 옆 윤동주 시인의 언덕부터 청운어린이집 부근까지 포괄해서 일컫는다. 청운공원은 한옥으로 지어진 청운문학도서관과 윤동주 시인의 언덕으로 유명하다. 인왕산과 부암동, 종로 사직동 일대를 조망할 수 있는 곳으로 조용하게 서울의 아름다운 야경을 즐길 수 있다. 드라마인현왕후의 남자촬영지로 청운어린이집 부근에서 촬영되었는데 당시 사용되었던 빨간 공중전화는 현재 존재하지 않는다."""
서울특별시 종로구 청계천로 261,(종로5가),1,0,A02,A0205,A02050400,2762867,12,20211027000819,,,127.0066766932,37.5698377019,6.0,20211209014834,0,23,,전태일동상,03197,"1970년 11월 13일 서울 평화시장 앞에서 열악한 노동조건에 항거하고 근로기준법 준수를 요구하며 근로기준법 화형식을 치르고 시위를 벌이던 중 ""근로기준법을 준수하라. 우리는 기계가 아니다""며 분신(焚身)으로 항거한 당시 평화시장 봉제공장의 재단사 전태일(22세)을 추모하기 위한 추모 동상이다. 2005년 서울시는 청계천로 평화시장 인근 일대에 전태일 거리를 조성하고, 청계천 버들다리 내에 전태일 기념 동상과 동판을 설치했다.2013년에는 전태일 분신장소(신당동 평화시장 A동과 B동 사이 대로변) 일대가 '서울시 미래유산'으로 선정되었다. 선정 근거는, 고도성장의 과정에서 일방적인 희생을 강요당하며 신음하던 노동자의 삶이 사회문제로 등장하게 된 계기이자 우리나라 노동운동과 민주화운동의 신호탄이 된 역사적 사건이 발생한 장소로 보존 가치가 높은 곳이기 때문이다."
서울특별시 종로구 북촌로 57,(가회동),1,0,A02,A0201,A02010900,2733967,12,20210817184103,http://tong.visitkorea.or.kr/cms/resource/61/2780561_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/61/2780561_image2_1.png,126.9846616856,37.5820858828,6.0,20221024141458,0,23,,가회동성당,03052,"가회동성당이 위치한 북촌 일대는 최초의 선교사 주문모(周文謨, 야고보) 신부가 조선에 밀입국하여 1795년 4월 5일 부활 대축일에 최인길(崔仁吉, 마티아)의 집에서 조선 땅에서의 첫 미사를 집전한 지역이다. 본당 관할구역은 주문모 신부가 강완숙(姜完淑, 골롬바)의 집에 숨어 지내면서 사목활동을 펼쳤던 지역으로서 한국 교회사에서 매우 중요한 의미가 있다.정식으로 본당이된 것은 1949년이고, 이후 1954년에 성전이 완공되었다. 하지만 성전이 낡아 2011년부터 옛 성전을 허물고 현재의 새 성전을 짓게 되었다. 2013년 11월 21일 준공되었고, 준공 3일 후인 24일(그리스도왕대축일)에 입주하여 입주미사를 봉헌하였다. 현재의 동서양 건축양식이 어우러진 새 성전은 과거의 역사를 되살리고자 2014년 4월 20일 부활대축일에 서울교구장 염수정 추기경님에 의하여 축성되었다. (출처 : 가회동성당 홈페이지) 서울대교구 성지 순례길 2코스 (생명의 길) 시작 성지 2017년 배우 김태희와 가수 비가 결혼한 장소로도 유명"
