addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 중구 충무로 29 아시아미디어타워,"부터 창경궁로(인현동, 예관동) 일대",1,,A02,A0204,A02040800,2865186,12,20221011135049,,,126.9924892656,37.5638936933,6.0,20221012103955,1,24,,충무로 인쇄골목,4555,"충무로 인쇄골목은 을지로3가역 인근 명보아트홀에서 마른내길을 따라 중구청에 이르는 1.5km 구간으로 국내 최대 규모의 출판·인쇄업체 밀집지역이다. 1990년대까지 호황을 누리다 인쇄산업 환경의 변화 등으로 최근 쇠퇴하였으나, 맞춤형 도심재생사업 등을 통한 재도약이 이뤄지고 있다.

충무로 인쇄골목의 역사는 일제강점기 현재 중구 삼일대로(저동1가)에 경성인쇄공업조합이 설립된 이래, 조합 인근에 일본인 인쇄업체들이 밀집하면서 시작되었다.
해방 이후에는 중구와 종로구에 다수의 인쇄업체들이 자리했는데 6·25전쟁을 겪으면서 대규모의 인쇄시설이 파괴되는 피해를 입었다. 1968년 세운상가가 들어서면서 종로3가와 퇴계로3가를 잇는 상가단지가 조성되기 시작했는데, 이때 충무로 일대에는 홍보판촉물, 상업인쇄 등을 다루는 인쇄업체들이 입지하면서 인쇄골목을 형성하기 시작했다.
그리고 장교동(長橋洞) 일대의 도시재개발로 인하여 그곳에 있던 5백여 개의 인쇄공장들이 모두 인현동(仁峴洞) 인근으로 이전하면서 충무로 인쇄골목의 규모가 커져갔다.
현재 을지로3가역 인근 명보아트홀에서 마른내길을 따라 중구청에 이르는 1.5km 구간 일대를 충무로 인쇄골목이라 일컫는다. 출판소·인쇄소·지업사 등이 골목마다 들어찬 이 거리가 국내 최대(전국의 70)의 출판·인쇄골목이다. 한 때 등록된 출판소 1,024개소, 인쇄소가 289개소가 있었으나 지역의 특성상 무등록 영세업소가 대부분이어서 이들 업소까지 더하면 약 3,000여개소가 있었으며, 종사한 인력만도 2만여 명으로 추산한다. 이곳에서 제작하는 인쇄물은 안내스티커에서부터 명함, 청첩장, 카드, 팸플릿(소책자), 학위논문, 달력, 각종 안내장 등 다양하다.
충무로 인쇄골목은 인쇄산업 환경의 변화와 폐수·분진 등 공해와 소음문제로 인해서 그 규모가 과거에 비해 축소되었고 항상 철거대상으로 지목되어 왔다. 그러나 최근에는 충무로 인쇄골목을 서울을 대표하는 도심 5대 특화 제조업 집적지구 중의 하나로 키우겠다는 계획과 함께 3차원 프린팅서비스 등을 적용한 첨단서비스산업의 중심지로 조성하겠다는 계획 등이 추진되고 있다.
또한 서울특별시 중구는 충무로 인쇄골목에 맞는 맞춤형 도심재생사업을 추진하겠다는 계획을 발표하는 등 충무로 인쇄골목의 현대화와 첨단화를 위한 노력을 다각적으로 모색하고 있는 상황이다. 

출처 : 서울시 중구청 문화관광 (a hef""https:www.junggu.seoul.ktoucontent.docmsid15006contentId4298"" taget""_lank"" title""중구청 문화관광충무로 인쇄골목""https:www.junggu.seoul.ktoucontent.docmsid15006contentId4298a)"
"서울시 중구 을지로 30 롯데호텔 3, 4층",(소공동),1,0.0,A02,A0202,A02020500,2794933,12,20211214053541,http://tong.visitkorea.or.kr/cms/resource/43/2796243_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2796243_image2_1.jpg,126.9816346542,37.565479425,6.0,20220701145045,0,24,,롯데호텔서울 설화수 스파,4533,설화수 스파는 마음의 안정을 돕고자 조선 시대 왕실에서 행한 전통의식을 스파에 접목했다. 5가지 한방재료로 만든 자음단으로 지친 피부를 효과적으로 다스린다. 홍삼의 기운이 담긴 미온수가 발의 피로를 풀어주는 홍삼수 족욕과 인삼 성분으로 발을 문질러 씻어주는 인삼 스크러브도 함께 진행한다. 프로그램이 끝나면 제공하는 차도 최적의 컨디션을 유지하는 데 도움을 준다. 대표 스파 프로그램은 설화본생이다. 따뜻하게 쪄낸 자음단으로 어깨 부위 피부를 관리한 후 자음생 크림으로 피부에 활력을 되찾아 준다. 진설 프로그램도 인기다. 몸의 피부를 정성껏 관리하는 트리트먼트로 피부 순환을 돕고 피부 에너지를 활성화한다.
서울특별시 중구 장충단로13길 20,(을지로6가),1,0.0,A02,A0202,A02020500,2794931,12,20211214053210,http://tong.visitkorea.or.kr/cms/resource/06/2796106_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2796106_image2_1.jpg,127.0076821872,37.5687878415,6.0,20220701145351,2,24,,더벨스파 동대문현대시티아울렛점,4563,"현대시티아울렛 동대문에 있는 이곳은 많은 사람에게 저렴한 가격으로 스파를 제공하고자 탄생했다. 여느 스파와 비교해도 손색없는 특급 스파다. 쇼핑 등으로 지친 몸에 활기를 불어넣고 싶다면 방문해보자. 대표 프로그램은 유스트 아로마발 관리다. 편백은 일본에서 최고급 내장재로 인정받는다. 이 편백으로 만든 족욕탕에 입욕제를 푼다. 거품이 올라오는 족욕기에 발을 담그면 따뜻한 기운이 온몸으로 퍼져나간다. 족욕을 하는 동안 복부에는 온열 팩을 얹고, 유스트 오일을 이용한 마사지가 시작된다. 두피, 목, 어깨를 어루만지며 피로를 완화해준다. 일본식 전통 지압 마사지인 시아추도 인기다. 시아추 마사지는 몸 안팎에서 음양의 기가 조화를 이루도록 돕는다. 단순히 뭉친 근육을 풀어주는 것이 아니다. 테라피스트는 14개 경락을 다양한 방식으로 마사지한다. 손가락은 물론 팔꿈치, 무릎, 발 등을 두루 사용한다."
서울특별시 중구 남산공원길 609,(예장동),1,0.0,A01,A0101,A01010500,2783557,12,20211130201410,http://tong.visitkorea.or.kr/cms/resource/94/2796194_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2796194_image2_1.jpg,126.9868789247,37.554739101,6.0,20211214230638,0,24,,남산순환나들길,4628,"도시 한복판에 우뚝 솟은 남산은 서울의 랜드마크이자 사계절 시민들의 휴식처로 사랑받는다. 남산을 둘러싸고 조성된 총 길이 7.5km의 남산둘레길은 시민들이 즐겨 찾는 산책로다. 북측순환로와 역사문화길, 자연생태길, 야생화원길, 산림숲길 등 총 5개의 코스로 이루어져 있다. 그중에서도 북측순환로는 휠체어나 유아차 사용자와 시각장애인 등 보행 약자가 동행자 또는 보호자의 큰 도움 없이 다닐 수 있어 무장애산책로로 선정됐다. 남산둘레길 북측순환로는 남산케이블카 입구에서 시작하여 국립극장까지 이어지는 3.4km의 산책로로, 자동차와 자전거 통행이 금지되어 안전하게 걸을 수 있다. 모든 길의 가운데에는 점자 블록이 설치되어 있고, 점자 블록이 설치된 중간 길을 기준으로 비장애인은 우측으로 통행하며 질서를 지키자는 의미로 배려의 길이라고도 불린다."
서울특별시 중구 청계천로 8,(무교동),1,0.0,A02,A0202,A02020100,2765510,12,20211102003309,,,126.9776154729,37.5691317067,6.0,20211109004219,0,24,,청계광장,4520,"서울 중구 청계천이 시작되는 세종로에 조성된 자연 친화적인 생태환경을 갖춘 광장이다. 다양한 볼거리를 제공하고 접근성이 좋아  시민들과 외국인 관광객들이 즐겨 찾는 서울의 대표적인 관광 명소이다. 삼색 조명의 캔들 분수와 2단 폭포에서 4m 아래로 떨어지는지는 물줄기, 폭포 양옆에는 전국에서 돌을 가져온 8도석으로 제작된 팔석담을 깔아 놓았다. 밤에는 광장의 조명들과 물이 어우러지는 환상적인 모습을 연출하여 밤에도 찾는 사람들이 많다. 청계천 전 구간을 1100로 축소한 미니어처도 볼거리로 제공하고 있으며, 연중 다채로운 시민 문화행사 및 축제가 진행되는 곳이다. 지하철 5호선 광화문역 5번 출구에서 약 60m, 지하철 1, 2호선 시청역 4번 출구에서 약 300m 거리에 있다."
서울특별시 중구 다산로36가길 25,(신당동),1,0.0,A02,A0201,A02010500,2764329,12,20211028183405,http://tong.visitkorea.or.kr/cms/resource/09/2787509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2787509_image2_1.jpg,127.0198840582,37.5615416811,6.0,20221102100402,0,24,,박정희대통령가옥,4584,"박정희 전 대통령이 1958년부터 1961년 장충동의 국가재건최고회의 의장 공관으로 이주할 때까지 가족과 함께 생활했던 집이다.(면적 128.93㎡) 이 가옥은 1930년대 후반 조선도시경영주식회사에서 신당동 문화 주택지 개발로 조성한 가옥 중 유일하게 남은 가옥으로 우리나라 주거사의 중요한 자료로 인정받으며 국가등록문화재로 제412호로 지정되었다. 가족이 거주한 당시 사진과 언론 자료를 근거로 재현하여 2015년부터 시민에게 개방되었다. 박 전 대통령의 접견실과 육영수 여사의 생활 모습을 상상할 수 있는 안방 및 박근혜 전 대통령을 포함한 세 자녀의 어린 시절을 볼 수 있는 사진과 문구 등이 전시되어 있다. 
관람을 위해서는 서울시 공공서비스(yeyak.seoul.go.k) 사이트에서 사전 예약 및 현장 접수해야 한다."
서울특별시 중구 동호로31길 21,(충무로5가),1,0.0,A02,A0202,A02020700,2762874,12,20211027001553,,,127.0016134507,37.5633050369,6.0,20211110230611,0,24,,묵정어린이공원,4559,"서울 중구 충무로 위치한 묵정어린이공원은 4,003㎡ 규모의 공원이다.1992년 개장해 2007년 개보수를 거쳐 인근 도시민들에게 휴식처를 제공하고 있다. 어린이 놀이기구, 운동 시설, 벤치, 조각품 등이 설치되어 있으며, 지하에는 공영주차장 시설이 있다. 소나무 등 여러 종류의 나무와 꽃들이 잘 심어져 있는 경관이 아름다운 공원이다."
서울특별시 중구 퇴계로26가길 6,(예장동),1,0.0,A02,A0203,A02030600,2655928,12,20200512184319,http://tong.visitkorea.or.kr/cms/resource/26/2655926_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/26/2655926_image2_1.bmp,126.9902812673,37.5591608706,6.0,20220901154810,0,24,,기억의 터(일본군 위안부),4628,"기억의 터에서 진행되는 기억의터·기림비상설해설프로그램은 남산 일본군 '위안부' 기림비(정의를 위한 연대)와 기억의 터를 잇는 남산 둘레길을 함께 걸으며 일본군'위안부' 문제에 대한 올바른 이해, 전문강사와 함께 눈높이 체험활동, 인권과 평화 이야기를 나누는 프로그램이다."
서울특별시 중구 세종대로 119,,1,0.0,A02,A0206,A02060300,2638478,12,20191125184452,http://tong.visitkorea.or.kr/cms/resource/92/2639292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2639292_image2_1.jpg,126.9767183947,37.5669375007,6.0,20210813193731,0,24,02-736-8050,서울도시건축전시관,4519," 코로나바이러스감염증19 공지사항 내용 : 사전예약관람 (2021.01.20  상황 종료시)ua hef""https:koean.visitkoea.o.knoticenews_detail.donwsid8cdd65e159f149048c9884001e40911"" title""여행정보 변동사항 페이지로 이동""→ 코로나바이러스감염증19 여행정보 변동사항 확인하기au서울도시건축전시관은 서울시가 2015년 광복 70주년을 맞아 일제강점기의 잔재였던 옛 국세청 별관 건물을 철거하고, 그 자리의 역사적 가치를 회복해 시민들에게 되돌려주는 『세종대로 일대 역사 문화 특화 공간 조성 사업의 일환으로 설립한 전시관이다. 국내 최초로 설립된 도시건축 분야 전문 전시관으로, 전시관은 지상 1층, 지하 3층(연면적 2,998㎡) 규모로 지상층에 시민광장을 조성하고 지하 3개 층을 전시관으로 조성했으며, 지하층은 지하 보행로를 통해 시민청과 연결된다. 서울의 도시발전과정과 미래 비전을 제시하고 시민 모두가 도시건축을 가까이하고 문화적 자산으로 인식할 수 있도록 도시·건축·공간 분야의 플랫폼이 될 것이며, 인구 천만이 넘는 메트로폴리스로서 세계 유수 도시와 정책·문화 교류를 통해 국제적 역량을 강화해 나아가고자 한다. 더불어, 서울도시건축전시관이 또 하나의 시민 소통 공간, 문화향유 공간이 되기를 바라는 기대와 함께 이를 통해 서울이라는 도시의 형성 과정과 배경, 역사성과 지역성에 대한 이해를 도모하고 건축을 비롯한 공간환경의 진정한 의미와 가치를 전문가뿐 아니라 시민 누구나 함께 나누고 향유할 수 있는 시민 공간으로 자리매김하기를 바란다.

서울도시건축전시관은 도시, 건축, 환경 및 정책과 관련된 기획, 상설, 대관 전시를 진행하고, 관련 정보 수집 및 아카이빙, 계절, 연휴 등의 이슈와 관련된 시민 프로그램 진행 등을 한다. 또한, 시민에게 무상으로 제공되는 휴식공간이자 도시, 건축에 관심있는 국내외인들에게 관련 자료를 공유하고 서울시에서 진행하는 관련 전시 및 행사를 유치하는 곳이다."
서울특별시 중구 서소문로9길 14,(순화동),1,0.0,A02,A0201,A02010700,2606164,12,20190613001612,,,126.9700829938,37.5631989276,6.0,20211209201827,0,24,,대한민국 임시정부 서울연통부 터,4516,"대한민국임시정부(大韓民國臨時政府) 서울연통부(聯通府) 터는 1919년 중국 상해에 수립된 대한민국임시정부가 국내와 연락을 취하고, 국내행정을 담당하기 위해 비밀리에 만든 조직인 대한민국임시정부 직할의 서울연통부가 있었던 자리이다. 현재 서울특별시 중구 순화동 동화약품의 옛 사옥 앞에 표지석이 설치되어 있다."
