addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 중랑구 용마산로112나길 41,(망우동),1,0,A02,A0201,A02010800,2774468,12,20211115235839,,,127.1017033858,37.5966057467,6,20211116002922,0,25,,삼룡사,2180.0,"서울 중랑구 용마산 자락에 있는 사찰 삼룡사는 대한불교 천태종 말사로 등록된 3,000명의 불자가 이용하고 있는 도심 속 사찰이다. 지하 1층, 지상 4층 연건평 4,297㎡ 규모로 4층 대불보전, 3층 법화삼매당, 2층 소법당과 신행 단체 등에서 사용하는 휴식공간, 1층 종무실과 대중공양실, 주방 등이 있다. 신행 단체로는 삼화합창단, 청년회, 진여다도회, 정토회, 우담바라 꽃꽂이회, 연화봉사회가 있다."
서울특별시 중랑구 망우로70길 118,(망우동),1,0,A02,A0202,A02020600,2761437,12,20211025183919,,,127.1045448519,37.5945671459,6,20211208190824,0,25,,용마공원놀이동산(용마랜드),2180.0,"1983년 용마산 끝자락에 사설 놀이공원 용마랜드가 개장하여 운영됐었는데 2011년 문을 닫았다가 지금은 시설은 그대로 둔 채 추억의 폐놀이공원으로 인기를 끌고 있다. 특히 크레용팝의 빠빠빠라는 뮤직비디오 촬영지로 명성을 얻기 시작면서 CF 촬영, 예능프로그램 촬영과 웨딩 포토 촬영 등 사진 찍기 좋은 장소로 유명한 곳이다. 촬영 및 대관 중일 때는 입장이 제한될 수 있으므로 방문 전 확인하고 가야 한다. 경의중앙선 망우역 1번 출구 봉화중학교 옆에 있다."
서울특별시 중랑구 망우로 570,(망우동),1,0,A02,A0202,A02020700,2650756,12,20200330201043,http://tong.visitkorea.or.kr/cms/resource/24/2006124_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2006124_image2_1.JPG,127.114832694,37.5984057744,6,20220419141854,1,25,,망우리 시민공원,2178.0,"망우리공원은1933년 2월 2일자 동아일보 미아리 공동묘지가 조만간 가득 찰 것에 대비하여 경기도 망우리의 임야 70여 만 평을 경성부의 공동묘지로 결정하였다. 1935년 10월 24일자 동아일보 이태원의 공동묘지를 택지화하기 위하여 37,000餘基 중 연고자가 있는 묘는 망우리로 이장하고 무연고 묘는 신사리(新寺里)에서 화장하기로 하였다.라는 기록에서 알 수 있듯이 망우리 망우산을 1933년부터 서울시의 공동묘지로 사용하기 시작하였다. 

이후 40년이 지난 1973년 3월 25일에는 28,500여기의 분묘가 가득차 더 이상의 묘지 쓰는 것이 금지된 이후 현재는 이장과 납골을 장려하면서 2018년 12월 기준 7,425基가 있으며, 앞으로도 계속해서 줄어들 전망이다. 이 시기에 도산 안창호, 고하 송진우, 명창 임방울, 애국지사 조종완, 박찬익, 백대진 등의 묘소도 이장하여 국립묘지와 사립공원 묘지에 안장되어 있다.

1992년 2월에는 이곳에 안장되어 있는 방정환, 오세창, 한용운, 조봉암, 지석영, 문명훤, 장덕수 등 7명의 연보비를 중랑구에서 산책로를 중심으로 조성했으며, 1998년 2월에는 추가로 박인환, 문일평, 서병호, 서동일, 오재영, 서광조, 유상규, 오긍선 등 8명에 대한 연보비가 추가로 5.2km의 산책로에 조성하였다.

그 동안 망우리 공원에는 3.1독립운동을 주도했던 萬海 한용운 등을 비롯한 17인의 유명인사가 안장되어 있는 것으로 알려졌으나, 각 언론사 인명록 및 독립유공자 공훈록을 중심으로 서울시 시설관리공단 장묘문화센터의 고인 검색을 통해 묘역을 확인하고 현장 답사를 통해 소설가 계용묵을 비롯한 10인의 유명인사가 추가로 안장되어 있음이 밝혀졌다.

출처 : 서울시 중랑구청"
서울특별시 중랑구 봉화산로 109-8,,1,0,A02,A0201,A02010800,1606096,12,20120418233723,http://tong.visitkorea.or.kr/cms/resource/39/2350539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2350539_image3_1.jpg,127.0867351085,37.603493565,6,20220623113720,19169,25,,성덕사,2048.0,중화동 30310번지에 있는 성덕사는 1957년 대지 800평 위에 신설된 사찰이다.  현재 주민들의 신앙생활과 지역사회 봉사활동에 도움을 주고 있고 '애동지' 전설이 있다.
서울특별시 중랑구 망우로91길 98,(망우동),1,0,A02,A0201,A02010800,1606052,12,20120418231315,http://tong.visitkorea.or.kr/cms/resource/08/1569208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1569208_image3_1.jpg,127.1133520931,37.6047383453,6,20220530151040,20989,25,,극락사(서울),,"1968년 4월 10일 건립된 극락사는 태조 이성계가 '절골' 이라 이름 붙인 곳에 위치하고 있는데, 공기 좋고 경치 좋은 생활명소로 연혁은 97년 화재로 소실되어 기록으로 남아있는 것이 없다. 하지만, 화재에도 불구하고 신도들이 끊이지 않고 있으며 인근에 있는 약수터나 동래 정씨 묘역 등을 사이에 두고 있다. "
서울특별시 중랑구 사가정로72길 47,(면목동),1,0,A02,A0202,A02020700,1117141,12,20101027004146,http://tong.visitkorea.or.kr/cms/resource/11/1985211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/1985211_image3_1.jpg,127.0957821951,37.5793243143,6,20220916161652,27111,25,,사가정공원,2261.0,"2005년 4월 13일 개장한 사가정공원은 면목동 면목약수터지구 입구에 약 3만 3천 2백여 평 규모로 조성되었다. 공원의 명칭은 용마산 부근에서 거주했던 조선 전기의 문인인 서거정 선생의 정취를 느낄수 있도록 그의 호를 따서 지어졌다. 또한, 그의 대표적인 시 4편을 골라 시비를 만들어 설치함으로써 공원이용객들이 산책과 함께 명시를 감상 할 수 있는 기회를 제공하고 있다. 그 외 피크닉장, 어린이 놀이시설, 체력단련시설, 건강지압로, 사가정(전통 정자), 다목적광장 등 다양한 휴게시설과 운동시설, 조경시설이 갖춰져 있다."
서울특별시 중랑구 봉화산로45길,(묵동),1,0,A02,A0202,A02020700,1115299,12,20101022013529,http://tong.visitkorea.or.kr/cms/resource/31/2350531_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2350531_image3_1.jpg,127.0922455148,37.610609504,6,20220401132117,25887,25,,봉화산근린공원,2040.0,"봉화산근린공원은 점토벽돌로 포장된 110평 규모의 진입광장을 비롯해 어린이 놀이터, 전통놀이마당, 주민건강마당, 야외무대 및 주민 쉼터 등으로 꾸며져 있다. 또한 공원을 따라 순환하며 조깅과 산책을 즐길 수 있는 630m의 외곽순환산책로와 공원 정상부에 800평 규모의 잔디마당, 장애인을 위한 전용 체력단력장 등으로 조성되었다. 이 밖에도 중랑구청을 찾아온 민원인들을 위해 구청 정문에서 한눈에 바라다 볼 수 있는 위치에 인공폭포를 조성하여 휴식처를 제공하며,구청의 다양한 야외 문화예술 공연 장소로 활용하기 위해 이벤트광장을 인공폭포와 연계해 조성했다. 봉화산근린공원 뒤 등산로를 따라 2030분정도 걸으면 봉화산 정상에 오를 수도 있다."
서울특별시 중랑구 망우동 산 69-1,일대,1,0,A01,A0101,A01010400,1115203,12,20101022012107,http://tong.visitkorea.or.kr/cms/resource/89/1902989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1902989_image3_1.jpg,127.1056030968,37.594281087,6,20220609112649,31114,25,,망우산(서울),2180.0,"망우동과 면목동, 경기도 구리시에 걸쳐있는 망우산은 해발 281.7m이며 망우산 일대에는 서울시립장묘사업소 망우묘지가 있다. 이 묘지는 1933년에 공동묘지로 지정되었으며, 아동문학가인 소파 방정환과 민족대표 33인의 한 분인 독립운동가인 오세창, 한용운 그리고 천연두 보급의 건구자로 의학자이며 국어학자인 지석영 등이 안장되어있다. 이 후 시인 박인환, 문일평, 서병호, 서옹일, 오재영, 서광조, 유상규, 교육가 오긍선 등 여덟 분의 연보비가 추가로 설치되어 역사의 교육장으로 이용되고 있다. 문화재로는 거북비로 불려오던 조선중기의 문신인 신경진의 신도비(서울 유형문화재 제 95호)가 있다.nsp;또한 망우리공원 내의 순환도로 5.2km를 아스콘포장하여 산책로를 만들었으며 산책로의 이름을 공모하여 98년 5월사색의 길로 정하여 불리고 있다. 도시환경과 자연관찰로, 나무정자, 약수터 등의 시설이 있으며, 수목 관리가 잘 되어있고, 공기가 맑아 휴식 및 자연공원으로 많은 시민들이 찾고 있다."
서울특별시 중랑구 신내로21길,(신내동),1,0,A01,A0101,A01010400,1115042,12,20101021235034,http://tong.visitkorea.or.kr/cms/resource/36/1894536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1894536_image3_1.jpg,127.0866155277,37.6086568514,6,20220712173800,30628,25,,봉화산(서울),2041.0,"봉화산은 서울의 동북부 외곽인 중랑구 상봉동,중화동,묵동,신내동에 접하여 있고 정상까지 높이는 160.1m 로 평지에 돌출되어 있는 독립구릉이다. 동쪽에 아차산 주능선이 있는 것을 제외하고는 북쪽으로 불암산, 도봉산과 양주 일대까지 잘 조망 되며, 서쪽과 남쪽으로도 높은 산이 없어 남산과 이남 지역도 잘 보이는 지역이다. 봉화산은 일명 봉우재라고 불리는데 1963년 1월 1일 경기도 양주군 구리면에서 서울시로 편입되었다. 이곳은 북쪽 양주의 한이산으로부터 연락을 받아 목멱산(남산)으로 전달하는 아차산 봉수대가 있던 곳으로 지난 1994년 11월 7일 봉수대를 복원하였다.  봉화산의 주요 수종은 소나무이며, 기슭에는 먹골배로 유명한 배나무 밭이 조성되어 있는데 점차 주변지역으로 잠식되고 있다. 한편 봉화산 정상에서 약간 남쪽에 봉화산 도당인 산신각이 있으며, 이 곳은 약 400년 전에 주민들이 도당굿과 산신제를 지내던 곳이기도 하다. 현재 산신각은 1992년 여름에 일어난 화재로 소실되어 지금은 붉은 벽돌과 시멘트로 지은 새 건물이 들어서 있다. 해마다 음력 3월 3일에 산 정상 부근에 있는 산신각(도당)에서 서울시 무형문화재 제34호로 지정된 봉화산 도당제가 열린다."
서울특별시 중랑구 망우로70길 103,(망우동),1,0,A02,A0201,A02010700,1114969,12,20101021234258,http://tong.visitkorea.or.kr/cms/resource/20/1986020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/1986020_image3_1.jpg,127.1049169938,37.5961975185,6,20220617174638,24539,25,,충익공신경진묘역,2179.0,"신경진은 임진왜란 때 충주 탄금대에서 배수진을 치고 왜군과 싸우다 전사한 도순변사(都巡邊使) 신립 장군의 아들로 태어났다. 선전관으로 벼슬을 시작하여 오위도총부 도사로 임명된 후 무과에 급제하여 여러 관직을 거쳤으며, 인조 2년(1624) 이괄의 난이 일어나자 훈련대장이 되어 어가를 호위하였으며, 정묘호란 때에는 강화도로 왕을 모시고 가 이듬해 평성부원군에 봉하여졌다. 인조반정 때의 공로로 정사공신 1등이 되어 병조참판 등을 역임하고 인조 14년(1636년)에는 훈련원, 호위청, 포도청의 3대장을 겸하였다. 병자호란이 일어나자 적을 막아 왕이 남한산성으로 피신하기 위한 여유를 주는 등 커다란 공을 세워 우의정, 좌의정을 거쳐 인조 18년(1640년) 평성부원군(坪城府院君)에 임명되었다가 인조 20년(1642년) 영의정에 올랐으나 병으로 사퇴하였고, 이듬해 다시 영의정으로 임명된 지 열흘만에 세상을 떠났다. 신도비란 임금이나 고관의 평생업적을 기록하여 그의 무덤 남동쪽에 세워두는 것으로, 이 비는 조선 인조 때의 무신인 신경진 장군을 기리고 있다. 신도비는 높이 368㎝나 되는 거대한 석비(石碑)로 화강암으로 조각된 거북받침대 위에 올려져 있으며, 비(碑)몸 위에는 정교하게 조각된 용머리 장식이 정교하고 화려하게 조각되어 있다. 신도비는 우암 송시열(宋時烈)이 비문을 짓고 박태유(朴泰維)가 글씨를 썼으며 머리글인 두전(頭篆)은 이정영(李正英)이 썼으며, 비의 주인공이 밝혀지기 전에는 커다란 거북받침돌 탓에 거북비라 불리우기도 하였다. 비 건너편에는 신경진의 묘역이 자리하고 있다."
