addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 남구 대학로 164,"(무거동,웰츠타워)",7,0,A02,A0202,A02020600,2788825,12,20211208034022,,,129.2636352928,35.5486575695,6,20221101132816,0,2,,와우쥬본점 / 와우 쥬,44611.0,"와우쥬는 도심 속에서 동물들과 함께하는 울산광역시의 이색 카페로 자유롭게 생활하는 동물을 직접 만지고 가까이에서 호흡하고 교감할 수 있는 특별한 공간이다. 이곳에는 사막여우, 붉은 여우, 다람쥐원숭이, 올빼미 등과 파충류도 있으며 뱀은 직접 만져볼 수도 있다. 남미에서나 볼 수 있는 알파카 등 쉽게 만나기 힘든 동물들을 직접 보고 만져보며 생명의 소중함을 깨닫고 직접 체험할 수 있는 곳이다."
울산광역시 남구 문수로217번길 15,(옥동),7,0,A02,A0201,A02010800,2783743,12,20211130224056,http://tong.visitkorea.or.kr/cms/resource/14/2797814_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2797814_image2_1.JPG,129.2776509914,35.5395727427,6,20211215050117,0,2,,정토사(울산),44642.0,"정토사는 울산  남구 문수로에 있으며, 울산공원묘원 진입로 오른편에 있다. 울산 도심에 있어, 울산공원묘원과 극락원을 찾는 사람들과 교통이 좋아 일반 시민들도 많이 찾는 절이다. 정토사에는 다른 절에서 볼 수 없는 정말 특별한 이색적인 감실팔불상이 있다. 전각 외부에 모시는 불상으로는 드물게 채색한 불상이며, 감실에선 세계 각국의 부처님을 만날 수 있다. 또한, 불교대학, 각종 전시회와 요리 교실, 음악회 등을 개최하여 포교와 시민 친화 프로그램을 운영하고 있으며, 납골 봉안당 '극락원을 운영하고 있다."
울산광역시 남구 장생포고래로 252,(매암동),7,0,A02,A0203,A02030600,2782736,12,20211129215631,http://tong.visitkorea.or.kr/cms/resource/93/2794893_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2794893_image2_1.jpg,129.3827900964,35.5021955889,6,20221115104820,0,2,,울산함,44780.0,"울산함은 우리나라 최초의 호위함으로 1975년부터 개발에 착수하여, 1980년 4월에 진수하였다. 설계와 건조, 모두를 우리 기술로 완성한 함정으로, 2014년 12월에 퇴역할 때까지, 34년간 조국 해양 수호의 임무를 성공적으로 수행하였다. 이후 역사적 가치를 기리고 국가 안보의 소중함을 일깨우기 위해 장생포 고래문화특구에 전시 개방하고 있다. 해군의 함정 생활 체험은 물론, 함정의 실내외 곳곳을 관람할 수 있다. 고래문화특구 내의 다른 시설들과 함께 둘러보기 좋다."
울산광역시 남구 남부순환도로 209,(옥동),7,0,A02,A0202,A02020600,2778109,12,20211123201307,http://tong.visitkorea.or.kr/cms/resource/45/2788145_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2788145_image2_1.JPG,129.2719794985,35.5312346843,6,20221205170149,3,2,,울산애견공원,44660.0,"울산 남구 문수국제양궁장 안에 있는 울산애견공원은 지난 2012년 3월에 전국 최초로 문을 연 반려견 전용 운동시설이다. 전국에서 유일하게 전용 수영장과 장애물 경기장을 갖춘 반려견 운동공원으로 해마다 이용자 수가 늘고 있다. 입장 주의사항은 4개월 미만의 어린 견들은 예방접종이 끝난 후에 출입이 가능하며, 전염성 질병 등이 있는 경우에는 출입이 제한된다. 접수처 건물 내에는 반려견인을 위한 다양한 프로그램 등을 운영, 반려견인을 위한 정보 교류 활동에 도움을 주고 있다. 대형견과 소형견 운동장이 따로 구분되어 운영 중이며, 집안에서만 생활하던 강아지들이 마음껏 뛰어놀며 스트레스를 해소할 수 있는 강아지들을 위한 공간이다."
울산광역시 남구 무거동 1,,7,0,A01,A0101,A01010500,2755768,12,20211013003200,http://tong.visitkorea.or.kr/cms/resource/41/2755741_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2755741_image2_1.jpg,129.2832363186,35.5501022189,6,20221111135435,0,2,,태화강국가정원 삼호지구,,"2019년 7월에 국가정원으로 지정된 태화강 국가정원 삼호지구는 여름이면 백로, 겨울이면 떼 까마귀의 서식지이자 계절마다 돌아오는 철새들의 휴식공간으로, 울산 남구 도심 속에서 습지 상태가 잘 유지되고 있어 아이들이나 학생들이 생태학습하기에 좋은 곳이다. 철새 광장, 은행나무 정원, 보라정원, 조류 생태원, 숲속정원 등으로 이루어져 있으며, 삼호대숲은 '철새쉼터'로 삼호대숲을 끼고 산책할 수 있는 멋진 길이 조성되어 있다. 울창한 소나무 숲길과 바로 옆의 대나무 숲을 끼고 산책하면서 여러 나무들과 풀들이 함께 공존하는 것을 볼 수 있는 정원이다. 낮이면 은하수 다리에서 햇빛 아래 반짝이는 태화강의 물결과 대숲을 감상하고, 해가 진 밤이면 조명이 빚어내는 아름다운 경관을 즐길 수 있는 특별하고 가치 있는 곳이다."
울산광역시 남구 정광로4번길 14,(무거동),7,0,A02,A0201,A02010800,2754498,12,20211007193408,http://tong.visitkorea.or.kr/cms/resource/32/2754532_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2754532_image2_1.jpg,129.2842113214,35.5469748116,6,20211007200423,0,2,,정광사,44638.0,"대한불교천태종 정광사는 1972년 3월에 상월원각대조사가 터를 잡고, 1974년에 법당 및 요사채 낙성식을 거행하였다. 이후 1980년 3월에 '정광사'로 사찰 이름을 받아 법당 증축공사를 시행, 8년 만인 1999년 10월에 완공하였다. 식당, 유치원, 소법당, 강당, 옥관음상과 삼천불상을 모신 기도실, 산본불을 모신 대웅보전이 위치한 본관과, 요사채, 2층 종각 등이 마련되어 있다. 관음도량 정광사는 위로 깨달음을 구하고 아래로 중생을 교화한다는 뜻의 상구보리 하화중생의 불교 이념 아래 부처님의 지혜와 자비로 불법 홍보와 교화, 수행과 정진을 통해 생활불교를 전파하며 불자들의 쉼터로 그 역할을 수행하고 있다. 정광사 삼거리에서 정광사 담장 끝자락까지 이어지는 메타세쿼이아 가로수길과 꽃무릇은 산책길로도 유명하다."
울산광역시 남구 선암호수길 114-8,(선암동),7,0,A02,A0203,A02030600,2754494,12,20211007192818,http://tong.visitkorea.or.kr/cms/resource/20/2754520_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2754520_image2_1.jpg,129.3223782689,35.5173788559,6,20221110110741,0,2,,무지개놀이터,44772.0,"울산 선암호수공원에 있는 무지개 놀이터는 2018년 우수 어린이 놀이시설에 선정될 만큼 아이들이 뛰어놀기에 좋은 안전하고 깨끗한 환경의 놀이터다. 넝쿨터널과 건널목을 통과하는 코스로 구성된 미니기차를 타고 공원 한 바퀴를 돌아보고, 짚라인 기구인 하늘 가르기, 지면과 같은 높이의 트램펄린이 설치되어 있는 점프 놀이대에서 신나게 뛰어도 볼 수 있다. 정글짐과 미끄럼틀을 혼합해 놓은 놀이 시설로 바닥에 토굴을 설치해 낮은 미끄럼틀을 타거나 언덕을 오르내릴 수 있도록 구성되어 있는 무지개 놀이터에서 놀다 보면, 어린이의 하루가 행복으로 가득 차오르는 경험을 하게 될 것이다."
울산광역시 남구 장생포고래로 246,,7,0,A02,A0203,A02030600,2638479,12,20191125184935,http://tong.visitkorea.or.kr/cms/resource/84/2639484_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2639484_image2_1.jpg,129.3813402009,35.5029704748,6,20210714203238,0,2,,장생포 모노레일,44780.0,"장생포 모노레일은 울산 장생포 고래 관광단지에 위치하고 있고 고래박물관을 출발해 고래문화마을과 5D입체영상관을 거쳐 다시 박물관으로 돌아오는 총 1.3km 순환형 노선으로 지상 35m에서 장생포 앞바다, 고래문화마을, 울산대교, 울산공단 등을 한눈에 조망할 수 있다.봄에는 레일 밑으로 가득찬 벚꽃나무를 여름에는 푸른 나무의 생생함을 가을에는 단풍의 형형색색과 겨울에는 눈꽃 가득한 나무 숲을 감상할 수 있어 자연과 산업관광을 동시에 즐길수 있다."
울산광역시 남구 여천로66번길 7,,7,0,A02,A0203,A02030600,2611134,12,20190715231142,http://tong.visitkorea.or.kr/cms/resource/27/2355027_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2355027_image2_1.JPG,129.3413431085,35.5235174122,6,20221024170105,0,2,,울산 신화마을,44766.0,"신화마을은 1960년대에 울산공단의 형성으로 삶의 터전을 잃은 사람들을 위해 만들어진 공단 이주민촌이다. 신화(新和)라는 이름은 새롭게 화합하여 잘 살자는 의미를 담고 있어 당시의 정서를 느끼게 한다. 최근 이곳은 울산의 벽화마을과 예술마을로 알려지면서 새롭게 조명되고 있다.마을 입구에는 이곳을 지키는 상징물로서 대형 조형물이 세워져 있으며, 골목마다 다양한 테마의 벽화가 그려져 있다. 타지의 벽화마을과 달리 울산의 신화마을은 모두 역량 있는 화가와 조각가, 시인, 기획자들이 작업을 진행해 완성도가 뛰어나다. 밝은 색채와 재미있고 해학적인 그림을 통해 생활의 활력을 갖도록 했으며, 미술을 비롯한 예술의 다양한 세계를 느낄 수 있도록 구성하였다. 이 외에도 마을 안에는 마을회관을 보수해 만든 마을미술관과 지역 예술인의 창작 활동을 지원하기 위해 건립한 신화예술인촌이 자리해 있다."
울산광역시 남구 남산로 306,(신정동),7,0,A02,A0203,A02030600,2605809,12,20190611020002,http://tong.visitkorea.or.kr/cms/resource/11/2601311_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2601311_image3_1.jpg,129.3024681091,35.5452836784,6,20221202141334,2,2,,태화강동굴피아,44625.0,"태화강동굴피아는 일제강점기에 만들어진 인공 동굴이다. 일본군이 군수물자를 보관하기 위해 만든 곳으로, 약 4년간의 공사를 거쳐 2017년에 문화체험공간으로 문을 열었다."
