addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 동구 성끝길 2,(방어동),7,0,A01,A0101,A01011400,2778104,12,20211123200426,http://tong.visitkorea.or.kr/cms/resource/30/2800330_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2800330_image2_1.jpg,129.4296976127,35.4847456552,6,20221207094603,0,3,,방어진항,44111.0,"1971년 국가 어항으로 지정된 방어진항은 넓은 부지의 수협위판장과 경매장이 있는 울산 대표 어항이다. 방어를 비롯해 갈치, 삼치, 멸치 등 다양한 어종이 잡히고, 인근 수산시장과 회센터에서 싱싱한 수산물을 구매해 바로 맛볼 수 있다. 방파제를 따라 있는 산책로는 사진 찍기 좋은 슬도등대까지 닿아 있고, 방어진항과 대왕암공원, 울기등대, 일산해수욕장으로 이어지는 바닷길 역시 낭만적인 풍경을 자랑한다. 최근 관광자원 활성화를 위해 북방파제 벽화 및 바닥 디자인과 주차장 등을 조성하고, 마을 박물관인 방어진 박물관을 개관하였다. 울산 시민에게는 휴식할 수 있는 쉼터가 되어주고 관광객에게는 많은 볼거리를 제공하고 있다."
울산 동구 동부동 573-4,,7,0,A02,A0202,A02020700,2752336,12,20211001183558,http://tong.visitkorea.or.kr/cms/resource/30/2752330_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/30/2752330_image2_1.png,129.4344036297,35.5521937229,6,20220412112930,0,3,,쇠평어린이공원,,"훼손된 구릉지를 생태적으로 복원함과 동시에 주민들의 여가활동과 휴식 공간 마련을 위해 조성된 쇠평어린이공원은 아름다운 자연 속에서 가족, 친구와 함께 소통과 힐링의 시간을 가질 수 있는 나들이 공간이다. 신나게 썰매를 타고 내려갈 수 있는 무료 레일썰매장과 모래놀이를 좋아하는 아이들에게 천국 같은 모래밭이 있는 놀이터, 동심으로 돌아가 신나는 모험을 함께 즐길 수 있는 복합 미끄럼틀 자이언트 트리도 있어, 아이들이 지루해할 틈이 없다. 넓은 잔디 광장에서 낭만적인 피크닉도 즐기고, 주변의 울산테마식물수목원에서 자연체험도 하면서 보내는 하루는 이곳을 찾는 사람 누구에게나 멋진 추억을 선사할 것이다."
울산광역시 동구 성끝길 122,(방어동),7,0,A01,A0101,A01011600,2752131,12,20211001005211,http://tong.visitkorea.or.kr/cms/resource/76/2752176_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/76/2752176_image2_1.png,129.4294006019,35.4781713882,6,20221024165701,2,3,,슬도등대,44111.0,"슬도는 방어진항으로 들어오는 거센 파도를 막아주는 바위섬으로 갯바람과 파도가 바위에 부딪칠 때 거문고 소리가 난다하여 붙여진 이름이다. 아치형의 슬도교를 건너가면 랜드마크처럼 서 있는 슬도등대를 만날 수 있는데, 등대 난간 위 계단 위에 올라가서 보는 시원한 바다 풍경이 아름답다. 주변의 다산과 풍요를 상징하는 '새끼 업은 고래'를 입체적으로 재현한 동상도 감상하고, 입구에 있는 소리체험관에서 고래와 바다의 소리도 들을 수 있다. 동해에선 보기 드문 노을 명소이기도 한 슬도에서 시시각각 변하는 바다를 배경으로 등대 사진을 찍으면, 눈으로 보는 것 이상의 환상적인 사진을 만날 수 있어서 사진가들에게는 출사지로도 유명하다."
울산광역시 동구 등대로 100,(일산동),7,0,A02,A0203,A02030600,2742194,12,20210909215921,http://tong.visitkorea.or.kr/cms/resource/81/2742181_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2742181_image2_1.jpg,129.4386578494,35.4880787838,6,20221103132254,0,3,,대왕별 아이누리,44058.0,"푸른 동해바다와 소나무 숲이 어우러진 아름다운 풍경을 자랑하는 대왕별 아이누리는 모래, 흙, 바람, 파도 소리 등 자연을 벗 삼아 뛰어놀 수 있고 AR·VR 등의 가상현실을 체험할 수 있는 특별한 공간이다. 실내 놀이터에는 슈팅 버블팝, 샌드 크래프트 등의 시설이 있으며, 야외 놀이터에선 모래 놀이터, 점핑네트, 숲속 공작소, 숲 밧줄 놀이터 등의 시설을 즐길 수 있다. 어린이들이 아름다운 자연과 함께 마음껏 뛰어놀면서 사고력, 상상력을 키우고 다양한 놀이 체험을 통해 밝고 건강하게 성장할 수 있도록 도와주는 교육의 장 역할을 톡톡히 해내고 있다."
울산광역시 동구 등대로 95,(일산동),7,0,A02,A0205,A02050100,2728939,12,20210730221412,,,129.4352775223,35.4904034587,6,20220519164854,5,3,,대왕암공원 출렁다리,44058.0,"대왕암공원 출렁다리는 울산 최초의 출렁다리이자 동구 최초의 대규모 상업관광시설이다. 대왕암공원 내 해안산책로의 '햇개비'에서 '수루방' 사이를 연결해 길이 303m규모로 조성되었다. 중간 지지대 없이 한번에 연결되는 방식으로, 현재 전국의 출렁다리 중 경간장로는 길이가 가장 길다. 바다 위로 이어진 다리이기 때문에 대왕암 주변의 해안 비경을 짜릿하게 즐길 수 있다. 동구청장은 ""조선업 불황 극복을 위해 동구의 연안에 조성중인 꽃바위바다소리길 등과 더불어 동구를 체류형 관광지로 알려가는 계기가 될 것으로 생각한다""고 말했다."
울산광역시 동구 새싹길 23 주전어촌체험마을안내센터,,7,0,A02,A0203,A02030100,2650827,12,20200330234548,http://tong.visitkorea.or.kr/cms/resource/16/2609416_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2609416_image3_1.jpg,129.4561043157,35.5592600061,6,20220613160928,0,3,,주전어촌체험마을,44013.0,"200여년 역사의 전통 농,어촌마을인 주전마을은 18C(조선정조)부터 주전(朱田)이란 명칭을 사용해 오고 있다. 지난 30여간 GB지역으로 지정, 울산의 타 지역과는 비교할 수 없을 정도의 깨끗한 자연환경을 구비하고 있으며, 해발 500여m의 봉대산을 넘는 주전고개가 유일한 관문이었으나, 최근 마성터널 개통으로 인해 접근성이 향상되어 도심속의 휴양지로 주목받고 있다. 동해의 주전해변(3km)을 따라 7개의 소마을, 300여 가구가 마을을 형성하고 있으며 지방도 1,027호를 기준으로 산지쪽은 농업, 해안쪽은 어업이 이루어지고 자연학습장, 봉대산공원, 주전생태하천, 몽돌해변 등의 우수한 관광지가 자리잡고 있다.
출처 : 주전어촌체험마을"
울산광역시 동구 봉수로 155-1,(방어동),7,0,A02,A0205,A02050600,2612976,12,20190725225600,http://tong.visitkorea.or.kr/cms/resource/97/2653797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2653797_image3_1.jpg,129.4062491748,35.5017849664,6,20220524160607,1,3,,울산대교 전망대,44022.0,"울산대교 전망대는 높이 63M(해발203M)로 화정산 정상에 위치해 있다. 전망대에 올라서면 2015년 5월 개통한 국내 최장이자 동양에서 3번째로 긴 단경간 현수교인 울산대교와 울산의 3대 산업인 석유화학, 자동차, 조선산업 단지 및 울산 7대 명산을 조망할 수 있다. 주간에 바라보는 울산의 전경과, 야간에 바라보는 공단과 도심의 야경은 색다른 즐거움을 제공한다. 전망대에는 동구 관광기념품 기프트샵과 카페 등을 운영하고 있어 볼거리·머물거리 모두 제공하고 있다."
울산광역시 동구 성끝길 103,(방어동) 슬도입구,7,0,A02,A0203,A02030600,2530538,12,20180109193402,http://tong.visitkorea.or.kr/cms/resource/33/2530533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2530533_image2_1.jpg,129.4328446686,35.4809183669,6,20220519165354,2045,3,,울산 소리체험관,44111.0,울산 슬도 대왕암에 위치한 소리체험관은 지상2층 654제곱미터 규모로 '여음(소리의 잔향)의 풍경'을 컨셉으로 건축되었으며 울산 '동구의 소리 9경'을 체험해볼 수 있는 체험전시관이다.
울산광역시 동구 등대로 일산동,,7,0,A01,A0101,A01011100,1910823,12,20140403193137,http://tong.visitkorea.or.kr/cms/resource/47/1803647_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1803647_image3_1.jpg,129.43995484,35.4922811141,6,20220923162555,4107,3,,과개안(너븐개) 해안,44058.0,"대왕암공원 남쪽 울산교육연수원 아래 몽돌이 있는 해안으로 둘레길에서 내려다 볼 수 있는 곳이다. 순 우리말로 '너븐개'라 하며, 1960년대까지 동해의 포경선들이 고래를 이곳으로 몰아 포획하던 곳이다."
울산광역시 동구 쇠평길 33-1,(동부동),7,0,A01,A0101,A01010700,1395991,12,20111006012729,http://tong.visitkorea.or.kr/cms/resource/35/1355135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1355135_image3_1.jpg,129.4271792207,35.5535517673,6,20220826140000,20834,3,,울산테마식물수목원,44001.0,"20여년을 두고 가꾸며 손질하여 온 농원을 테마화한 식물수목원에는 다양한 수목과 식물을 식재하여 자연학습과 학술연구를 병행할 수있는 곳이다. 울산테마식물원은 기존 생태림을 이용한 친환경적인 식물수목원을 조성하고 우리나라 자생식물을 토대로한 자연생태계의 회복과 기존 위락시설 위주의 유사 식물원과 차별화시켜 자연환경울 최대한 보존하고 식물의 특성, 이용객의 편의 및 토지활용 등을 고려한 통합적이고 체계적인 식물수목원을 수립하고자 한다. 또한 사라져가는 우리 식물을 번식 및 관리를 통하여 자생지외에서 보존 관리함으로써 희귀 및 멸종위기식물의 영구보존 및 복원을 추진하고있다."
