addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 북구 달천철장길 58 달천철장 관리시설,,7,,A02,A0202,A02020700,2872004,12,20221020151947,http://tong.visitkorea.or.kr/cms/resource/92/2871992_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2871992_image3_1.JPG,129.3290188345,35.6342825006,6,20221020151959,3,4,,달천철장유적공원,44205.0,"울산 북구에 있는 달천철장 유적공원은 삼한시대부터 조선시대 때까지 유지되었던 철광석 광산이 있던 자리에 유적공원을 조성했다. 쇠부리 축제를 통해 철 생산 당시를 재연하고 많은 시민이 역사를 공부하러 올 수 있도록 문화관을 만들었다. 유적공원에는 넓은 광장과 함께 일대를 빙 둘러싸고 있는 산책길, 관광안내소와 쇠부리 체험장, 쉼터 등 다양한 요소로 채워져 있다. 이따금 광장에서 플리마켓 등 다양한 행사가 진행되기도 하고 쇠부리 축제도 이곳에서 개최된다. 달천철장 안내소에서는 달천철장의 역사와 흥미로운 이야기를 들려주는 문화해설사가 대기하고 있다. 공원에 편히 방문할 수 있도록 널찍한 주차장도 만들어져 있다. 강동 사랑길누리길, 편백 산림욕장이 인접해 있어 함께 둘러보기 좋다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
울산광역시 북구 구유동,구유동 654-1번지 외 7개소,7,,A02,A0203,A02030600,2822414,12,20220531161837,,,129.4519308655,35.6153425111,6,20220609102612,0,4,,강동사랑길,44233.0,"2011년 지역공동체일자리사업 일환으로 시작된 강동사랑길은 바다와 산을 연결한 역사와 문화가 숨쉬는 명품녹색길로 울산뿐만 아니라 타 시도에서도 전화문의와 탐방객들의 발길이 이어지고 있다. 2014년에는 당사해양낚시공원에 용조형물을 설치하였으며, 2015년에는 우가항이 내려다보이는 해안가에 사진찍기 좋은 녹색명소 포토존 전망대를 설치하여 강동사랑길을 찾는 관광객들에게 좋은 추억거리를 제공하고 있다."
울산광역시 북구 화봉동 324-3,,7,0.0,A02,A0202,A02020100,2778214,12,20211123230217,http://tong.visitkorea.or.kr/cms/resource/19/2788119_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2788119_image2_1.JPG,129.3747354806,35.5921547698,6,20221103091759,0,4,,화동못수변공원,,"화동못 수변공원은 농업용지로 사용되던 화동못이 주변 개발로 인해 활용성이 없어지자 울산시가 주민들을 위한 휴식공간으로 탈바꿈 시켜 수변공원을 만든 곳이다. 2011년 10억 원의 예산을 들여 총 9,824㎡ 면적에 산책로와 전망대, 생태습지, 물레방아, 간단한 운동을 즐길 수 있는 체육시설, 전기차 충전시설을 구비한 주차장, 그리고 저수지 중앙에 분수 시설을 조성하였다. 자연을 온전히 담은 친환경 산책로를 걸으며 시원한 바람을 맞으면, 몸과 마음 모두 건강해지는 느낌이 들 것이다. 화동못 수변공원은 아름다운 휴식공간이자 문화공간으로 주민들의 사랑을 받고 있다."
울산광역시 북구 용바위1길 58,(당사동),7,0.0,A02,A0202,A02020700,2778200,12,20211123225445,http://tong.visitkorea.or.kr/cms/resource/72/2800372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2800372_image2_1.jpg,129.4557092851,35.5811408729,6,20221208102714,0,4,,당사해양낚시공원,44235.0,"낚시를 좋아하는 사람이라면 한 번쯤 꼭 와봐야 할 곳으로 유명한 당사해양낚시공원은 바다 한가운데를 걷는 듯한 느낌과 동해의 멋지고 아름다운 바다를 보면서 산책하고 힐링하기 좋은 곳이다. 바다를 향해 길게 나 있는 긴 다리를 지나며 사랑의 조개 고리에 소원도 적어서 걸어보고, 벤치에서 풍경을 바라보며 쉬어도 보고, 시원한 바닷바람을 맞으면 걷다 보면 기분도 좋아진다. 철망으로 되어 있는 다리 아래로 파도를 직접 느낄 수 있어서 스릴도 즐길 수 있다. 바다 한가운데서 낚시도 해보고, 다리 끝 계단을 내려가 갯바위 위에 올라가면 울산 바다의 아름다움을 마음껏 감상할 수 있다."
울산광역시 북구 양정동 512-3,(양정동),7,0.0,A02,A0202,A02020700,2778188,12,20211123225051,http://tong.visitkorea.or.kr/cms/resource/32/2788132_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2788132_image2_1.JPG,129.3876105455,35.55013196,6,20221102103523,2,4,,오치골공원,44257.0,"도심 속에 아름다운 자연이 있는 도시 테마공원인 오치골 공원은 2020년 우수 어린이 놀이 시설로 선정될 만큼 자연 친화적인 시설이 많아 주말에 어린이들과 여가를 보내기 좋은 공원이다. 오치골 공원의 시그니처인 까마귀 미끄럼틀과 미니 짚라인, 파란색의 거대한 모형 그물인 돔 플레이는 어린이들이 특히 좋아하는 놀이 기구이다. 또한 증강현실을 이용한 오치골 AR 로 듣는 오치골 이야기 등 체험시설이 있고, 주변에 양정생활체육공원, 양정소공원과 축구장, 운동장, 쉼터와 계곡까지 갖추고 있어 가족과 함께하는 주말 나들이 장소로 인기가 많다."
울산광역시 북구 호계매곡6로 108,(호계동),7,0.0,A02,A0202,A02020600,2717813,12,20210524231608,,,129.3676487809,35.6347442892,6,20221205170812,0,4,,애니언파크(울산 반려동물 문화센터),44222.0,"동남권 최초의 반려동물 문화센터로 소형견과 대형견으로 구분된 반려견 운동장과 물놀이장(하절기 개장), 목욕실(드라이룸, 수건 구비) 등 다양한 시설을 갖추고 있다.  그리고, 반려동물과 사람이 함께 살아가는데 필요한 예절교육 프로그램이 있으며 반려동물 관련 자격증 취득(훈련사, 미용사, 펫시터)을 위한 교육프로그램, 비반려인도 참여 가능한 체험교육 등 진행하고 있다. "
울산광역시 북구 저수지길 158-31,,7,0.0,A02,A0202,A02020100,2675086,12,20201007055305,http://tong.visitkorea.or.kr/cms/resource/77/2675077_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2675077_image2_1.jpg,129.3762043321,35.6085418433,6,20220613161910,0,4,052-241-7732,송정 박상진호수공원,44236.0,"울산 대표 독립운동가 고헌 박상진 의사 이름을 딴 친환경수변공원이다. 전망대, 산책로(3.6킬로), 미로정원, 습지원 등이 조성되어 있고, 무룡산과 이어지는 천혜의 자연관광 자원이다."
울산광역시 북구 달천동 산 175,,7,0.0,A01,A0101,A01010600,2661537,12,20200630201641,http://tong.visitkorea.or.kr/cms/resource/34/2661534_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2661534_image2_1.jpg,129.3043955301,35.6503524496,6,20220407155823,1,4,,편백산림욕장,44200.0,"달천동 천마산(해발 236m)은 편백나무 5ha, 소나무 33ha, 잣나무 2ha가 조성되어 있어 주민휴식처로 각광받고 있다. 주민들이 쉴 수 있는 원두막과 피크닉테이블, 숲 해설판, 평상 등이 설치되어 있고 주변에는 천마산 등산로를 기준으로 솔 숲길(0.45km)과 성터옛길(at), 0.4km 만석골 저수지 및 생태수변 전망데크, 천마산 정상 전망대 등이 마련되어 있다."
울산광역시 북구 산하중앙2로 87-33,,7,0.0,A02,A0203,A02030600,2638480,12,20191125185148,http://tong.visitkorea.or.kr/cms/resource/77/2639077_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2639077_image2_1.jpg,129.4403401426,35.6176975821,6,20220420171041,0,4,,울산안전체험관,44233.0,울산안전체험관은 재난의 위기상황에서 스스로 극복해 내는 안전지킴이를 양성하는 전문 체험기관이다. 일상생활 속에서 겪을 수 있는 재난현장을 그대로 재현하고 전문교관을 배치해 스스로를 지킬 수 있는 능력을 키우는데 최적화 하였다.
울산광역시 북구 매곡산업로 35,(매곡동),7,0.0,A02,A0204,A02040800,2460431,12,20161216223956,,,129.3641680933,35.650128603,6,20220816094747,1850,4,,자동차부품기술연구소 모토웰,44222.0,"stong자동차 도시 울산을 만드는 힘 stong  자동차부품기술연구소 모토웰은 자동차 산업과 관련된 생산, 연구개발, 창업 및 보육 등 프로세서별 기업 지원기능이 종합적으로 구비된 자동차 산업기반공간으로 울산의 자동차 산업의 연구 개발에 있어 주도적인 역할을 수행하고 있다. 또한 울산 시티투어와 연계되어 견학이 진행되며, 지역에서 생산하는 자동차 관련된 부품과 자동차를 전시해 놓고 있으며, 울산의 자동차 산업을 확인할 수 있다."
