addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 울주군 삼동로 1653,,7,,A02,A0203,A02030400,2893139,12,20221101170012,http://tong.visitkorea.or.kr/cms/resource/87/2892387_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2892387_image3_1.JPG,129.2149023859,35.487005253,6,20221213133845,0,5,,더 씨앗,44962,"더 씨앗은 울주군 웅촌면을 사랑하는 이들이 마음을 모아 만든 로컬문화단체다. 더 씨앗은 급속한 고령화 현상으로 위기를 맞고 있는 지역 학교 아이들과 맞벌이로 인해 공백이 생긴 부모의 역할에 대한 고민을 거듭해 왔다. 2021년 관광두레와 인연을 맺게 되면서 아이들과 부모가 소통할 수 있는 교육 프로그램을 운영하는 복합문화공간 카페곰곰을 마련했다. 카페곰곰은 어린이의, 어린이에 의한, 어린이를 위한 복합문화공간이다. 유모차를 밖에 두는 조건으로 입장을 허락 맡지 않아도 되고 아이의 목소리가 높아져도 움츠려들지 않아도 된다. 공공장소에서 지켜야 할 예의를 공공장소에서 배울 수 있는 기회를 제공하기에 아이와 부모 모두 주변의 눈치를 보지 않고 소통한다. 아이들을 위한 프로그램을 비롯해 부모와 함께 하는 다양한 프로그램을 운영한다. 가장 인기가 많은 프로그램은 쿠킹클래스. 조물조물 반죽을 하고 모양을 내고 자신이 만든 쿠키가 오븐에서 풍기는 고소한 냄새까지 즐긴다. 그 외에도 사포로 문지르고 오일을 칠하고 버닝을 해 세상에 하나뿐인 독서대를 만드는 목공클래스, 바지와 모자 등 헌 옷을 리사이클링 하는 바느질클래스 등이 있다. 곰곰이 책 읽기 프로그램은 부모와 함께 책을 읽고 전문가와 생각을 나눈다. 특히 아이와 부모가 소통하기 어려운 성교육이나 환경문제 같은 부분을 편안하게 풀 수 있도록 돕는다."
울산광역시 울주군 범서읍 입암리,129-1,7,,A02,A0202,A02020700,2871593,12,20221020114851,http://tong.visitkorea.or.kr/cms/resource/84/2871584_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/84/2871584_image3_1.JPG,129.2344951937,35.583364229,6,20221020114902,1,5,,선바위공원,44926,"울주군 범서읍 입암리에 있는 선바위공원은 울산 12경 중 하나인 선바위를 가까이서 볼 수 있는 공원이다. 선바위도 보고 공원에서 산책도 하며 휴식을 즐길 수 있다. 앞으로는 강이 흐르고 한여름에도 시원한 나무 그늘이 있어서 울산 근교 나들이를 하기에도 좋다. 선바위 공원은 넓게 조성되어 있어, 경치를 보며 산책이나 운동도 하고, 피크닉도 즐길 수 있다. 선바위 공원은 나무들이 많아 햇살을 가려주는 그늘도 가득하다. 선바위 바로 옆에 태화강 생태관이 있어서 함께 둘러보기 좋다. 
 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)"
울산광역시 울주군 범서읍 구영리,801-13,7,,A02,A0202,A02020700,2871570,12,20221020114023,http://tong.visitkorea.or.kr/cms/resource/57/2871557_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/57/2871557_image3_1.JPG,129.242142095,35.5710407589,6,20221020114225,0,5,,구영공원,44923,"구영리 중심지에 위치한 범서지역 주민들을 위한 여가 선용과 휴식 공간으로 조성된 공원이다. 구영 저수지를 메워 주민들이 쉴 수 있는 편의 공간으로 조성했으며 목재 데크 계단을 활용해 옛 구영지구에서 쉽게 접근할 수 있도록 조성되었다. 구영 저수지였던 곳의 특징을 살려 작은 연못은 유지하고 있다. 범서 구영공원에는 2층 규모의 주차장 1개 동과 도시계획도로, 데크 로드, 전망 데크 등이 조성돼 있다. 또 지역 청소년들을 위해 X게임장과 어린이 놀이터, 파고라 등이 설치돼 있으며 주민들의 체력단련을 위한 야외 헬스기구도 배치해 두고 있다. 선바위가 인접해 있어 함께 둘러보기 좋다.
 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)"
울산광역시 울주군 서생면 대송리,산110-22,7,,A02,A0205,A02050600,2871546,12,20221020113347,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2871524_image3_1.JPG,129.3611487843,35.3588057199,6,20221020115145,4,5,,간절곶소망우체통,45015,"울산에서 가볼 만한 곳으로 꼽히는 곳이다. 5m 높이를 자랑하는 소망 우체통은 1970년대에 사용된 옛 우체통을 본떠 2006년에 제작된 것으로 실제로 우편물 수거가 이루어지는 진짜 우체통이다. 근처 매점이나 카페에 무료 엽서가 비치되어 있어 친구나 가족에게 기념엽서를 보낼 수 있다. 우체통은 전국적인 해맞이 명소인 간절곶을 찾는 사람들의 애절한 사연을 담고, 꿈과 희망을 배달하기 위해 제작됐다. 이후 우체통에는 지금까지 15만여 장의 엽서가 담겼다. 엽서는 소망 엽서와 우편엽서 두 가지로 나뉜다. 배달되지 않는 소망 엽서는 울산시청으로 접수되고, 우편엽서는 수취 희망인에게 배달된다. 소망 엽서의 내용은 지역방송을 통해 소개되기도 한다.
 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)"
울산광역시 울주군 향산동길 48,,7,,A02,A0204,A02040600,2850158,12,20220906151738,,,129.0969765879,35.585822488,6,20220906152028,0,5,,복순도가,44903,"전통 가양주 방식으로 술을 빚어내는 울주군에 위치한 양조장이다.
어머니의 마음으로 정성스러운 막걸리를 만드는 것이 복순도가의 신념이다. 항상 좋은 것만 주시려는 어머니의 마음을 따라
국산 쌀만을 사용하여 전통 방식 그대로 옛 항아리에 담아 빚어낸다. 살아 숨 쉬는 누룩이 만들어낸 천연 탄산은 긴 발효의 기다림이 주는 선물이다.
청와대 만찬 건배주와 각종 국제 행사의 만찬주로도 사용되어 외국 관광객들에게도 인기가 좋은 상품이다.

(내용: 복순도가 홈페이지 참고)"
울산광역시 울주군 서생면 해맞이로 1458,,7,0.0,A01,A0101,A01011200,2788450,12,20211208024605,,,129.346391319,35.3736815522,6,20220621175243,0,5,,솔개해수욕장,45013,"울산광역시 울주군 서생면에 있는 동해안의 작은 해수욕장이다. 솔개해수욕장은 진하해수욕장에서 간절곶 방향으로 가다 보면 나오는데 아주 고운 모래를 가지고 있는 아담하고 작은 해변이다. 울산 시가지 변두리에 있어 접근성은 조금 떨어지지만, 번잡하지 않은 해수욕장을 원한다면 안성맞춤이다. 인근 해수욕장에 비하면 규모는 작지만 많은 사람으로 붐비는 해수욕장과는 또 다른 매력을 느낄 수 있다. 해수욕장에서 데크 산책로로 해안을 산책할 수 있으며 해수욕장과 인접한 곳에 여가를 즐길 수 있는 시설도 있다."
울산광역시 울주군 온산읍 강양길 123,,7,0.0,A01,A0101,A01011400,2788447,12,20211208024502,,,129.3465491622,35.3907407526,6,20211208215248,0,5,,강양항,45008,울산의 일출 명소로 유명한 강양항은 명선교를 건너면 진하해수욕장으로 바로 갈 수 있는 곳에 자리 잡고 있다.  강양항에서 갓 잡아 온 멸치를 손질하는 작업 사진이 각종 공모전의 단골 출품작으로 등장하기도 한다. 최근 강양항 개발사업을 진행해 어선 86척을 수용할 수 있는 대피항으로 정비했다. 재난 상황 시 대피항 기능뿐만 아니라 평상시 어업 활동도 할 수 있는 물양장 형태로 조성했기 때문에 강양항을 이용하는 어민과 주민들에게 효율적인 어업기반시설로 만들었다.
울산광역시 울주군 범서읍 두동로 704,,7,0.0,A02,A0202,A02020300,2788442,12,20211208024241,,,129.2220173109,35.6258064399,6,20221104095939,0,5,,범서온천 지지워터피아,44918,"범서 온천은 지하 1,000m 천연암반수에서 뽑아 올린 최고의 수질, 천연물 탕인 100 천연 온천수이다. 특히 pH.6의 알칼리성 수질로 비누를 조금만 사용해도 거품이 잘 일고 피부에 탄력을 주는 좋은 효과로 목욕 후에도 피부가 부드러워진다. 양이온인 나트륨, 칼슘, 칼륨, 마그네슘 등과 음이온인 중탄산, 탄산 등 인체에 이로운 성분이 다량 함유된 광천으로 아름다운 피부와 건강을 지킬 수 있게 해준다. 신경통 류머티즘 질환, 위장병, 부인병, 만성 변비, 피로 해소, 두통, 불면증, 아토피 등에 탁월한 효능을 가진 최상의 건강 온천탕이다."
울산광역시 울주군 온산읍 덕신리 269,,7,0.0,A02,A0202,A02020700,2788428,12,20211208023433,,,129.3110843877,35.4334714025,6,20220506110227,0,5,,덕신소공원,,"덕신소공원은 울주군 온산읍에 있는 작은 도심 근린공원으로 삼각형 모양의 땅에 공원을 조성했다. 언제든 공원 내 운동 시설을 이용할 수 있으며 공원 바닥이 평탄해서 어린이들이 스케이트보드나 인라인스케이트를 즐기기에 안전하다. 봄에는 벚꽃놀이를 즐길 수 있으며 여름에는 물놀이장을 운영해 물놀이를 즐길 수 있다. 또한, 야외무대를 갖추고 있어 다양한 공연을 즐길 수도 있다. 특히 덕신소공원 내 화장실은 국민 안심 공중화장실로 범죄 예방 디자인 개선작업을 마쳐서 더욱 안심하고 이용할 수 있다."
울산 울주군 상북면 지내리 8,,7,0.0,A02,A0204,A02040800,2784343,12,20211201192855,http://tong.visitkorea.or.kr/cms/resource/27/2798327_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2798327_image2_1.JPG,129.1168192368,35.5879698389,6,20220708094450,0,5,,불고기 팜 농어촌 테마공원,,"불고기 팜 농어촌 테마공원은 상북면 지내리 못안못 일원 94,397㎡ 부지에 수변 공간과 광장공간, 한우 불고기 테마관 등을 조성한 복합휴양 공간이다. 공원 한가운데 못안못이라는 저수지가 있으며 갈대 생태공원, 미나리 수질정화원을 비롯해 산책로, 전망대, 관찰 데크가 설치되어 있어 아름다운 자연을 보고 즐길 수 있다. 공원 광장에는 어린이 놀이터와 천막형 벤치, 피크닉 테이블이 설치돼 있어 가족 동반 나들이에 제격이다. 또한, 전통 한옥 형태로 지은 한우 불고기 테마관에서는 한우 불고기에 대한 정보를 알 수 있고, 울주군 내에서 생산된 우수한 육질의 한우 불고기를 싼값으로 맛볼 수 있는 한우직판장도 있다. 입도 즐겁고 아이들도 즐겁게 뛰어놀 수 있는 가족 나들이의 최적 장소이다."
