addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 중구 중앙1길 9,(성남동),7,0,A02,A0206,A02060300,2795251,12,20211214190349,http://tong.visitkorea.or.kr/cms/resource/54/2795254_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2795254_image2_1.jpg,129.3197857306,35.5563549816,6,20221129114320,0,1,,고복수음악관,44529.0,"울산 중구 중앙 1길 및 새즈믄해거리 일대 150m에 조성된 고복수 길을 따라 걷다 보면 복고 감성으로 무장한 낡은 건물과 오래된 골목이 말을 걸어온다. 오래된 가정집을 개조하여 꾸며진 고복수 음악관은 1층은 전시공간 2층은 복합 문화공간으로 운영되고 있다. '타향살이'로 유명한 울산 출신 고복수 선생과 부인 황금심 여사의 생애와 그의 작품, 대표곡도 감상할 수 있게 꾸며놓았다. 고복수 음악관은 개화기 시대의 분위기를 고스란히 느낄 수 있는 축음기, 피아노, 등의 소품과 인테리어로 꾸며 레트로풍 감성 사진을 찍기에도 안성맞춤이다. 울산에서는 한국 가요사에 큰 발자취를 남긴 고복수 선생의 업적을 기리고 한국 대중가요 발전을 위해 매년 고복수가요제를 개최하고 있다. 2층 카페 성남살롱에서는 음료를 즐기며 쉴 수 있다."
울산 중구 성남동 225-2,,7,0,A02,A0203,A02030600,2794725,12,20211214035201,http://tong.visitkorea.or.kr/cms/resource/21/2794921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2794921_image2_1.jpg,129.3204357514,35.5536053031,6,20221116100552,0,1,,맨발의청춘길,,"울산 중구의 문화 관광의 대표적 거리인 맨발의 청춘길은 7080년대 울산의 근로자들과 학생들이 분주히 오가던 골목길의 향수를 간직하고자 2016년부터 중앙동 도시재생 사업의 일환으로 추진되었다. 음악존, 영화존, 패션존으로 구역을 나누었고 당시 인기 있던 영화 포스터와, 이소룡 등을 넣은 벽화를 칠해 구간별 특색을 나타냈다. 특히 음악존은 동작 감지 센서가 설치되어 사람이 지나가면 자동으로 7080 세대의 음악이 흘러나와 그 시절 추억을 떠오르게 한다. 노후된 바닥을 정비하고 경사로 인근에 쉼터와 화단을 조성했다. 걷다가 다리가 아프면 쉬어갈 수 있도록 방문객을 위한 휴게용 계단도 마련되어 있다. 밤이 되면 화려한 네온사인들이 번쩍여 낮과는 다른 풍경을 볼 수 있다. 골목길 곳곳에 오래된 식당들과 옷집, 노래방, 이색 주점들이 있는 맨발의 청춘길은 울산의 역사와 문화를 엿볼 수 있는 곳이다."
울산광역시 중구 유곡동 259-2,,7,0,A02,A0202,A02020600,2784124,12,20211201013635,http://tong.visitkorea.or.kr/cms/resource/32/2800032_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2800032_image2_1.JPG,129.3061895174,35.5626623497,6,20220506093154,3,1,,공룡발자국공원,,"울산광역시 중구 유곡동에 있는 공룡 테마 공원이다. 이곳에서 약 1억 년 전 전기 백악기 시대의 육식 공룡 마니랍토라의 발자국 3개와 초식 공룡 코레아노사우로푸스 발자국 77개 등이 발견되었다. 보존 상태가 양호하여  2000년 11월 9일 울산광역시 문화재자료 제12호로 지정하고 공룡발자국공원을 조성한 것이다. 총 31,042㎡의 넓은 부지에 산책로와 휴게 공간이 있다. 입구에는 공룡 뼈 모양의 게이트와 실제 공룡 발자국을 본떠 만든 모형이 있고, 산책로를 따라가면 공룡 발자국이 있는 바위를 볼 수 있다. 공원 곳곳에 티라노사우루스와 타르보사우루스, 하드로사우루스 등 총 4마리의 공룡 모형이 배치되어 있고, 공룡의 알 모형을 이용하여 공룡의 둥지가 만들어져 있으며 공룡 해설 프로그램도 운영하고 있다. 또한, 어린이들이 직접 공룡 화석을 발굴해 볼 수 있는 화석발굴놀이터, 공룡 알 포토존, 공룡 발자국화석 이야기를 담은 공룡 조형물, 공룡 머리 모양 문과 벤치 등도 마련되어 있어 어린이와 함께 나들이하기 좋은 장소이다."
울산광역시 중구 문화의거리 28 울산큰애기 하우스 3층,,7,0,A02,A0203,A02030600,2638481,12,20191125185241,http://tong.visitkorea.or.kr/cms/resource/12/2639112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2639112_image2_1.jpg,129.3217355522,35.5566522073,6,20220915094152,1,1,,이팔청춘사진관,44530.0,"2019년 5월 25일 개관한 이팔청춘 사진관은 울산 큰애기 하우스 3층에 위치하고 있다. 울산큰애기 하우스는 관광안내소로 1층에는 울산큰애기 기념품 판매 및 울산중구의 관광지를 소개하고 있으며 2층에는 울산큰애기의 방을 모티브로 한 쇼룸 및 포토존으로 꾸며져 있다. 3층에 위치한 이팔청춘사진관, 일명 울산큰애기 할머니 사진관은 울산큰애기 할머니의 젊은 시절의 이야기를 담은 셀프 스튜디오로 의상 및 소품을 대여하여 복고풍 사진촬영을 할 수 있는 곳으로 조성되어 운영하고 있다."
울산광역시 중구 서원3길 65,(학성동),7,0,A02,A0204,A02040800,2554251,12,20180718202549,,,129.3337288538,35.560071493,6,20220908130039,229,1,,울산MBC,44512.0,"stongTV속 미지의 공간으로 가볼까stong  울산MBC는 견학프로그램과 방송직업체험교육 PLAYM을 진행 중이다. PLAYM은 방송직업체험과 방송국견학이 가능한 기본체험, 어린이체험과 미디어특강, 뉴스기사작성 체험이 추가된 종일제 프로그램으로 구성되어 있다. 운영요일은 화요일부터 토요일까지이며, 각 프로그램별로 운영시간이 다르므로 사이트에서 확인 후 이용해야 한다."
울산광역시 중구 문화의거리 28,(옥교동),7,0,A02,A0203,A02030600,2509933,12,20171012013847,,,129.3217188878,35.5566272097,6,20220414112906,2024,1,,울산 큰애기하우스,44530.0,"울산큰애기하우스 울산 중구를 대표하는 브랜드 울산큰애기 의 플래그십 스토어이자 다양한 지역 정보를 제공하는 관광안내소이다.1층은 관광안내소 겸 캐릭터상품 판매소로 운영되고, 2층은 울산큰애기의 숙소 콘셉트로 꾸며져 관광객을 위한 다양한 볼거리와 즐길 거리를 제공한다. 현실형 캐릭터인 울산큰애기에 어울리게 소녀들의 판타지를 재현한 방은 어린 자녀를 둔 가족단위 관광객에게 특히 인기 있는 공간이다. 3층은 비즈니스룸으로 문화예술업 종사자들을 위한 세미나실, 관광객들을 위한 휴게실과 자료 검색 공간 등으로 꾸며졌다. 문화의 거리, 울산큰애기야시장 등 중구의 대표 관광지에 인접하여 도보관광객을 위한 휴식공간으로도 많은 사랑을 받고 있다."
울산광역시 중구 중앙길 161,(옥교동),7,0,B01,B0101,B01010700,2509920,12,20171012012937,,,129.3221632958,35.5565300067,6,20220422150527,1688,1,,울산중구생활문화센터,44530.0,"예술가와 시민들의 소통, 힐링의 공간 울산 중구의 대표적인 커뮤니티 센터로 문화의 거리 활동 작가들의 창작 공간이자 작품 판매소, 주민들을 위한 여가 공간으로 꾸며졌다. 1층 작품판매소에는 종이, 천, 도기 등 다양한 재료를 활용한 공예작품과 가방, 펜, 장신구 등 생활소품을 판매 중이다.  다목적홀에서는 인문학, 사회과학 서적의 열람이 가능한 작은 도서관도 운영 중이다. 예술창작소의 동아리연습실, 체험실 등은 사전에 신청만 하면 누구나 무료로 사용이 가능해 전시, 공연, 행사, 교육 등 다양한 목적으로 활용되고 있다. 4층 야외쉼터는 옥상정원이 꾸며져 원도심의 풍경을 감상하며 여유로운 티타임을 가질 수 있다. 입장권은 없으며 누구나 제한 없이 입장 가능하니 도보여행에 지친 관광객에게는 최고의 휴식 장소가 될 것이다."
울산광역시 중구 학성로 65,,7,0,A02,A0206,A02060600,2507820,12,20170918223821,,,129.3181748052,35.5547606861,6,20220926181601,1498,1,,큐빅광장,44529.0,"1970년대 울산을 찾은 유랑극단의 공연이 펼쳐지던 곳으로 2012년 과거의 기억을 현대적으로 재현한 복합문화공간으로 재탄생했다.이듬해 '대한민국 공간문화대상'을 수상한 큐빅광장은 문화라는 주제를 시각적으로 실현해낸 울산 중구 원도심 재생 프로젝트의 첫 번째 사업으로 탄생했다. 이 곳은 청소년과 젊은이들을 위한 다양한 공연과 전시, 체험행사 등이 상시 열려 그들의 잠재성과 커뮤니티 활성화를 돕고 있다. 울산 중구의 원도심은 큐빅광장을 비롯한 독특하고 이색적인 거점 관광지들이 다수 조성되면서 울산의 대표적인 관광지로 자리잡았다."
울산광역시 중구 서동,,7,0,A02,A0201,A02010100,2502653,12,20170808231552,,,129.344216346,35.577133661,6,20220602152440,2279,1,,울산 경상좌도병영성,44484.0,"1417년(태종 17)에 쌓은 울산병영성은 해발 45m 이하의 낮은 구릉을 이용해 쌓은 조선시대의 전형적인 읍성으로 경상좌도 병마도절제사영의 주둔지였다.전체의 평면 모양은 타원형이며, 성의 크기는 둘레 약 1.2㎞, 높이 약 3.7m 정도 된다. 처음 건립할 당시에는 여장(女墻:적으로부터 몸을 보호하기 위하여 성벽 위에 설치한 낮은 담장과 같은 구조물) 등 기본적인 시설만 갖추었다가 세종·문종대에 와서 옹성(甕城)·적대(敵臺:雉城)·해자(垓字) 등 여러 방어시설을 설치하였다.    내부시설로 우물·도랑·창고 등이 있었다는 기록이 남아 있다. 과거 경상좌도 병마절도사영 위치를 기박산성 자리로 옮기기 위해 그 둘레에 붉은 기를 꽂아두었는데 별안간 동해 쪽에서 일진의 광풍이 거세게 몰아쳤다고 한다. 이때 기 하나가 회오리바람을 타고 남쪽으로 날아갔는데, 그 방향을 따라가 보니 현재의 병영성 위치였다고 한다. 성을 풍수지리적 길지에 지어 외적의 침략을 막고 고을을 지키려는 백성들의 바램이 투영된 설화라 하겠다.  오랫동안 나라의 동남쪽 해안방어를 담당하던 성은 임진왜란과 정유재란 당시 부근에 주둔하던 왜군이 이곳의 돌을 가져다 울산왜성을 쌓으면서 훼손되었다. 현대에 들어 도시개발사업이 진행되면서 성터만 남았다가 2010년부터 본격적으로 복원사업이 진행되어, 지금은 많은 부분 원래의 모습을 되찾았다."
울산광역시 중구 성안동,,7,0,A02,A0201,A02010700,2502643,12,20170808230600,,,129.3129525754,35.5711781861,6,20221027103957,1381,1,,함월루,44423.0,"달을 품은 누각이라는 뜻으로 예로부터 달의 기운을 받았다고 알려진 함월산에 위치했다. 중요무형문화재인 최기영 대목장이 도편수로 참여했고, 조계사와 해인사의 현판을 쓴 원로 서예가 송천 정하건 선생이 현판 작업을 맡아 최고의 완성도를 갖췄다. 누각 자체의 아름다움도 돋보이지만 세계에서 세 번째로 긴 현수교인 울산대교의 야경과 울산 시가지를 한눈에 조망할 수 있어 더욱 많은 사람들의 사랑을 받고 있다. 맛집과 예쁜 까페가 많기로 유명한 성안지구에 인접하여 연인들의 데이트 코스로 사랑받고 있다."
울산광역시 중구 태화로 300,(태화동),7,0,A02,A0201,A02010700,2502631,12,20170808223047,,,129.3076757594,35.5533995305,6,20220408145952,2142,1,,태화루,44452.0,"진주의 촉석루, 밀양의 영남루와 함께 영남을 대표하는 누각으로 울산의 전통성과 정체성을 고스란히 담은 대표적 유적이다. 643년(신라 선덕여왕 12년), 당나라에서 불법을 구하고 돌아온 자장대사가 울산에 도착하여 태화사를 세울 때 함께 건립했다. 태화강변 황룡연 절벽 위에 위치했으며 임진왜란 때 소실되었다가 역사와 미래가 있는 태화강 만들기 프로젝트의 일환으로 복원되어 현재의 모습으로 재탄생했다. 태화강대공원, 십리대숲과 산책로로 이어지며 태화강이 한눈에 내려다보이는 멋진 조망으로 많은 사람들의 사랑을 받고 있다."
