addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 강화군 삼랑성길 8,,2,,A02,A0204,A02040600,2847546,12,20220901131244,,,126.4913773782,37.6386205364,6,20220914131115,0,1,,금풍양조장,23050,"3대째 이어져 오는 전통이 살아 숨쉬는 금풍양조
양환탁 – 양재형 – 양태석으로 3대째 이어오고 있는 강화도 전통주의 역사이며 100년 전통의 막걸리는 강화도 최고의 친환경쌀을 원료로 하여 고급화 과학화를 위해 정진하고 있다. 금풍양조는 2021년 강화도 최초로 지역특산주(탁주, 약주)면허를 획득, 지역원료 소비와 세계화 주류제조라는 목표를 가지고 전진하고 있으며, 특징적인것은 쌀포대를 업사이클링 한 패키지를 제작하여 새로운 이목을 끌고 있다."
인천광역시 강화군 삼산면 삼산북로 4,,2,0.0,A01,A0101,A01011400,2791189,12,20211210013858,http://tong.visitkorea.or.kr/cms/resource/56/2791356_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2791356_image2_1.jpg,126.3672094434,37.6937563734,6,20221108104428,0,1,,석포리선착장,23006,"강화도 외포항에서 서쪽으로 1.5㎞ 해상에 있는 석포리선착장은 석모도에서 가장 큰 선착장이다. 강화도 외포리선착장에서 페리를 타면 10분 이내에 석포리선착장에 도착한다. 선착장에는 석모도 농수산물젓갈시장이 있어 새우젓이나 말린 망둥어, 순무김치 등 석모도에서 나는 특산물을 살 수 있다. 횟집을 비롯한 일반 식당과 슈퍼와 낚시를 겸하는 가게도 있다. 강화나들길 11코스인 석모도 바람길과 상주해안길이 여기서부터 시작된다. 석포상주 간, 석포매음리 사이와 보문사나 등산로, 민머루 해수욕장을 운행하는 마을버스도 여기서 출발한다.
외포항에서 석모도 가는 배는 평일에 매 정시와 30분에 출항한다. 외포리항에서 지불한 금액이 왕복 요금이므로, 석포리선착장에서 외포리항으로 갈 때는 외포리항에서 끊은 표를 보여주면 된다. 평일에는 한산한 편이지만, 주말에는 방문객이 많아 대기시간이 길어지기도 한다."
인천광역시 강화군 삼산면 삼산남로 411,,2,0.0,A02,A0202,A02020300,2781270,12,20211126032125,http://tong.visitkorea.or.kr/cms/resource/08/2781308_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/08/2781308_image2_1.png,126.3553447144,37.6630819649,6,20221021094330,0,1,,리안월드핫스프링빌리지,23007,"인천 강화군 석모도에 위치한 리안월드핫스프링빌리지는 지하 700m 암반층에서 나오는 천연 온천수를 공급하는 온천과 리조트가 결합된 복합단지이다. 한옥 48개 동, 모던빌리지 93개 동, 상가 9개 동으로 되어 있으며 4개 블록으로 구성되어 한옥타운과 넓은 정원을 산책하며 온천욕을 즐길 수 있는 곳이다. 
천연온천 한옥단지 온천 한옥마을과 모던한 스타일의 모던 빌리지, 별장형 프리미엄급 리조트와 물놀이 테마파크, 대형음식점 등이 조성되어 있다."
인천광역시 강화군 강화읍 해안동로1366번길 35,,2,0.0,A02,A0201,A02010900,2768133,12,20211104194215,http://tong.visitkorea.or.kr/cms/resource/26/2780626_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/26/2780626_image2_1.png,126.5174945418,37.7341959658,6,20221024153016,0,1,,갑곶순교성지,23027,"1866년 프랑스인 성직자 9명을 처형한 책임을 물어 프랑스 함대가 갑곶돈대로 상륙했다. 이로 인해 강화 지방에서는 혹독한 박해가 시작됐고 갑곶 성지가 보이는 백사장에서 많은 신자가 순교했다. 또 1871년에는 미국 군함에 다녀왔다는 죄로 우윤집, 최순복, 박상손 등이 갑곶 진두에서 순교했다. 후에 천주교 인천교구는 갑곶 진두의 정확한 위치를 찾아 지금의 갑곶 순교성지를 조성하고 2004년 2월 10일 갑곶 순교성지 첫 미사를 드렸다. 강화도 성지로 일만 위 순교자 현양 동산, 진무영(鎭武營) 순교성지, 관청리 형방이 있으며, 십자가의 길, 순교자 삼위비, 박순집 베드로 묘 등을 순례할 수 있다. 성지순례를 위해서는 홈페이지를 통해 사전 예약해야 한다."
인천광역시 강화군 삼산면 석포리 산 185,,2,0.0,A01,A0101,A01010400,2768124,12,20211104193351,,,126.3538721856,37.67903008,6,20211209015038,0,1,,해명산,23007,"석모도 남단에 높이 320m의 해명산이 있다. 석모도는 작은 섬이지만 낙가산, 상봉산, 상주산까지 300m 가까운 작은 산들이 여럿 있다.해명산은 전망대로 유명한데, 정상에 올라가면 강화섬 주변으로 있는 작은 섬들의 군도를 조망할 수 있다.강화섬 서쪽 편이 잘려 나간 듯한 모양을 지닌 석모도 주변으로 위로는 교동도와 석모도의 주변섬 미법도와 서검도, 강화도 뱃길로 들어가는 볼음도와 주문도, 말도, 멀리 영종도의 신도와 모도, 장봉도까지 파노라마처럼 조망할 수 있다."
인천광역시 강화군 길상면 초지리,,2,0.0,A01,A0101,A01011400,2768120,12,20211104193104,,,126.5190112293,37.6289527046,6,20221130134533,0,1,,황산선착장,23052,"강화도로 들어가는 대표적인 다리인 초지대교를 건너면 강화도에 붙은 섬 황산도를 만날 수 있다.황산도 둘레길은 강화 나들길 중 한 코스로 강화섬과 건너편 인천 대륙을 바라보며 바닷길을 걸을 수 있다. 황산도 선착장은 둘레길의 시작점이다. 나들이 길을 나설 때, 편안하라고 화장실 시설도 깨끗하게 잘 마련되어 있으며, 주차장 시설도 갖췄다."
인천광역시 강화군 내가면 황청포구로 492,,2,0.0,A01,A0101,A01011400,2768108,12,20211104192214,,,126.3536685043,37.7122761976,6,20221206132907,0,1,,황청포구,23017,강화도에서 석모도로 연결되는 다리(삭제) 석모대교 입구 근처에 있는 황청리 선착장의 포구이다. 강화섬 국수산(193m)의 산자락과 바다 건너 석모도를 바라볼 수 있는 비경을 가진 곳으로 풍광이 아름답다. 특히 황청포구 주차장은 차박지로도 유명하다(삭제) 자동차를 주차해 놓고 주변을 산책하며 소풍을 즐기는 차크닉과 자동차 캠핑 차박으로 인기가 많다.
인천광역시 강화군 길상면 동검길65번길 91-9,,2,0.0,A01,A0101,A01011400,2768096,12,20211104190842,,,126.5219593359,37.5874659214,6,20221124160419,0,1,,동검선착장,23053,"강화도에 딸린 섬 동검도에 있는 선착장 동검항이다. 이곳은 자동차로 캠핑을 즐기는 차박 장소로 유명한 곳이다. 강화도에서도 배를 타고 들어가지 않고, 강화도와 연결된 자동차 길로 이동할 수 있는 편리함 때문에 동검도는 자동차 캠핑장으로 인기가 높다. 서해안의 갯벌 체험과 주변 낚시터들도 이용할 수 있어 가족단위 캠핑족들이 많이 찾는다."
인천광역시 강화군 화도면 장화리 1408,,2,0.0,A01,A0101,A01011100,2768079,12,20211104185310,,,126.3783882943,37.6180376186,6,20221202133258,0,1,,장화리일몰조망지,23061,섬 전체가 역사문화유산이라는 강화도는 역사관광과 더불어 아름다운 섬 풍광과 바다를 조망하려는 관광객들이 많이 찾는 곳이다.강화섬 서남단 장화리 해변에는 서해안의 일몰을 조망할 수 있는 장화리 일몰조망지가 조성되어 있다. 서해의 바다 바로 앞에서 해수면 아래로 떨어지는 해를 바라볼 수 있는 낙조의 절경을 볼 수 있는 장소다.
인천광역시 강화군 삼산면 삼산북로 886,,2,0.0,A01,A0101,A01011400,2768075,12,20211104185029,,,126.2875935621,37.7284592646,6,20211207005404,0,1,,하리선착장,23004,강화군 석모도에 있는 선착장이다.이곳은 석모도의 부속섬 서검도와 미법도를 가는 배를 타는 곳이다. 하리선착장은 서해바다의 고요한 수면처럼 조용하다. 매표소와 승객대기실도 작고 소박하다.배를 타기 위해 기다리는 관광객이 구매할 수 있도록 새우젓을 비롯한 각종 젓갈 식품들을 판매하고 있다.
