addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 계양구 정서진로 1247,(귤현동),2,0,A02,A0205,A02050600,2768115,12,20211104192907,http://tong.visitkorea.or.kr/cms/resource/36/2790836_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/2790836_image2_1.JPG,126.7408480725,37.5729687005,6.0,20221109092856,0,2,,귤현타워,21017,"경인아라뱃길의계양대교에 있는 귤현타워는 한강운하의 아름다운 조망을 감상할 수 있는 최고의 장소 중 한 곳이다.
계양대교 하단 한강변의 귤현나루 산책로 데크 길에서 귤현타워로 올라가는 입구를 찾을 수 있다. 계단으로 올라갈 수도 있고 엘리베이터도 설치되어 있다. 귤현타워 전망대로 올라가다 보면 계양대교 하단부를 걸을 수 있는 교량 연결층이 나오는데 그곳에 서면 운하길을 정면으로 바라볼 수 있다."
인천광역시 계양구 경명대로955번길 18,(계산동),2,0,A01,A0101,A01010500,2767503,12,20211103183845,http://tong.visitkorea.or.kr/cms/resource/62/2784362_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/62/2784362_image2_1.png,126.7127513617,37.5471017664,6.0,20220407175445,0,2,,계양산장미원,21042,"인천시 계양구 계산동 계양산 일대에 조성된 대규모 장미 공원으로 면적 4,667㎡에 장미 67종 11,366주와 금낭화 등 야생화도 13종 12,000여 본에 달하는 꽃을 심어 놓았다. 
벽천분수와 물레방아, 원두막과 수로 등 시설물도 다양하게 설치하여 여유 있게 산책하면서 마음껏 꽃밭을 감상할 수 있도록 마련하였다. 
입구에 51면을 갖춘 주차장이 있고 대중 버스와의 연결도 수월하다."
인천광역시 계양구 장기서로 29,(장기동),2,0,A02,A0202,A02020700,2767474,12,20211103183535,http://tong.visitkorea.or.kr/cms/resource/84/2789584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2789584_image2_1.jpg,126.733737568,37.5745017294,6.0,20220706165503,1,2,,경인아라뱃길 다남공원,21007,"경인아라뱃길 다남공원은 하늘 전망대 등 아라뱃길을 조망할 수 있는 다양한 전망공간과 축구장, 농구장, 배드민턴장, 게이트볼장, 운동기구 등의 체육시설이 조성되어 있는 공원이다. 
특히 아라뱃길을 따라 2.5km 산책로와 자전거로가 잘 가꿔 놓았다
넓은 주차장과 화장실 등의 편의 시설을 갖추고 있어 노지 캠핑이나 차박을 하는 사람들에게 인기가 많은 지역이지만, 텐트 설치 및 야영, 취사는 금지되어 있다.	
주차장 내 텐트설치, 야영취사 금지, 화장실 폐쇄, 운동시설 코로나19로인해 별도 공지까지 이용금지"
인천광역시 계양구 정서진로 1247,(귤현동),2,0,A01,A0101,A01011800,2767445,12,20211103182455,http://tong.visitkorea.or.kr/cms/resource/38/2780938_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/38/2780938_image2_1.png,126.747489137,37.5728188359,6.0,20221024144002,1,2,,경인아라뱃길귤현나루,21017,"귤현 나루는 시원하게 뻗은 한강 물줄기를 사이에 두고 있는 귤현 나루 북측과 남측을 계양대교가 이어주고 있는 곳으로, 나무 데크 산책로와 자전거길을 잘 갖추고 있는 자연 친화적인 힐링 장소이다.
계양대교 전망 엘리베이터를 이용해 연결 다리를 건너 북측과 남측을 왕래할 수 있으며, 카페, 편의점, 화장실, 자전거 대여소 등 편의시설을 이용할 수 있다.
넓은 김포 들판과 수향루가 가까이 있으며 전통미를 보여주는 수향원과 생태습지를 체험할 수 있는 두리  생태공원이 있다. 특히 높이가 50m인 귤현 타워 전망대는 아라뱃길과 인천을 한눈에 조망할 수 있어 시민들의 휴식처와 드라이브 코스, 데이트 코스로 사랑받고 있다. 평일뿐 아니라 주말에는 자전거 라이딩을 나온 사람들로 붐빈다. 코레일 공항철도 계양역 도보 15분 거리에 있다."
인천광역시 계양구 새벌로111번길 7,(효성동),2,0,A02,A0202,A02020700,2766178,12,20211102182532,http://tong.visitkorea.or.kr/cms/resource/56/2780956_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2780956_image2_1.jpg,126.7156294449,37.5267902902,6.0,20211126022814,0,2,,효성공원,21112,"인천 계양구 새벌로에 위치한 효성공원은 주변에 아파트가 있어 주민들이 많이 이용하는 공원으로 'JC공원'이라고도 불린다. 어린이 놀이터, 인조잔디축구장, 농구장 등이 있고, 여러 운동기구와 발 지압장이 마련되어 있다. 나무숲 사이로는 산책로가 잘 조성되어 있으며 휴식을 위한 정자와 벤치가 설치되어 있다. 특히 이곳의 인조잔디축구장은 시설이 잘되어 있고 타 축구장보다 이용요금도 저렴해서 축구 동호인들이 선호하는 시설 중의 한 곳이다. 계양구청이 구내 여러 공원과 지역 주민들을 위해 실시하는 운동사업의 일환으로 효성공원에서는 매주 순환 운동 교실을 운영하고 있다."
인천광역시 계양구 병방시장로 3,(임학동),2,0,A02,A0202,A02020700,2766160,12,20211102181718,http://tong.visitkorea.or.kr/cms/resource/42/2780942_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2780942_image2_1.jpg,126.7321301113,37.5484436202,6.0,20221212133323,0,2,,임학공원,21025,"인천 계양구 계양산 초입부 산림욕장에 위치한 공원으로, 어린이 놀이터와 농구대가 설치되어 있다. 계양구청이 구내 여러 공원과 지역 주민들을 위해 실시하는 운동사업의 일환으로 임학공원에서 걷기 교실을 운영하고 있다. 걷기 교실은 계양산 둘레길을 따라 매주 화요일과 목요일에 운영되고 있으며 계양주민은 누구나 이용할 수 있고 참가비도 무료이다."
인천광역시 계양구 살라리로2번길 33,(서운동),2,0,A02,A0202,A02020100,2765497,12,20211102003039,http://tong.visitkorea.or.kr/cms/resource/17/2779017_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/17/2779017_image2_1.png,126.7454182055,37.5335011493,6.0,20220506102652,0,2,,서운체육공원,21072,"인천 계양구 서운동에 위치한 체육 테마공원으로 축구와 농구를 할 수 있는 운동장과 넓은 광장, 인라인 전용 구간도 있어 인근 주민들이 자주 찾는 공원이다. 자전거와 인라인을 즐기는 어린이들이 많으며 5월에는 어린이 축제도 크게 열린다. 공원 바로 옆에는 서부 간선수로가 산책로로 조성되어 있으며, 대형 꽃밭을 조성해 놓은 계양 꽃마루도 함께 즐기기 좋다."
인천광역시 계양구 성안길 2,(갈현동),2,0,A02,A0203,A02030400,2765493,12,20211102002926,http://tong.visitkorea.or.kr/cms/resource/26/2779026_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2779026_image2_1.jpg,126.7270602038,37.5814896862,6.0,20221212142020,0,2,,위드티쳐,21002,중소형견들이 이용할 수 있는 유치원 겸 카페로 훈련사들이 상주하고 있어 위드티쳐(with teache)이다. 넓은 정원에서 마음껏 뛰어 놀 수 있고 견주들은 커다란 창이 있는 카페에 앉아 반려견을 바라볼 수 있도록 해 놓았다. 반려견 카페에는 셀프 목욕실도 갖춰 놓아 놀이 후에 목욕하고 개운하게 집으로 돌아갈 수 있도록 배려하였다.  반려견 생일파티를 할 수 있고 기념사진을 찍는 포토존도 마련되어 있어 그야말로 반려견들의 천국이다.
인천광역시 계양구 아라로 228,,2,0,A02,A0205,A02050600,2675429,12,20201008184256,http://tong.visitkorea.or.kr/cms/resource/32/2674932_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2674932_image3_1.jpg,126.7014100172,37.5726097091,6.0,20221128154911,0,2,,아라마루 전망대(아라폭포),21000,"아라마루는 아라뱃길 구간 중 가장 높은 곳인 계양산 협곡구간에 위치한 원형 모양의 전망대이다. 유리로 되어 있는 바닥 아래로 아라뱃길이 내려다보이며, 야간에는 난간과 바닥의 반짝이는 조명이 아름다운 분위기를 연출한다. 아라마루는 아라뱃길 구간 중 가장 전망이 좋은 곳으로 주운 수로 경관을 볼 수 있으며, 가을 정취를 느끼기에 매우 좋은 곳이다.   아라폭포는 계양산 협곡의 자형을 이용해 수직력 경관을 연출해내는 상부 폭 40m, 하부 폭 150m, 높이 45m의 거대한 인공폭포로 저수용량 800ton, 펌프는 4대로 구성,운영되고 있다. 아라폭포는 계양산 협곡의 지형을 이용해 수직적 경관을 연출해 내는 국내 최대의 인공폭포이다.
아라폭포의 수변 산책길은 인공폭포까지 계단으로 이어져 있어 6개 폭포의 다양한 모습과 그 장대함을 바로 옆에서 느낄 수 있으며, 조명으로 단장한 야간에도 색다른 모습의 폭포를 만날 수 있다."
인천광역시 계양구 서운동 106-1번,일원 (계양경기장 양궁장 뒤) (서운동),2,0,A02,A0202,A02020700,2675002,12,20201007050648,http://tong.visitkorea.or.kr/cms/resource/03/2675003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2675003_image2_1.jpg,126.743898928,37.5325151261,6.0,20220407091617,2,2,,계양꽃마루,21072,"가을에는 가을의 대표적인 꽃인 코스모스로 가득한 꽃밭을 볼 수 있다. 코스모스 꽃밭은 황화코스모스와 분홍빛의 혼합코스모스로 매년 910월 중이 가장 예쁘다. 가을의 풀벌레 소리를 들으며, 코스모스가 피어있는 산책로를 따라 가족 단위로 함께 와도 좋은 여행지이다.

 추천포인트
 봄(매년 56월) : 유채
 가을(매년 910월) : 코스모스(황화코스모스혼합코스모스)"
인천광역시 서구 오류동 아라인천여객터미널,(오류동),2,0,A02,A0203,A02030600,2662684,12,20200708201114,http://tong.visitkorea.or.kr/cms/resource/67/1903267_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/1903267_image3_1.jpg,126.6289659795,37.5960890268,6.0,20221007160009,3,2,,정서진,22654,"정서진은 강원도 강릉에 있는 정동진의 대칭 개념으로, 광화문을 기준으로 정서쪽에 있는 나루터를 의미한다. 정동진의 일출이 희망과 새로운 출발을 의미한다면 정서진의 일몰은 낭만, 그리움, 회상을 의미한다. 
매년 12월 31일 한해의 마지막 해를 넘기는 정서진 해넘이 행사가 개최된다."
인천광역시 계양구 경명대로955번길 13-12,(계산동),2,0,A02,A0201,A02010800,1617378,12,20120427192318,http://tong.visitkorea.or.kr/cms/resource/24/1577324_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1577324_image3_1.jpg,126.7116292839,37.5456269176,6.0,20220310165644,18794,2,,지선사,21042,"지선사는 백룡사 터에 있다가 1988년 4월 현재 위치로 옮겨졌고, 종파는 조계종이다. 지선사는 1995년 제작된 범종이 있고 본당에 지장보살님 불상이 500분이 계신다."
인천광역시 계양구 계양산로75번길 7-13,(계산동),2,0,A02,A0205,A02050200,1617347,12,20120427191009,http://tong.visitkorea.or.kr/cms/resource/19/1577319_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1577319_image3_1.jpg,126.7231475782,37.5491517116,6.0,20220408170207,16460,2,,봉일사지삼층석탑,21041,"봉일사는 계양산 남쪽에 있던 사찰이다. 창건연대나 폐사(廢寺)에 관한 기록을 알 길이 없으며, 현재 사지(寺址)는 계산지구 도시계획으로 사라지고 탑(塔)은 백룡사(百龍寺)를 세울 때 경내로 옮겨 세웠다. 인천지역의 원 위치에 남아있는 유일한 탑으로 문화재적 가치는 높으나 기단부와 1층 옥개석 2층 옥신(屋身)과 옥개석 3층 옥개석만이 남아있고 나머지는 훼손된 것을 1975년 백룡사에서 정문 우측으로 1차 이전시 화강석을 깍아 탑신부(塔身 部)를 보완해 놓았다."
인천광역시 계양구 경명대로955번길 17,,2,0,A01,A0101,A01010600,1114802,12,20101021203223,http://tong.visitkorea.or.kr/cms/resource/86/1860186_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1860186_image3_1.jpg,126.7122542006,37.5465684857,6.0,20220526135632,40172,2,,계양산 산림욕장,21042,"계양산 산림욕장은 봄에는 튤립꽃 전시장이 마련되며 가을에는 단풍놀이 즐기기에 참 좋은 곳이다. 전철로도 손쉽게 접근할 수 있는 곳이라서 인천시민들뿐만 아니라 다른 지역주민에게도 항상 인기가 많다. 산책로 한켠에는 주민들이 운동으로 몸을 단련할 수 있는 운동기구도 마련되어 있다.
 녹지면적 : 22,328㎡"
인천광역시 계양구 계양산로75번길 26 계양공원관리소,,2,0,A02,A0202,A02020700,1114780,12,20101021201614,http://tong.visitkorea.or.kr/cms/resource/96/2462196_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2462196_image3_1.jpg,126.723400304,37.5501849296,6.0,20220421162645,31991,2,,계양공원,21041,"인천시 계양구 소재의 계양산 자락에 있는 계양공원은  체육시설과 아담한 꽃밭이 있으며, 산책로가 잘 조성되어 있다. 계양산을 찾는 사람들의 등산로가 조성되어 휴일이면 많은 사람들이 이용하고 있으며, 공원입구에는 시원한 약수가 있다.   면적 2,897,209(m²)"
