addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천 남동구 간석1동 420-3,(간석동),2,0,A02,A0202,A02020700,2790502,12,20211209201148,http://tong.visitkorea.or.kr/cms/resource/67/2791067_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/2791067_image2_1.JPG,126.701854742,37.4615809589,6,20220701151030,0,4,,인천중앙공원,21549,"인천시 남동구 간석동에서 구월동으로 길게 이어진 중앙공원은 35만㎡ 규모의 도시 중심축을 이루고 있는 소중한 공원이다. 도심지 내 약 3.9km에 이르는 벨트형 녹지대를 이루고 있어, 도시의 열악한 기후환경을 개선하고 종합문화예술회관, 교통교육장, 바닥분수, 축구장, 희망의 숲, 올림픽 기념탑, 해외 자매결연 조형물, 기타 휴양시설 등 공원시설과 풍부한 녹지를 갖춘 시민들에게 사랑받는 공원이다. 
제1지구에서 제4지구까지가 간석동 중앙공원에 해당되며, 제5지구에 제9지구까지는 구월동 중앙공원에 속한다. 각 지구별로 테마 있는 주제로 약 9개의 지구로 조성되어 있으며, 인천지하철 1호선, 2호선이 연결되어 있어 접근성이 우수한 시민의 편안한 휴식공간으로 활용되고 있다. 
 제1지구 (희망의 숲 지구)  제2지구 (주원 지구)  제3지구 (시청역 지구)  제4지구 (조각원 지구)  제5지구 (하트분수 지구)  제6지구 (올림픽기념비 지구)  제7지구(문화예술회관 지구)  제8지구(터미널 지구)  제9지구(광장 지구)"
인천광역시 남동구 덕골로 158-14,(수산동),2,0,A02,A0202,A02020600,2782722,12,20211129213126,,,126.7268838836,37.4304183553,6,20221027134407,0,4,,펫피,21620,"인천 남동구 수산동에 위치한 실내와 야외 운동장을 갖춘 반려견 놀이터이다.실내 약 992㎡(300평)과  야외 약 2,645㎡(800평) 규모의 운동장에 놀이시설과 산책로가 있다. 대형견 입장이 가능하며, 방문 시 접종 수첩을 필수 지참해야 한다. 상주하고 있는 전문 훈련사를 통해 컨설팅을 받을 수 있으며, 견주들이 반려견이 노는 동안 휴식을 취할 수 있도록 휴게공간을 마련해 놓았다."
인천광역시 남동구 예술로 125,(구월동),2,0,A02,A0202,A02020700,2770304,12,20211109014658,,,126.6994331831,37.4456772082,6,20221130133159,0,4,,중앙공원,21568,"중앙공원은 35만㎡ 규모의 도시 중심축을 이루고 있는 인천시의 허파와 같은 기능을 하고 있는 중요한 공원이다. 도심지 내 약 3.9km에 이르는 벨트형 녹지대를 이루고 있어, 도시의 열악한 기후환경을 개선하고 종합문화예술회관, 교통교육장, 바닥분수, 축구장, 희망의 숲, 올림픽기념탑, 해외 자매결연 조형물, 기타 휴양시설 등 공원시설과 풍부한 녹지를 갖춘 시민들에게 사랑받는 공원이다.  제1지구 (희망의 숲 지구)  제2지구 (주원지구)  제3지구 (시청역지구)  제4지구 (조각원지구)  제5지구 (하트분수지구)  제6지구 (올림픽기념비 지구)  제7지구 (문화예술회관 지구)  제8지구 (터미널지구)  제9지구 (광장지구) 각 지구별로 테마 있는 주제로 약 9개의 지구로 조성되어 있으며, 인천지하철 1호선, 2호선이 연결되어 있어 접근성이 우수한 시민의 편안한 휴식공간으로 활용되고 있다. (출처: 인천광역시 인천대공원사업소)"
인천광역시 남동구 남동대로 263,(논현동),2,0,A02,A0202,A02020700,2768092,12,20211104190746,,,126.6997119733,37.4083204413,6,20221130141028,0,4,,남동공단근린공원,21632,"인천 남동공업단지 내에 있는 근린공원이다. 남동공단 근린공원은 1989년에 조성되어 30년이 넘는 역사를 지니고 있으며, 이후 인근 지역으로 공원이 여럿 생겼다.
수인분당선 남동인더스파크역을 중심으로 남동근린공원과 남동제1호공원,월례근린공원이 있고 논현2동 아파트 사이로 논현포대근린공원이 조성되었다. 원인재역 방면으로는 승기천변으로 하천 산책로와 연수체육공원이 들어섰으며, 공단 최남단에는 고잔근린공원이 있다. 남동근린공원은 넓은 잔디밭과 인조잔디로 조성된 축구장이 있어서, 공단 근로자들의 체육활동과 여가신장에 좋은 휴식터가 되고 있다."
인천광역시 남동구 아암대로 1550,(논현동),2,0,A02,A0202,A02020700,2767586,12,20211103191215,http://tong.visitkorea.or.kr/cms/resource/91/2780991_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/91/2780991_image2_1.png,126.7337648259,37.3939393793,6,20221214150109,0,4,,소래포구해오름광장,21676,"인천 남동구에 위치한 대표적 어시장인 소래포구를 따라 조성된 광장으로 수변광장이라고도 불린다. 포구를 따라 길게 조성된  광장에 있는 새우 타워 전망대에서는 포구 전체를 조망할 수 있으며, 황금 꽃게와 선장의 키, I ♡ SORAE 조형물 등은 포토 스폿으로 인기 있다. 광장에서는 매년 10월경 '소래포구축제'가 열리고 있다. 여름에는 물놀이장, 겨울에는 얼음썰매장을 조성해 운영하고 있다. 가까이에 어시장이 함께 있어서 바닷바람 맞으며 야외에서 먹는 회를 즐기러 오는 사람들이 많고, 일반 피크닉과 차크닉을 즐기는 사람들에게 인기 있는 장소이다. 지하철 수인 분당선 소래포구역 2번 출구에서 도보 10분 이내 거리에 있다."
인천광역시 남동구 앵고개로815번길 59,(논현동),2,0,A02,A0202,A02020100,2767582,12,20211103190900,http://tong.visitkorea.or.kr/cms/resource/66/2780966_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2780966_image2_1.jpg,126.7197910814,37.3945696148,6,20221024135738,1,4,,늘솔길공원양떼목장,21679,"늘 솔길 공원은 인천시가 친환경 공원 잔디를 관리할 목적으로 2014년 7마리의 면양을 들여오면서 시작되었다. 공원에 양떼들을 개방하자 시민들은 큰 호응을 보냈고 지금은 양의 숫자가 총 30마리 가까이 늘면서 명실공히 양떼목장이 되었다. 
늘 솔길 공원은 편백숲, 메타세쿼이아 숲과 은행나무숲, 계수나무숲 등의 숲길과 숲속 휴식처들이 잘 조성되어 있다. 유아숲 체험원도 있고 저수지도 있어 시민들이 건강과 휴식을 위해 많이 찾는 공원이다. 
소래 도서관에서 350m 거리이고 공원 주차장에서 200m 거리에 위치해 있다"
인천광역시 남동구 호구포로 203-31,(논현동),2,0,A02,A0202,A02020700,2767575,12,20211103184607,http://tong.visitkorea.or.kr/cms/resource/49/2780949_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2780949_image2_1.jpg,126.706983712,37.4018685408,6,20221212131721,0,4,,논현포대근린공원,21641,"인천시 남동구 논현동에 위치해 있는 논현포대(論峴砲臺)는 1879년(고종 16년)에 쌓은 포대로 인천과 부평 연안의 군사방어시설이다. 인천광역시 유형문화재로 등록되어 있다. 논현포대 근린공원은 이러한 포대가 있던 군사시설에 조성된 공원이다. 어린이 놀이터와 산책로가 있으며, 체육시설로는 농구장, 테니스장, 배드민턴장, XGAME 장이 있고, 문화 시설로 야외공연장이 있다. 겨울철에는 한시적으로 무료 야외 얼음 썰매장을 운영하기도 한다. 
수인 분당선 호구포역 2번 출구를 통해 쉽게 이용할 수 있다."
인천광역시 남동구 앵고개로 771,(논현동),2,0,A02,A0202,A02020700,2718720,12,20210528001652,,,126.7217548678,37.3918116363,6,20220519103424,0,4,,늘솔길공원,21678,"인천 남동구 논현동에 위치한 늘솔길공원은 자연친화 공원으로써, 양떼목장, 장미원, 숲속놀이터, 편백숲 무장애나눔길 등으로 조성되었다.양떼목장은 2014년 친환경적인 공원 잔디 관리를 위해 7마리를 도입하여 시작하였으며, 점점 그 수가 늘어 2021년에는 25마리의 면양이 대가족을 이루어 공원 방문객을 맞이하고 있다.장미원에는 5월부터 연중 다양한 장미를 만나볼 수 있으며, 아이들을 위한 숲속놀이터는 둥지전망대, ZIPwie 등 다양한 체험시설을 갖추어 아이들이 자유롭게 뛰어놀수 있는 공간을 제공한다.또한 전국 최초로 국산목재를 사용한 편백숲 무장애 나눔길은 장애인, 노약자, 임산부, 영유아 등 교통약자층을 위해 무장애 데크로 조성되었다."
인천광역시 남동구 아암대로 1550,(논현동),2,0,A02,A0205,A02050600,2706206,12,20210217024554,http://tong.visitkorea.or.kr/cms/resource/01/2706201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2706201_image2_1.jpg,126.7337148283,37.3940143699,6,20220518145626,0,4,,새우타워 전망대,21676,"새우타워 전망대는 소래포구의 랜드마크로 옛 5부두에 위치해 있으며 2020년 11월12일 준공식으로 개장을 했다. 높이 21m 너비 8.4m의 전망대로 소래포구의 아름다운 경치를 볼 수 있으며,평일 09:0017:30, 주말 및 공휴일 09:0018:00 까지 전망대를 이용할 수 있다."
인천광역시 남동구 무네미로 236,인천대공원 내(제 1주차장 축구장 뒤편),2,0,A02,A0202,A02020100,2603489,12,20190528014907,http://tong.visitkorea.or.kr/cms/resource/83/2603483_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/83/2603483_image2_1.bmp,126.749303301,37.4577461335,6,20220824132025,4,4,,인천대공원 반려동물 놀이터,21533,"반려견과 반려인이 마음껏 뛰어놀 수 있는 반려동물 놀이터가 2018년 7월 2일(월) 인천대공원에 문을 열었다. 이는 인천에 처음으로 조성된 반려동물 놀이터로 대형견과 중·소형견 놀이터가 분리되어 있으며, 흥미로운 공간으로 꾸며졌다. 또한 대형파라솔 및 야외탁자 등을 설치해, 반려동물을 동반한 이용자들도 휴식과 놀이를 함께 즐길 수 있도록 했다."
