addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 동구 만석동 9-34,(만석동),2,0,A01,A0101,A01011400,2768168,12,20211104200357,,,126.621441932,37.486815495,6.0,20221101094907,0,5,,만석부두,22504,"인천 만석동 일대는 뒤로 만석동 공업단지와 바다 앞쪽으로 있는 만석부두의 물류센터 등 인천 최대의 공업단지이다.
인천 공업단지와 전국에서 운송된 컨테이너와 중국으로 가는 선박 수요도, 이 곳 만석부두로 몰린다. 만석부두 입구로 진입하기까지는 수많은 컨테이너 트럭과 화물트럭이 수 없이 오간다.
주민들과 단절된 만석부두 주변으로 인천시가 만석화수 해안산책로를 조성하고 있다. 삼미물류,인엑스 물류 주변도로를 거쳐, 태항조선, 만석부두와 화수부두 해안에 이르는 전체 4.72km 구간을 2028년까지 완공을 목표로 하고 있다.
2021년 5월에 1단계 사업구간인 군사보호 시설인 초소를 활용한 전망대와 파도 형상으로 제작된 웨이브데크를 연결한 산책로가 조성되었다."
인천광역시 동구 송현동 70-10,(송현동),2,0,A02,A0202,A02020100,2768117,12,20211104193009,,,126.6325328678,37.4766807577,6.0,20211109015156,0,5,,동인천역북광장,22550,"인천 동구 송현동에는 동인천역 북광장이,중구 인현동에는 동인천역 남광장이 조성되어 있다. 인천 근대로 발자취 여행의 시작점이기도 한 북광장에는 사면으로 열린 광장문 건축물이 있다. 광장 주변으로 다양한 조각품들이 전시되어 있으며, 겨울이면 대형 크리스마스 트리를 장식하여 시민들에게 멋진 야경을 선사한다. 2019년부터 동인천역 북광장은 역세권 복합개발 사업지로 지정되어 상업 문화시설과 공공임대주택이 들어서고 광장 지하에 공영주차장이 들어선다. 부지 일부는 광장 기능을 유지하게 된다."
인천광역시 동구 금곡로 3,(금곡동),2,0,A02,A0204,A02040800,2554180,12,20180718194246,http://tong.visitkorea.or.kr/cms/resource/27/2601527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2601527_image3_1.jpg,126.6361298698,37.4727868292,,20220330094505,574,5,,배다리 헌책방 골목,22554,"stong기억을 걷는 책방 사이로stong  배다리 헌책방 골목은 인천의 역사와 함께해 온 서민들의 삶터로 인정받고 있다. 5개 서점이 자리를 지키고 있고, 국문학 고서 자료에서부터 미술, 음악, 한방, 어린이 전집류, 사전류 까지 모든 서적을 통틀어 취급하고 있다. 또한, 골목 입구에 들어서면 낡은 골목의 담에 배다리 사람들의 옛 모습과 생활 등을 그려 넣은 배다리 벽화거리를 만날 수 있으며 최근 드라마 도깨비 촬영지로 인기를 끌면서 방문객이 끊이지 않고 있다."
인천광역시 동구 서해대로520번길 12,,2,0,A02,A0204,A02040800,2554147,12,20180718190329,,,126.6386491106,37.471842539,,20220715150529,342,5,,실감콘텐츠체험관 탐,22563,"stong보면 볼수록 탐나는 이 곳stong  실감콘텐츠체험관 탐은 인천 동구의 역사와 문화자원을 3D기술을 활용해 직접 체험해 볼 수 있는 공간이며, 각각의 컨셉을 가진 4개 층이 하나의 스토리로 연결되어 있다. 특히, 과거 열차를 탄 후 시간여행을 하는 프로그램이 인기가 높다. 실감콘텐츠체험관 탐사전 예약제로, 사이트 예약 후 이용할 수 있다."
인천광역시 동구 솔빛로 51,,2,0,A02,A0204,A02040800,2554145,12,20180718185816,,,126.6391489087,37.4774807812,,20220829100033,322,5,,송현배수지 제수변실과 수도국산 달동네박물관,22541,"stong우리도 한번 잘 살아 보세stong  수도국산 달동네박물관은 196070년대 달동네 서민의 생활상을 테마로 한 체험중심의 박물관으로, 다양한 전시와 어린이를 위한 달동네놀이체험관을 신설하여 교육 및 체험 프로그램을 진행하고 있다. 또한 송현배수지 제수변실이 인근에 자리하고 있다. 송현배수지는 인천 최초의 상수도 시설이자 도시계획 시설이라는 역사성을 가지고 있어 2003년 10월 인천시 문화재자료 제 23호로 지정되었다."
인천광역시 동구 송현공원로 75-21,(송현동),2,0,A02,A0201,A02010700,1114621,12,20101021030024,,,126.6394266197,37.4789722796,6.0,20220926153215,32339,5,,송현배수지제수변실,22541,"송현배수지는 인천 최초로의 상수도 시설이자 도시계획 시설로 1905년 중도(中島)박사에 의해 경인수도 설계가 완성됨에 따라 1906년 11월 착공하여 1908년 준공되었다. 또한, 1910년 10월 노량진 수원지(水源池) 정수시설이 준공되어 노량진～인천 사이에 32.64Km의 수도관을 부설하고 같은 해 동년 12월 10일부터 급수를 시작했다. 송현배수지는 부지면적 36,780㎡이고 5,000㎥ 저수조 3개를 갖추고 있으며, 현재 이곳에서 급수 받는 지역은 동구 일원 및 중구 일부 지역이고 저수능력은 20,000톤으로 준공 당시와 비슷하다.nsp;현존하는 배수지 건물로는 제수변실과 23단의 화강석으로 된 장대석 계단과 철제 정문이 있고 정문은 화강석 초반 위에 콘크리트 기둥을 심고 4각 모양과 둥근 화강석의 주두로 이루어져 있다. 제수변실은 배수지에서 배수관의 단수 및 유압조절기능을 담당하는 제수밸브를 보호하는 시설물로써 원통형이며 일체식 무근 콘크리트 구조로 되어있다."
인천광역시 동구 화도진로 114,,2,0,A02,A0202,A02020700,1114618,12,20101021025108,http://tong.visitkorea.or.kr/cms/resource/49/980449_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/980449_image3_1.jpg,126.6288885947,37.4824855746,6.0,20220916104457,37780,5,,화도진공원,22511,"화도진은 구한말 인천 앞바다의 해안경계를 위해 설치한 것으로 신미양요와 운양호 사건 등 미국, 프랑스, 일본의 잇따른 내습에 자극받아 수도 서울의 유일한 수로관문이었던 현 화수동 138번지 일대에 위치하여 있다. 한미수교 1백 주년이 되는 지난 1982년 인천시가 이를 기념하기 위해 이 일대를 공원으로 조성하고 기념 표지석을 세웠다. 이후 1988년 12월에 동헌, 안채, 사랑채, 전시관 등 옛 화도진지를 기본으로  화도진병영을 완전 복원하고 각종 편의시설 및 부대시설을 갖춰 도심의 아늑한 휴식공간을 조성, 역사의 산교육장으로 거듭 태어났다. 동헌은 관리들이 집무를 행하던 장소로 당시 한미수호통상조약 체결 모습이 밀랍인형으로 만들어져 있다. 내사는 안주인의 거처로 안채라고도 부르며 안방에는 보료, 반짇고리, 버선장, 3층장, 반닫이 등 각종 유물들이 진열되어있고 대청마루에는 찬장과 쌀뒤주, 장탁자들이 당시의 생활모습을 재현하고 있다. 사랑채는 바깥주인이 거처하며 학덕이 높고 사회적 지위나 가세가 넉넉할수록 그 규모가 크고 당대 사회문화의 척도로서 주인의 정신적 성향, 경제적 능력을 말해주는가 하면 수군기지였던 화도진에서의 사랑채는 병사들이 기거하던 병영건물의 하나로 사용했다.  화도진지 부근은 소나무와 정자, 벤치 등이 잘 꾸며져 있어 산책하기에도 좋으며, 1997년 인천광역시 최초로 인공폭포가 조성되기도 하였다. 이 폭포는 높이 8m, 너비 12m로 안개분수와 야간 조명시설을 갖추고 있다. 동구에서는 지난 90년부터 이곳에서 매년 정월대보름을 기해 잊혀져가는 우리전통 문화 프로그램을 개발, 화도진축제를 열어 구민들의 대화합과 단결을 꾀하고 있다. 또한 화도진공원은 동구 구화로 지정된 철쭉이 해마다 봄이면 화사한 자태를 무더기로 피워내 철쭉꽃 축제의 새명소로 떠오르고 있기도 하다. 철쭉꽃이 피어나는 5월 초순이면 상춘객들과 함께 유치원이나 초등학생들의 글짓기나 그림 그리는 장소로써도 많은 사랑을 받고 있다. "
인천광역시 동구 솔빛로 51,(송현동),2,0,A02,A0202,A02020700,1114598,12,20101021021113,http://tong.visitkorea.or.kr/cms/resource/44/1578844_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1578844_image3_1.jpg,126.639884904,37.479227813,6.0,20220722101134,39978,5,,송현근린공원,22541,"인천시 동구 송현동 수도국산에 조성된 근린공원이다. 수도국산은 원래송림산 또는 만수산으로 불렸던 곳으로 1906년 인천과 노량진을 잇는 상수도 공사가 착수되어 1908년  수도를 공급하는 송현배수지가 들어서면서 수도국산이라는 이름을 얻게되었다. 이 곳에 위치한 송현근린공원에서는 송림돌 일대를 한눈에 바라 볼 수 있다. 공원내에는 2005년 10월 개관한 '수도국산 달동네박물관'이 있으며, 분수광장, 체육공간 등의 시설이 갖춰져있다. 또한 인접한 송현 배수지 내에는 공원화 사업을 통해 조성된 인라인 스케이트장과 조깅트랙, 체력단련기구 등이 설치되어있다.또한 2015년 10월에는 송현공원과 송현 배수지 숲을 연계한 생태놀이터와 송현터널 상부에 하늘 생태정원을 조성하였다. 생태놀이터는 어린이들이 숲 해설가의 설명을 들으며 자연을 체험할 수 있는 공간이다."
인천광역시 동구 우각로 57,(창영동),2,0,A02,A0201,A02010700,1114573,12,20101021020326,http://tong.visitkorea.or.kr/cms/resource/60/1577860_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1577860_image3_1.jpg,126.6411378044,37.4706816068,6.0,20220512111518,33683,5,,인천기독교사회복지관(여선교사기숙사),22564,"인천기독교사회복지관은 19c말 미국 감리교회가 보낸 선교사들의 합숙소로 이용하기 위하여 지어진 건물들 중에서 현재까지 남아있는 건물이다. 이 곳은 해방 후 1949년 4월 미국 감리교 선교사 헬렌 보일즈에 의하여 인천기독교사회관으로 다시금 창설됐으나 한국전쟁 등 파란만장한 일들을 겪고 1956년부터는 여자 선교사들의 숙소였던 이 건물을 기독교사회복지관으로 사용하게 되었다. 1894년에 지어진 이 건물은 양철(함석)지붕으로 구조가 독특하며, 벽체는 빨간 벽돌로 쌓았다. 창호는 조선시대 서원이나 절의 승방 등에서 사용하던 방법을 빌어, 쓸 용(用)자 모양으로 꾸몄고, 가장자리는 빗살 모양으로 짜 넣었다. 내부는 목조로 되어 있으며, 2층 가로축에 지하로 드나들 수 있도록 시설하였다. 비교적 원형을 잘 보존하고 있는 근세 르네상스 양식의 건물이다. 현재 창영사회복지관은 현재 별도의 시설로 운영 중이다."
인천광역시 동구 우각로15번길 16,(창영동),2,0,A02,A0201,A02010700,1114529,12,20101021005752,http://tong.visitkorea.or.kr/cms/resource/14/1577514_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1577514_image3_1.jpg,126.6389324254,37.4715842408,6.0,20210824001356,32118,5,,창영초등학교(구)교사,22564,"인천최초의 공립보통학교인 창영초등학교는 인천공립보통학교라는 이름의 순수민족자본으로 1907년 12월 9일 설립되어 1910년 3월 26일 첫 졸업생을 18명 배출한 후 1912년에는 학생수가 348명에 달했다.1933년 인천제일공립보통학교, 1938년 인천창영공립심상소학교, 1941년 창영공립국민학교, 광복 후 창영국민학교로 이름이 바뀌어 오늘에 이르고 있으며, 3·1운동 당시 인천지역 만세운동의 진원지가 되어 당시 학생들을 중심으로 시위를 벌이다 투옥되는 등 격동의 역사를 거치면서 역사상으로도 교육상으로도 큰 가치를 지니고 있다. 일제(日帝) 전반기인 1924년에 건립된 이 건물은 일(一)자형 단순 배치 형태를 보여주고 있다. 벽체 상단은 복공 화강석으로 아치(Ach)형을 이루고 있으며, 현관은 홍예석(虹霓石)으로 만든 근세풍 양식을 띤 
무지개 모양으로 꾸몄다. 외형은 대칭 입면에 넓은 창과 평활한 면을 규칙적으로 배열하여 직선을 강조하고 있고, 지붕에는 도모(Dome) 창이 설치되어 있다. 교실 내벽은 나무 졸대심을 넣고 흙을 발랐으며, 현관 복도 난간, 기둥 등의 보존상태가 양호하다."
