addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 미추홀구 구월로8번길 36-5,(주안동),2,0,A02,A0201,A02010800,2768186,12,20211104201154,,,126.693213998,37.4567424796,6.0,20221130100601,0,3,,수도사,22146.0,인천 주안동 석바위 시장 역 인근에 있는 사찰로 정식 명칭은 석암산 수도사이며 1967년 창건되었다.사찰 뒤로 석바위 공원이 있어 도심 주택가에 위치하고 있지만 산중 사찰과 같은 자연환경을 품고 있다.  대웅전으로 올라가는 계단에 황금 동상으로 된 미륵존 여래불이 있다. 삼천불전과 삼성각 종각과 무량수전 등이 있고 사리탑과 여러 불상들이 모셔져 있다. 도심포교에 앞장서는 사찰로 불자들이 많이 찾는다
인천광역시 미추홀구 승학길 58,(주안동),2,0,A02,A0202,A02020100,2767546,12,20211103184933,http://tong.visitkorea.or.kr/cms/resource/86/2780986_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2780986_image2_1.png,126.6807849797,37.4422106148,6.0,20221024135000,0,3,,승학체육공원,22231.0,"인천 미추홀구 승학산 중턱에 자리 잡은 1만 5000㎡ 면적의 체육공원으로 다양한 경기장과 산책로를 잘 갖추고 있다. 인조잔디가 깔린 축구장과 바닥 공사가 잘 되어 있는 농구장과 풋살장, 또 전용 트랙을 갖춘 인라인스케이트장이 있으며, 공원을 오르는 나무 데크 산책로와 울창한 나무들 사이로 펼쳐진 조깅코스가 있다. 지역 주민들의 건강과 생활 체육의 활성화를 위해 미추홀 구청에서 마련한 다양한 프로그램이 진행되고 있다. 운영 시간은 제한이 없으며, 풋살장(축구장)은 전화로 예약하고 사용할 수 있다."
인천광역시 미추홀구 문학길70번길 70,(문학동),2,0,A01,A0101,A01010400,2767529,12,20211103184310,http://tong.visitkorea.or.kr/cms/resource/59/2781059_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2781059_image2_1.jpg,126.6850263834,37.437750097,6.0,20221025104246,0,3,,문학산,22200.0,"""학이 날개를 펴고 앉은 것 같다 하여 붙여진 해발 217m의 문학산은 인천도호부 관아의 남쪽에 위치했다 하여 남산(南山)이라고도 하고, 봉수대가 있어 그 모양이 마치 배꼽 같다 하여 배꼽산이라고도 했다. 고대 왕국이었던 미추홀의 진산이지만 1965년부터 50여 년간 군부대가 주둔한 이유로 정상에 오를 수 없었지만 2015년 10월 15일 일반 시민들에게 개방되었다
미추홀구와 연수구에 걸쳐 있으며 문학산 정상에 오르면 서울의 남산과 인왕산, 북한산까지 보인다. 
50년간 사람의 발길이 닿지 않은 채 보존된 자연 그대로의 모습은 인천의 산소와 같은 역할을 담당하고 있다.
'문학산 역사관'이 화요일부터 일요일까지 10:0017:00 운영되고 있다. 
주변 관광지로는 문학 장미공원, 문학경기장, 인천 도호부 관아가 있다."
인천광역시 미추홀구 학익동 78-24,,2,0,A02,A0206,A02060100,2718767,12,20210528021618,,,126.676452319,37.432228365,6.0,20220718095145,0,3,,문학산역사관,,"문학산역사관은 미추홀 2,000여 년의 역사와 문화를 품고 있는 문학산의 가치를 널리 알리고, 문학산 문화유산의 보존과 지역정체성을 발현하기 위해 관할 군부대의 승인을 받아 군사시설을 리모델링하여 개관했다. 문학산역사관은 문학산의 가치와 문학산성의 현황에 대한 축소디오라마와 동영상을 볼 수 있는 제1전시실, 선시시대부터 현재에 이르기까지 문학산의 시대별 역사와 문화유산을 주제별로 살펴볼 수 있는 제2전시실, 인천 향토사 선구자들이 남긴 옛 사진들과 근∙현대 문학산의 변모를 살필 수 있는 지도 등이 전시된 열린 역사길로 구성되어 있다."
인천광역시 미추홀구 숭의동 33-18,,2,0,A02,A0202,A02020700,2668545,12,20200824232045,,,126.6550506574,37.4623022705,6.0,20221026101649,0,3,,주인근린공원,,"인천광역시 미추홀구 주안역과 남인천역 사이에 부설된 철도였던 주인선을 따라 조성된 공원이다. 1985년 11월 15일 주인선이 공식으로 운행이 중단되고 이후 철길만 존재하다가 1997년부터 2005년까지 단계적으로 구간별 폐션 구간을 주인공원으로 거듭나게 되었다.
숭의동에서 용현동까지 기존의 주인선을 따라 주인공원이 연결되어 조성되어 있다. 간이 운동기구가 있어 주민들의 휴식장소로 사용되고 있다. 부분적으로 숭의동 주인공원, 주인근린공원, 용현동 주인공원의 형태로 차도에 의해 끊어진 구간에 따라 구분되어있다."
인천광역시 미추홀구 주염로 43,(주안동),2,0,A02,A0201,A02010800,1617959,12,20120428003716,http://tong.visitkorea.or.kr/cms/resource/38/1577438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1577438_image3_1.jpg,126.6822979649,37.4697518861,6.0,20220913110855,19098,3,,용화선원,22125.0,"미륵보살은 인도의 바라나시국에서 태어나 석가모니불의 교화를 받으며 수도하셨고, 미래에 성불하리라는 수기를 받은 뒤 도솔천에 올라가 현재 天人들을 위해 설법하고 있다고 하는데 아직 부처가 되기 전의 단계에 있기 때문에 보살이라고 부른다. 미륵보살은 석가모니불이 入滅하신지 56억 7천만년이 되는 때, 이 사바세계에 태어나 화림원(華林園)안의 용화수(龍華樹) 아래에서 성불하여 3회에 걸친 설법으로 모두 272억의 중생들을 성불시킨다고 하는데 (이것을 龍華三會의 설법이라 한다), 이 때에 우리 모두가 참석하여 다함께 성불하자는 간절한 바램에서 새벽예불시 아득한 과거세로부터 지어온 자기의 잘못을 참회하는 십악참회를 하고 도솔천내원궁에 태어나기를 발원하면서 법회때마다 조실스님과 원장스님의 참선법문을 듣고서 평상시에 늘 참선수행정진을 열심히 해 나가면 틀림없이 미래의 불국토인 용화세계에 태어나 성불하게 된다는 의미에서 寺名을 龍華禪院으로 이름을 지었다. "
인천광역시 미추홀구 인하로 100,(용현동),2,0,A02,A0201,A02010700,1617815,12,20120427232838,http://tong.visitkorea.or.kr/cms/resource/58/2512658_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2512658_image2_1.jpg,126.6514818413,37.4513923645,6.0,20220316161132,19844,3,,대한민국 수준원점,22212.0,"수준원점이란 우리나라의 국토 높이를 측정하는 기준점으로, 평균 해수면과의 차이를 측량하여 1963년 육지에 설치해 놓은 시설물이다. 전국의 수준점 및 삼각점의 표고도 이 원점을 기준으로 하였으며 측지학 및 지구 물리학 연구의 기준으로 이용되고 있다. 우리나라에서는 1913년부터 1916년까지 약 3년 동안 인천 앞바다에서 발생하는 조수간만의 차이를 측정하여 그 평균값으로 평균 해수면을 정하였다. 이러한 평균 해수면과의 차이를 측량하여 육지에 설치해 놓은 시설물이 수준원점이며 표고는 26.6871m이다. 수준원점은 받침돌 위에 화강석으로 된 육면체의 설치대를 얹고 그 위에 자수정으로 표시하고 있으며, 아담한 원형 벽돌 건축물이 수준원점을 보호하고 있다. 인천시 중구 항동 1가 2번지에 있었던 것은 일제강점기 때 정해진 인천수준기점이며, 이를 바탕으로 1963년에 정밀측량해서 설치한 것이 대한민국 수준원점이다. 지금까지도 기준점으로 쓰고 있으며, 수준원점으로부터 연결 측량하여 전국의 국도 및 주요 지방도로에 약 2km 간격으로 설치된 수준점은 각 지역의 높이 값을 측정하는 기준이 되고 있다. 수준원점은 국토 높이 측정의 기준점이 되는 중요시설물로서 학술적, 역사적 가치가 매우 크다. "
인천광역시 미추홀구 경인남길30번길 45-1,(용현동),2,0,A02,A0203,A02030600,1617796,12,20120427231649,http://tong.visitkorea.or.kr/cms/resource/03/1577403_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1577403_image3_1.jpg,126.6570479845,37.4519701728,,20220622171731,20887,3,,인하대후문먹거리타운,22207.0,"인하대학교 후문 도로 건너편에 위치하는 먹거리 골목을 지칭한다. 맛있고 저렴한 먹거리가 가득하다. 예쁜 카페, 길거리 음식, 디저트 가게 등 먹거리가 다양하다. 뿐만 아니라 노래방, 당구장, 보드게임방, 오락실 등 놀거리가 많아 대학생들로 붐빈다."
인천광역시 미추홀구 수봉로95번길 32,(숭의동),2,0,A02,A0201,A02010700,1617733,12,20120427225842,http://tong.visitkorea.or.kr/cms/resource/99/1577399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/1577399_image3_1.jpg,126.6615029082,37.4600637557,6.0,20210916021601,16910,3,,무덕정,22166.0,무덕정은 조선시대부터 이어져온 몇 안 되는 활터 중의 하나이다. 무덕정에는 대를 이어 활을 쏘는 분들이 많다. 대개는 할아버지나 아버지가 배우라고 해서 이어서 배우는 것이다. 옛날에는 지역의 유지들이 많이 쏘았기 때문에 대부분 그런 계통을 잇고 있다.
인천광역시 미추홀구 매소홀로 553,(문학동),2,0,A02,A0201,A02010100,129341,12,20061108090000,,,126.6823626896,37.439472072,6.0,20220608173249,29118,3,,인천도호부관아,22233.0,"조선시대의 기본적인 지방 행정기구는 도(道)이다. 경기도의 경우, 3개의 목(牧)과 8개의 도호부(都護府), 10개 군(郡)과 12현(縣)이 있었고, 8개의 도호부 가운데 인천도호부와 부평도호부가 포함되어 있었다. 인천이 도호부로 승격된 것은 조선 세조 5년(1459)으로 세조의 비(妃)인 자성왕후 윤씨의 외향(外鄕)이기 때문이었다.인천도호부관아의 건축 시기는 정확히 알려져 있지 않다. 다만, 객사를 보수하는 과정에서 발견된 지붕의 기와에서 강희 16년이라는 명문(銘文)이 나온 것을 볼 때 숙종 3년(1677)에 중수된 것임을 알 수 있을 뿐이다. 인천도호부의 건물 구성은 《인천부읍지(仁川府邑誌)(1899)를 통해 짐작해 볼 수 있다.
현재 문학초등학교 내에 위치하고 있어 출입,관람이 자유롭지 않다.
인천향교 옆에 인천도호부관아 재현물로 관람할 수 있다.
출처: 문화재청"
