addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천 부평구 광장로 30,(부평동),2,0,A02,A0202,A02020100,2768190,12,20211104201635,http://tong.visitkorea.or.kr/cms/resource/91/2790591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2790591_image2_1.jpg,126.7244907601,37.4905335508,6,20221109110555,0,6,,부평역북광장,21395,"부평역은 인천의 대표적인 전철역으로 부평의 최대 관문 역할을 하는 곳이다. 
유동인구가 많이 몰리는 부평역 북광장에서는 크고 작은 다양한 행사가 많이 개최된다.  
2018년부터 인천 퀴어 문화축제가 열리면서 축제 개최를 환영하는 성소수자들과 행사를 반대하는 기독교 단체와의 갈등과 충돌이 벌어지기도 하였다. 
2회까지 북광장에서 열렸던 이 축제는 이후에는 영상제로 개최되었다.  많은 상점과 주차장이 있고 만남의 광장으로 활용되는 곳이다"
인천광역시 부평구 영성동로18번길 48,(삼산동),2,0,A01,A0101,A01010500,2768180,12,20211104200913,,,126.7493793984,37.5176669498,6,20221130090853,0,6,,삼산건강공원,21320,"수도권 제1순환 고속도로와 삼산지구 아파트 단지 사이에 길게 조성된 공원이다. 
고속도로의 소음을 줄이기 위해 방음벽이 설치하였고 자연친화적 산책로를 만들어 놓았다
테니스장도 깔끔한 시설을 갖춰 인근 주민들에게 인기가 높다. 
특히 이 공원의 특징은 어린이들이 교통 문화를 체험해 볼 수 있는 작은 가상의 마을을 만들어 마을 안에서 교통 질서를 배울 수 있게 하였다는 것이다
주변으로 어린이 놀이터와 체육시설도 잘 되어 있어 어린아이들 데리고 가족 나들이나 산책을 하기 좋다."
인천광역시 부평구 십정동 186-419,(십정동),2,0,A02,A0202,A02020700,2768156,12,20211104195631,http://tong.visitkorea.or.kr/cms/resource/68/2788068_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2788068_image2_1.jpg,126.7029290659,37.4823424547,6,20211208011928,0,6,,백운공원,21441,"백운 공원은 한하운의 시인의 시비가 있는 곳이다, 한센병 시인으로 알려진 한하운 시인은 불운한 삶을 살았지만 인생의 희망을 잃지 않고 아름답게 승화한 시인으로 알려져 있다. 수원 세류동 나환자 정착촌 환자 600여 명이 부평에 정착하면서 한하운 시인도 인천과의 인연이 시작되었다. 그는 이곳에서 나환자들의 자활을 위한 성계원을 설립하였다. 
금수현 가곡의 파랑새의 가사를 작사하기도 하였는데 그가 한센병에서 벗어나 자유로운 삶을 살고 싶어 했던 애절한 마음을 느낄 수 있다. 숱한 냉대를 받으며 살았던 인생이었지만 1960년 한센병 음성 판정을 받고 성계원을 나와서도 나환자들을 위해 봉사하면서 살다 십정동 자택에서 56세의 일기로 사망하였다. 
그를 기리는 공원 안에는 축구장과 테니스장도 마련돼 있다. 지금은 부평구민 누구나 편하게 찾는 공원으로 사랑받고 있다."
인천광역시 부평구 안남로 146,(산곡동),2,0,A02,A0202,A02020700,2767563,12,20211103185727,http://tong.visitkorea.or.kr/cms/resource/35/2790135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2790135_image2_1.jpg,126.7098280569,37.4959632152,6,20221108102416,0,6,,부영공원,21386,"인천 부평구 부영공원은 1945년부터 28년간 미군 캠프마켓으로 사용되던 장소를 2002년 공원으로 조성한 곳이다. 한때는(1953년) 반공포로수용소로 사용된 적이 있는 근현대사 사적지이기도 하다. 숲속을 가로질러 산책길이 잘 조성되어 있으며 부평구청에서 분양받아 가꿀 수 있는 가족텃밭이 있다. 체육시설로 야구장과 잔디 축구장, 배드민턴장이 있으며 사회인을 위한 야구 경기가 자주 열리는 곳이기도 하다. 문화예술공간으로 3,000여 석 규모의 야외 공연장과 역사체험 공간이 있다."
인천광역시 부평구 원적로269번길 72,(산곡동),2,0,A02,A0202,A02020100,2767556,12,20211103185317,http://tong.visitkorea.or.kr/cms/resource/47/2781347_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/47/2781347_image2_1.png,126.6933320243,37.507278275,6,20221026091317,0,6,,원적산체육공원,21367,"인천의 명산으로 불리는 원적산 자락에 조성된 체육공원이다. 원적산 둘레길과 산책로를 따라 이곳 체육공원까지 찾아오는 시민들이 많다. 체육시설로는 인조잔디가 잘 조성된 축구장이 있고 펜스가 설치된 족구장, 농구장, 배드민턴장이 있으며, 어린이들을 위한 놀이터와 생태연못도 조성되어 있다. 주변으로 원적산의 울창한 나무가 있어 상쾌한 공기를 마시며 운동과 산책을 즐길 수 있는 공원이다."
인천광역시 부평구 산곡1동 80-22,,2,0,A01,A0101,A01010400,2675029,12,20201007052048,http://tong.visitkorea.or.kr/cms/resource/33/2675033_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2675033_image2_1.jpg,126.6942706631,37.5131859382,6,20220311163341,3,6,,원적산공원 은행나무숲,21371,"커다란 은행나무가 많아 가을이면 산책로가 폭신폭신해지는 원적산공원은 부평에서 가까운 편이고 원적산 등산로와도 이어져있어 가볍게 등산하기도 좋다. 노랗게 물든 원적산 은행나무 숲에서 차박차박 밟히는 단풍잎 소리와 함께 가을 감성을 즐기기에 제격이며, 한적하고 여유로운 시간을 보내기에 좋은 공원이다. 추천포인트 : 은행나무"
인천광역시 부평구 평천로 26-47,,2,0,A02,A0202,A02020100,2462889,12,20161219190320,,,126.6926983872,37.5202545329,6,20211029231316,3006,6,,인천나비공원,21300,"부평숲 인천나비공원은 나비를 주 테마로 조성된 자연공원이다. 가까운 도심에서 자연을 직접 느끼고, 체험할 수 있는 자연 학습 공간으로, 배추흰나비 등의 나비가 번데기, 성충으로 변해가는 변태과정 및 숲과 관련한 생태계를 공부 할 수 있는 자연교육센터와 실제 살아있는 나비를 만나보고 체험할 수 있는 투망으로 제작된 나비 생태원이 있어 나비의 생태와 환경보호의 중요성에 대해 몸소 배워볼 수 있는 곳이다. 이외에도 해바라기, 메밀, 벼 등이 자라는 흙의 정원, 다양한 계절별 야생화를 관찰할 수 있는 들꽃동산,수서곤충과 물고기, 양서류 등을 관찰 할 수 있는 습지원, 재활용 자재를 활용해 제작한 타악기들을 직접 연주해 볼 수 있는 소리동산, 물속에서 살아가는 식물들을 만나볼 수 있는 수생식물원 등이 있다."
인천광역시 부평구 굴포로 141,(삼산동),2,0,A01,A0101,A01010500,1619098,12,20120430193726,http://tong.visitkorea.or.kr/cms/resource/39/1577539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1577539_image3_1.jpg,126.7366279448,37.5119062817,6,20220720172925,21507,6,032-209-7451,굴포천 생태하천,21327,"굴포천은 자연하천은 아니며 조선 중종 때 삼남지방에서 곡물 등을 싣고 바다로 이동하는 배가 강화 손돌목에서 뒤집히는 경우가 많아 이 뱃길을 피하여 보다 더 안전하게 운반할 수 있도록 사람들이 판 하천(판개)이기 때문에 붙여진 이름으로 운하공사의 흔적이다. 고려 성종 11년인 992년경 조운제도가 확립되면서 최초로 굴포천 운하공사를 시도한 사람은 고려 고종때 최이이며 이후 300여 년이 지난 후인 조선 중종때 김안로가 인천 앞바다에서 김포평야를 거쳐 한강에 이르는 운하공사를 시도하였지만 경인 구도로에 있는 원통이 고개에서 암벽에 부딪쳐 실패하였다. 구한 말과 일제 강점기와 해방이후 근대화의 과정을 거치며 경인운하를 건설하려는 노력은 꾸준히 시도되었으며 1966년에는 강서구 가양동과 인천시 원창동 율도를 잇는 연장 21Km, 수심 4m, 하폭 90m 운하 건설이 계획되었으나 시행되지는 못했다."
인천광역시 부평구 경인로 847,(부평동),2,0,A02,A0201,A02010800,1619027,12,20120430185740,http://tong.visitkorea.or.kr/cms/resource/31/1577531_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1577531_image3_1.jpg,126.714619613,37.4842563279,6,20211207203630,17537,6,,호명사,21410,인천광역시 부평구 부평2동에 위치하고 있는 불교 사찰이다. 일제강점기에 창건되었다고 전해지나 정확한 창건연대는 미상이다. 
인천광역시 부평구 부평문화로 113,(부평동),2,0,A02,A0203,A02030600,749211,12,20090608185903,http://tong.visitkorea.or.kr/cms/resource/53/740253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/740253_image3_1.jpg,126.7290124625,37.4943692964,6,20220818153747,32715,6,,부평 해물탕거리,21392,"지금으로부터 약 3040년 전에 3곳으로 시작한 부평5동 해물탕거리가 이제는 10여 곳으로 늘어나 성업 중이다. 바지락, 소라, 조개류, 낙지, 굴, 홍합, 새우, 주꾸미, 꽃게 등 다양한 해물과 함께 미나리와 콩나물의 향이 어울려 한 상 차려진다. 진하고 깊은 국물 맛은 집집마다 다른 육수 맛에서 차이가 난다. 미나리와 콩나물은 그 향만 우러날 정도로 조금 들어가고 해물이 대부분이다. 80년대 역시 지금처럼 차가 많아 길이 막히지 않을 때는 서울 손님이 현지 손님보다 더 많을 정도로 잘 알려진 해물탕 거리였다.
이곳의 해물이 신선한 이유는 매일 아침 가락동시장 등에서 재료를 사오는데 또 주인만 아는 육수의 맛도 해물탕 맛의 비결이다. 맵게 먹고 싶은 사람은 음식을 주문할 때 맵게 해달라고 말하면 되고 해물류의 탕과 찜이 전문이며 어떤 집은 해물과 누룽지탕을 혼합한 '해물 누룽지탕' 등을 개발해 새로운 입맛에도 끊임없이 도전하고 있다."
인천광역시 부평구 신트리로 21,,2,0,A02,A0202,A02020700,126568,12,20031120090000,http://tong.visitkorea.or.kr/cms/resource/84/760484_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/760484_image3_1.jpg,126.726606788,37.5064928445,6,20220628164006,34890,6,,신트리공원,21354,"부평은 지리적으로 계양산과 철마산, 만월산 등으로 둘러싸여 분지형태를 이루고 있다. 현재의 부평이 도시로서의 면모를 갖춘 것은 경인철도의 개통과 6.25 직후 미군부대를 중심으로 많은 인구가 유입되면서부터이다.부평4동의 신트리공원은 총 면적 58,594㎡로 축구장, 테니스장, 배드민턴장 및 어린이들이 마음껏 뛰어 놀 수 있는 어린이 놀이터와 산책로, 분수대 등이 있다.교양시설로는 연면적 7,869㎡(1,500석) 규모의 도서관이 공원 내에 있어 부평구민들이 언제나 이용할 수 있는 휴식공간으로 자리잡고 있다."
인천광역시 부평구 부평공원로,(부평동),2,0,A02,A0202,A02020700,126837,12,20031105090000,http://tong.visitkorea.or.kr/cms/resource/56/760456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/760456_image3_1.jpg,126.7146083543,37.4895890413,6,20220525155957,33603,6,,부평공원,21405,"부평은 지리적으로 계양산과 철마산, 만월산 등으로 둘러싸여 분지형태를 이루고 있다. 현재의 부평이 도시로서의 면모를 갖춘 것은 경인철도의 개통과 6.25 직후  부평공원은 1997년 말까지 군부대가 주둔 사용하였던 곳으로 시민의 깊은 관심과 성원으로 1993년 1월 공원으로 도시계획 시설 결정하여 1995년 11월 국방부와 부지매입 계약을 체결하였다. 그동안 부평공원 조성을 위하여 부지매입비 690억원과 시설비 51억원 등 총741억원의 시비를 투자하여 1998년도부터 부지내 군사용 막사 58동을 철거한 후 녹지 중심의 넓은 잔디밭과 수목이 어울린 부평권의  대표적인 휴식공간으로 미군부대를 중심으로 많은 인구가 유입되면서부터이다. 조성하여 2002년 4월 12일에 개원(開園)하였다."
