addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 서구 원당대로 454-14,(왕길동),2,0,A02,A0202,A02020600,2781599,12,20211126195151,http://tong.visitkorea.or.kr/cms/resource/61/2781661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2781661_image2_1.jpg,126.6526667493,37.5904345493,6.0,20221025091905,0,7,,인천어린이천문대,22671.0,각종 체험 프로그램을 통하여 어린이들에게 우주의 신비를 알게 하고 망원경을 통해 직접 눈으로 관측할 수 있도록 도움을 주는 장소이다. 별자리를 찾아보는 재미와 별이 행성을 관측하는 신기함 그리고 우주를 알고 나서 얻는 감동을 함께 깨닫게 한다. 전문 강사진의 지도하에 다양한 체험이 다능하다.
인천광역시 서구 로봇랜드로 155-11,(청라동),2,0,A02,A0202,A02020600,2781589,12,20211126193921,http://tong.visitkorea.or.kr/cms/resource/52/2781652_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2781652_image2_1.jpg,126.6109530869,37.5196975976,6.0,20221026135256,0,7,,인천로봇랜드,22851.0,"인천시가 로봇랜드 조성지역으로 지정됨에 따라 (지능형 로봇 개발 및 보급 촉진법) 청라 경제자유구역 내에 약 767,000㎡의 면적으로 조성되고 있는 국내 최대의 로봇 산업 클러스터이다. 로봇랜드에 입주한 업체들을 홍보하기 위해 만들어진 공간으로 약 30분 정도의 소개와 설명을 들은 이후 자유롭게 관람할 수 있다. 드론, 로봇 등을 체험할 수 있는 체험관도 있다."
인천광역시 서구 오류동,(오류동),2,0,A01,A0101,A01011300,2781446,12,20211126190122,http://tong.visitkorea.or.kr/cms/resource/38/2781738_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/38/2781738_image2_1.png,126.6141118748,37.5927530419,6.0,20221024155912,1,7,,아라빛섬,22850.0,"아라빛섬은 섬의 긴 축이 200m도 되지 않는 인공으로 만들어진 작은 섬이다. 섬 둘레를 산책해서 둘러볼 수 있고 앞쪽의 서해 바다와는 
분리되어 있어, 마치 호수 위의 작은 섬 같은 분위기를 느낄 수 있다."
인천광역시 서구 건지로334번길 47,(가좌동),2,0,A02,A0202,A02020700,2768217,12,20211104224602,,,126.6794142183,37.4940490113,6.0,20221206140142,0,7,,건지공원,22816.0,"건지공원은 인천 2호선 인천 가좌역 가좌동 아파트 단지 가운데 있는 공원이다. 
건지공원 주변 아파트 주민들은 물론이고 건지초등학교, 가좌중학교, 가림고등학교 학생들의 쉼터로도 많이 이용되는 곳이다. 또, 건지공원에는 서구 도서관이 바로 붙어 있어 도서관을 찾는 주민들의 휴식처로도 사랑받고 있다. 어린이 놀이터와 배드민턴장도 있다."
인천광역시 서구 봉수대로 415,(원창동),2,0,A01,A0101,A01010500,2768211,12,20211104222046,http://tong.visitkorea.or.kr/cms/resource/54/2790454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2790454_image2_1.jpg,126.6607487183,37.513307553,6.0,20221108133718,0,7,,SK인천석유화학벚꽃동산,22771.0,인천 서구 봉수로 SK 석유화학단지 주변에 1985년부터 벚꽃 600여 그루를 식재하여 조성한 공원이다. 40년을 바라보는 세월만큼 벚나무도 성장하여 봄이 되면 하늘을 뒤덮는 벚꽃의 향연이 펼쳐진다. 길이 1.5 킬로미터로 조성된 산책길에는 자연 친화적인 산책로와 곳곳에 벤치가 설치되어 있어 화려한 풍광을 감상하며 휴식을 취할 수 있도록 해 놓았다. 벚나무 하단에는 개나리도 같이 심겨 있어 노란색과 연분홍색의 화려한 색 잔치가 펼쳐진다.
인천광역시 서구 북항로 135,(원창동),2,0,A01,A0101,A01011400,2768195,12,20211104202119,http://tong.visitkorea.or.kr/cms/resource/96/2790596_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2790596_image2_1.jpg,126.6319710049,37.5055773883,6.0,20221109152644,0,7,,인천북항다목적부두,22855.0,"인천 서구와 동구의 공업단지를 뒤로 하는 인천 북항은 다목적부두, 제 4부두, INTC 부두 3부두가 있다. 북항 3부두는 2만 톤급 1선석(288m)과 대지면적 총 70,969m²로 연간 66만 톤의 화물처리가 가능한 잡화부두이다. 항만하역과 물류창고 시설을 갖췄고 통관업무와 화물 운송 중개 등 수상 화물 처리의 대표 부두이다."
인천광역시 서구 봉수대로 1172-1,(백석동),2,0,A02,A0201,A02010800,2768191,12,20211104201751,http://tong.visitkorea.or.kr/cms/resource/35/2787835_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2787835_image2_1.jpg,126.6640687601,37.5805775647,6.0,20221103094706,0,7,,황룡사(인천),22687.0,황룡사 대불보전은 유럽의 건축물에 불교의 상징과 전통 사찰의 모든 것을 담아 놓은 건물 외형을 가졌다. 건물 입구와 벽면에 불상들이 부조로 조각되어 있으며 대불보전 입구와 건물 지붕은 전통 사찰의 기와와 형태를 갖췄다. 사찰 마당에는 대형 불상이 세워져 있으며 불교의 탄생과 교리가 석면에 그림으로 조각되어 있어 이곳은 마치 불교 조각 미술을 보는 전시 공간과도 같다.
인천광역시 서구 로봇랜드로249번길 38,(청라동),2,0,A01,A0101,A01010500,2767889,12,20211104001203,http://tong.visitkorea.or.kr/cms/resource/64/2781364_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/64/2781364_image2_1.png,126.607361433,37.5310295496,6.0,20211208231307,0,7,,청라환경생태공원,22756.0,"인천 서구 청라동에 위치한 약 73,000㎡ 규모의 생태공원으로 인천환경공단이 청라 생활 폐기물 처리시설(청라자원환경센터)내에 지역 주민들에게 자연을 느끼면서 편안하게 휴식을 취할 수 있는 주민편익시설을 제공한다는 목적으로 조성하여 무료로 개방하고 있다. 주요시설로는 환경온실, 생태연못, 어린이 놀이터, 잔디마당 등 여가시설과 천연잔디, 축구장, 테니스장, 농구장, 배구장 등 체육시설을 운영하고 있으며 축구장을 제외한 모든 시설은 무료로 운영하고 있다. 또한 생태공원내에는 지역 주민들을 위한 다양한 환경체험행사와 어린이들을 위한 체험프로그램을 수시로 운영하고 있다."
인천 서구 연희동 428-10,,2,0,A02,A0202,A02020700,2767777,12,20211103230311,http://tong.visitkorea.or.kr/cms/resource/86/2780686_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2780686_image2_1.png,126.6571981513,37.5452926592,6.0,20221213115005,0,7,,연희공원,,"인천 서구 연희동에 있는 연희공원은 인천시의 생태 기능을 강화하고자 훼손된 자연을 원래대로 되돌리기 위해 자연과 사람이 어우러진 생태 휴식공간으로 조성한  1,032,165.5㎡ 규모의 공원이다. 1단계는 동심 가득한 연희공원 자연마당으로, 2단계는 삶의 활력소가 되는 다목적운동장으로, 3단계는 볼거리 가득한 철쭉동산으로 조성 완료하였다. 2023년까지 단계별로 조성할 계획으로 새로운 공원 환경을 추가로 시민들에게 제공할 계획이다. 특히, 다단정화 습지 등은 다양한 생물들에 서식처를 제공하고, 도심에서 쉽게 접하지 못하는 논 습지는 아이들에게 좋은 학습공간이 되고 있다. 주요 시설로는 자연학습장, 다목적운동장, 숲속 테크로드, 전망마당이 있다. 봄가을에는 인천시 계양공원사업소 주관으로 모내기 체험과 벼베기 체험 행사를 열고 있다."
인천광역시 서구 왕길동 581-15,,2,0,A02,A0202,A02020700,2767760,12,20211103225535,http://tong.visitkorea.or.kr/cms/resource/53/2780553_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/53/2780553_image2_1.png,126.6391625652,37.5855043289,6.0,20221212154922,0,7,,드림파크 주민체육공원,,"인천 서구 오류동에 있는 공원으로 수도권 매립지에 주민 체육 시설 및 휴식공간을 조성한 곳이다. 인천 수도권매립지 주변 영향권에 있는 지역 주민들을 위한 건강증진과 운동, 취미 등의 여가선용을 위한 인조잔디 축구장, 인라인 트랙, 농구, 배구, 테니스장을 비롯해 어린이놀이터, 생태습지, 친수경관연못 등이 설치되어 인근 주민들에게 인기가 있다. 공원 우측으로 어린이 놀이터도 마련되어 있고 곳곳에 테이블과 정자도 있어서 아이들과 함께 나들이와도 좋은 곳이다. 인천 수도권매립지에서는 매년 가을에는 '드림파크 국화축제'도 열리고 있으며 인근에 드림파크 공원, 드림파크 야생화 단지도 있다."
