addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 연수구 신송로125번길 13,(송도동),2,0,A02,A0202,A02020600,2782697,12,20211129200844,,,126.6511723319,37.3946239529,6,20221214095302,0,8,,마리앤쥬,21995.0,"마리앤쥬는 도심에서 쉽게 접하기 어려운 동물들을 가까이에서 직접 교감하며 성장과정을 관찰할 수 있는 공간이다. 여우, 미어캣, 스컹크, 고슴도치, 뱀, 도마뱀, 강아지, 고양이 등 20여 종의 이색 동물을 갖춰 놓았다. 입장권을 구입하면 음료권을 준다, 이용 시간은 2시간으로 정해져 있다. 어린이들이 동물과 교감하며 생명의 소중함을 배우고 동물을 사랑할 수 있도록 도와주는 전문 사육사의 체험 프로그램도 준비되어 있다. 동물 사료는 별도 구매해야 한다. TV프로그램 SBS 세상에 이런 일이, KBS VJ 특공대 MBC 생방송 오늘 저녁에 소개됐었다."
인천광역시 연수구 송도동 24-5,,2,0,A01,A0101,A01011400,2768205,12,20211104220847,,,126.6397123282,37.3923379055,6,20221202100952,0,8,,송도센트럴공원 수상택시선착장,,송도 센트럴파크는 대한민국의 베니스이다. 강물처럼 보이지만 뱃길은 바닷물이다. 송도 수상공원 양옆으로 화려하고 높은 고층빌딩 숲을 이루고 있는데 배를 타고 송도의 A9 아름다운 풍광을 즐길 수 있다. 웨스트보트 하우스 수상택시 선착장 매표소 앞은 노천 카페처럼 수상공원을 바라볼 수 있는 야외테이블이 마련되어 있다. 정원에 따라 배의 크기를 달리 선택할 수 있으며 보트를 바닷길을 달리는 이색적인 경험으로 송도의 대표 관광지로 유명하다.
인천광역시 연수구 연수동 638-6,,2,0,A02,A0203,A02030600,2768141,12,20211104194648,,,126.6836573904,37.4259958827,6,20220627102630,0,8,,함박마을,21912.0,"인천 연수1동 마리 어린이공원 주변 주택가는 고려인과 여러 외국인이 거주하는 러시아타운이다. 2017년부터 집단 거주촌으로 변모하기 시작한 함박마을에는 러시아, 카자흐스탄, 우즈베키스탄 출신 고려인들과 중앙아시아 현지 출신 외국인들이 집단 거주하면서 한국의 러시아타운이 형성된 것이다. 이곳에 가면 러시아 요리, 러시아 빵 등 이국적인 식료품점과 식당 및 다양한 상점들을 많이 볼 수 있다."
인천광역시 연수구 송도동 30-9,,2,0,A02,A0205,A02050600,2768138,12,20211104194540,,,126.629046532,37.3960372885,6,20221129162412,0,8,,인천대교전망대,,인천대교의 아름다움을 가장 잘 볼 수 있는 최고의 전망대로 컨테이너 위에 조성된 오션 스코프이다. 인천의 바다와 인천대교를 한눈에 다 볼 수 있는 탁 트인 공간을 조성해 놓았다. 나무 데크로 조성된 넓은 바닥면과 벤치도 길게 장착해 두어 전망대에서 걸어 다니거나 앉아서 쉴 수 있도록 해 놓았다. 뒤로는 송도의 고층 빌딩과 앞으로 펼쳐진 바다가 해안 도시의 멋스러움을 더해 준다.
인천광역시 연수구 국제항만대로326번길 57,(송도동),2,0,A01,A0101,A01011400,2768129,12,20211104193933,,,126.6054979021,37.4241197229,6,20221206142357,0,8,,인천항국제여객부두,22016.0,인천항 국제여객부두와 여객선 터미널을 건설함으로써 인천항 국제여객선터미널로 새롭게 조성되었다. 이원화된 운영을 통일함으로써 이용자 불편을 해소하고 항만 효율성을 증대시켜 관광미항으로 개발하고 있다. 터미널 동과 게이트 동의 규모는 지상 1층 5층과 옥탑 층으로 구성되어 있다.
인천광역시 연수구 인천신항대로 707,(송도동),2,0,A01,A0101,A01011400,2768127,12,20211104193714,,,126.6364083414,37.3464570625,6,20221130143845,0,8,,인천신항관리부두,22031.0,인천 신항은 무인 자동화 크레인 등 최신 항만 인프라를 갖추고 있는 해운 물류 중심기지이다. 인천 신항 관리 부두에는 엄청난 규모의 화물주차장이 펼쳐져 있다. 관리 부두 주변으로 나 있는 인도에는 자전거도로가 같이 있어 항만의 분위기를 느끼며 운동할 수 있다. 신항 부두 주변에 항만시설인 방파제 호안이 있으며 바다 위 다리 도로에서는 바다 낚시를 즐기는 사람들에게 인기가 많은 장소이다.
인천광역시 연수구 송도동 1,(송도동),2,0,A02,A0202,A02020700,2767888,12,20211104001015,http://tong.visitkorea.or.kr/cms/resource/78/2781378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2781378_image2_1.jpg,126.6597659732,37.3953434658,6,20220411100506,0,8,,달빛축제공원,21994.0,"인천 연수구 송도 2동 인천 포스코 고등학교 인근에 있는 2,928,692㎡ 규모의 자연 생태공원이다. 송도 국제도시와 아암호수 물줄기를 따라 공원이 조성되어 천변 산책로를 따라 산책하기 좋으며 가을철에는 해바라기 꽃밭이 조성된다. 산책로와 유슈 수지, 조류생태공원, 습지 생태공원, 자연학습원이 있으며, 조경 시설로 인공식물섬 4개소, 운동 시설로 테니스장 17면, 농구장 2개소, 배드민턴장 1개소, 족구장 1개소, 체력단련시설, 다목적운동장 2개소가 조성되어 있다."
인천광역시 연수구 센트럴로 350,(송도동),2,0,A02,A0202,A02020600,2767886,12,20211104000349,http://tong.visitkorea.or.kr/cms/resource/95/2781395_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/95/2781395_image2_1.png,126.632476445,37.4079442991,6,20221206111947,0,8,,송도 도그파크,22005.0,"인천 연수구 송도동 달빛축제공원 내에 있는 송도 도그 파크는 5,500m² 규모의 야외 반려견 놀이터로 입장료가 무료이다. 전염병, 유기방지 동물 등록을 한 후 입장 절차를 거친 반려견만 들어갈 수 있다. 인식 칩 또는 인식표가 없는 반려견의 경우는 보호자가 동물등록증을 소지해야 입장이 가능하다. 도그파크는 대형견, 중소형견, 혼합형인 3개의 공간으로 구성되어 있고, 반려견 보호자를 위한 공간으로 벤치와 그늘막이 설치되어 있다."
인천광역시 연수구 송도동 386-4,(송도동),2,0,A01,A0101,A01011100,2767879,12,20211103234939,http://tong.visitkorea.or.kr/cms/resource/09/2781409_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/09/2781409_image2_1.png,126.6147770099,37.345323481,6,20221021101603,2,8,,신항 바다쉼터,21992.0,"인천해양수산청이 송도 1동 9883 일원에 신항 바다쉼터를 조성하여 2011년 6월부터 현재까지 시민들에게 개방하고 있다. 군사보호 구역임에도 인천 신항 건설과 함께 개장한 바다쉼터는 시민들이 인천항의 발전 모습과 서해의 아름다움을 보고 휴식을 취할 수 있도록 제공한 것이다. 방파제와 그 위로 조성된 산책로와 전망대가 있으며 쉼터가 마련되어 있고, 해안가 주변으로 지압판이 깔린 산책길이 조성되어 있다. 방파제 해안 산책로 하단에서는 낚시하는 사람들이 많으나 이곳은 낚시가 금지된 곳이다. 출입통제구역이라 오전 9시부터 오후 6시까지 이용할 수 있으며, 5시 10분부터는 10분 간격으로 이용을 종료하라는 방송이 나온다."
인천광역시 연수구 테크노파크로 180,(송도동),2,0,A02,A0201,A02010600,2767851,12,20211103233012,http://tong.visitkorea.or.kr/cms/resource/02/2781402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2781402_image2_1.jpg,126.6389152185,37.3909075021,6,20221212174529,1,8,,송도 한옥마을,22004.0,"인천 연수구 송도동 249번지에 조성된 한옥마을로 오래된 전통 가옥 촌이 아닌 2013년에 신축된 한옥 단지이다. 송도 국제도시의 고층빌딩과 한옥단지가 대비되면서 서양과 동양의 만남이 이루어지는 듯한 공간이 조성되었다. 조성 초기 계획으로는 전통문화 체험공간의 성격이 강했다고 전해지나 현재는 한옥 전통마을 전체 부지를 외식업체에 임대해 한옥으로 지어진 호텔과 식당과 카페 등의 상업 시설로 이용되고 있다. 드라마 도깨비, 야왕, 파랑새의 집 촬영지로도 알려져 많은 사람이 찾는 장소이다."
