addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 옹진군 대청면 소청리,,2,,A01,A0101,A01010500,2932005,12,20221128185453,http://tong.visitkorea.or.kr/cms/resource/43/2918043_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2918043_image3_1.jpg,124.7515952162,37.7727698198,6,20221213172140,0,9,,분바위와 월띠,23106,"백색의 대리암으로 이루어진 분바위는 소청도의 주민들이 바위가 분칠을 한 것처럼 하얗다 하여 분바위라고 불렀으며, 달빛이 비추는 밤바다에서 바라보면 소청도를 하얀 띠가 둘러싸고 있다하여 월띠라고도 불렀으며, 등대 역할을 하였다. 이 분바위는 과거 지구의 따뜻한 바다에서 번식한 산호와 같은 생물들이 죽어 쌓여 만들어진 석회암이 고온･고압의 환경에서 변성작용을 받아 만들어진 대리암이다. 이 분바위의 특정 부분에는 스트로마톨라이트라고 하는 화석이 산출되는데, 이 스트로마톨라이트는 원시지구에서 광합성을 통하여 산소를 공급한 남조류(시아노 박테리아)의 화석이다. 주민들은 이 스트로마톨라이트를 굴딱지 돌이라고 불렀으며, 현재는 남한에서 가장 오래된 화석으로 천연기념물 508호로 지정되었다.
  출처 : 국가지질공원"
인천광역시 옹진군 대청면 대청리,,2,,A01,A0101,A01010500,2932004,12,20221128185443,http://tong.visitkorea.or.kr/cms/resource/39/2918039_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2918039_image3_1.jpg,124.7082252086,37.8427720065,6,20221213171901,0,9,,검은낭,23105,"대청도 답동 종합운동장 앞부터 해안을 따라 동쪽으로 약 1.5km의 연장을 가지는 검은낭은 검은 낭떠러지란 뜻으로 현지 주민들이 사용하던 말이다. 이곳은 다른 곳과 다르게 어두운 암석들이 많이 분포하는데, 백령도의 진촌리 현무암과는 다른 퇴적암으로 구성되어 있다. 퇴적암이 검은색을 띄는 이유는 역암이나 사암이 아닌 이암으로 구성되며, 이 이암은 어두운 색을 띄는 광물인 흑운모나 녹니석 등으로 이루어져 있기 때문이다. 검은낭을 따라 설치된 해안 산책로는 대청도의 여유롭고 편안한 분위기를 잘 보여준다.
  출처 : 국가지질공원"
인천광역시 옹진군 대청면 대청리,,2,,A01,A0101,A01010500,2932003,12,20221128185432,http://tong.visitkorea.or.kr/cms/resource/31/2918031_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2918031_image3_1.jpg,124.7082252086,37.8427720065,6,20221213171924,0,9,,서풍받이,23105,"해발고도 약 80m에 이르는 서풍받이는 하얀 규암으로만 이루어진 웅장한 수직절벽으로 서쪽에서 불어오는 편서풍을 그대로 맞이하고 있다. 지속적으로 부는 강한 서풍이 부딪히는 서풍받이의 절벽은 식생이 거의 자라지 못하지만, 동쪽의 완만한 사면은 울창한 수풀이 자라고 있다. 이곳 서풍받이에서 동쪽의 만 건너편 기름아가리를 바라보면 지층의 경사가 점차 변화하는 것을 관찰할 수 있는 흥미로운 장소이다.
  출처 : 국가지질공원"
인천광역시 옹진군 백령면 진촌리,,2,,A01,A0101,A01010500,2932002,12,20221128185421,http://tong.visitkorea.or.kr/cms/resource/15/2918015_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2918015_image3_1.JPG,124.7321451059,37.9536926933,6,20221213172112,0,9,,진촌리 현무암,23102,"제주도를 이루는 암석과 동일한 암석인 진촌리 현무암은 지각과 맨틀의 경계에서 만들어진 고철질 마그마(철과 마그네슘 함량이 높고 규소 함량이 낮은 마그마)가 지각을 뚫고 올라와 지표로 분출하여 만들어졌다. 진촌리 현무암을 자세히 살펴보면 녹색을 띄는 알갱이들이 박혀있는 것을 볼 수 있는데, 이것은 감람석이라고 하며 지각 밑의 맨틀을 구성하는 암석 중 하나로, 현재 인류의 기술로 유일하게 직접적으로 지구 내부의 물질 변화와 환경을 연구할 수 있는 대상이다. 이 감람석들은 불순물이 적고 투명도가 높은 경우 페리도트(peidote)라는 보석으로 사용되나, 진촌리 현무암의 감람석들은 크기가 작고 불순물이 많아 보석으로 적합하지 않다.
  출처 : 국가지질공원"
인천광역시 옹진군 백령면 남포리,,2,,A01,A0101,A01010500,2932000,12,20221128185410,http://tong.visitkorea.or.kr/cms/resource/08/2918008_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2918008_image3_1.jpg,124.6685990704,37.9216565355,6,20221213092807,0,9,,용틀임 바위,23104,"끊임없이 몰아치는 파도와 바닷바람을 이겨낸 해안절벽의 극히 일부가 살아남아 마치 몸을 뒤틀며 승천하는 용과 같은 형상을 보여준다. 용트림바위가 보이는 절벽의 우측으로 돌아가면 천연기념물 507호인 남포리 습곡이 나타난다. 이 남포리 습곡은 지층이 구부러지거나(습곡), 끊어진 곳(단층)이 있는데, 이 현상은 강한 힘이 이 지층에 작용하여 지층이 변형된 것이다. 이 남포리 습곡은 그 규모와 특이성으로 인하여 천연기념물로 지정되었다.
  출처 : 국가지질공원"
인천광역시 옹진군 자월면 대이작로 4,,2,0.0,A01,A0101,A01011400,2782719,12,20211129211625,http://tong.visitkorea.or.kr/cms/resource/50/2786750_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2786750_image2_1.jpg,126.24784277,37.1782837005,6,20221214143825,0,9,,대이작도선착장,23128,"대이작항은 육지에서 멀리 떨어져 있는 대이작도의  생활 근거지가 되는 소규모 항구인 어촌정주어항이다. 또한 인천여객터미널과 대부도 방아머리항에서 출발한 쾌속선과 이작도, 자월도, 승봉도를 잇는 소형 선박들이 수시로 드나드는 선착장이기도 하다. 대이작 선착장은 맞은편의 소이작도 선착장과 매우 가까워 직선거리는 500m도 채 되지 않는다. 선착장에 내리면 환영 영화의 고향 섬마을 선생님 대이작도 방문을 환영합니다라는 문구가 큼직하게 씌어 있는 아치와 섬마을 선생 노래비를 만나게 된다. 또한 2009년, 대이작도를 일반에 알리는 데 일조를 했던  1박2일 멤버들의 비박에 관한 이야기를 적은 안내 팻말도 만날 수 있다. 대이작도는 광어, 농어, 우럭 등의 대어가 잘 잡히는 낚시 포인트로 알려진 농어바위를 찾는 낚시인들이 많아 선착장 근처에 낚시 전용 어선이 늘 정박해 있는 것을 볼 수 있다.  근처에 데크로 연결된 해안 탐방로가 있어 가볍게 산책하기도 좋다."
인천광역시 옹진군 자월면 대이작로 422-22,,2,0.0,A02,A0203,A02030600,2782254,12,20211127000502,http://tong.visitkorea.or.kr/cms/resource/82/2786882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2786882_image2_1.jpg,126.2803736619,37.1588587359,6,20221101104046,1,9,,섬마을선생촬영지,23128,"대이작도 선착장에 도착하면 가장 먼저 '영화의 고향, 섬마을 선생님'이라는 환영 문구를 만나게 된다. 1960년대 중반 많은 관객을 동원한 영화 섬마을 선생이 촬영된 곳이 바로 대이작도 계남마을이다. 이미자의 히트곡 섬마을 선생님을 영화화한 김기덕 감독의 섬마을 선생(1967)의 촬영지인 계남마을에는 지금도 영화의 무대가 되었던 계남분교가 빛바랜 채로 남아있다. 젊은 층에는 생소하지만, 장년층에게는 젊은 시절을 추억하게 하는 이곳에서 어쩌면 해당화 피고 지는 섬마을에 철새 따라 총각 선생님으로 시작하는 이 노래를 흥얼거리게 될 것이다. 
실화를 바탕으로 만들어졌다고 전해지는 섬마을 선생은 월남전에서 돌아와 전사한 부하의 고향인 낙도로 들어가 마을 주민 계몽과 진료에 힘쓰던 명식(오영일 분)과 그를 돕다가 사모하게 된 죽은 부하의 여동생 영주(문희 분)의 이야기를 다룬 바 있다."
인천광역시 옹진군 자월면 이작리 산209,,2,0.0,A01,A0101,A01011000,2782249,12,20211127000240,http://tong.visitkorea.or.kr/cms/resource/42/2786842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2786842_image2_1.jpg,126.2592418107,37.1753036871,6,20221101112314,0,9,,삼신할미약수터,23128,"부아산으로 오르는 입구에 삼신할머니 약수터를 알리는 여장군 장승과 아기를 안고 있는 할머니 조형물이 있어 시선을 사로잡는다. 삼신할머니 약수터다. 할머니가 아기를 안고 의자에 앉아 있는 모습이 사실적으로 묘사된 이 조형물은 차도 바로 옆에 있기 때문에 발견하기 쉽다. 
삼신할머니는 원래 아기와 관련이 있는 민속신앙에서 유래된 집안의 신이다. 옥황상제의 명을 받아 아이의 출산과 수명과 질병을 관장하는 신으로 예로부터 출산을 하면 가장 먼저 삼신할머니께 감사의 미역국을 끓여 올리는 풍속이 있었다. 대이작도에서 만나는 삼신할머니는 병을 고치고 소원을 이루어주는 정한수와 아기를 점지하고 보고해주는 생명수인 약수를 내려주는 존재다. 관광객들은 부아산으로 오르기 전이나 산행 후에 이 약수를 마신다. 부아산의 정기를 받은 물이자 삼신할머니의 축복을 받은 물이라서 그런지 물맛이 다르게 느껴진다."
인천광역시 옹진군 영흥면 영흥서로446번길 46,,2,0.0,A02,A0203,A02030100,2782227,12,20211126235617,http://tong.visitkorea.or.kr/cms/resource/29/2786729_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2786729_image2_1.jpg,126.457409737,37.2825085725,6,20221214151057,0,9,,영암어촌계 체험장,23117,"영흥도 북쪽에 자리 잡은 영흥면 내리의 어촌계 체험장은 십리포해수욕장과 장경리해수욕장 사이의 작은 해변인 수해해변에 위치해 있다. 갯벌 체험은 혼합갯벌로 이루어진 수해해변과 농어바위 근처에서만 가능하다. 외부인은 출입할 수 없고 영암어촌계 체험객과 주변 캠핑장이나 펜션 이용객들만 이용할 수 있다. 질퍽한 갯벌이 아니기 때문에 체험 시 장화는 필요 없다. 한 사람당 1만 원의 체험비를 지불하면 호미와 물통을 포함한 갯벌 체험 장비를 준다. 농어바위 근처는 갯바위가 발달해 경관이 뛰어나며 농어가 잘 잡히는 포인트로 물이 빠지면 길이 생겨서 농어바위까지 걸어 들어갈 수 있다. 농어바위 오른편의 수해해변은 잘 알려지지 않은 아담한 바닷가로 호젓하게 해수욕을 즐길 수 있다. 만조 때는 망둥이나 우럭, 놀래미 낚시를 할 수 있고 간조가 되면 바지락이나 굴, 박하지, 고둥 등을 잡는 갯벌 체험이 이루어진다. 이곳 역시 어촌계에서 바지락 종패를 뿌려 아쉽지 않게 바지락을 캘 수 있는 곳. 체험장 입구에 펜션이나 민박 같은 숙박시설과 식당, 매점 등 편의시설이 모여 있다."
인천광역시 옹진군 덕적면 소야리 598-3,,2,0.0,A01,A0101,A01011300,2782222,12,20211126235521,http://tong.visitkorea.or.kr/cms/resource/98/2786898_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2786898_image2_1.jpg,126.1611383114,37.2248795802,6,20221214150142,0,9,,소야도,23133,"덕적도의 남동쪽에 위치한 소야도는 인천 연안부두에서 쾌속선을 타면 한 시간 정도의 거리에 위치한 섬이다. 덕적도 진리선착장에서 종선을 타고 10분이면 소야도 선착장에 도착한다. 영화 연애편지의 촬영지인 소야도는 수정처럼 맑은 바닷물과 단단하고 고운 모래 백사장이 환상적인 섬이다. 덕적도와는 500m 정도의 거리로 떨어져 있다. 덕적도는 이미 많은 사람에게 알려진 유명한 곳이지만 바로 옆에 붙어있는 소야도는 교통이 그리 편하지 않아 아직 감춰진 보물섬처럼 조용하고 한적한 풍경을 감상할 수 있다.
섬 중앙에 국사봉이 자리하고 있고 섬 아무 데나 짐을 풀고 텐트를 치며 캠핑을 즐겨도 좋을 만큼 해변이 많다. 뗏부루해수욕장은 700m 남짓한 작은 해수욕장으로, 캠핑공간 및 각종 편의시설을 갖추고 있다. 무료 캠핑시설장을 갖춘 소야도에서 소나무숲 사이로 해변을 바라보며 캠핑을 즐기는 것 또한 낭만적이라 캠퍼들 사이에 인기가 많다. 아울러 산길과 해변이 절묘하게 조화된 트레킹코스도 있어 시원한 바닷바람을 맞으며 걸으면 좋다. 소야도에서는 봄과 가을에는 꽃게, 겨울에서 초봄까지에는 자연산 굴이 많이 난다."
