addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
인천광역시 중구 영종해안남로321번길 186,,2,,A02,A0202,A02020200,2932001,12,20221208171314,http://tong.visitkorea.or.kr/cms/resource/88/2931988_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2931988_image3_1.jpg,126.4557806464,37.4372627913,6,20221208171341,0,10,,파라다이스시티,22382.0,"파라다이스시티는 호텔, 카지노, 플라자(쇼핑), 스파, 클럽 등 다양한 호스피탈리티 및 엔터테인먼트가 결합한 대한민국 최초의 복합 리조트이다. 시설 설계, 콘텐츠, 서비스 등 모든 면에서 국내 타 시설과 비견할 수 없는 퀄리티로 선보이기 위해 세계적인 파트너사들과 협력하고 있다. 또한 국내 최초 아트테인먼트(Attainment) 복합리조트를 표방한다. 국내외 최정상 예술가의 작품부터 파라다이스가 후원하는 신진 작가의 작품까지 감상할 수 있는 아트 갤러리 같은 문화공간에서 사계절 다채로운 문화를 제공하고 있다. 고객들은 예술적이고 다이나믹한 시설이 조각보처럼 어우러져 한 번에 모든 것을 누릴 수 있는 창조적 공간인 파라다이스시티에서 휴식과 여유를 즐길 수 있다."
인천광역시 중구 우현로35번길 14-1,(신포동),2,0.0,A02,A0210,A02100700,2795229,12,20211214185934,http://tong.visitkorea.or.kr/cms/resource/20/2796320_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2796320_image2_1.jpg,126.6262058339,37.4706813435,6,20221124132151,0,10,,한지생각이닥,22322.0,"인천 6호 공예 명장인 이미자 명장이 운영하는 한지공예 공방이다. 1층은 한지 체험을 하는 곳이고, 2층에는 카페가 있어 커피와 차를 마실 수 있다. 현대적인 감각을 살린 한국 전통한지공예를 창작하고 있으며, 대중에 한지 공예를 알리기 위해 노력하고 있다. 신포국제시장, 차이나타운, 송월동 동화마을과 가까워 함께 둘러보기에도 좋다."
인천광역시 중구 신포로27번길 48-1,(관동2가),2,0.0,A04,A0401,A04010700,2795216,12,20211214185655,http://tong.visitkorea.or.kr/cms/resource/06/2796306_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/06/2796306_image2_1.JPG,126.6229116314,37.4727893736,6,20221123092139,0,10,,지인공방,22315.0,"인천시 신포개항장 문화거리에 위치한 한지공예 공방이다.  전통 한지로 생활 인테리어 가구 만들기와 선물하기 등 다양한 생활 소품 및 가구를 직접 제작할 수 있다. 한지공예자격증반, 창업반, 취미반 등 다양한 레벨의 한지 공예 수업을 진행하고 있다."
인천광역시 중구 신포로27번길 63,(중앙동2가),2,0.0,A02,A0203,A02030600,2786133,12,20211206202456,http://tong.visitkorea.or.kr/cms/resource/47/2792547_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2792547_image2_1.jpg,126.6220672588,37.472986558,6,20221116133045,0,10,,개항차이야기투어(조은투어),22314.0,"인천 개항장 거리는 1883년 인천이 개항되면서 일본과 중국 등 다채로운 문화가 어우러졌던 역사적 공간이다. 옛 일본영사관인 중구청을 비롯해 일본 제1은행 인천지점, 일본 제18은행 인천지점, 일본 제58은행 인천지점 등 다수의 근대건축물도 만날 수 있다. 개항차이야기투어는 이 같은 공간을 전문해설사와 함께 둘러보면서 인천의 역사와 문화에 대한 숨겨진 이야기를 들을 수 있다. 특히 해설사가 직접 운전하는 친환경 전동차를 이용해 편리하게 이동할 수 있어 가족이나 친구들끼리 참여해도 좋다. 개항차이야기투어는 개항장 거리와 차이나타운 등 공통 장소 외에 청일조계지와 짜장면박물관을 둘러보는 A코스와 박물관 거리를 돌아보는 B코스, 원하는 곳을 골라서 투어하는 C코스로 나뉜다. 모든 코스는 50분 정도 소요된다."
인천광역시 중구 영종해안남로321번길 186,(운서동),2,0.0,A02,A0202,A02020600,2785747,12,20211203222330,,,126.4557445366,37.4373461143,6,20220701152959,2,10,,파라다이스시티 원더박스,22382.0,"원더박스는 밤의 유원지 콘셉트의 실내형 패밀리 엔터테인먼트 테마파크다. 지상 2층 규모로 면적은 약 3,933㎡(약 1200평)에 이른다. 세계적 멀티미디어 엔터테인먼트 스튜디오 모멘트팩토리가 원더박스의 미디어 콘텐츠를 제작해 관심을 집중시켰다. 여기에 국내 최초로 도입되는 어트랙션, 취향에 따라 즐길 수 있는 다채로운 디저트 숍 등 눈과 입이 동시에 즐거운 경험을 선보인다. 아트와 테크놀로지를 융합한 혁신성을 인정받아 오픈 8개월만에 엔터테인먼트 업계의 아카데미 어워즈 제 26회 티이에이 테아 어워즈(TEA Thea Awads)'에서 수상하며 디즈니랜드, 유니버셜 스튜디오와 함께 글로벌 테마파크 반열에 올랐다.원더박스의 환상적인 분위기와 미스터리한 세계관은 모멘트팩토리와의 미디어 프로젝트를 통해 완성됐다. 아트와 테크놀로지를 융합, 미디어 파사드와 인터랙티브 미디어를 활용해 마치 공간이 살아 숨 쉬는 듯하도록 연출했다. 콘텐츠에 따라 영상, 음악, 조명이 자유롭게 변하며 생동감 넘치는 스토리를 그려내 판타지로의 여행, 꿈의 테마파크를 완성한다. 여기에 점핑스타, 관람차 등 어트랙션과 상호작용하는 미디어 파사드는 색다른 볼거리와 경험을 제공한다.인터랙티브 스테이션(Inteactive Station)은 사람의 움직임에 따라 화면, 소리, 조명이 반응하는 관객 참여형 콘텐츠를 준비했다. 사람 센서에 반응해 그래픽이 변하는 포토존 매직 포토 월, 움직임에 따라 재미있게 변하는 인터랙티브 거울 매직 미러, 크리스탈 볼을 만지면 운세를 볼 수 있는 포춘텔러 등 원더박스에서만 보고 느낄 수 있는 독특한 즐거움을 디자인했다.국내 최초로 도입되는 360도 회전형 메가믹스와 스포츠 어트렉션 스카이 트레일, 페달을 밟으면 곤돌라가 상승하는 매직 바이크를 비롯해 클래식한 놀이기구인 회전목마, 대관람차 등 총 10종의 어트랙션이 마련돼있다. 여기에 온 가족이 함께 즐길 수 있는 카니발 게임 9종도 곳곳에 마련돼 즐거운 시간을 보낼 수 있다.스위트 스트리트, 캔디 트롤리, 원더 푸드트럭, 디저트 트럭 등 먹거리는 원더박스에서 놓칠 수 없는 즐거움 중 하나다. 특히 스위트 스트리트에서는 남녀노소 부담 없이 즐길 수 있는 던킨의 인기 도너츠 4종을 만날 수 있다. 이와 함께 빵, 패티, 야채 토핑 등 모두 내 마음대로 고를 수 있는 DIY 수제 버거 버거스캔들 도 입점했다.특히 원더박스에서는 고객맞이 엔터테인먼트가 다채롭게 펼쳐져 색다른 볼거리를 선사한다. 신나게 즐길 수 있는 카니발 퍼레이드와 개성 넘치는 원더박스 광대들이 선보이는 카니발 쇼는 재미와 흥겨움을 더한다. 또 현장에서 직접 그려주는 캐리커쳐 서비스도 제공해 행복한 순간을 재치 넘치는 그림으로 남길 수 있다. 자세한 공연 일정은 홈페이지에서 확인 가능하다."
인천광역시 중구 서해대로 353,(항동7가),2,0.0,A01,A0101,A01011400,2783146,12,20211130012126,http://tong.visitkorea.or.kr/cms/resource/99/2791099_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/99/2791099_image2_1.JPG,126.6146845114,37.4761443941,6,20221108133054,0,10,,인천항 제8부두,22306.0,"인천역 앞에 위치한 인천항 제8부두는 제1부두와 함께 철재와 목재 등을 하역하던 장소였다. 현재는 주차장으로 개방되어 있으나 편의시설 부족 등으로 잘 활용되지 않고 있다. 8부두 주차장 주변에는 대형 건물들을 짓고 있는 공사가 한창이라 화물차가 많이 다니므로 안전에 유의해야 한다. 2021년 10월부터 인천 개항장 곳곳을 누비는 '인천 개항장 골목투어' 버스투어가 시작됐다. 인천항 제8부두 임시주차장에서 출발해 동화마을과 차이나타운, 제물포구락부, 신포시장 등을 운행한다. 해양수산부는 인천항 내항 지역을 글로벌 해양문화와 관광 거점으로 육성하기 위해 '인천 내항 18부두 항만재개발 사업'을 추진 중에 있으며, 2023년부터 2028년까지 6년간 총 5,003억을 투입해서 42만8천㎡규모의 해양문화 도심공간을 조성할 예정이다."
인천광역시 중구 무의동 1001,,2,0.0,A01,A0101,A01010500,2783141,12,20211130011337,http://tong.visitkorea.or.kr/cms/resource/40/2787540_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2787540_image2_1.jpg,126.442603027,37.3741087893,6,20221101095549,0,10,,무의바다누리길,22388.0,"대무의도와 소무의도를 연결하는 소무의 인도교를 지나 소무의도 섬 전체를 둘러볼 수 있는 길이다. 2.5km로 조성돼 있으며 8개 구간으로 나누어져 있다. 무의도는 영화 실미도, 드라마 천국의 계단 촬영지와 하나개 해변, 호룡곡산 등으로 명성을 떨친 지 오래지만 소무의도가 입소문이 난 것은 샘꾸미 포구에서 소무의도까지 구름다리가 놓이고 무의바다누리길이 조성된 최근의 일이다. 소무의도 안산 정상에 서면 서남쪽에 영흥도와 덕적도, 북쪽으로 강화도와 인천국제공항, 동쪽으로 인천대교와 송도 국제도시까지 파노라마처럼 감상할 수 있다. 주변 관광지로는 영종 씨사이드 레일바이크, 강화 레포츠파크, 옥토끼우주센터 등이 있으며, 겨울철에는 강화 빙어축제가 열린다."
인천광역시 중구 월미로 252,(북성동1가),2,0.0,A02,A0202,A02020600,2783003,12,20211130002328,,,126.5983832839,37.4738860361,6,20220506101738,0,10,,마이랜드,22303.0,"마이랜드는 월미도 하면 떠오르는 대관람차와 바이킹으로 유명한 놀이공원으로 TV 프로그램이나 유튜브에서도 여러 번 방영된 적이 있는 인천의 대표 놀이공원이다. 월미도의 명물 마이랜드 타가다 디스코는 12가지 차별화된 동작으로 타는 재미와 더불어 구경하는 재미도 동시에 느낄 수 있다. 아찔한 스케일과 스릴 있는 90도 회전의 2층 바이킹과 하늘 위에서 빙글빙글 회전하면서 점프하는 점프보트, 아이들이 좋아하는 점핑점핑 등 다양한 놀이 시설이 있다. 소지품을 맡겨 둘 수 있는 물품 보관함이 마련되어 있고, 출출함을 달랠 수 있는 먹거리 판매 상점들도 길게 들어서 있다. 해변 산책과 함께 놀이 기구도 즐길 수 있는 일석이조의 데이트 장소이다. 주변 관광지로는 월미 전망대, 송월동 동화마을, 인천 아트플랫폼 등이 있다."
인천광역시 중구 운서동 2848-6,,2,0.0,A01,A0101,A01010700,2781591,12,20211126194031,http://tong.visitkorea.or.kr/cms/resource/53/2795153_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2795153_image2_1.jpg,126.4729704834,37.4467064386,6,20220902173736,12,10,,하늘정원,,"인천국제공항 옆에 자리한 하늘정원은 매년 가을이면 분홍빛 코스모스가 마치 눈밭처럼 펼쳐진다. 가을 햇살에 반짝이는 코스모스가 살랑살랑 바람이 불어올 때마다 물결을 이루며 환상적인 분위기를 연출한다. 36,000㎡에 달하는 정원에는 코스모스 외에도 은빛 억새와 핑크 뮬리까지 더해져 계절의 정취를 느끼기 좋다. 최근에는 노란색 황화 코스모스까지 심어 더욱 다채로운 빛깔을 감상할 수 있다. 무엇보다 무료로 즐길 수 있는 꽃밭이라 언제든 부담 없이 찾을 수 있으며 하늘정원이 가진 또 하나 매력은 인천국제공항에서 이착륙하는 비행기를 볼 수 있다는 것이다. 머리 바로 위로 날아오르는 비행기가 아름다운 꽃밭 풍경과 어우러져 여행의 설렘까지 더한다. 또한 해 질 무렵이면 영종도의 붉은 노을이 로맨틱한 분위기를 자아내 데이트 코스로 좋다."
인천광역시 중구 제물량로 262-15,(선린동),2,0.0,A02,A0203,A02030600,2781336,12,20211126045106,http://tong.visitkorea.or.kr/cms/resource/26/2786526_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2786526_image2_1.jpg,126.618228676,37.4745724172,6,20221101103738,0,10,,삼국지벽화거리,22314.0,인천 속 작은 중국 차이나타운은 중국 화교의 130년 역사를 지니고 있는 인천의 주요 관광지 중 하나이다. 차이나타운이 알려지면서 찾는 사람이 많아지자 중산학교 담장에 새로운 볼거리를 만들었는데 바로 삼국지 벽화거리이다. 현재에는 주말이면 관광객으로 발 디딜 틈 없는 차이나타운에서도 필수 관광코스로 유명하다. 삼국지 벽화거리는 길 양쪽 벽면에 나관중 원작의 삼국지에 등장하는 80여 개의 중요 장면에 설명을 붙여 제작한 타일 벽화로 장식해둔 거리다. 그 길이가 자그마치 150m에 달해 삼국지를 읽지 않은 사람이라도 그 줄거리를 이해할 수 있을 정도다. 연인들의 데이트 장소로도 좋으며 어린이들이나 학생들의 교육에도 좋아 주말이면 많은 가족 단위의 관광객들이 다녀가는 곳이다. 삼국지 벽화 거리는 차이나타운 안에 있기 때문에 차이나타운을 전체적으로 같이 관광하면서 보는 것을 추천한다. 차이나타운 맨 꼭대기에는 자유공원이 있으니 시간이 된다면 함께 돌아보는 것도 좋다.
