addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 강진군 성전면 월하안운길 (100-63),,38,,A02,A0201,A02010700,2806391,12,20220208131906,,,126.6998840655,34.7420918349,6,20220214090641,0,1,,백운동 원림,59201.0,"이담로(李聃老, 1627∼1701)가 조영한 후 지금껏 보존되어온 전통 원림으로 수많은 선비와 문인들이 조영과 경치에 관하여 예찬한 옛 시와 그림들이 현재까지 잘 남아있음. 특히 백운첩에는 다산 정약용의 백운동12승사의 시가 있고 초의선사의 백운동도가 그려져 있어 유명하며 김창흡, 김창집, 신명규, 임영 등이 원림의 경치를 향유한 기록과 조영자 이담로의 후손들이 경영하여온 기록이 남아있는 등 조경사적(造景史的) 가치가 탁월하다. 월출산을 배경으로 원림을 조영한 유래 및 의도가 명확하게 확인되며, 내원에 화계를 만들어 지형을 자연스럽게 보전하고 계곡물을 상・하 연지에 끌어오는 등 경관처리기법이 우수하다. 식생 등 경관요소를 통하여 선비의 덕목을 높이는 상징성이 돋보이며, 특히 수려한 옥판봉의 지세와 아름다움을 빌려온(借景) 정선대의 경관 등 정약용이 제시한 12곳의 경치가 온전히 남아있는 한국 전통원림의 백미로서 부족함이 없으며 조선시대 선비들이 문화를 교류하며 풍류를 즐기던 곳이며, 또한 정약용, 초의선사, 이시헌 등이 차를 만들고(製茶) 전해주며 즐겨온 기록이 있는 등 우리나라 차 문화의 산실이 되어온 가치까지 더하고 있다."
전라남도 강진군 성전면 백운로 148-4,,38,0.0,A01,A0101,A01010100,2747100,12,20210917195423,http://tong.visitkorea.or.kr/cms/resource/78/2755078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2755078_image2_1.jpg,126.7093025913,34.745727693,6,20211008222654,2,1,,월출산국립공원 경포대지구,59200.0,"월출산은 '달 뜨는 산'이라는 이름에 걸맞게 아름다운 자연경관과 유수한 문화자원, 남도의 향토적 정서가 골고루 조화를 이루고 있는 최남단의 산악형 국립공원이다. 그중 경포대 지구는 월출산 천황봉을 올라가는 탐방로 중 하나로 월출산에서 흐르는 물줄기의 모습이 '무명베를 길게 늘어놓은 것처럼 보인다'고 하여 경포대라 불렀다. 비가 자주 내려 풍년이 들기를 바라는 소망이 깃들어 있다.탐방로 옆 계곡 물이 워낙 맑고 시원하기로 유명해 계곡을 찾는 사람이 많은 곳이다. 경포대 지구에서 정상을 향해 오르는 길에는 화장실이 없기 때문에, 입산 전 꼭 화장실에 다녀오길 추천한다."
전라남도 강진군 군동면 풍동1길 24-13,,38,0.0,A02,A0201,A02010800,2714792,12,20210429003647,,,126.8554697614,34.6531877396,6,20220818091823,0,1,,남미륵사,59219.0,"남미륵사는 전라남도 강진군 군동면 풍동길 화방산에 있는 사찰로 동양 최대 아미타 부처님의 자비로 온 누리에 평화가 가득한 사찰이다. 세계불교미륵대종 총본산인 남미륵사는 1980년에 법흥 스님이 창건하였다. 이후 법흥 스님이 40여 년 동안 불사를 중창하고 꽃과 나무로 사찰 안팎을 가꾸어 현재의 웅장하고도 아름다운 경관을 갖게 되었다. 현재 남미륵사는 동양 최대 규모의 활동 아미타불 불상이 있으며 일주문에서부터 경내에 이르는 길에는 500나한상이 배치되어 있다. 이밖에도 대웅전, 사왕전, 33관음전, 만불전, 천불전, 팔각 13층 석탑 등 아름다운 불사는 풍동 마을 경관과 잘 어우러져 국내외에서 불자뿐만 아니라 많은 관광객이 찾고 있다."
전라남도 강진군 사의재길 31-8,,38,0.0,A02,A0203,A02030600,2650800,12,20200330225620,http://tong.visitkorea.or.kr/cms/resource/93/2650793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2650793_image3_1.jpg,126.7705774315,34.6447400547,6,20220602132224,0,1,,사의재저잣거리,59226.0,"사의재(四宜齋)는 다산 정약용이 1801년 겨울부터 1805년 겨울까지 주막 할머니와 그 외동딸의 보살핌을 받으며 교육과 학문연구에 헌신하였던 곳이다. 이러한 사의재 주변에 저잣거리를 조성하였다. 사의재 저잣거리는 특색 있는 먹거리, 전통 체험, 다양한 공연 등을 진행하여 많은 관광객들로 사랑받고 있는 관광지다."
전라남도 강진군 성전면 달마지길 6,,38,0.0,A02,A0203,A02030100,2629792,12,20191024024559,http://tong.visitkorea.or.kr/cms/resource/72/2629772_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/72/2629772_image2_1.bmp,126.7089221728,34.7414864972,6,20221212110059,0,1,,녹향월촌마을,59202.0,"녹향월촌은 월출산과 무위사, 경포대, 강진다원, 전통테마마을을 보유하고 있고, 인근문화자원으로는 청자도요지가 있으며, 농특산물자원으로 친환경으로 재배하는 우렁이쌀, 게르마늄오이, 새송이버섯, 보리, 참깨 등이 있다."
전라남도 강진군 성전면 월하안운길 100-63,,38,0.0,A02,A0201,A02010700,2515265,12,20171115223600,,,126.6998840655,34.7420918349,6,20220224142917,1384,1,,강진 백운동별서정원,59201.0,"조선중기 처사 이담로(聃老, 16271701)가 들어와 계곡 옆 바위에 백운동(白雲洞)이라 새기고 조영(造營)한 원림으로, 자연과 인공이 적절히 배합된 배치와 짜임새 있는 구성을 이루며 우리 전통 원림의 원형이 그대로 보존된 별서이다.
백운동이란 월출산에서 흘러 내린 물이 다시 안개가 되어 구름으로 올라가는 마을이라는 뜻으로 약사암과 백운암이 있었던 곳으로 전해진다.월출산 능선의 기암괴석의 바위들이 보이는 이곳에 전형적인 호남전통원림의 형태를 띄고 있으며, 마침 이곳길도 해남부터 시작하는 삼남길이 지나는 길이기도 하다.현재의 건물은 다산선생이 1812년 이곳을 다녀간 뒤 아름다운 경치에 반해 제자 초의선사에게 백운동도 를 그리게 하고 백운동 원림의 12승경을 노래한 시문을 남겼는데 이를 근거로 호남의 유서깊은 전통별서의 모습을 재현하게 되었다.이담로는 옥판봉에서 흘러내리는 물을 그냥 떠나보내기 아쉬워 아홉 굽이 유상곡수를 만들고 정자를 앉혔는데, 꽃과 나무가 어우러지는 계곡에 눈이 머물다가 봉우리로 시선을 옮기며 경치를 감상하는 것만으로도 최고의 정취를 느낄 수 있다.백운동 계곡은 강진향토문화유산 22호로 지정되어 있으며 담양 소쇄원, 완도 보길도의 세연정 등과 함께 호남의 3대 정원으로 일컬으며 조선중기 선비들의 은거문화를 알려주는 중요한 문화유산이다.출처:강진군 문화관광 홈페이지"
전라남도 강진군 도암면 신기리,,38,0.0,A02,A0205,A02050100,2514003,12,20171103004852,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2648674_image3_1.jpg,126.7717356912,34.5288669609,6,20220224105816,1833,1,,가우도 출렁다리,59251.0,"가우도섬에 위치한 출렁다리는 해안선을 따라 약 3km가량의 산책로가 펼쳐져있고, 한폭의 그림같은 푸른 바닷길을 볼 수 있다."
전라남도 강진군 도암면 월곶로 473,(도암면),38,0.0,A01,A0101,A01011300,2024432,12,20150820235050,,,126.7726522891,34.5283725869,6,20220622101648,22200,1,,가우도,59251.0,"강진군 도암면 망호(望湖)에 속한 강진만의 8개 섬 가운데 유일한 유인도인 가우도는 강진읍 보은산이 소의 머리에 해당되고 섬의 생김새가 소(牛)의 멍에에 해당 된다하여 가우도(駕멍에가牛島)라고 부르게 되었다고 전해진다. 가우도는 사방으로 강진만과 무인도를 조망할 수 있으며 해안경관이 매우 우수하고 섬 내부에는 후박나무, 편백나무 군락지 및 곰솔 등 천혜의 관광 자원이 매우 풍부하다. 자동차가 다니지 않는 출렁다리가 양쪽으로 연결되어 걸어서 섬에 들어갈 수 있으며 섬에 도착하면 산과 바다를 감상하여 걸을 수 있는 2.5km의 생태탐방로가 조성되어있으며, 다양한 어종이 잡히는 복합낚시공원, 섬 정상에 있는 청자타워(높이25m)에서 출발하여 해상을 나는 체험을 할 수 있는 친환경 레저시설인 짚트랙(L973m), 바다를 가르는 제트보트 등 다양한 레저 체험을 즐길 수 있다."
전라남도 강진군 옴천면 장강로 1785-3,(옴천면),38,0.0,A02,A0201,A02010700,1957473,12,20141018012422,,,126.7698580394,34.759254956,6,20220906154507,1845,1,,주봉서원,59207.0,조선시대 암행어사를 지낸 정치가요 문장가인 조팽년과 정조 때 성균관 교수를 지냈던 조규운을 제항하기 위해 세웠다. 원래 이 서원은 1624년(인조 2) 도내 유림들이 주봉산 아래에 있는 기좌리 좌척마을에 새웠었으나 1868년 서원 훼철령에 의해 훼철되었다가 1971년 이곳으로 옮겨 다시 지은 것으로 서원건물로서는 다소 초라한 편이다.
전라남도 강진군 성전면 동령길 51,,38,0.0,A02,A0201,A02010700,1957426,12,20141017230747,,,126.738351332,34.69236195,6,20220825180023,1994,1,,수암서원,59204.0,"이선제를 비롯하여 이조원(李調元)·이중호(李仲虎)·이발(李潑)·이길(李洁)이 배향되어 있다. 전라남도 기념물로 지정되었다. 1979년 이 서원일대가 전라남도기념물로 지정되었고, 1977년 강진군의 문화재정화 및 보수계획에 따라 보수되었다."
