addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 고흥군 신호산장길 73-19,,38,,A01,A0101,A01010700,2924827,12,20221129170730,http://tong.visitkorea.or.kr/cms/resource/15/2924815_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2924815_image3_1.JPG,127.3036371949,34.6043812971,6.0,20221129170748,0,2,,고흥장수호힐링정원,59536,"전라남도 제7호 민간정원으로 등록된 곳으로 생활 속 정원문화 확산을 위해 개인과 기업 등이 조성한 정원을 발굴해 전라남도 민간정원으로 등록하는 사업에 선정된 것이다. 장수호힐링정원은 2005년 당시 고흥 농촌지도자 연합회장 백의용 씨가 본인 소유 야산에 들국화를 심으면서 시작되었다. 현재 고흥 천만 송이 들국화농장으로 소개되고 있는 곳으로, 들국화 명소이자 힐링 정원 역할을 톡톡히 해내고 있다. 매년 가을 천만 송이 들국화 축제를 개최하고 있으며, 들국화 라이브 카페도 운영하고 있다."
전라남도 고흥군 금산면 대신로 276,,38,0.0,A01,A0101,A01011400,2795388,12,20211214193032,http://tong.visitkorea.or.kr/cms/resource/26/2798426_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/2798426_image2_1.JPG,127.0982447889,34.4621993037,6.0,20221206100725,0,2,,신양선착장,59564,연홍도는 전라남도 고흥군 거금도 옆에 있는 섬으로 작지만 아름다운 자연경관을 간직하고 있다. 최근에는 지붕 없는 미술관으로 더욱 유명해졌다. 이곳 연홍도로 가는 길목에 있는 선착장이 바로 신양 선착장이다. 이용자가 많지 않아 화장실이나 대합실 같은 편의시설 없이 방파제 같은 긴 정박시설만 있다. 요금도 배에서 직접 받는다. 연홍도와 신양 선착장 간의 거리는 불과 500m 남짓으로 건너편 선착장에서 배가 출발하고 도착하는 모습도 눈으로 직접 볼 수 있다. 배는 하루에 일곱 번 왕복 운항을 한다.
전라남도 고흥군 봉래면 나로도항길 128,,38,0.0,A01,A0101,A01011400,2784747,12,20211201230220,http://tong.visitkorea.or.kr/cms/resource/36/2797636_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2797636_image2_1.jpg,127.4535469813,34.46511053,6.0,20221121100416,0,2,,나로도항,59569,"나로도항은 고흥반도 최남단 외나로도에 있는 연안항이다. 1923년부터 어항의 역할을 하기 시작했고, 1965년 어업 전진기지와 1970년 연안항으로 지정됐다. 연안항으로 지정될 당시 이곳은 삼치어장으로는 전북 위도항과 함께 전국 2대 파시 어장을 이루었고, 일일 최대 조업 어선이 500여 척 정도였다고 한다. 나로도항은 여수와 거문도 등을 오가는 카페리호가 운항하는 해상 교통의 거점이다. 하루 평균 250여 척의 어선이 나로도항을 입·출항하며, 바로 인근에 수협 회센터와 봉래시장이 있다. 또한 배를 타고 쑥섬으로도 오갈 수 있다. 특히 나로도항은 낚시 좋아하는 강태공들이 고흥에서 가장 선호하는 월척 장소다. 낚시꾼들은 주로 갯바위 낚시터와 목섬 등을 자주 오가는데, 해송을 비롯한 고유 식물들과 푸른 고흥 바다가 절묘하게 어우러진 광경 속에서 낚시를 즐길 수 있으며, 감성돔과 볼락 등이 많이 잡힌다. 항구 인근에는 수협 회센터와 나로도해변, 나로우주센터 등이 있다. 회센터에서는 고흥에서 잡힌 각종 해산물을 즉석에서 맛보고 사갈 수 있는데, 돔 종류와 광어, 도다리, 갑오징어, 갯장어 등을 주로 판다. 어린이를 동반한 여행객이라면 나로우주센터를 방문해 보는 것도 좋다."
전라남도 고흥군 금산면 신촌리 334-21,,38,0.0,A01,A0101,A01011400,2784743,12,20211201225959,http://tong.visitkorea.or.kr/cms/resource/27/2797627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2797627_image2_1.jpg,127.1223031164,34.4899049413,6.0,20221121104606,0,2,,금진항,,"고흥 여행에서 빠져서는 안 되는 것이 나라호유람선 여행이다. 이 유람선을 타고 전남 최고의 자랑거리로 꼽히는 금당 8경을 가장 가까이서 모두 돌아볼 수 있다. 금당 8경은 금당도 해안에 형성된 기암절벽이다. 나라호유람선은 금당 8경뿐만 아니라 고흥과 완도 일대 청정한 바다를 여행객들에게 몸소 일깨워 준다. 유람 시간은 2시간이며, 내부에는 휴식을 취할 수 있는 휴게소와 간단한 간식을 사 먹을 수 있는 매점이 있다. 금진항에서 출발한 유람선은 금당도의 병풍바위, 부채바위, 스님바위, 교암청풍, 금당적벽, 초가바위, 코끼리바위, 남근바위 순으로 순회한다. 유람선을 통해서만 근접해 볼 수 있는 금당 8경은 생긴 형태에 따라 이름이 붙여졌고, 거친 바위틈 속에서 빼곡하게 자생하는 해송과 조화를 이루고 있어 신비스럽고  경이롭다. 또한 계절에 따라 해송을 비롯한 고유 식물들이 다른 모습과 색감을 자아내기 때문에 계절의 변화에 맞춰 감상하는 것도 남해 여행의 팁이 될 수 있다."
전라남도 고흥군 금산면 오천리 138-9,,38,0.0,A01,A0101,A01011200,2784733,12,20211201225341,http://tong.visitkorea.or.kr/cms/resource/44/2797644_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2797644_image2_1.jpg,127.20683606,34.4305463322,6.0,20220621154943,0,2,,오천몽돌해변,,"오천몽돌해변은 거금도에 있는 해변이며 고흥군 금산면 오천리에 있다. 고흥반도 끝에 있는 녹동항에서 소록도를 거쳐 거금대교를 통해 육지와 연결되어 있다. 이곳은 고흥 10경 중 제7경인 금산 해안 경관에 속한다. 오천몽돌해변은 해안 전체가 몽돌로 이루어진 것이 특징이다. 해안절벽이 형성되어 있고, 절벽 주변 해변에 큼직한 몽돌밭이 있는데 모래알 한 알 없이 온통 몽돌밭이다. 돌은 둥글둥글하나 크기는 주먹보다 커서 많은 이들이 이곳을 방문해 생각보다 큰 크기에 놀라곤 한다. 하지만 신기하다고 해서 몽돌을 가져가서는 안 된다. 불법이기 때문이다. 해변이긴 하지만 수영은 거센 파도 때문에 금지되어 있다. 대신 청각적으로 수영 못지않게 즐거운 경험을 할 수 있다. 멀리서부터 파도가 달려와 둥근 돌과 만날 때 나는 소리를 들을 수 있다. 돌들이 하얀 포말을 일으키며 파도를 만날 때 자그락자그락 내는 소리를 내는데 이는 도시에선 쉽사리 들을 수 없는 순도 100 자연의 소리다."
전라남도 고흥군 영남면 용바위길 22,,38,0.0,A01,A0102,A01020200,2782706,12,20211129201859,http://tong.visitkorea.or.kr/cms/resource/66/2788866_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2788866_image2_1.jpg,127.5068030066,34.5940747981,6.0,20221107135509,1,2,,영남용바위,59521,"영남용바위는 고흥 10경 중 6경으로 지정된 곳이다. 높이 120m의 바위산인 이곳은 퇴적된 암벽이 병풍처럼 둘러쳐져 있으며, 바위를 치고 있는 듯한 파도와 기괴한 모습을 한 기암괴석들로 이뤄진 바위산이 일대 풍광을 이룬다. 용이 암벽을 타고 승천했다는 전설 때문에 용바위라는 이름으로 불리는 이곳은 절벽 한쪽에 용이 승천했을 때 남겼다고 전해지는 자국과 용바위 하단부를 동그랗게 둘러싸고 있는 드넓은 암반층이 형성돼 있다. 그래서 더 먼 곳까지 펼쳐진 바다를 보고 싶어 하는 여행객들과 월척을 바라는 낚시꾼들이 자주 찾는 장소다. 용바위를 보기 위해서는 탐방로 시작길인 용두암을 먼저 봐야 하는데, 전설에 따르면 마을사람들이 승천한 용의 머리를 보고 싶다는 하늘에 소원을 빌자 내려줬다고 한다. 용두암은 용바위와 멀지 않은 장소에 있으며, 지질학적으로는 화산활동에 의해 분출된 용암이 굳어진 바위다. 용바위를 보고 조금 시시하다고 느껴진다면, 고흥 미르마루길 탐방로와 연계 관광을 하면 된다. 탐방로는 용바위를 비롯해 용두암과 용굴, 사자바위, 몽돌해변, 우주발사전망대, 해돋이 해수욕장 등을 두루 돌아볼 수 있다. 용바위와 함께 여행객들이 가장 많이 찾는 것으로 알려진 사자바위도 가까이에 있다. 용바위와 사자바위에 얽힌 전설이나 모양, 위치 등을 비교해 관람해보는 것도 좋다."
전라남도 고흥군 포두면 남성리 203-1,,38,0.0,A01,A0101,A01011200,2782702,12,20211129201424,http://tong.visitkorea.or.kr/cms/resource/65/2788465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2788465_image2_1.jpg,127.4075163003,34.5203452409,6.0,20220621155238,1,2,,남성리해수욕장,,"남성리해수욕장은 고흥군 포두면 남성리에 위치한 해수욕장이다. 고흥읍에서 남동쪽으로 25km 떨어진 내나로도(동일면) 맞은편에 있다. 백사장 길이는130m, 자갈밭 길이 150m인 아담한 해변인 이곳은 오른쪽은 자갈밭, 왼쪽은 백사장으로 되어 있어 두 가지 모두 즐길 수 있다. 자갈과 모래, 갯벌과 바위, 파도소리와 새소리, 후박나무숲과 데크 산책로의 각기 다른 느낌이 서로 어우러진다. 남성리해수욕장은 청정 그 자체라고 해도 과언이 아닐 정도로 깨끗한 자연 상태를 유지하고 있다. 일단, 바닷가는 눈부신 태양과 어우러지면 커다란 바위들이 아름다운 장면을 연출하고 조그마한 다리를 건너면 바위 위로 해안을 따라 산책로가 이어진다. 이곳에서 바라보는 다도해의 풍경이란 한 폭의 수채화와도 같다. 시각뿐만 아니라 청각적으로도 청정을 즐길 수 있다. 고운 모래와 어여쁜 자갈 모래밭을 거닐면서 듣는 파도소리는 고요한 운치가 있다. 거기에 후박나무숲에서는 야영을 즐길 수 있다. 이곳은 수심이 얕고 경사가 완만하여 파도가 잔잔해 아이들이 해수욕을 즐기기에도 좋다."
전라남도 고흥군 봉래면 산골길 1-30,,38,0.0,A01,A0101,A01011400,2760798,12,20211021230056,,,127.4910169591,34.4236907923,6.0,20211102021117,0,2,,염포항(중촌방파제),59570,"염포항은 해안선 풍광이 아름다워 지붕 없는 미술관이라고도 불리는 섬과 바다의 고장 고흥을 대표하는 외나로도의 작은 항구이다. 1973년 12월 19일 지방 어항으로 지정되어 고흥군에서 관리하고 있으며, 어항 시설을 갖춘 산업 근거지로서 어업인의 생명과 어선 등 재산을 보호하고, 주민들의 관광자원 역할을 한다. 염포해수욕장을 마주 보고 있는 염포항은 고즈넉하고 한적한 분위기로 조용히 바다를 둘러보기 좋고, 바다 위로 깔리는 일몰이 무척이나 아름다워 일몰 사진을 찍기에 좋은 곳이다. 크기는 작지만 아름다운 염포항의 노을을 한번 경험해 보는 것도 좋겠다."
전라남도 고흥군 영남면 천사로 529-191,,38,0.0,A02,A0202,A02020500,2760781,12,20211021225134,,,127.4099108546,34.6192314404,6.0,20211102194007,0,2,,팔영산편백치유의숲,59520,"전남 고흥군에 위치한 팔영산 편백 치유의 숲은 천혜의 자연경관과 전국 최대 규모의 편백숲을 보유한 국립공원이다. 인체의 면역력을 높이고, 건강을 증진할 목적으로 다양한 환경요소를 활용할 수 있도록 조성한 산림이다. 신체적, 정신적 건강 회복은 물론이고, 자연이 주는 선물인 햇빛, 바람, 경관, 향기 등을 보고 느끼면서 스트레스도 줄이고, 마음의 안정을 찾을 수 있다. 심신의 회복과 휴양, 생활습관 개선 등 팔영산 편백 치유의 숲에서 체력과 면역력을 길러주는 여러 체험형 프로그램들도 경험해 보고, 이색적인 숲속 경관도 체험해 볼 수 있다."
전라남도 고흥군 도덕면 용동리 590,,38,0.0,A01,A0101,A01011200,2723815,12,20210630004559,,,127.1829193027,34.6323538997,,20210630202422,0,2,,용동해수욕장,,"용동해수욕장은 울창한 송림과 시원한 해풍이 어울어져 규모는 작지만 한적한 멋이 있어 포근하고 편안한 느낌을 준다. 학꽁치, 문저리, 빌돔 등이 많이 잡혀 주말에는 낚시꾼들로 북적이고 인근 고흥만에 물놀이장이 조성되어 가족단위 피서지로 각광받고 있다.

(출처: 고흥관광 홈페이지)"
