addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 곡성군 고달면 두계길 35,,38,0,A05,A0502,A05020900,2787223,12,20211207190300,http://tong.visitkorea.or.kr/cms/resource/84/2800384_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2800384_image2_1.jpg,127.3725984578,35.2389833629,6,20220706165958,0,3,,두가헌 두바퀴쉼터,57547,"섬진강변 침곡역에서 가정역을 향해가는 중간지점에 그림 같은 두가헌 전통한옥이 자리하고 있다. 한옥 두가헌은 펜션과 게스트하우스, 카페를 품은 문화공간이다. 두가헌의 카페 두 바퀴 쉼터에서는 섬진강 자전거길을 오롯이 내려다보며 차 한잔을 즐길 수 있다. 가장 이름난 대표메뉴는 수제 빙수이며 커피, 수제 전통차, 계절 음료 등이 있다. 또한, 한옥 펜션은 전통적인 양식을 살려 건축되었지만, 방음과 방풍에 특히 신경을 썼고 내부에 청결한 주방과 화장실을 두었다. 한옥 규모에 따라 능소각, 창망재, 현주당으로 나뉜다. 두가헌 건물은 2012년 대한민국 한옥 공모전에서 올해의 한옥 건축 대상을 수상했다. 한옥 펜션에서는 두계 외가집 체험 마을과 연계해 목탄화 그리기 등 다양한 체험프로그램을 운영하고 있다."
전라남도 곡성군 죽곡면 섬진강로 1012,,38,0,A01,A0101,A01011800,2784729,12,20211201225150,http://tong.visitkorea.or.kr/cms/resource/17/2789717_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2789717_image2_1.jpg,127.3775297835,35.1919998595,6,20221107100414,0,3,,압록나루(압록유원지),57551,"근대화 이전까지 섬진강에는 곡성 3곳, 구례 16곳, 하동 17곳 등 총 36곳의 나루터가 있었다. 그러나 교량 개설과 도로확장과 포장 등 교통 발달에 따라 유역권 삶의 모습이 바뀌면서 지금은 8곳의 나루터만 남아 있다. 압록나루는 그 몇 개 남지 않은 나루터 중 하나이다. 섬진강과 보성강이 합류하는 지점에 있는 압록나루는 이 지역 교통의 한 축을 담당하며 오랜 세월 사람들을 실어 날랐다. 압록마을에서는 섬진강 나루터였던 마을 전통을 살려 나루터, 주막, 합록원 등 옛 정취를 느낄 수 있는 테마 마을을 조성해 관광객을 유치할 계획이다."
전라남도 곡성군 오곡면 기차마을로 232,,38,0,A02,A0202,A02020700,2784677,12,20211201223138,http://tong.visitkorea.or.kr/cms/resource/80/2789580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2789580_image2_1.jpg,127.3082114814,35.2776556637,6,20220706105555,1,3,,1004장미공원,57544,"매년 봄이면 '곡성 세계 장미꽃 축제'가 열리는 이곳은 섬진강 기차마을 단지 내에 있다. 4만㎡ 부지에 1,004개 품종의 장미 38,000주를 심어 전국에서 가장 많은 정원 장미 품종 및 수량을 자랑하고 있다. 특히 독일의 코르테스, 프랑스의 메이앙, 영국의 데이비스 오스틴, 하크니스 등 각 나라를 대표하는 품종들로 구성되어 있다. 장미로 이뤄진 미로공원, 장미 터널이 눈길을 끈다. 곡성 버스터미널에서 2.1km 떨어져 있어 도보로 20여 분이면 닿는다."
전라남도 곡성군 입면 제월리 1115,,38,0,A01,A0101,A01011300,2718057,12,20210525222003,,,127.2180850828,35.3177523598,6,20220519174915,0,3,,제월섬,57511,"제월섬은 1980년부터 개인에 의해 묘목 재배지로 활용되었던 곳으로 잡목에 뒤덮여 있어 '똥섬'이라고 불려졌다. '제월섬'은 섬진강 살리기 사업으로 부지가 매입된 후, 자연 상태 그대로 숲이 유지되면서 섬진강 생태의 보고로 자리매김했으며, 달 모양을 닮은 이웃마을의 이름 제월리를 따서 '제월섬'이라는 예쁜 이름도 갖게 되었다."
전라남도 곡성군 곡성읍 곡성로 920,,38,0,B01,B0102,B01020200,2715613,12,20210508010429,http://tong.visitkorea.or.kr/cms/resource/91/2716291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2716291_image3_1.jpg,127.3036922815,35.2836743505,6,20220419141403,0,3,,곡성역,57533,"국도 17호선 멋진 길은 곡성역에서부터 시작한다. KTX역사 중 유일하게 육교나 지하도 없이 선로를 직접 건너는 신기로운 역으로 외관이 인상적이다. 섬진강을 따라 드라이브를 할 때의 시작점이다. 전라선에 해당하는 곡성역은 1933년 10월 15일 보통역으로 영엽을 시작해 1999년 5월 18일 전라선 선로 이설로 역사를 이전하게 되었다. 기존의 역사는 섬진강기차마을로 변경하여 관광지로 운영되고 있어 매년 수많은 관광객들이 발돋움하는 관광명소로 변모하였다. 곡성역 주변으로 섬진강기차마을, 섬진강 침실습지, 곡성섬진강천문대, 압록유원지 등의 관광지가 있다."
전라남도 곡성군 석곡면 석곡2길 13,,38,0,A01,A0101,A01010500,2674979,12,20201007045823,http://tong.visitkorea.or.kr/cms/resource/73/2674973_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2674973_image2_1.JPG,127.2549143896,35.1302574903,6,20220927094851,1,3,,대황강 자연휴식공원,57559,"대황강을 따라 길게 늘어선 제방과 둔치에 코스모스가 대규모로 피어 매년 9월 말에는 코스모스 음악회가 열린다. 철 따라 벚꽃, 배롱나무꽃, 코스모스, 억새가 잇따라 피어나는 아름다운 강변을 따라 산책이 가능하며 주변에 체육공원과 야영장이 조성되어 있어 체육활동 및 캠핑 등 외부활동을 즐기기에 안성맞춤인 곳이다."
전라남도 곡성군 석곡면 연반여운길 285,,38,0,A02,A0203,A02030600,2616192,12,20190821022722,,,127.2228522813,35.1714745149,6,20211214202640,0,3,,영화 곡성 촬영지,57556,"석곡면 여운마을에는 영화 '곡성'에 등장했던 '외지인의 집'이 있다. 영화 '곡성'은 낯선 외지인(일본 사람)이 나타난 후 벌어지는 의문의 연쇄살인사건에 대한 미스터리한 이야기이다. 주인공 종구가 집을 부수며 이 마을을 떠나라고 외치던 외지인의 집은 마을 끝 쪽 마지막 집, 산 깊숙이 자리 잡고 있다. 또한 이곳에서 석곡공용터미널 방향으로 15분 가량 차로 이동하면 석곡초등학교가 나온다. 석곡초등학교 앞에는 종구가 딸 효진에게 머리핀을 사줬던 청림문구사가 있다."
전라남도 곡성군 오곡면 신풍리,,38,0,A01,A0101,A01010500,2616191,12,20190821022427,,,127.2787185515,35.2116431635,6,20220829142012,0,3,,구성재,57528,구성재는 죽곡면과 구성읍을 연결하는 고갯길이다. 길이 꼬불꼬불 하여 와인딩 드라이브 명소로 유명하다. 구성재 정상의 팔각정에서 바라보는 풍경이 아름다워 찾기 힘든 곳이지만 많은 이들이 발걸음 하고 있다. 구성재는 영화 '곡성'의 촬영지이기도 하다. 주인공 종구 일행이 탄 트럭과 외지인의 시신이 부딪히는 장면이 촬영되었다.
전라남도 곡성군 곡성읍 읍내리,,38,0,A01,A0101,A01010500,2616190,12,20190821021751,,,127.3009728808,35.2913428821,6,20220223095314,0,3,,곡성 메타세쿼이아길,57533,"곡성 메타세쿼이아길은 곡성과 구례를 잇는 17번국도, 곡성읍내 진입로 부근에 위치해있다. 800여 미터에 이르는 길 양 옆에 심어진 메타세쿼이아 나무들이 아름다운 풍경을 자아낸다. 또한 영화 '곡성' 촬영지로도 유명한 곳인데 주인공 종구가 딸 효진을 오토바이에 태우고 환하게 웃으며 달리던 장면이 촬영 되었다. 메타세쿼이아는 도로변 양옆에 심어진 것으로 도로에 차를 세우거나 내리는 것은 위험하다. 차를 타고 천천히 드라이브를 하는 것을 추천한다."
전라남도 곡성군 오곡면 오지2길 21-99,,38,0,A01,A0102,A01020100,2616185,12,20190821020609,,,127.3269322719,35.2690569573,6,20221013174351,0,3,,침실습지,57544,"섬진강은 곡성천, 금천천, 고달천과 만나면서 거대한 습지를 이루는데 이것이 침실습지이다. 침실습지의 규모는 203만㎡에 이른다. 침실습지에는 멸종위기 야생동물 1급 수달, 2급 삵, 남생이, 흰꼬리수리 등 665종의 생물이 서식하는 것이 확인 되었다. 이에 침실습지는 그 가치를 인정받아 제22호 국가습지보호구역으로 지정 되었다. 침실습지는 일교차가 큰 가을부터 봄까지 물안개가 피어올라 환성적인 분위기를 연출하여 출사지 명소로도 유명하다."
