addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 광양시 서천1길 44,,38,,A02,A0203,A02030600,2915925,12,20221123112551,http://tong.visitkorea.or.kr/cms/resource/98/2915898_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2915898_image3_1.JPG,127.579084407,34.9696061572,6.0,20221123112608,0,4,,광양불고기특화거리,57754.0,"허영만 화백이 백반기행에서 우리나라 3대 불고기인 광양, 한양, 언양 불고기 중 광양불고기가 최고라고 극찬할 만큼, 광양의 명물로 자리매김한 불고기 특화 거리다. 명성만큼이나 광양을 찾는 여행객들이 방문해야 할 필수 코스로도 알려져 있다. 광양불고기특화거리에 가면 광양불고기 파크 맛집 지도가 있는데, 불고기뿐만 아니라 냉면, 국밥, 삼계탕, 샤부샤부, 닭구이 등등 다양한 식당들이 자리하고 있다. 또한 거리는 테마별로 나누어져 있는데, 1마당 맛나소에는 광양불고기의 역사 속으로 들어간다는 의미의 테마로가 조성되어 있다. 2마당 나눠소에는 소의 희생적 삶과 자연이 함께 어울리는 공간으로, 3마당에는 주민, 상인 그리고 방문객이 하나 되는 공존의 공간으로, 4마당 마로소에는 천하일미 마로화적의 스토리가 잘 묻어나는 주 테마공원으로 조성되어 있다. 광양불고기 스토리보드를 비롯해 어미 소와 아기 소가 정겨운 조형물, 행운과 수호신을 상징하는 희망 소, 거꾸로 돌아가는 시계탑 등도 흥미를 불러일으킨다. 광양 여행을 계획 중이라면 한 번쯤 방문해 볼 것을 추천한다."
전라남도 광양시 태인동,산1,38,,A01,A0101,A01010700,2847171,12,20220831154258,,,127.7598187028,34.9637377342,6.0,20220831154552,0,4,,배알도 섬 정원,57817.0,"배알도 섬 정원은 550리를 달려온 섬진강이 바다와 만나는 곳에 마침표를 찍은 듯 동그마니 떠 있다.
배알도는 대동여지도 등에 사도(蛇島)로 표기되어 뱀섬으로 불려오다가 망덕리 외망마을 산정에 있다는 천자를 배알하는 형국에서 배알도라는 이름을 얻은 신비의 공간이다.
별헤는 다리를 건너면 한국인이 가장 사랑하는 윤동주의 친필 유고 하늘과 바람과 별과 시를 보존한 윤동주 유고 보존 정병욱 가옥(등록문화재)이 있어 문화와 역사까지 두루 느낄 수 있다.
광양 유일의 섬인 배알도는 별헤는다리, 해맞이다리 등 2개의 해상보도교로 수변공원과 망덕포구를 잇는 낭만플랫폼이며 다채로운 버스킹이 펼쳐지는 예술의 섬이다.
수국, 작약 등 아름다운 꽃들이 사계절 피어나는 섬 정원으로 초록색 잔디 위에 빨갛게 도드라진 '배알도 포토존'은 관광객들의 필수 인증 스팟이다.
배알도 정상에 있는 해운정 현판에는 백범 김구 선생의 휘호와 관련된 흥미로운 스토리가 전해지며 가장 아름다운 자전거길로 불리는 섬진강자전거길 의 시작점이자 종착점으로 라이더들의 푸른 쉼터다. 새봄 등 시즌마다 특별한 컨셉들로 꾸며지는 열린 공간이며, 섬진강 힐링로드 걷기, 다양한 SNS 이벤트 등이 지속적으로 열리는 인스타 성지이다.
바다로 떨어지는 아름다운 석양을 바라보며 놀멍, 물멍을 즐길 수 있는 영혼의 케렌시아로 인근에 감성 넘치는 카페가 하나둘씩 생겨나면서 MZ세대들의 발길이 이어지고 있다."
전라남도 광양시 광양읍 사곡리 625,,38,0.0,A02,A0204,A02040800,2782647,12,20211129194603,http://tong.visitkorea.or.kr/cms/resource/87/2833487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2833487_image3_1.jpg,127.6233393115,34.9517978138,6.0,20220808095212,0,4,,사라실라벤더시험재배단지,,"지중해가 원산지인 라벤더는 보랏빛 꽃을 피우는 진정작용이 탁월하다고 알려진 허브식물로 국내에서는 쉽게 접할 수 없는 식물에 속한다. 광양시 본정마을 일대에 있는 사라 라벤더농장은 2017년까지는 라벤더 시험 재배 단지였지만, 2018년 6월부터 제1회 광양 라벤더 축제를 개최할 만큼 대표적 라벤더 재배지로 자리 잡았다. 라벤더 치유정원이라 이름 붙인 사라실 라벤더농장은 입구에 들어서면서부터 신비스러운 보랏빛과 바람을 타고 코끝을 유혹하는 진한 라벤더 향으로 이곳을 찾는 이들을 반겨주는 말 그대로 치유의 공간이다.
한적한 시골 마을의 자연 속에 그대로 오픈된 농장은 라벤더를 기본으로, 다양한 꽃들이 심어진 정원과 라벤더 꽃밭 사이를 날아다니는 꿀벌과 나비들을 감상할 수 있는 풍경이 이채롭다. 또한 신비스러운 보랏빛 라벤더 꽃밭은 어느 곳에 자리 잡고 사진을 찍어도 인생사진이 나올 만큼 그 빛깔이 아름답다. 윙윙거리는 꿀벌의 소리에 자칫 겁먹을 수도 있지만, 대체로 공격성이 없어 자유롭게 꽃밭을 누비며 사진을 찍을 수 있다. 아직은 조성된 지 그리 오래되지 않은 탓에 라벤더의 키가 작은 편이라 소박하지만 이국적인 라벤더의 매력을 느끼는 데에는 큰 부족함이 없다."
전라남도 광양시 태인동 1630-1,,38,0.0,A01,A0101,A01011200,2778033,12,20211123193107,http://tong.visitkorea.or.kr/cms/resource/68/2796368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2796368_image2_1.jpg,127.7586661229,34.9599548059,6.0,20220621155946,0,4,,배알도해수욕장,,"광양 태인동에 있는 배알도해수욕장은 잔잔한 해변에서 산책하기 좋은 곳으로 광양에서 유명한 곳이다. 하동 바로 옆, 섬진강 하구에 있는 공원으로 백사장이 섬 주위를 둘러싸고 있어 경치가 아름답고 바다낚시도 즐길 수 있다. 한때는 해수욕장으로 운영되어 많은 인파가 몰렸지만 깊은 수심 때문에 물놀이 사고가 자주 발생해서 현재는 해수욕을 금지하고 해변 공원으로 활용되고 있다. 섬진강과 바다가 만나는 멋진 뷰에 한적하고 깔끔한 산책로와 어린이들과 재밌게 걸을 수 있는 지압길, 섬진강 자전거길을 갖추고 있어 주말 가족들과 나들이 가기 좋은 공원이다."
전라남도 광양시 진월면 망덕리 845-1,,38,0.0,A01,A0101,A01011400,2777995,12,20211123191518,http://tong.visitkorea.or.kr/cms/resource/58/2796358_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2796358_image2_1.jpg,127.7596518205,34.9726617295,6.0,20221124164731,0,4,,망덕포구,,"전라남도 하동과 광양의 경계지역에 있는 섬진강 망덕포구는 전어축제가 열리는 계절이 되면, 광양의 랜드마크로 급부상하는 인기 절정의 관광지이다. 망덕포구의 유래는 광양만을 한눈에 파수(경계하여 지키다) 할 수 있는 위치에 있어서 '망뎅이'라 이름하였고, 이를 한자 음을 빌려 '망덕'이라 하였다. 옛사람들이 섬진강을 거슬러 다압, 구례, 곡성으로 가는 유일한 길목 역할을 했던 망덕포구는 섬진강 물길이 풍성한 어장을 형성해 깨끗한 생육 환경에 사는 대표적인 어종, 가을 별미인 전어 산지이다. 차지고 고소한 맛이 일품인 전어를 전국에서 가장 먼저 활어로 개발한 곳이라 직접 전어를 잡아 운영하는 횟집이 즐비하다."
전라남도 광양시 봉강면 서석길 14-3,,38,0.0,A02,A0201,A02010500,2733413,12,20210812190111,http://tong.visitkorea.or.kr/cms/resource/14/2733414_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2733414_image2_1.JPG,127.5617658731,34.9934642874,6.0,20221004111928,0,4,,매천 황현 생가,57728.0,"""한말 우국지사이자 역사가인 매천 황현(18551910)과 그의 동생 석전 황원(18701944)이 태어나서 1886년 구례 만수동으로 이사하기 전까지 살았던 곳이다.
매천 황현은 조선의 마지막 선비로 일컬어지며, '매천야록', '오하기문' 등을 지은 역사가이자. 약 2,500여 수의 시를 남긴 문학가로도 유명하다. 매천은 1910년 8월 경술국치를 당하자 절명시 4수를 남기고 순절하였다. 대한민국 정부에서는 그의 충절을 기리어 건국훈장 독립장을 추서하였다. 인근에 2010년 조성된 매천역사공원이 조성되어 있는데 가족 묘역, 절명시, 창의정, 연못 등이 조성되어 있다. 선생의 애국정신을 후세에 전하기 위한 장소로 많은 사람들이 찾고 있다."""
전라남도 광양시 중마청룡길 12,(중동),38,0.0,A04,A0401,A04010900,2717546,12,20210518200558,,,127.6989524089,34.9406670431,,20211216231741,0,4,010-2547-9188,남도상회,57786.0,"주식회사 남도상회는 전남 광양 지역을 대표하는 관광기념품 매장이다. 전남지역 작가, 청년작가, 마을 주민, 경력단절 여성들과 함께 관광기념품, 생활형 기념품, 수공예 기념품을 개발하고 판매, 체험까지 할 수 있는 공간이다. 특히, 제로웨이스트 라이프에 관심이 많아 유기농 순면, 국내산 소창을 활용하여 생활소품을 만들어 판매하고 있으며, 플라스틱 재생원단인 플라텍스로 만든 파우치가 인기가 많다. 향후 재활용품을 활용하여 업사이클링 가방, 소품을 기획하여 판매할 예정이며, 이외에도 아리아리플리마켓과 함께 자연스러운마켓(자연을 자연스럽게 누구나 자연스럽게)을 주최하여 지역소상공인, 지역(청년)작가 들과 지속적인 커뮤니티를 형성해 나가고 있다.

 상품명 : 소창동백손수건  (10,000원)
일상 속 다양하게 데일리로 활용할 수 있는 소창 손수건
친환경적인 원단 강화도 소창에 손자수와 뜨개로 광양의 시화인 동백을 표현하였다.
 사이즈: 45cm42cm 
 소 재 : 국내산 소창무형광면사

 상품명 : 소창마스크파우치 세트 (15,000원)
창마스크마스크파우치 세트

온라인(인스타그램:namdo_sanghoe)
택배주문가능, 매장판매
친환경적인 원단 강화도 소창으로 만든 마스크
데일리로 착용 가능
마스크를 보관할 수 있고, 생리대나 손수건 등 생활용품을 간단히 넣을 수 있는 다용도 파우치
 사이즈: 17cm10cm
 소 재 : 국내산 소창워싱광목,린넨

 상품명 : 동백카드지갑 (10,000원)
누구보다 당신을 사랑한다.는 꽃말처럼 항상 지니고 싶은 빨강 뜨개 동백 카드지갑
 사이즈: 8,5cm10cm
 소 재 : 린넨원단, 뜨개동백

 체험 프로그램 : 마크라메 소품 만들기, 섬진강 까만아기조개발 만들기, 동백꽃 석고방향제 만들기"
전라남도 광양시 중촌길 18,(중동),38,0.0,A02,A0203,A02030600,2717540,12,20210518195217,,,127.690242113,34.9386726714,,20210524230937,0,4,061-792-1009,복이오란다(우리동네협동조합),57790.0,"복이오란다는 직접 개발한 식음료를 제조하고 판매하는 업체로 택배도 가능하다.

 상품명 : 복이오란다 (10개 세트 10,000원)
청년들이 직접 개발하고 만든 부드럽고 맛있는 오란다

 상품명 : 오미오란다 (12개 세트 15,000원)
우리 동네 시니어들이 지역을 담아 개발한 오란다
광양 특산물인 매실과 감을 넣은 상큼하고 달콤한 오란다
쌀로 만든 오란다

이용방법 : 전화판매, 택배판매, 매장판매"
전라남도 광양시 광양읍 강정길 33,,38,0.0,A01,A0101,A01011900,2663268,12,20200713185707,http://tong.visitkorea.or.kr/cms/resource/68/2563268_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2563268_image3_1.jpg,127.6086181363,34.9613492633,,20220805133326,4,4,,광양와인동굴,57749.0,"광양와인동굴은 단순히 와인만을 즐기는 곳이 아닌 가족과 함께, 연인, 친구들과 함께 아름다운 추억을 만드는 곳, 와인과 예술이 어우러진 복합문화예술공간을 꿈꾸고 있습니다. 와인을 어렵게만 생각하는 사람들이 좀 더 친숙해질 수 있도록 전 세계 와인을 한 곳에서 만나며 부담없이 즐길 수 있는 곳이기도 합니다."
전라남도 광양시 봉강면 하조길 91-20,,38,0.0,A02,A0202,A02020600,2657461,12,20200526190843,,,127.554075577,35.0748383346,6.0,20220421134745,0,4,,해달별천문대,57700.0,"청정지역 백운산 계곡 하조마을에서 별 헤는 밤을 보내보자. 먼저 교육관에서 관찰 가능한 대상과 망원경 다루는 방법에 대해 간단한 교육을 받고, 34명에 1대씩 망원경을 테라스로 가지고 나가 직접 관찰한다. 낮에는 태양필터를 이용, 태양을 관찰하고 밤에는 달과 별을 볼 수 있다. 달이 없고 맑은 날은 딥스카이(성운, 성단, 은하)관측도 가능하다. 체험 소요시간은 약 12시간(연중 예약시 가능)이며, 4인 이상 사전 예약시 체험을 진행한다. 천체사진 촬영도 사전 예약시 가능하다.  출처 : 남도여행 길잡이"
