addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 구례군 광의면 난동길 (79-33),,38,,A02,A0203,A02030100,2807331,12,20220216110729,,,127.4452464813,35.2826602464,6.0,20220407150340,0,5,,번덕뜰,57609,"전남 구례군 광의면의 지리산 중턱에 위치한 번덕뜰은 작은 호수가 있는 지초봉 중턱에서 구례를 한 눈에 내려다볼 수 있는 청정 자연을 품고 있는 힐링공간이다. 보기만 해도 심신의 피로가 풀리는 번덕뜰의 경관은 지리산 초자연의 맑고 깨끗한 공기와 함께 뭇사람들에게 알려지기 시작하여 현재, 주말에는 평균 300여 명이 찾아오고 있는 숨겨진 명소로 자리 잡아가고 있다. 농촌과 자연 속에 있는 치유적 요소(오감 및 영감)를 체험프로그램과 휴식공간으로 제공하고자 2010년부터 약 12년을 가꾸어 ""농촌문화 농장""의 콘셉트를 이루었다. 농촌형 카페와 화조원, 산책로 등이 있으며 롭이어 토끼와 같은 동물들과 교감 체험을 할 수 있다."
전남 구례군 간전면 효곡리 366-1,,38,0.0,A02,A0203,A02030600,2795244,12,20211214190128,http://tong.visitkorea.or.kr/cms/resource/42/2796442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2796442_image2_1.jpg,127.5406334397,35.1391836349,6.0,20221129095739,0,5,,구례목재문화체험장,,"우리 생활 속 목재의 쓰임새, 목재의 생산과정, 목재의 종류 등을 한눈에 알아볼 수 있는 목재체험관이다. 다양한 전시물과 함께 목재를 활용한 생활 공예품, 놀이기구, 학습도구 등  목재품을 직접 만지고, 느끼고, 만들어 볼 수 있는 체험이 있고 전문적, 체계적, 정기적인 목공 교육을 할 수 있는 공간의 장도 마련되어 있다."
전남 구례군 토지면 문수리 74,,38,0.0,A02,A0201,A02010800,2794670,12,20211214033000,http://tong.visitkorea.or.kr/cms/resource/53/2796453_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2796453_image2_1.jpg,127.5389167756,35.2526847005,6.0,20220720151304,0,5,,문수사 (구례),,"문수사의 확실한 창건연대 기록이 전하지 않아 정확한 창건연대를 알 수 없지만 1973년에 극락실전 내에 안치된 금동여래좌상에서 발견된 발원문에서 고려 제29대 충목왕 2년(1346)이란 기록이 있어 고려 때 창건된 사찰로 추정된다. 한편 발원문 발견시에 생모시, 단수포, 쌀, 보리 등 600여 점이 함께 발견되기도 하였다. 조용한 산사분위기를 느낄 수 있으며 봄철에는 주위의 산과 목장에 벚꽃과 야생화가 어우러져 한 폭의 동양화를 연상케 한다."
전라남도 구례군 광의면 예술인길 38,,38,0.0,A02,A0201,A02010600,2794637,12,20211214031915,http://tong.visitkorea.or.kr/cms/resource/25/2796425_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2796425_image2_1.jpg,127.4492324209,35.2756944351,6.0,20211214234331,0,5,,당동마을,57609,"지리산 남악 사당이 이 마을 북쪽에 있었다고 해서 당동 마을이란 이름을 얻었다. 당동 마을은 최근 화가들이 많이 이주해와 화가마을로도 불린다. 31동의 작업실로 이루어진 화가마을은 지리산 둘레길과 화엄사, 천은사 등의 문화유적과 연계되는 문화관광 벨트를 형성하고 있다. 8만 5950㎡의 용지에 창작과 주거 기능을 갖춘 작업실들이 들어서 있다. 작업실 형태는 조각과 회화, 사진 등 장르의 성격에 맞게 화가들이 꾸밀 수 있고 별도의 전시실도 설치할 수 있도록 했다. 홍익대학교 미술대학교수, 화가, 큐레이터 등 유명 예술인들이 대거 입주해 있다. 구례의 섬진강과 지리산, 풍부한 문화자원들은 상상력을 자극하고, 겨울에도 비교적 춥지 않아 예술가들에게는 작업하기에 매력적인 장소인데다가 완주순천간고속도로의 개통으로 서울까지 3시간이면 닿을 수 있는 최적의 입지조건을 갖추고 있다."
전라남도 구례군 광의면 방광길 35,,38,0.0,A02,A0201,A02010600,2794632,12,20211214031555,http://tong.visitkorea.or.kr/cms/resource/08/2796408_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2796408_image2_1.jpg,127.4633565489,35.2612046487,6.0,20220720151826,0,5,,방광마을,57610,전라남도 구례군 광의면 방광리에 위치한 마을이다. 방광은 오래전 구례의 중심이 되는 마을이었다. 조선시대엔 전장에서 쓸 군량미를 지어 곳곳으로 보냈고 1930년대까진 남원에서 구례로 들어오는 들머리였던 이유로 지나는 나그네들로 북적였다고 한다. 방광 마을은 들 가운데 형성된 큰 마을로 마을 안에 정미소가 있다. 마을 복판에는 보호수로 지정된 느티나무가 우뚝 서서 이 마을의 오랜 역사를 말해준다. 골목길을 따라 줄지어 있는 돌담들도 볼거리다. 또한 이 마을은 천은사와 지리산 성삼재 길목 마을이다. 둘레길이 지나지는 않지만 시간이 허락하면 들렀다 가면 좋은 여행이 될 것이다.
전라남도 구례군 광의면 예술인길 38,,38,0.0,A02,A0203,A02030600,2793286,12,20211213233357,http://tong.visitkorea.or.kr/cms/resource/34/2800034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2800034_image2_1.jpg,127.4492324209,35.2756944351,6.0,20221129141600,0,5,,구례예술인마을,57609,"화가, 도예가, 건축가 등 예술인 약 30호가 모여 마을을 이루고 있다. 현대적이고 아름다운 건축물이 멋스럽게 어우러져 있으며 갤러리, 게스트하우스, 카페, 주차장 등 편의시설이 갖추어져 있다. 매주 토요일 예술인 개인 작업실을 일반인에게 공개하는 '갤러리 오픈데이'를 운영하고 있다."
전라남도 구례군 산동면 계천리 산124-5,,38,0.0,A01,A0101,A01010400,2793278,12,20211213233211,http://tong.visitkorea.or.kr/cms/resource/41/2800041_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2800041_image2_1.jpg,127.4376232471,35.3478916368,6.0,20220720150128,0,5,,구례편백나무숲,57601,"이곳의 편백나무 숲은 40여 년 전에 조성되었다. 해방과 한국전쟁을 거치면서 우리나라의 산은 헐벗은 상태가 되었고, 이후 조림은 국가의 중대한 역점사업이기도 했다. 당시는 헐벗은 산의 거름이 되도록 하기 위해 아궁이 불을 때기 위한 낙엽 채취조차 금지되었을 정도로 산림정책은 엄격했다. 이곳의 편백나무 숲은 70년대 우리나라 숲 가꾸기 역사의 자취를 고스란히 담고 있다. 편백나무 숲 바로 아래 계곡에는 산장이 있어 편백나무로 만든 찜질방에서 등산 후의 피곤을 달랠 수 있다."
전라남도 구례군 토지면 구산길 81-4,,38,0.0,A02,A0203,A02030600,2793267,12,20211213233056,http://tong.visitkorea.or.kr/cms/resource/59/2800059_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2800059_image2_1.jpg,127.5285579616,35.1990655667,6.0,20220720151533,0,5,,구만마을,57624,"서시천이 상류에서부터 9번째로 굽이치는 곳에 위치했다고 구만리라 했다고 한다. 마을 뒤로 구만저수지가 만들어져 농업용수를 대고 있다. 최근 들어 구만저수지에 수상레저타운 시설이 들어왔다. 528,925㎡의 넓은 저수지가 주변 풍광과 어우러져 시원한 풍광을 연출한다. 서시천에는 매년 수천 마리의 철새들이 찾아온다. 비오리, 흰뺨검둥오리, 청둥오리, 큰고니 등이며 백로와 왜가리는 거의 매일 볼 수 있는 새이다. 서시천 좌우 둑방길이 있는데 이 길 좌우로 군에서 벚나무와 원추리를 심었다. 봄에는 섬진강 벚꽃 축제가 벌어지고 원추리 꽃이 피는 7, 8월이 되면 꽃길 걷기가 유행이다. 구례군에서는 매년 원추리 꽃길 건강 걷기 행사를 하고 있다. 약 3.5km 구간으로 원추리꽃이 피는 7월에 열린다."
전라남도 구례군 광의면 난동길 40,,38,0.0,A02,A0203,A02030600,2793261,12,20211213232947,http://tong.visitkorea.or.kr/cms/resource/72/2800072_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2800072_image2_1.jpg,127.4464936981,35.2786246128,6.0,20220818154912,0,5,,난동마을,57609,"난동마을에는 할아버지 당산과 할머니 당산 등 두 개의 당산이 있다. 조탑 옆에 서 있는 당산나무가 할아버지 당산나무라면, 난동마을의 할머니 당산나무는 마을 안쪽에 자리를 잡고 마을의 안녕을 지켜주고 있다. 마을에서는 매년 정월 초하루 당산제를 지내는데, 할아버지 나무가 있는 윗 당산과 할머니 나무가 있는 아랫 당산 두 곳에서 당산제를 거행한다. 지리산 생태숲이 있는 지초봉 아래에 자리하고 있으며, 당동마을처럼 산 중턱에 자리해 들판 내려보는 전망이 좋다. 지리산 둘레길은 마을의 오른쪽으로 난 길을 따라간다. 그 길 끝에 마을의 역사만큼 오래 묵은 소나무 몇 그루가 어울려 자라고 있다. 솔숲 가운데는 제당을 꾸려놨는데, 정자도 있어 쉬어가기 좋다."
전라남도 구례군 마산면 하사3길 6,,38,0.0,A02,A0203,A02030600,2793253,12,20211213232809,http://tong.visitkorea.or.kr/cms/resource/89/2800089_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2800089_image2_1.jpg,127.5064151839,35.2100528323,6.0,20221201163614,0,5,,하사마을,57621,"하사마을은 신라 흥덕왕 때부터 형성된 오래되고 큰 마을이다. 원래는 사도리로 불리던 것을 일제강점기 때 윗마을과 아랫마을을 구분해 상사리와 하사리가 되었다. 현재는 하사마을과 상사마을이 사도리를 구성하고 있다. 사도리란 이름을 글자 그대로 풀면 '모래 그림 마을'이다. 전설에 따르면 신라 말 도선국사가 이곳에서 머리를 식히고 있는데, 어디선가 도사 한 분이 나타나 모래벌판에 그림을 그려 우리나라의 풍수에 대해 알려주었다고 한다. 하사저수지를 품고 넓은 들을 바라보는 마을 정경이 아름답다. 초록 들판 너머 멀리 보이는 섬진강은 마치 한편의 그림을 보는듯하다."
