addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 담양군 담양읍 객사리 209-1,,38,0,A02,A0203,A02030600,2789367,12,20211208220657,http://tong.visitkorea.or.kr/cms/resource/62/2792062_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2792062_image2_1.jpg,126.9833334682,35.3240531864,6,20221110105150,2,7,,담양국수거리,,전라남도 담양에 가면 영산강을 따라 국숫집들이 늘어서 있는 것을 볼 수 있다. 50여 년 전부터 하나 둘 생겨나기 시작한 것이 지금은 담양의 명물 음식거리로 자리 잡았다. 국수거리 시작부터 끝까지 야외 테이블이 마련돼 있어 정겨운 영산강 풍경을 바라보며 저렴한 가격에 푸짐한 양의 국수를 맛볼 수 있다. 대표 메뉴는 멸치로 육수를 낸 멸치국수와 새콤달콤한 양념이 입맛을 돋우는 비빔국수다. 계절에 따라 상큼한 열무국수를 차갑게 내기도 한다. 곁들이는 메뉴로 약계란 하나를 보태면 더욱 든든한 한 끼를 즐길 수 있다. 식당에 따라 갓 구운 파전이나 돼지 육전을 내는 곳들도 많다. 담양 국수거리는 사계절 푸른 빛깔을 뽐내는 죽녹원과 계절의 정취를 즐기기 좋은 관방제림 근처에 자리해 함께 둘러보기 좋다.
전라남도 담양군 담양읍 학동리 633,,38,0,A01,A0101,A01010500,2783005,12,20211130002109,http://tong.visitkorea.or.kr/cms/resource/48/2796548_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2796548_image2_1.jpg,127.0083534525,35.3249701755,6,20221117111213,1,7,,메타세쿼이아랜드(메타세콰이어길),57351,"담양에서 순창으로 이어지는 손꼽히는 메타세콰이어 가로수길이다. 원래는 24번 국도였는데 이 국도 바로 옆으로 새롭게 국도가 뚫리면서 이 길은 산책을 할 수 있도록 조성되었다. 끝부분을 차들이 못 들어오게 막아 관람객들이 걸을 수 있게 만들어놓고 있다. 가로수길의 총 길이는 약 8.5km로 도로를 사이에 두고 양쪽 길가에 높이 1020m의 나무가 심겨 있다. 이 길이 조성된 시기는 1970년대 초반으로 전국적인 가로수 조성사업 때 담양군이 34년생 묘목을 심은 것이 현재의 울창한 가로수 터널길이 되었다. 산림청과 생명의 숲 가꾸기 운동본부 등에서 주관한 2002 아름다운 거리 숲 대상을 수상했고, 2006년 건설교통부 선정 한국의 아름다운 길 100선의 최우수상을 받기도 했다."
전라남도 담양군 금성면 금성산성길 282-6,,38,0,A02,A0203,A02030600,2760951,12,20211021235044,,,127.0196012524,35.3723344523,6,20220818154335,0,7,,담양추억의골목,57301,"담양 추억의 골목은 해방 전후부터 1980년대의 생활상을 전시해 놓은 곳으로, 어린 시절의 향수를 느껴볼 수 있는 근현대 전시관 겸 영화 촬영소다. 학교 앞 병아리 장수와 꿀맛 같던 불량식품, 텔레비전 앞에 옹기종기 모여 보았던 만화영화, 음악 플레이어와 함께한 그 시절의 추억이 빼곡히 들어서 있다. 영화 촬영소, 고바우 만화방, 약장수 가설극장, 방앗간, 문방구, 장터, 다방, 농기구, 오락기 등 그 시대를 살아온 사람에게는 추억을, 지금 세대를 사는 사람에게는 새로운 볼거리를 제공한다. 담양 추억의 골목은 이색 추억여행 관광지이다."
전라남도 담양군 대전면 병풍로 419,,38,0,A01,A0101,A01010900,2760835,12,20211021231550,,,126.8782045552,35.2977349345,6,20211102225620,0,7,,한재골계곡,57321,"광주 북구에서 자동차로 10분 거리에 위치한 근교 계곡으로, 장성과 광주에서 매우 가까워 관광객이 많이 찾는다. 1.3km에 이르는 계곡의 물이 매우 맑고 깨끗하다. 입장료를 징수하지 않는 대신 종량제 봉투를 판매해 쓰레기를 지정된 장소에 배출하도록 하고 있다. 수심이 얕고 물살이 약해서 아이들이 놀기에 안성맞춤인 한재골 계곡은 상류 쪽에 설치한 사방댐에서 물놀이하기 좋다. 들어서는 입구부터 나무가 그늘을 만들어주어 시원함을 느낄 수 있고, 계곡의 청아한 물소리와 삼나무 아래 상쾌한 바람을 맞으며 가족과 함께하는 시간은 아이들과 어른들 모두에게도 힐링을 준다."
전라남도 담양군 월산면 용흥사길 414,,38,0,A01,A0101,A01010900,2760827,12,20211021231243,,,126.8881802841,35.3439021009,6,20221122152345,0,7,,용흥사계곡,57314,"담양 10경 용흥사계곡은 시원한 물줄기가 흐르는 계곡과 단풍나무, 푸른 송림 사이에 기암괴석이 어우러져 있다. 약 2㎞에 이르는 계곡은 물이 맑고 깨끗하여 물고기가 노는 모습을 볼 수 있을 정도다. 여름에는 계곡을 찾는 피서객이, 가을에는 용흥사 계곡 사이로 붉게 물든 기이한 아름다움을 지니고 있는 가을 단풍을 보기 위한 단풍 객들이 많이 온다. 담양읍에서 북쪽으로 8㎞쯤 가다 바심재 왼쪽으로 용흥리 마을을 지나 2㎞쯤 올라가면 용흥사 계곡에서 흐르는 물을 담수하는 월산 저수지가 있으며, 계곡을 따라 올라가면 용구산 중턱에 자리를 잡고 있는 용흥사 절이 있다. 용흥사는 현 건물지의 규모로 보아 옛날에는 대규모의 사찰이었던 같으나 임진왜란과 한 말 의병 전쟁, 한국전쟁 당시 모두 소실되었고 근래 대웅전과 요사채를 복원하였다."
전라남도 담양군 용면 월계리 149-67,,38,0,A02,A0202,A02020200,2754771,12,20211008003704,,,126.999124534,35.4019890788,6,20221129164122,0,7,,담양호관광지,57300,"담양호는 1976년 9월에 축조된 제방길이 316m, 높이 46m, 만수 면적 405ha에 저수량 6,670만 톤 규모의 호수다. 담양 평야 4,245ha의 농토를 커버하는 농업 용수원으로 영산강의 시원지이기도 하다. 추월산 관광지와 가마골 청소년야영장, 금성산성 등에 둘러싸여 있어 담양 제1의 관광지로 손색이 없다. 산허리를 뚫은 터널을 통하는 산간 호반 도로는 훌륭한 드라이브 코스로, 도시민의 쉼터 역할을 톡톡히 해내고 있다. 가슴이 답답하거나 휴식이 필요할 때 바라만 봐도 속이 다 시원한 담양호로 향하는 것을 추천한다. 구경거리, 먹을거리, 즐길 거리 어느 것 하나 놓칠 수 없는 담양호와 담양호를 둘러싼 아름다운 자연 속에서 가족, 친구, 연인과 함께 즐거운 추억거리를 만들어 보자."
전라남도 담양군 담양읍 죽녹원로 130,,38,0,A02,A0203,A02030600,2654632,12,20200428203002,,,126.987902478,35.3252475735,6,20221025162006,0,7,,플라타너스 별빛 달빛 길,57337,"죽녹원 앞 영산강 문화공원 일원에 마련된 300m 길이의 별빛·달빛길은 아름다운 플라타너스 나무 아래 별이 쏟아지는 조명 연출과 스토리가 담긴 로고젝터(바닥에 특정 로고나 문구를 투영해 주는 장치)를 곳곳에 설치으며, 분수광장 옆에 마련된 초승달 포토존도 있다. 아름다운 야경과 마음을 달래주는 휴식처로 많은 사람들이 찾고 있는 명소다."
전라남도 담양군 담양읍 깊은실길 2-17,,38,0,A02,A0202,A02020200,2652577,12,20200414231231,http://tong.visitkorea.or.kr/cms/resource/71/2652571_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2652571_image3_1.jpg,127.001826311,35.3226453273,6,20220512112138,0,7,,담양 메타프로방스,57351,"메타프로방스는 연간 약 500만명의 관광객이 방문하는 전라남도 담양에 조성되어 있는 관광단지로 대한민국에서 가장 아름다운 가로수길로 선정된 담양 메타세콰이아 길 바로 옆에 위치해 있으며 휴양지로 유명한 프랑스의 도시 프로방스를 그대로 옮겨놓은 듯한 감성을 가지고 있다. 메타프로방스는 개인 관광객 뿐만 아니라 가족 및 동호회 단위의 관광객들을 위한 패션 거리, 디자인 공방과 체험관, 상업 공간, 그리고 연회장 등 문화와 예술, 비즈니스가 공존하는 열린 공간으로 이루어져 있으며, 다양하고 차별화된 양질의 서비스를 통하여 찾아주시는 모든 분들께 특별한 추억과 새로운 경험을 드릴 수 있도록 노력하고 있다."
전라남도 담양군 담양읍 메타세쿼이아로 47,,38,0,A01,A0101,A01010500,2638437,12,20191123012122,http://tong.visitkorea.or.kr/cms/resource/28/2639428_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2639428_image2_1.jpg,127.0067119258,35.3251617927,6,20221025100738,0,7,,개구리생태공원,57351,"생생한 자연을 그대로 담은 온실과 어린이부터 성인까지 모두가 즐겁게 체험하는 생태전시관, 연중 개구리 서식이 가능한 야외생태 공간까지 다양한 구성으로 자연생태를 관람할 수 있다."
전라남도 담양군 담양읍,,38,0,A02,A0203,A02030600,2524201,12,20171222005125,http://tong.visitkorea.or.kr/cms/resource/42/1044242_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1044242_image3_1.jpg,126.9873303395,35.3239310459,6,20221018111931,1899,7,,담양 음식테마거리,57340,"2017년도 '한국관광의 별' 음식부분에 선정된, 담양음식테마거리는 죽녹원을 중심으로 대통밥,떡갈비,죽순요리,담양국수를 맛볼 수 있다. 음식의 맛과 종류 뿐만 아니라, 위생의 높은 질과 친절한 접객서비스 등 관광환대에 이바지하며 음식관광의 기준을 높이고 있다."
전라남도 담양군 용면 용소길 261,,38,0,A01,A0101,A01010500,2014192,12,20150707230103,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image3_1.jpg,127.0227796727,35.4450484951,6,20220325131223,7720,7,,가마골생태공원,57300,"담양의 가장 북쪽에 자리하고 있는 가마골은 그 일대에 그릇을 굽는 가마터가 많다고 하여 붙여진 이름이다. 여러 개의 깊은 계곡과 폭포, 기암괴석이 수려한 경관을 이루고 있어 관광객의 발길이 끊이지 않는 곳이다. 영산강의 시원으로 유명한 용소가 있고, 1986년부터 관광지로 지정, 개발되어 관광객을 위한 시설이 잘 갖춰져 있다. 원시림과 계곡이 어우러져 여름에도 서늘하며 경사가 완만하여 삼림욕 코스로도 좋지만, 취사와 물놀이는 불가하다."
전라남도 담양군 고서면 교촌길 43-11,(고서면),38,0,A02,A0201,A02010700,1954973,12,20141010185831,http://tong.visitkorea.or.kr/cms/resource/46/1034446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1034446_image3_1.jpg,126.9844527506,35.2166681236,6,20220826143054,2545,7,,창평향교,57376,"조선시대에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 설립연대는 미상이며, 임진왜란 때 소실되었다가 그 뒤 중건하였다. 현존하는 건물로는 정면 3칸 측면 2칸의 대성전, 정면 4칸 측면 2칸의 명륜당 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1인이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행하며 초하루·보름에 분향을 하고 있다. 소장전적은 판본 26종 159책, 사본 4책 10권이 있는데, 이 중 ≪유안 儒案≫·≪향중삼규 鄕中三規≫·≪존성계속수안 尊聖契續修案≫·≪현후사마선생안 縣侯司馬先生案≫ 등은 이 지방의 향토사연구에 귀중한 자료이다. 전라남도 유형문화재이다. 운영은 전교(典校) 1인과 장의(掌議) 몇 사람이 담당하고 있다."
전라남도 담양군 담양읍 향교길 19,(담양읍),38,0,A02,A0201,A02010700,1954936,12,20141010180120,http://tong.visitkorea.or.kr/cms/resource/85/2653385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2653385_image3_1.jpg,126.9855804462,35.325841911,6,20220824170622,3737,7,,담양향교,57336,"설립연대는 미상이다. 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 고려 충혜왕 때 설립되었다는 설도 있으나, 본격적인 건물창건은 1398년(태조 7) 대성전이 설립되면서부터이다. 1674년(숙종 즉위년) 부사 이헌유(李憲儒)가 중건하고, 1747년(영조 23) 부사 안정헌(安廷헌)이 중수하였다. 현존하는 건물로는 3칸의 대성전, 각 3칸의 동무(東廡)와 서무(西廡), 7칸의 명륜당, 내신문(內神門) 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢) 및 우리 나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하며 초하루와 보름에 분향을 하고 있다. 이 향교는 전라남도 유형문화재로 지정되어 있으며, 향교의 운영은 전교(典校) 1명과 장의(掌議) 수명이 담당하고 있다."
