addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 목포시 장미로 40,(상동),38,0,A02,A0203,A02030600,2795516,12,20211214200042,http://tong.visitkorea.or.kr/cms/resource/72/2798772_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2798772_image2_1.JPG,126.4257706771,34.8022610998,6.0,20221202132907,0,8,,장미의거리,58691.0,"2000년대 이전 목포는 목포역을 중심으로 한 근대 거리에 상권이 집중되어 있었다. 1990년대 초 하당 지역에 아파트와 상점들이 생겨나기 시작하면서 서서히 목포역 주변에서 이곳으로 상권 자체가 이동하기 시작했다. 하당 중심부에 자리한 장미의 거리는 새로운 번화가로 자리 잡게 되었다. 큰 나무와 장미로 조경을 한 길을 만들고 길의 양옆으로 상가가 들어서 있다. 차가 다니지 않는 길이어서 안전하고 여유 있게 다닐 수 있어서 좋다. 특히 장미의 거리 주변으로 영화관과 옷 가게, 카페 등이 폭발적으로 늘어나면서 젊은이들이 많이 찾는 곳이 되었다. 구도심이 전통 음식에 강하다면 장미의 거리를 중심으로 한 하당은 젊은 청년들의 입맛을 만족시키는 음식점이 많이 생겨났다."
전라남도 목포시 해안로 182,(항동),38,0,A01,A0101,A01011400,2795367,12,20211214192657,http://tong.visitkorea.or.kr/cms/resource/01/2798701_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/2798701_image2_1.JPG,126.3841915033,34.7820488058,6.0,20211215220716,2,8,,목포항,58759.0,"목포항은 부산 인천 등과 더불어 한국을 대표하는 항구이다. 1897년 10월 개항하여 100년이 넘는 역사를 가지고 있으며 항내수 면적 51㎢인 무역항이다. 내항북항으로 나뉘어 있으며 기능별로 전문화되어있다. 내항은 크게 여객 전용 항과 삼학도의 화물 전용 항으로 북항은 수산물 전용 항으로 개발되었다. 여객 전용 항은 국제여객터미널과 국내여객터미널로 분리되어 운영되고 있으며 국제여객터미널은 제주도로 취항하는 여객선이 주로 다닌다. 현재 목포항에는 24개의 일반 항로와 11개의 보조항로가 개설되어 있다. 하루 수송 인원은 1만 3천여 명에 달하며 제주도와 홍도, 흑산도 등의 섬 지역으로 가는 관문의 역할을 하고 있다. 신안의 섬 주민들에게는 식수와 더불어 삶에 필요한 생필품의 운반 장소이기도 하다. 또한 역사적으로 목포항은 한말 이권 싸움을 둘러싼 강대국들의 선박이 몰려드는 거점이 되었으며 신학문과 신문물을 들여오는 선교사들의 통로와 같은 역할을 했던 곳이기도 하다."
전라남도 목포시 죽교동 620-232,,38,0,A01,A0101,A01011400,2784224,12,20211201022204,http://tong.visitkorea.or.kr/cms/resource/74/2798674_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/2798674_image2_1.JPG,126.3651120933,34.8045126304,6.0,20221201144137,0,8,,목포 북항,,"목포항 구역 북부에 자리한 항만으로 수산물전용 항으로 개발 중이다. 이곳에 있는 선착장에서 비금도와 도초도로 가는 여객선을 이용할 수 있다. 목포에는 유달산과 다도해를 한눈에 볼 수 있는 목포 해상케이블카 승강장이 세 곳 있는데, 그중 하나인 북항 승강장이 있다. 또한, 목포의 노을 맛집으로 불리는 노을공원이 자리 잡고 있어 해 질 녘엔 북항을 찾는 이들이 많다. 항구 주변에 회센터를 비롯해 횟집들이 즐비해서 아름다운 노을을 바라보며 싱싱한 회를 맛볼 수도 있고, 직접 낚시를 하기 위해 북항을 찾는 사람들도 많다."
전라남도 목포시 청호로219번길 34-22,(산정동),38,0,A02,A0202,A02020700,2784217,12,20211201021655,http://tong.visitkorea.or.kr/cms/resource/59/2798659_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/2798659_image2_1.JPG,126.3657758157,34.8089954695,6.0,20220506113040,1,8,,노을공원,58623.0,"노을공원은 2012년 목포지방해양수산청에서 시민들에게 휴식공간을 제공하기 위해서 조성한 해양문화 쉼터이다. 노을 광장과 이벤트 광장, 수변 데크, 산책로, 소공연장, 다목적운동장 등이 조성되어 있으며 바닥 분수와 파고라, 벤치 등 휴게시설이 다양하게 설치되어 있어 남녀노소 누구나 여유를 즐기기 좋은 공원이다. 노을공원은 그 이름처럼 목포의 노을 맛집으로 불릴 정도로 아름다운 노을을 자랑한다. 특히 해 질 녘에 수변 데크에서 노을 진 바다를 가까이 보며 낭만을 만끽할 수 있는 멋진 장소이다."
전라남도 목포시 해안로127번길 14-2,(서산동),38,0,A02,A0203,A02030600,2777977,12,20211123190741,http://tong.visitkorea.or.kr/cms/resource/01/2796501_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2796501_image2_1.jpg,126.3773226716,34.7817848341,6.0,20221123102921,1,8,,연희네슈퍼,58758.0,"1987년 6월 항쟁을 그린 영화 '1987' 속 연희가 살던 연희네슈퍼는 목포 서산동에 있다. 영화 '1987' 속 대학생 연희가 엄마와 외삼촌과 함께 살던 장소로, 원래 있던 문구사가 폐업한 후 촬영 장소로 만들어진 곳이다. 촬영이 끝난 후 목포시와 영화 제작사와 협의해 관광지로 개발되었다. 1980년대를 대표하는 모습의 연희네슈퍼는 당시의 분위기를 고스란히 간직해 추억과 향수를 자극하고, 영화에서 활용했던 소품이 재현되어 있어서 마치 영화의 한 장면에 들어와 있는 것 같은 기분이 든다.  오래된 선거 포스터부터 딱지, 향수가 느껴지는 과자 포장지 같은 추억의 물건들은 기억하는 사람에게는 향수를 자극하고, 처음 보는 사람에게는 호기심을 자극한다. 주변 시화마을과 보리마당도 같이 들러보길 추천한다."
전라남도 목포시 산정동 1455,,38,0,A02,A0202,A02020700,2777948,12,20211123190311,http://tong.visitkorea.or.kr/cms/resource/80/2796480_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2796480_image2_1.jpg,126.3897826663,34.7824488519,6.0,20221129094555,1,8,,삼학도공원,,"1968년부터 5년에 걸친 간척공사로 육지가 된 목포 삼학도공원은 봄의 튤립, 여름의 해바라기, 가을의 코스모스, 겨울의 동백까지 계절마다 아름다운 꽃들이 맞아 준다. 꽃밭을 지나 산책로로 이동하여 기다란 수로 주변에 뻗어있는 한적한 길을 걷다 보면 일상의 시름이 덜어지고, 수로를 따라 내려가다 보이는 멋스러운 작은 다리가 운치 있게 느껴진다. 산책길이 여러 곳으로 막힘없이 나 있어 반려견들과 산책하기도 좋고, 자연을 바라보며 힐링하기도 좋다. 공원 내에 김대중노벨평화상기념관과 목포어린이바다과학관, 카누체험캠프도 있어서 온 가족이 다 같이 오기 좋은 곳이다."
전라남도 목포시 달동 779-2,,38,0,A01,A0101,A01011400,2760815,12,20211021230848,,,126.3730400986,34.7658976649,6.0,20221129104925,0,8,,고하도선착장,58762.0,"고하도 선착장은 목포에서 여객선이 드나들던 곳이었다. 2012년 6월 목포와 고하도를 잇는 목포대교의 개통으로 지금은 여객선 운항이 중단되었다. 목포의 큰 산인 유달산 아래 있다고 하여 고하도라 불리는 섬은 이충무공이 명량대첩을 승리로 이끈 후 수군 사령부를 설치하여 전열을 가다듬었던 전진기지인 수군 통제영 터가 선착장에서 그리 멀지 않은 곳에 있다. 또한, 남미를 원산지로 따뜻한 곳에서 잘 자라는 국내 최초 육지면 발상지로, 선착장에 육지면 재배의 역사를 알리는 '조선육지면발상지비'가 세워져 있다. 그 외에도 해안데크길이 조성되어 있어 바닷가를 산책하기도 좋고, 고하도 전망대, 국립호남권생물자원관, 해상 케이블카 등 볼거리, 즐길 거리가 풍부하다."
전라남도 목포시 삼학로92번길 104,,38,0,A02,A0202,A02020800,2733133,12,20210812021147,http://tong.visitkorea.or.kr/cms/resource/34/2733134_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2733134_image2_1.jpg,126.3881328503,34.7808712258,6.0,20220928151032,0,8,,삼학도크루즈,,"목포 삼학도크루즈는 목포 해상관광유람선으로 바다 위에서 밤 야경과 낮의 새로운 모습에 낭만항구 목포의 곳곳을 면밀히 둘러보는 재미가 있다. 삼학도크루즈는 삼학도 계류장에서 출발하여 인어동상, 목포대교, 달리도 등의 경로를 거처 삼학도 계류장으로 돌아오는 해상관광유람선이다."
전라남도 목포시 호남동,(호남동),38,0,A02,A0205,A02050200,2714688,12,20210428004051,http://tong.visitkorea.or.kr/cms/resource/82/2714682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2714682_image2_1.jpg,126.3863994382,34.7904978905,6.0,20220721162243,0,8,,멜라콩다리 비석,58730.0,"전남 목포시 목포역 담벼락에 아무도 모르게 자리잡은 잊혀진 비석이 있다. 이 비석은 멜라콩 다리 유적비로 박길수(19281989) 님이 세운 다리를 기리는 비석이다. 당시 목포역 옆 길은 넓은 긴 하천이 있었는데, 하천 건너편 사람들이 기차를 타려면 건널목 다리로 멀리 돌아서 다녀야 했다. 그러다 보니 많은 사람들이 불편을 감수해야 했다. 매일 이런 광경을 지켜보던 박길수님은 다리를 만들기위해 모금운동과 직접 철근과 시멘트를 구하러 다녔다. 하지만 다리를 놓기에는 역부족이였고, 그 동안 절약하며 저축했던 60만원 이라는 거금을 들여 다리를 만들게 되었다. 박길수님의 별명을 사용해 1964년 4월20일 다리를 짓고 목포역 담벼락 위치에 기념 비석을 설치했다."
전라남도 목포시 해양대학로 59,(죽교동),38,0,A02,A0205,A02050600,2714513,12,20210424022315,,,126.3673595194,34.7877673311,6.0,20220421170226,0,8,061-272-2171,목포 스카이워크,58629.0,스카이워크 아래 해변  산책로에도 바다를 바라보며 맥주와 커피 등 음료와 함께 간단한 식사를 즐기는 사람들이 모였다. 삼학도의 옛 해경부두 부지에는 십여 개의 낭만포차와 초대형 관광유람선도 들어섰다.
