addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 무안군 성남1길 171 성경식당,,38,,A02,A0203,A02030600,2924906,12,20221129172200,http://tong.visitkorea.or.kr/cms/resource/90/2924890_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/2924890_image3_1.JPG,126.476933885,34.9875077232,6,20221129172215,0,9,,무안낙지골목,58525,"무안의 청정 갯벌에서 자란 무안 낙지는 발이 길고 식감이 부드러워 이미 전국적으로 유명하다. 무안낙지골목은 뻘낙지로 유명한 무안의 명물이자, 관광 명소 중 하나로 자리매김하였다. 무안의 대표 수산물인 낙지의 고장답게 원산지 표시 의무를 철저히 준수하고 있으며, 이에 따라 믿고 먹을 수 있는 낙지 명소로 거듭나고 있다. 무안 버스터미널과 가까운 곳에 있어 방문하기 편리하며, 주차 타워가 마련되어 있어 차량을 갖고 방문하기도 편리하다. 식당과 시장 등이 공존하고 있어 낙지를 구입할 수도 있고, 낙지 요리를 먹을 수도 있다. 각종 매스컴에 소개된 만큼, 맛집으로 알려진 식당들이 즐비하다. 불무공원, 물맞이공원 등이 근처에 있어 연계 관광하기 수월하다."
전라남도 무안군 망운면 조금나루길 297,,38,0.0,A01,A0101,A01011200,2778169,12,20211123223454,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2796568_image2_1.jpg,126.3348740626,34.9948462221,6,20220621155737,0,9,,조금나루해변,58535,"조금나루 해수욕장은 무안읍에서 남서쪽으로 12km 정도 떨어진 망운면 송현리에 자리 잡고 있다. 마을 끝에 툭 불거져 나온 4km가 넘는 긴 백사장에 주변을 둘러싼 울창한 송림까지 겸비한 천혜의 해변이다. 원래는 조금(조수(潮水)가 가장 낮을 때를 이르는 말)에 한 번씩 배를 타고 건너야 하는 섬이었으나 지금은 육지와 연결되어 아무 때나 통행이 가능하다. 조금나루해변 근해에 어류가 풍부해 선착장에서 낚시도 가능하고, 해변 근처에는 횟집이 많아 먹거리도 풍부하다. 해변 입구에 자리 잡은 조금나루 유원지에서는 넓은 캠핑장이 무료로 운영되고 있어 많은 캠핑족을 만날 수 있다."
전라남도 무안군 삼향읍 남악로162번길 34,,38,0.0,A02,A0202,A02020100,2765259,12,20211101192759,,,126.4619147371,34.8010340541,6,20211110181335,0,9,,남악수변공원,58579,"남악수변공원은 길 따라 흐드러진 갈대를 옆에 두고 유유자적 흐르는 강물 따라 걷는 산책로가 아름다운 공원이다. 수변공원이라는 이름이 말해주듯 물 좋아하는 갈대가 바람을 따라 넘실대고, 주변을 날아다니는 갈매기의 끼룩거리는 소리도 들을 수 있는 곳이다. 강물 위에 거위들이 한가로이 유영하고, 수변공원 근처 붉은 풍차에서 사진도 찍고, 데크로드를 걷다 보면 드넓은 영산강과 만날 수 있다. 걷다가 힘들면 여러 형태의 정자, 쉼터에서 쉬었다 갈 수 있다. 가족과 함께하는 여유롭고 한적한 산책을 원한다면 남악수변공원이 최적의 장소이다."
전라남도 무안군 몽탄면 우명길 21,,38,0.0,A02,A0202,A02020600,2754458,12,20211007184937,http://tong.visitkorea.or.kr/cms/resource/22/2754522_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2754522_image2_1.jpg,126.5152449227,34.9654330693,6,20221114155926,0,9,,밀리터리테마파크,58547,"밀리터리 테마파크는 전 공군참모 총장을 역임한 옥만호 장군이 후세들의 교육자료 용으로 사재를 들여세운 호담항공전시관과 전시관 옆 폐교를 리모델링하여 확장시킨 공간이다. 직접 타보고 체험할 수 있는 수송기(C123K), 항공 우주 지식을 폭넓게 이해할 수 있도록 사진, 모형 항공기와 부품을 연대별, 기능별로 나누어 전시한 호담항공 우주전시관, 육해공군의 다양한 군사 무기들이 전시되어 있는 밀리터리 테마파크 전시장이 있다. 실내 체험장에는 영상교육실, 영상홍보실, 서바이벌 게임을 즐길 수 있는 서바이벌 게임장, 군대에서 쓰였던 물품들을 볼 수 있는 적성 물자 전시실이 있다. 별도의 건물에 마련되어 있는 시뮬레이션 체험장은 모의 탱크 전투 체험과 비행 시뮬레이션을 해볼 수 있어, 아이들은 물론 어른들에게도 인기가 많다. 아이들에게는 꿈과 희망을 주고, 자라나는 청소년들에게는 호연지기를 키워줄 수 있는 체험학습장으로 널리 활용되고 있다."
전라남도 무안군 운남면 동암리 1094,,38,0.0,A02,A0202,A02020700,2748384,12,20210924021240,,,126.3690366478,34.9237686947,6,20211116014639,0,9,,영해공원,58538,"무안의 작은 어촌 마을에 자리한 영해 공원은 면민과 관광객에게 휴식공간을 제공하기 위해 조성된 공원이다. 나무로 된 정자 두어 개와 피크닉 테이블이 있어 주말이나 공휴일에 피크닉과 낚시를 하러 오는 관광객들에게 좋은 쉼터가 되어준다. 가벼운 취사가 가능해 고기를 구워 먹거나, 공원에 마련된 평상에 텐트를 치고 캠핑을 즐기는 이들도 많다. 해맞이 명소이기도 한 영해 공원은 매년 새해가 되면 면에서 주최하는 해맞이 행사가 열려, 군민과 관광객들의 발걸음이 몰리는 곳이기도 하다."
전라남도 무안군 망운면 송현리 451-48,,38,0.0,A02,A0202,A02020700,2748362,12,20210924020739,,,126.3526278081,35.0046176325,6,20220411105652,0,9,,무안낙지공원,58535,"무안 낙지 공원은 펄 내음이 물씬 풍기는 조금나루 해변 앞, 무안의 특산물인 낙지를 알리고자 조성된 캠핑 공원이다. 공원의 가운데에는 낙지 공원의 볼거리인 높이 14m의 낙지 모양 전망대가 자리하고 있다. 전망대와 연결된 길게 뻗은 낙지다리는 미끄럼틀인데, 아이들은 물론이고 어른들도 이용할 수 있다. 공원 내 야영장은 4인용 카라반 2개소와 데크 야영장 10개소로 운영되며, 샤워장과 개수대 등 캠핑에 필요한 편의 시설이 잘 갖춰져 있다. 잔잔한 서해를 바라보며 느긋한 캠핑의 여유를 즐기기 안성맞춤이다."
전라남도 무안군 운남면 성내리 328-7,,38,0.0,A01,A0101,A01011400,2748348,12,20210924020457,,,126.3385839895,34.9153941407,6,20221201153717,0,9,,도원선착장,58539,"무안 성내리에 있는 자그마한 도원 선착장은 아름다운 일몰과 김대중 대교의 야경을 함께 감상할 수 있는 명소다. 평소에도 잔잔한 해수면 덕에 방파제는 물론 바다 위에서 좌대 낚시를 즐기는 이들도 많다. 낚시선착장에서 배를 타고 23분만 가면 해상 위에 둥둥 떠 있는 이글루 모양의 독특한 해상 펜션을 볼 수 있다. 정겨운 어촌 마을의 풍취와 고즈넉한 매력에 연인, 가족 단위뿐만 아니라 1인 낚시꾼들도 즐겨 찾는 곳이다. 주차장이 넓고 선착장 주변에 편의 시설이 마련돼 있어 차박 하기에 좋다."
전라남도 무안군 청계면 예술촌길 148,,38,0.0,A02,A0203,A02030100,2523285,12,20171218221127,,,126.45653246,34.8918320679,6,20220808105312,997,9,,월선체험 휴양마을,58555,"월선저수지를 따라 올라가다 차를 멈추게 하는 아름다운 풍경 사이에 월선 체험휴양마을이 자리 잡고 있다. 월선 체험휴양마을은 무안군의 청계면과 몽탄면에 있는 9개 마을이 함께 운영한다. 월선 체험휴양마을은 워크숍, 세미나, MT 등 모임을 갖기 좋은 곳이다."
전라남도 무안군 해운로 185-10 파도목장,,38,0.0,A02,A0203,A02030100,2523277,12,20171218201445,,,126.4507065309,35.0652651752,6,20221005131419,1102,9,,파도목장,58514,"파도목장은 당시 정부에서 3000평당 한마리씩만 허용했었던nsp;40여 년 전에 5마리의 젖소로 시작했다. 지금 파도목장은 10만 평에 이르고 전망대에 올라서 보이는 거의 모든 땅이 다 파도목장이라고 한다. 넓은 초지와 바다를 배경삼아 그림처럼 펼쳐진 파도목장. 2008년 2월 4일 인간극장에 ""나는 전설이다"" 라는 제목으로 목장이 소개되기도 했다."
전라남도 무안군 일로읍 백련로 339-2,,38,0.0,A02,A0203,A02030600,1667201,12,20120710223509,http://tong.visitkorea.or.kr/cms/resource/65/2516665_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2516665_image2_1.jpg,126.5300823032,34.8594202666,6,20220704170919,25020,9,,무안 하늘백련마을(백련지마을),58571,"연꽃으로 유명한 무안은 무안군 몽탄면 이산리에서 회산 백련지까지 영산강을 따라 걷다 보면 연꽃 가득한 백련마을에 도착한다.백련지는 원래 이름 없는 농업용 저수지였으나, 일제강점기에 만들어진 두 개의 저수지를 합치면서 복용이란 이름이 붙었다. 벼농사가 대부분이던 당시 논에 물을 대던 저수지가 반드시 필요했지만, 1981년 영산강 하굿둑이 완공되면서 영산강에서 바로 농업용수를 끌어왔고, 사용하지 않아 점차 수위가 낮아진 저수지는 연꽃만 무성하게 피어있는 연방죽이 되었다. 연방죽인 백련지가 세상에 알려지기 시작한 것은 1997년 제1회 회산 백련지 연꽃축제가 열리면서 둘레가 3km, 면적은 33만여㎡로 연꽃 자생지로는 동양 최대 규모인 백련지가 알려졌으며,이때부터 무안군 일로읍 복용리는 연꽃마을로 불렸다.이후 2004년 회산백련지가 관광지로 지정받았다.회산 연꽃 방죽은 원래는 모란꽃이 많이 있어서 모란 방죽이라고 불리었으나 연꽃이 많아지면서 연꽃방죽으로 이름을 바꾸어 부르게 되었다.마을에서는 연잎으로 만든 연 쌈밥, 연돈까스, 연수육, 연잎을 넣어 만든 연맥주 등 다양한 연 요리를 맛 볼 수 있으며, 해마다 회산백련지 일대에서 '무안연꽃축제'를 개최하고 있다.   백련지의 유래    원래 저수지였던 이곳에 한 마을 주민이 저수지 가장자리에 백련 12주를 구해다 심었다. 그날 밤 꿈에 하늘에서 학 12마리가 내려와 앉았는데 그 모습이 백련이 피어있는 모습 같았다. 꿈을 꾼 뒤 지극정성으로 연을 보호하고 가꾸게 된 것이 지금에 이르렀다."
