addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 보성군 득량면 공룡로 822-51,,38,0,A02,A0202,A02020600,2782625,12,20211129193645,http://tong.visitkorea.or.kr/cms/resource/64/2788364_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2788364_image2_1.jpg,127.1963718175,34.7075206994,6,20220407174839,2,10,,비봉공룡공원,59467,"득량면 비봉리 일원에 있는 보성비봉공룡공원은 다양한 공룡체험과 쇼를 즐길 수 있는 가족형 공룡테마파크다. 총사업비 350억 원을 투입하여 준공했으며 2017년 7월 개관하였다. 매표소부터 무시무시한 공룡의 벽화가 인상적인 보성비봉공룡공원은 지하 1층과 지상 1층, 총 2개의 층으로 나뉘어 있다. 지하 1층 로비 공간에는 다이노카페, 다이노샵이 있는데 샵에선 공룡라텍스, 피규어, 3D 입체카드를 기념품으로 판매하고 있다. 전시홀은 지질 시대별 특징 및 아시아 공룡 화석에 대한 설명과 보성에서 산출된 공룡 뼈화석 실물을 전시해 공룡알 화석지로서 보성을 알리는 공간으로 연출했다. 공연장은 국내 최초로 펼쳐지는 공룡쇼를 하는 곳으로 가로 42m 세로 9m의 월드스크린의 3D 영상과 대형 공룡 로봇이 함께 공룡쇼를 펼치는 4D 멀티미디어 공연이다. 공룡알쇼, 3D, 4D 영상, 워킹공룡쇼를 상영 중이다. 또한 이곳은 공룡알 위탁모 체험, 공룡 라이더 등 다양한 체험프로그램이 구비되어 있어 어린이 자녀를 동반한 가족이라면 체험해 볼 것을 추천한다. 이외에도 티라노사우루스와 트리케라톱스 화석이 전시된 수장고와 공연 관람 전 편안하게 휴식을 취하면서 공룡에 대한 간단한 정보를 얻을 수 있는 공연 대기홀 등이 있다."
전라남도 보성군 회천면 녹차로 613,,38,0,A02,A0204,A02040800,2782596,12,20211129192836,http://tong.visitkorea.or.kr/cms/resource/30/2788330_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2788330_image2_1.jpg,127.090492244,34.7066690073,6,20221103091857,0,10,,초록잎이펼치는세상,59472,"보성군 회천면 녹차로에 있는 녹차 관광농원 겸 카페다. 푸른 녹차밭이 내려다보이는 녹차 밭 전망 카페인 이곳은 다원 정상에 있으며 바로 옆엔 보성차밭 전망대가 있다. 다원에서 직접 재배한 찻잎으로 우려낸 명품 녹차를 재료로 사용하는 이곳은 녹차를 비롯한 차 종류와 녹차 음료, 녹차 아이스크림과 다과를 판매하고 있다. 대표적인 메뉴는 녹차와 녹차 아이스크림이다. 녹차는 특유의 떫은맛이 날 것 같지만 깔끔하고 쌉싸름한 느낌은 거의 나지 않는다. 녹차 아이스크림은 녹차와 요거트가 섞였는데 은은하게 퍼지는 녹차향에 새콤달콤한 요거트의 환상 궁합을 자랑한다. 카페 내부의 여러 가지 도자기와 원목 테이블은 자연 친화적인 느낌을 준다. 바깥 풍경이 보이는 자리에는 선인장 등의 식물들이 가득 놓여 있어 화분 구경하는 재미도 쏠쏠하다."
전라남도 보성군 득량면 오봉리 243,,38,0,A02,A0201,A02010400,2782543,12,20211129191255,http://tong.visitkorea.or.kr/cms/resource/53/2788053_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2788053_image2_1.jpg,127.186749061,34.763022642,6,20221103111054,0,10,061-853-2885,보성 이진래고택,,"보성군 득량면 오봉리 강골마을에 있다. 중요민속문화재 제159호로 지정되었으며, 1800년대 말에 지은 집이다. 안채와 사랑채, 곳간채, 문간채 등이 규모 있게 구성되어 있다. 농사를 많이 짓고 사는 사대부집으로 강골마을에서 가장 규모가 큰 가옥이다. 문간채는 정면 5칸, 측면 단칸인데, 중앙의 한 칸은 문간으로 솟을대문이다. 대문의 왼쪽과 오른쪽에는 온돌방이 여러 개 배치되어 있는데, 이는 행랑채로서 머슴이나 일꾼들이 사용하도록 하고 있다. 동쪽으로 다양한 주련이 걸려있는 사당 겸 서재 건물이 있는데, 이곳은 이 가옥에서 집주인이 가장 심혈을 기울여 관리하는 건물이다. 장독대는 안채의 서쪽에 위치한 광채와 누마루 사이 모퉁이 공간에 있는데, 겨울에 눈이 내려 항아리 뚜껑 위에 소복이 쌓인 광경은 정겨움을 더한다. 시골의 정취와 한옥의 서정적인 분위기를 제대로 느낄 수 있다. 집 뒤쪽으로는 울창한 나무숲이 있고, 앞으로는 연못이 아름답게 꾸며져 있다. 한옥 체험이 가능한 곳이다."
전라남도 보성군 득량면 오봉리 230,,38,0,A02,A0201,A02010700,2782510,12,20211129190509,http://tong.visitkorea.or.kr/cms/resource/19/2796619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2796619_image2_1.jpg,127.1879322708,34.7638170175,6,20211215001703,0,10,,보성열화정,,"득량면 오봉리 강골마을은 득량만과 오봉산이 바라다보이는 곳에 자리 잡은 전통 한옥마을이다. 이곳에는 국가민속문화재로 지정된 3채의 고택이 있고, 마을 뒤 가장 높고 깊숙한 곳에는 보성열화정이 있다. 보성열화정은 중요민속문화재 제162호로 일각대문과 ㄱ자형의 누마루 집으로 이루어진 정자이다. 20세기 초 건물로 추정되며, 주거를 목적으로 하는 집 외에 남성 위주의 공간으로 특별히 지은 건물이다. 마당 앞에는 아담한 일각대문과 연못이 있고, 정원에는 목련, 석류, 대나무 등을 심어 주변의 숲과 어울리게 함으로써 전통적인 우리나라 조경 수법을 잘 간직하고 있다. 열화정은 아름다운 산수를 즐기는 휴식공간이며, 선비들이 자연을 즐기며 시를 짓고, 친구들과 교류하는 공간이면서 학문을 가르치던 강학의 공간이었다. 1845년 이진만이 후진 양성을 위해 세웠다고 한다. 이진만의 손자 이방회와 당대의 석학 이건창 등이 학문을 논하던 장소이며, 정자 맞은편 안산에 만휴정을 세워서 자연을 정취를 즐겼다고 하나 지금은 흔적만 남아 있다."
전남 보성군 회천면 율포리 476-22,,38,0,A01,A0101,A01011400,2782501,12,20211129190143,http://tong.visitkorea.or.kr/cms/resource/48/2788348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2788348_image2_1.jpg,127.0860074559,34.669009268,6,20221103095947,0,10,,율포항,,"보성군 회천면 율포리에 있는 율포항은 1972년 지방 어항으로 지정되었고, 태풍 내습 시, 득량만과 여자만에 출어하는 1천여 척의 어선 대피 어항이기도 하다. 1991년 율포관광지로 지정되면서 지금은 보성녹차밭에 이어 많은 관광객이 찾는 명소가 되었다.
보성 율포항은 현재 문화관광레저 기능을 갖춘 어항의 면모를 갖추고 있다. 율포해수욕장과 해수녹차탕, 수산물 위판장이 가까이 있어 고즈넉한 항구의 정취와 함께 즐길 거리, 먹거리가 풍성하다. 썰물에 드러나는 갯벌은 바다의 낭만을 더 깊게 해준다. 갯벌에 정박해 있는 배들의 모습 또한 운치를 더한다. 특히 득량만 앞바다에서 채취되는 새꼬막은 어선을 타고 바다 한가운데 양식장으로 나가 장비를 이용해 바닥을 긁어 끌어올려 채취한다. 새꼬막은 조갯살이 쫄깃하며 감칠맛이 일품이다. 2월이 제철이다. 율포항의 주요 어종으로는 낙지, 전어, 주꾸미 등이 있고, 겨울에 맛보는 새꼬막을 비롯해 바지락회와 활어회 등 싱싱한 해산물을 즐길 수 있다."
전라남도 보성군 문덕면 죽산길 506-8,,38,0,A01,A0101,A01010500,2717015,12,20210513230340,http://tong.visitkorea.or.kr/cms/resource/14/2717014_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2717014_image2_1.JPG,127.1333599159,34.9613772187,6,20220419151333,3,10,,보성녹차 시배지,59401,천봉산 대원사에는 수령350년 고차수군락지가있다. 농림축산식품부 주관 국가중요농업유산 제11호로 지정되어있는 고차수군락지이다. 천봉산 대원사는 백제 무령왕3년 아도화상이 산문을 연 뒤로 1500년 호남불교의 역사가 깃들어 있는 백제 고찰이다. 대원사는 고려 중기에 송광사 16국사 중 제5대 자진원오국사가 가림을 중창하고 다원을 확장하였다. 자진국사는 대원사에서 선문염송을 판각하여 수선교재로 삼고 다선일미의 차 문화를 일으켰다.
전라남도 보성군 회천면 우암길 8,,38,0,A02,A0202,A02020600,2702653,12,20210101022517,,,127.0873850886,34.6699758492,6,20220719161226,0,10,,율포해수풀장,59471,"폭 60m와 길이 1.2km에 이르는 은빛 모래밭에 100년생의 소나무들이 숲을 이루어 풍광이 좋은 해수욕장이다. 더욱이 공해 없는 청정해역인 득량만 바다를 끼고 있어서 깨끗한 바다 풍광을 즐길 수 있다. 얼핏 보면 해변가에 작은 고깃배들이 점점이 떠있는, 그저 평범한 작은어촌 마을이지만 보성의 대한다원 등이 유명한 관광지가 되면서 이와 연계하여 율포 해수욕장을 찾아오는 관광객들도 많아졌다.1991년 국민관광지로 지정되어 각종 편의시설이 잘 갖추어져 있으며, 전국 유일의 해수녹차탕과 9,917m²(3,000평) 규모의 인공 해수풀장이 있어 어린이를 동반한 가족단위 피서지로 적격이다.
 율포해수풀장
조수 간만의 차가 심한 편이라 아무때나 해수욕을 즐길 수 없다는 단점을 극복하기 위해 관광지 내에 지하 120m에서 솟는 심해수를 끌어다 약 9,917m²(3,000평) 규모의 인공 해수풀장을 조성하였다. 매년 해수욕장 개장 시는 어린이 및 청소년 해수욕객이 급증하고 있는 추세다.
 해수녹차온천탕
지하해수를 이용한 해수탕과 보성지역에서 생산된 녹차를 추출해서 시욕할 수 있는 전국 유일의 해수녹차탕이다. 1998년 4월 13일 개장하여 탕 안에서 바다와 백사장을 바라보며 목욕할 수 있도록 설계되어 많은 관광객들에게 새로운 목욕문화를 창출하면서 전국적인 관광명소로 자리 잡아가고 있다."
전라남도 보성군 웅치면 대산길 329-126,,38,0,A02,A0203,A02030400,2660917,12,20200624225122,,,126.9912152193,34.6918106729,6,20221212160752,0,10,,전남권 환경성질환 예방관리센터,59450,"전남권 환경성질환 예방관리센터는 지구 온난화, 산업화, 서구화된 식생활 등 다양한 환경적 요인으로 발생 빈도가 꾸준히 증가하고 있는 환경성질환의 예방 및 관리를 위해 건립된 전남권역의 친환경 힐링센터다.
아토피 피부염 등 환경성질환에 대한 올바른 이해와 정보제공을 위한 교육프로그램, 어린이가 즐기면서 배울 수 있는 체험프로그램, 환경성질환예방 및 건강증진을 위한 맞춤형 프로그램을 운영하고 있다. 또한,환경 자재를 사용한 명상실, 녹차탕, 황토·맥반석찜질방, 산소방 및 숙박시설도 운영하고 있다."
전라남도 보성군 조성면 봉능리,474-5,38,0,A02,A0204,A02040800,2634979,12,20191113195008,http://tong.visitkorea.or.kr/cms/resource/75/2634975_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/75/2634975_image2_1.bmp,127.221073088,34.7925921264,6,20220421165346,0,10,,보성싱싱농원,59435,"저희는 ""새로운 생각과 젊은 감각""으로 즐거운 농촌을 만들어가는  보성싱싱농원이다. 보성싱싱농원은 2014년 농촌진흥청 지정 교육농장으로 지정을 받은 뒤로 꾸준히 농촌자원을 활용하여 체험을 진행하고 있다. 방울토마토, 키위, 딸기를 키우며 작물이 커가는 성장과정을 들려주고, 농촌의 수많은 자원들을 활용해 오감만족을 느낄 수 있는 공간을 만들어 가고 있다."
전라남도 보성군 벌교읍 별교리,,38,0,A02,A0205,A02050100,2613183,12,20190726232225,,,127.3441942246,34.8479241208,6,20221202111042,0,10,,소화다리(부용교),59425,"소화다리의 본명은 부용교다. 1931년, 일제강점기 소화6년에 만들어졌다고 소화다리라고 불렸단다. 벌교천 위에 놓인 낡은 다리는 이 땅의 근현대사를 온몸으로 읽은 장본인이다. 여순사건 당시 반란군인 진압됐을 때도, 6 ·25전쟁 때도 수많은 이들이 이곳에서 죽어갔다. 좌우로 나뉜 이념의 틈바구니에서 밀고 또 밀릴 때마다 이 다리 위에서 총살이 이루어졌기 때문이다. 소설 태백산맥의 소화다리 아래 갯물에고 갯바닥에고 시체가 질펀허니 널렸는디, 아이고메 인자 징혀서 더 못 보겄구만이라, 사람 쥑이는 거 날이 날 마도 보자니께 환장 허겄구만요 구절은 당시의 처참함을 알려준다. 이념으로 총부리를 겨누는 건 한반도 남도의 작은 마을도 예외가 아니었던 것. 소화다리에서 상류로 올라가면 소설에서 염상진이 지주들에게 빼앗은 쌀을 소작인들에게 나눠주기 위해 쌓아 놓았던 홍교(보물)가 나온다. 이곳에 뗏목으로 만든 다리가 있어 이 지역의 이름이 벌교가 되었다는 것도 기억해두자."
