addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 순천시 팔마1길 9-19,,38,,A02,A0202,A02020200,2911427,12,20221117141313,,,127.5126495178,34.9325286207,6.0,20221117141327,0,11,,순천업사이클센터더새롬,58001.0,"'새활용(Upcycling)'이란 단순 재활용을 넘어 쓰임이 다한 자원에 디자인을 더해 본래보다 더 가치 있는 제품으로 재탄생시키는 것을 말한다. 업사이클센터는 이러한 새활용(업사이클)에 대한 모든것을 보고, 배우고, 경험할 수 있는 새활용 복합 문화 공간으로서 2019년 5월 31일 개관했다.

순천업싸이클센터 곳곳에는 체험 공간이 마련되어 있는데 1층 놀이체험장에서는 미래세대인 어린이들이 폐스크린 도어 조각들로 순천만의 식물을 만들어보거나, 자투리 천으로 만든 짱뚱어 조각 붙이기 체험 등 다양한 체험활동을 할 수 있다. 환경오염의 심각성을 인지시키고, 재활용의 다양한 방법과 가치를 교육하며 놀이형태로 쉽고 재미있게 배우는 가치 있는 시간을 보낼 수 있다. 

2층에 북카페가 있어 이곳에서는 간단한 차음료와 업사이클에 대한 서적들을 접할 수 있다. 

1층에 내가버린 쓰레기를 통해 금전적인 이익을 얻고, 거래된 쓰레기가 새로운 자원으로 재탄생되는 순환경제체제를 구축해주는 시스템인 인공지능 순한자원 회수로봇 네프론이 있어 시민들에게 버려지는 쓰레기에 대한 가치를 알게 해준다. 

 2층 입주공방에선 재활용을 통한 작품 만들기 프로그램이 운영되고 있다. 정기 프로그램과 원데이클래스 등을 수시로 모집하고 있어 참여하기가 쉽다. 4세 아동부터 성인까지 재료비만 내면 내 손으로 직접 재활용한 작품을 만들 수 있어 시민들에게 재활용에 대한 인식을 자연스레 심어줄 수 있는 체험프로그램들을 다양하게 운영하고 있다. 
센터 운영뿐만 아니라 찾아가는 교육도 연중 내내 실시하고 있다. 강사가 직접 학교나 단체를 찾아가 업사이클 이론 및 체험 교육을 실시한다. 최근에는 시에서 수거한 쓰레기로 재활용 제품을 만들어 시민들에게 무료로 배포하는 등 뜻 깊은 활동도 진행하고 있다."
전라남도 순천시 일출길 141,,38,,A02,A0203,A02030600,2819875,12,20220516093728,http://tong.visitkorea.or.kr/cms/resource/72/2819872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2819872_image2_1.jpg,127.4831453899,34.8688074911,6.0,20220614140355,0,11,,별이랑,58030.0,"'별이랑'은 숙박형 농촌휴양 프로그램과 공예체험, 특산물 제조공정체험, 지역관광을 제공하는 관광두레 주민사업체로, 순천만과 농어촌의 이색관광체험을 제공함으로써 맞춤형 여행을 즐길 수 있도록 도움을 준다. 순천만과 별량의 농어촌을 찾는 관광객과 소비자에게 순천만의 갯벌생태 공방체험과 첨산 농막농촌체험을 통해, 지역의 다양한 관광자원을 묶어서 활용하고 우수한 지역특산품을 소개한다.
로컬에서 힐링숙박하며 잘거리 뿐만 아니라 할거리, 먹거리, 살거리의 평면적 선택지를 기획하여 지역형 테마여행을 입체적으로 설계,  '별이랑'에서는 특색있는 민박체험과 계절형 프로그램, 다른 곳에서는 볼 수 없었던 농어촌 특산품과 기념품들을 만날 수 있다. 순천만에 서식하는 짱뚱어 모양의 오카리나 만들기 등, 흙과 함께 하는 도자체험을 즐길 수 있다."
전라남도 순천시 해룡로 579 참좋은시골집,,38,,A02,A0203,A02030600,2819644,12,20220513102101,http://tong.visitkorea.or.kr/cms/resource/39/2819639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2819639_image2_1.jpg,127.5280635695,34.8728328128,6.0,20220614140249,0,11,,적정온도(순향가),58025.0,"건강한 식재료를 사용해 몸과 마음을 치유하는 발효 치유식을 테마로 자연이 선사하는 영양과 편안함을 체험할 수 있는 치유 테마파크 '적정온도'를 조성했다. 현재 치유식 원데이구독형 클래스를 준비하고 있으며, 집에서도 쉽게 순천의 맛을 담은 치유식을 맛볼 수 있도록 밀키트와 도시락상품을 기획하고 있다. '순향가'는 순천의 치유식을 여행객들이 다양하게 접할 수 있는 콘텐츠를 끊임없이 모색하는 중이며, 방문하는 고객들이 그들만의 적정온도를 찾을 수 있는 기회를 제공하고자 한다."
전라남도 순천시 역전광장1길 6,1층 사우스마켓,38,,A02,A0203,A02030600,2819611,12,20220512173158,http://tong.visitkorea.or.kr/cms/resource/08/2819608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2819608_image2_1.jpg,127.500219724,34.9454713961,6.0,20220614140156,0,11,,사우스마켓(남쪽동네),57962.0,"'로컬푸드 큐레이션 샵  사우스마켓'은 로컬푸드 스토리를 콘텐츠화 하여 음식을 통해 지역문화를 경험할 수 있도록 하며, 로컬을 여행 온 여행객들을 대상으로 소중한 사람들에게 선물하고 싶은 로컬푸드 기념품을 제조, 판매하는 브랜드이다. 
판로를 찾기 힘든 지역주민들에게는 안테나샵이 되어 주고 매장을 찾는 고객들에게는 한 곳에서 다양한 로컬상품을 보고, 선택할 수 있는 편의를 제공한다. 사우스마켓은 순천을 방문하는 여행객들에게 양질의 상품을 제공함으로써 순천에 대한 긍정적인 인식을 심어주고자 한다. 순천에서 떠나는 여행객들과 그들의 소중한 사람에게 추억을 나눌 수 있는 마음이 되고자 하는 사우스마켓은 순척역과 종합버스터미널 가까이에 위치하고 있다."
전라남도 순천시 서문로 2 오행생식건강원,,38,,A02,A0203,A02030600,2819607,12,20220512172413,http://tong.visitkorea.or.kr/cms/resource/04/2819604_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2819604_image2_1.jpg,127.4834627151,34.9512593457,6.0,20220614140041,0,11,,드로잉라이프,57957.0,"드로잉라이프는 순천의 자연과 마을을 스토리와 감각으로 엮어 그 지역에서만 느낄 수 있는 색다름을 전달하는 브랜드이다. 드로잉라이프의 드로잉투어는 골목길의 이야기와 사람들의 삶을 엮어 드로잉을 통해 다른 삶을 여행해 볼 수 있게 하는 스토리기반 투어 상품으로 메이저 여행지뿐만 아니라 지역의 삶도 함께 느낄 수 있는 특별한 시간을 제공한다.
이곳을 찾는 사람들은 순천의 독특한 이야기가 담긴 먹거리 상품과 굿즈도 구매할 수 있다. 이 외에도 생태적 경험을 위한 투어 및 생태 공간 대여 서비스를 운영하고 있으며, 드로잉라이프의 브랜드 아이덴티티를 함축한 카페를 준비하고 있다."
전라남도 순천시 역전2길 46 밀림다방,,38,,A02,A0203,A02030600,2819598,12,20220512164349,http://tong.visitkorea.or.kr/cms/resource/95/2819595_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2819595_image2_1.jpg,127.497436575,34.9478460811,6.0,20220614135935,0,11,,밀림슈퍼 연구소,57964.0,"순천의 천연 관광자원인 동천을 중심으로 국가정원과 원도심을 관광할 수 있는 전기 자전거를 개발 및 제작하여 렌탈 및 판매를 준비하고 있다. 실용적이며 트렌디한 디자인으로 mz세대의 라이프 스타일에 딱맞는 특색있는 전기자전거를 개발하고 있으며, 밀림슈퍼연구소의 전기자전거와 함께 순천을 여행한다면 순천의 자연을 더욱 더 자세하게 탐미할 수 있다."
전라남도 순천시 순천만길 513-25,(대대동),38,0.0,A02,A0202,A02020600,2795593,12,20211214201337,http://tong.visitkorea.or.kr/cms/resource/87/2798887_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2798887_image2_1.JPG,127.5096481959,34.8855560675,6.0,20220613134218,1,11,,순천만천문대 / 순천시민천문대,58027.0,"순천만 천문대는 국내 최초의 평지 천문대로서 철새 탐조와 천체 관찰을 할 수 있는 복합형 체험관이다. 순천만 자연생태공원 안에 있는 천문대로 전국에서 유일하게 해발 0m에 위치한 천문대이다. 전국 최대 생태관광지에 설립되어 전국에서 가장 많은 탐방객이 찾는다. 낮에는 새를 보는 탐조의 기능 외에도 가상의 천체를 체험할 수 있는 천체투영실, 태양 관측이 가능한 시설이 마련되어 있으며, 야간에는 별을 볼 수 있는 천문대 고유의 역할을 수행 중인 시설이다.	 우리나라 기상 여건상 천문 관측이 가능한 날은 연중 100일 이내인데, 이 외의 날에도 천문대 시설을 활용하기 위해 바닷가 평지 천문대가 탄생한 것이다. 산 정상에 있는 천문대는 야간에 방문하기 어렵지만 낮에는 새를 보고 밤에는 별을 보는 천문대로 조성된 순천만 천문대는 쉽게 찾을 수 있어 접근성이 좋다."
전남 순천시 서면 선평리 818-23,,38,0.0,A02,A0202,A02020700,2795458,12,20211214194615,http://tong.visitkorea.or.kr/cms/resource/50/2798850_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/2798850_image2_1.JPG,127.5004019587,34.9879999523,6.0,20221201102944,0,11,,기적의놀이터 3호,,"순천 기적의 놀이터 3호의 다른 이름은 시가모노다. 얼핏 들으면 일본에서 빌려온 이름처럼 들리는데, 시간 가는 줄 모르고 노는 놀이터의 약자다. 아파트 사이를 흐르는 동천의 천변에 길게 자리한 놀이터로 놀이터에 들어서자마자 킥보드와 밸런스 바이크를 탈 수 있는 곡선형 아스팔트 길이 나온다. 그 주변으로 모래 놀이터가 있고 가장 인기 있는 짚라인도 있다. 안쪽으로 조금 더 들어가면 그네 놀이터와 체력 단련용 액티비티 시설이 나온다. 유아들이 탈 수 있는 보호대가 있는 그네부터 2인용 그네, 원형 바구니처럼 생긴 다인용 그네도 있다. 바닥에는 모래가 깔려 있어서 완충 역할을 한다. 조금 더 내려가면 아이들이 안전하게 인라인스케이트를 탈 수 있는 스케이트장이 나온다. 놀이터 근처에는 강천 수변 공원이 있는데 놀이가 끝나고 집으로 돌아가는 길에 잠시 들러 산책하기 좋다."
전라남도 순천시 용당동 496,,38,0.0,A02,A0202,A02020700,2795448,12,20211214194237,http://tong.visitkorea.or.kr/cms/resource/59/2798859_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/2798859_image2_1.JPG,127.4981582388,34.9672911308,6.0,20211215224301,0,11,,기적의놀이터 4호,,"산속 저수지 위쪽에 자리한 순천 기적의 놀이터 4호를 찾아가는 길은 마치 등산로 입구를 찾아가는 것처럼 산으로 향해 있다. 기적의 놀이터 4호의 다른 이름은 올라올라로, 이름에서 놀이터의 콘셉트가 엿보인다. 놀이터의 시설물은 그리 많지 않은데, 큰 미끄럼틀과 그 옆으로 모랫바닥에 거미줄 같은 네트 모양의 시설이 눈에 띈다. 둘 다 올라야 즐길 수 있는 시설이다. 뒤쪽으로는 짧지만 넓은 미끄럼틀도 있다. 눈썰매장의 출발대처럼 여러 명이 동시에 탈 수 있는 놀이 시설과 비슷하다. 놀이 시설물 주변은 자연 녹지인데, 주위로 작은 개울이 흐르고 자연학습원도 마련되어 있다. 놀이를 마치고 나올 때는 저수지를 한 바퀴 돌며 산책하기에도 좋다."
전라남도 순천시 별량면 학산리 780-2,,38,0.0,A01,A0101,A01011200,2792592,12,20211213184659,http://tong.visitkorea.or.kr/cms/resource/52/2795952_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2795952_image2_1.jpg,127.4881900405,34.8431715669,6.0,20220627172249,3,11,,화포해변,,"순천 별량면 학산리에 있는 해변이다. 수산자원이 풍부하고, 간조 때 깨끗한 개펄에서 잡히는 세발낙지가 유명하며, 겨울이면 흑두루미·저어새·검은머리갈매기 등 철새들이 몰려와 장관을 이룬다. ㄷ자로 생긴 순천만의 아랫부분에 위치하여 바닷가에서 멋진 해돋이를 맞이할 수 있다. 주변에 대대포구 갈대숲과 송광사, 선암사, 동화사, 낙안읍성 민속마을, 주암호, 고인돌공원 등 관광지가 많다."
