addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 신안군 암태면 기동리 677-1,,38,0,A02,A0203,A02030600,2784680,12,20211201223150,http://tong.visitkorea.or.kr/cms/resource/19/2784819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2784819_image2_1.jpg,126.1117559185,34.838329695,6,20221026134604,0,12,,기동 삼거리 벽화,,"기동 삼거리 벽화는 전남 신안군 암태면 기동리에 자리 잡고 있다. 천사대교를 건너 직진하면 나오는 삼거리다. 이곳에서 직진하면 자은도가 나오고, 오른쪽으로 방향을 잡으면 압해도로 갈 수 있다. 삼거리에 들어서면 담벼락을 채우고 있는 벽화가 눈에 띈다. 미소를 띠고 있는 부부가 그려진 벽화다. 머리는 동백나무다. 담장 안에서 자라는 동백나무가 벽화와 어우러져 독특한 분위기를 연출한다. 기동 삼거리에 있는 벽화라서 기동 삼거리 벽화라고 부른다. '동백나무 파마머리 벽화'나 '동백 빠마 벽화'라고도 불린다."
전라남도 신안군 증도면 지도증도로 1997,,38,0,A01,A0101,A01011400,2751327,12,20210929232314,,,126.1249215811,34.9478175504,6,20211118234658,0,12,,증도 왕바위선착장 / 증도 왕바위여객선터미널,58808,"증도의 남쪽 끝에 있는 증도 왕바위선착장은 자은도를 오가는 여객선을 탈 수 있는 곳이다. 하루 4회 자은도 고교선착장까지 왕복 운항하고 있으며, 차량도 수송할 수 있다. 과거에는 신안 증도와 자은도를 오가는 중심지 역할을 해왔던 곳이다. 최근 천사대교가 이어져 자은도까지 차량으로 이동할 수 있지만, 도로를 이용해 가는데 2시간 정도 소요되나, 슬로시티호를 이용하면 단 15분 만에 자은도에 도착한다. 요금도 신안군에서 지원해 대인 1,000원, 차량은 2,000원밖에 안 한다. 증도와 자은도, 암태도를 연계해 여행할 경우 시간과 비용면에서 가장 효율적인 동선인 셈이다. 또한 일출과 노을을 함께 감상할 수 있는 명소로 알려져 있으며 빼어난 바다 풍경을 자랑한다."
전라남도 신안군 지도읍 송도2길 68,,38,0,A01,A0101,A01011400,2750942,12,20210929012035,,,126.2037123007,35.0431052877,6,20211118015836,0,12,,송도항(송도선착장),58813,"송도항은 신안군 지도면 송도에 있는 항구로, 1993년 지방 어항으로 지정되어 지금까지 이어져 오고 있다. 항구 옆으로 사옥대교가 사옥도와 증도를 연결하고 있다. 과거의 송도항은 주변의 섬으로 오가는 여객선이 운항했던 곳이나, 지금은 송도 수산시장과 수협 어판장도 있다. 신안군 일대에서 잡힌 민어, 병어 등의 생선이나 새우, 신안에서 많이 생산되는 소금, 건어물 등이 유통된다. 특히 국내 젓새우 생산량의 70가 유통되는 곳이기도 하다. 증도 슬로시티 진입 길목에 있어 민어와 병어, 새우젓 등을 구매하기 위해 이곳을 찾는 관광객들이 많다."
전라남도 신안군 압해읍 천사로 13,,38,0,A01,A0101,A01011400,2750939,12,20210929011138,,,126.3575041803,34.8149946579,6,20211118234214,0,12,,압해도선착장,58827,"압해도는 목포시와 가장 가까운 섬으로 압해도선착장은 목포 북항과 마주하여 자리하고 있다. 이곳은 신안의 크고 작은 섬으로 선상낚시를 떠나는 출발지로 유명하다. 그런 이유로 몇 곳의 식당과 낚시전문점, 화장실 등이 자리하고 있다. 이 선착장에서 낚싯배와 어선 모두를 볼 수 있고, 선착장은 낚시를 온 차량으로 늘 북적인다. 또한 바닷가에서 소풍을 즐기거나 바다를 보며 달릴 수 있어 드라이브 코스로도 좋다. 마주한 유달산, 목포 북항과 목포대교까지 한눈에 감상할 수 있고 밤 풍경이 멋져 야경 명소로도 유명하다."
전라남도 신안군 암태면 중부로 1502-80,,38,0,A01,A0101,A01011400,2750937,12,20210929010909,,,126.1194644111,34.8029588083,6,20221207140158,0,12,,암태남강선착장,58836,"전남 신안군 암태도 남쪽 끝에 위치한 암태 남강선착장은 영화 '자산어보'의 촬영지인 비금도로 가는 배를 탈 수 있는 곳이다. 하루 16번, 약 한 시간 간격으로 배가 운행된다. 비금도로 갈 수 있는 여객선이 운항하는 항구는 목포항과 목포 북항, 암태도 남강선착장 이렇게 세 곳이 전부다. 여객선뿐만 아니라 작은 어선들도 이곳 선착장을 이용하고 있으며, 암태 남강선착장 주변에는 작은 매점과 식당도 있어 간단한 식사와 간식거리를 먹을 수 있다."
전라남도 신안군 안좌면 자라도길 1,,38,0,A01,A0101,A01011400,2750934,12,20210929010524,,,126.1693515372,34.6913805191,6,20211118234707,0,12,,자라도선착장,58842,"전남 신안군 안좌도 아래 작은 섬인 자라도에 위치한 자라도선착장은 마을 주민들이 주로 이용하는 작은 어항이다. 주차장과 함께 대합실 겸 매표소가 있다. 지금은 안좌도와 자라도를 연결하는 자라대교가 만들어져 있으나, 이전까지 이 선착장을 통해 안좌도와 자라도를 왕래했다. 선착장에는 화장실이 있으며 주변에 작은 상점이 있어 편하게 이용할 수 있다. 작은 휴식공간인 정자도 있으니 지나가는 길에 잠시 들러 바다를 바라보며 휴식을 취하기에 좋다."
전라남도 신안군 암태면 박달로 7,,38,0,A01,A0101,A01011400,2750933,12,20210929010254,,,126.1569846862,34.8618277772,6,20211118234132,0,12,,오도선착장,58833,"신안군 암태도 신석리에 위치한 오도선착장은 크루즈 요트와 어선이 드나드는 선착장이다. 천사대교를 배경으로 1,004의 모습이 형상화된 벤치가 있어 포토 스폿으로도 유명하다. 국내에서 유일하게 사장교와 현수교 두 형태를 하나로 혼합한 천사대교를 가장 잘 볼 수 있는 곳 역시 바로 오도선착장이다. 이곳에서는 1,004섬 요트투어를 즐길 수 있는데, 초란도, 암치도 등의 아름다운 섬과 웅장한 천사대교를 바다 위에서 감상할 수 있다. 밤에는 천사대교의 조명이 다채롭게 변화하는 모습을 볼 수 있어 야경 명소로도 유명하다."
전라남도 신안군 압해읍 압해로 1844,,38,0,A02,A0202,A02020800,2750733,12,20210928225340,,,126.2271732111,34.8495469697,6,20211209020210,0,12,,송공여객선터미널,58822,"송공여객선터미널에서 운항하는 여객선의 운항코스는 크게 두 가지로 나눌 수 있는데, 하나는 천사아일랜드라고 불리는 12 사도의 작은 예배당을 순례할 수 있는 섬티아고 코스이며, 다른 하나는 비금도와 흑산도를 거쳐 돌아오는 코스이다. 송공여객선터미널은 승선권은 물론, 꽤 많은 차량 운송을 책임지는 터미널이기도 하다. 차량 크기에 따라 그 비용도 다르니 확인이 필요하다. 대기 차량이 많으면 미리 티켓팅할 수 없고, 호명한 차량대로 표 구매가 마감될 수도 있어 주의가 필요하다. 천사아일랜드는 하루 네 번, 흑산 항로로는 하루 한 번 새벽 6시 40분에 운행하니 시간을 잘 맞춰야 승선이 가능하다."
전라남도 신안군 압해읍 압해로 1852-13,,38,0,A01,A0101,A01011400,2750723,12,20210928224629,,,126.2270177127,34.847719396,6,20211118191621,0,12,,송공리선착장,58822,"송공여객선터미널이 위치한 송공리선착장에서는 당사도, 기점도, 비금도, 흑산도로 향하는 여객선을 탈 수 있다. 선착장에 머무르는 사람들은 대부분 섬티아고 순례 여행을 위해 대기하는 이들이다. 섬티아고는 십이 사도의 작은 예배당이 있는 곳으로 알려져 있으며, 예수의 열두 제자를 주제로 해 기도처를 순례하는 코스로, 각 섬마다 하나씩 위치한 건물이 아기자기해 기독교인이 아니라도 하나의 관광지로써 둘러보기 좋다. 십이 사도 여행 코스가 송공리선착장에서 첫 출발을 하며, 섬티아고 코스는 하루 네 차례 운행한다. 천사 아일랜드호를 타면 천사대교 아래를 지나 당사도를 향하는데, 배 위에서 보는 바다와 섬의 풍경이 감탄을 자아낸다."
전라남도 신안군 안좌면 중부로 5-4,,38,0,A01,A0101,A01011400,2750722,12,20210928224246,,,126.1678042449,34.7000961798,6,20221207135805,0,12,,복호선착장,58841,"안좌도 끝자락에 위치한 복호선착장은 작은 규모의 포구지만, 2층 규모로 지어진 여객선터미널을 보유하고 있다. 주변에 있는 크고 작은 섬을 연결하는 중요한 역할을 하고 있기 때문이다. 안좌도는 편안하고 풍성한 땅이라는 의미로, 천사의 섬 중 꽤 큰 규모를 자랑한다. 선착장에서는 아담한 복호마을과 자라대교 풍경도 한눈에 볼 수 있다. 이곳을 오가는 여객선은 규모가 상당히 크다. 2020년 6월 15일부터는 복호선착장에서 장산도를 경유해 신의면 상태도에 이르는 여객선 야간 운항을 시작했으며, 한 시간 정도 소요된다. 이로써 그간 주간에만 가능했던 마을 주민들의 이동이 야간에도 가능해졌다."
