addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 여수시 돌산읍 평사리,산 1-1,38,,A01,A0101,A01011600,2931362,12,20221207132739,http://tong.visitkorea.or.kr/cms/resource/58/2931358_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2931358_image3_1.jpg,127.8053724602,34.6608085851,6.0,20221207132753,0,13,,큰끝등대,59774,"큰끝등대는 여수 돌산도 동쪽 끝에 있으며, 풍경이 아름다운 숨은 명소다. 찾아가는 길이 어렵고, 숲속에 숨어있는 탓에 잘 알려지지 않은 곳이다. 따로 주차장은 없으며, 도로 옆 갓길에 주차하고, 길 사이로 나 있는 작은 숲길을 지나가야 한다. 길이 험하지는 않지만 편한 신발을 신고 가는 것을 추천한다. 소나무 오솔길을 따라가다 보면 숲의 끝에서 끝없이 펼쳐진 수평선과 맑고 푸른 파도 소리, 그 풍경과 잘 어울리는 하얀 등대가 등장한다. 예쁜 갯바위와 에메랄드빛 해변이 한 폭의 그림과 같아 여수 현지인과 관광객들이 이 모습을 담기 위해 찾아오곤 한다. 등대 옆으로 기암괴석과 절벽 밑으로 파도치는 모습도 아름답다. 단, 안전장치나 울타리가 없으니 안전에 유의해야 한다. 
 반려동물 동반 가능"
전라남도 여수시 화정면 낭도리,573-4,38,,A01,A0101,A01011200,2931111,12,20221207110101,http://tong.visitkorea.or.kr/cms/resource/96/2931096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2931096_image3_1.jpg,127.5407221256,34.5995692084,6.0,20221207110118,0,13,,낭도해변,59781,"낭도해변은 여수의 아름다운 섬, 낭도의 남쪽에 있는 작은 해변이다. 낭도는 여수 화양면 장수리와 고흥 영남면 우천리를 잇는 5개의 연륙, 연도교가 개통되면서 육지와 연결되었다. 덕분에 교통편이 편리해 차를 타고 여행하기에 좋다. 낭도 해변은 특히, 바다낚시가 유명해 여름이면 제철 농어를 만나고자 많은 관광객과 낚시꾼들이 찾는다. 또한, 잘 알려지지 않았지만, 얕은 수심과 맑은 물을 자랑해 해수욕을 즐기기에 제격이다. 모래사장 뒤로 펼쳐진 잔디에서는 텐트를 치고 가볍게 차박이나 나들이하기에도 좋다. 맞은편에는 고흥의 팔영산이 보여 경치가 좋으며, 저녁에는 일몰이 아름다워 조용하게 휴식하고 싶은 사람들에게 추천하는 숨은 명소다.
반려동물 동반 가능"
전라남도 여수시 수정동 781,,38,0.0,A01,A0101,A01011400,2795106,12,20211214183810,http://tong.visitkorea.or.kr/cms/resource/28/2797828_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2797828_image2_1.jpg,127.7541303976,34.7432290287,6.0,20221117112138,2,13,,여수신항 (여수엑스포항),,"여수엑스포역에서 도보로 57분 떨어진 곳에 여수 엑스포항이 있다. 이곳은 제주도까지 갈 수 있는 대형 여객선을 탈 수 있는 항구로 더 잘 알려졌다. 여수에서 제주까지 거리는 203km, 약 5시간 반이 소요된다. 차량을 싣고 갈 수 있어 자차를 이용하는 관광객들이 주로 찾는다. 꼭 항구를 이용하지 않더라도 이곳의 풍경을 즐기려는 현지인과 관광객도 많다. 엑스포 항의 바다 건너편에는 붉은 꽃망울의 동백꽃으로 유명한 오동도가 자리하고 있으며 근처에는 다도해 공원과 엑스포 공원이 조성돼있어 바다 풍경을 보며 걸어보기에 좋다."
전라남도 여수시 오림동 512-6,,38,0.0,A02,A0205,A02050500,2790516,12,20211209213204,http://tong.visitkorea.or.kr/cms/resource/98/2792398_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2792398_image2_1.jpg,127.719102453,34.761029206,6.0,20221110103719,0,13,,오림터널,,"오림터널은 KTX 전라선이 개통되면서 폐선된 옛 기찻길을 공원으로 조성했다. 터널의 형태나 재료로 미루어 일제강점기에 건설되었을 것으로 추정되는데, 그 때문인지 어두운 터널을 지나 밝은 빛을 만났을 때 깊은 감동마저 느껴진다. 칙칙폭폭 기차가 달리던 옛 터널 속을 두 발로 걷는 기분도 색다르지만, 내부 대피공간을 활용한 이색 갤러리는 보는 즐거움까지 더한다. 전라선의 옛 모습을 담은 사진부터 여수지역 예술가들의 시와 서예, 한국화, 문인화, 서양화 등 전시된 작품도 다양하다. 오림터널은 여수의 역사와 자연, 문화예술이 어우러진 자전거길로도 사랑받는데, 이 길은 만흥공원에서 시작해 오림터널을 지나 덕양교까지 총 길이 16.1km에 이른다. 자전거를 이용할 경우 오림터널에서 만흥공원 방면이 내리막길이라 더 수월하다."
전라남도 여수시 만흥동 산258-9,,38,0.0,A02,A0202,A02020700,2790504,12,20211209201613,http://tong.visitkorea.or.kr/cms/resource/76/2792376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2792376_image2_1.jpg,127.7441416247,34.7729755239,6.0,20220701150630,0,13,,만흥공원,,"만흥공원은 지난 2011년 KTX 전라선이 개통됨에 따라 폐선된 전라선 옛 기찻길 공원화 사업을 통해 조성됐다. 현재 구 덕양역 인근 덕양교까지 16.1km의 자전거도로와 산책로가 개통되었다. 이 구간은 모두 기찻길을 활용했기 때문에 급한 경사로 없이 완만한 코스로 이루어졌다. 특히 만흥공원에는 옛 기찻길의 추억을 담은 설치미술 작품 철길이 숲길로 등 5점의 작품이 자리한다. 더불어 700여 주의 가로수가 울창한 초록빛을 뽐내며 시민들에게 특별한 휴식처를 제공한다. 만흥공원은 여수해양레일바이크 주차장과 바로 연결되어 있는데, 덕분에 발아래로 만성리 검은 모래 해변을 눈에 담을 수 있다. 여수의 아름다운 자연과 감성을 자극하는 문화예술, 기찻길에 쌓인 역사가 한데 어우러진 공원인 셈이다."
전라남도 여수시 돌산읍 대복길 160,,38,0.0,A01,A0101,A01010600,2784672,12,20211201222644,http://tong.visitkorea.or.kr/cms/resource/17/2796717_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2796717_image2_1.jpg,127.7618190963,34.6147379822,6.0,20220705163903,0,13,,봉황산자연휴양림(여수봉황산자연휴양림),59777,"여수 돌산읍에 있는 봉황산자연휴양림은 남해바다의 아름다운 자연 풍광을 한눈에 볼 수 있는 전망 좋은 곳에 있으며, 주변에 일출의 명소로 널리 알려진 향일암과 다도해해상 국립공원인 금오도 비렁길이 근거리에 위치하여, 남해안 농어촌에서 고품격 바다여행의 낭만도 함께 누릴 수 있는 곳이다. 휴양림 내 편백 숲 체험은 숲에 있는 다양한 환경요소를 활용하여 바쁜 삶에 지친 신체의 면역력을 높이고 신체적, 정신적 건강을 회복시키는 활동이다. 편백 향을 맡으며 산림욕도 즐기고, 숲길 맨발 산책 등 다양한 체험활동도 하면서, 자연과 친해지는 시간도 가져 볼 수 있다. 봉황산자연휴양림은 산책과 더불어 남해안의 아름다운 자연 풍광을 벗 삼아 심신의 휴식과 치유를 위한 건강증진의 장소로 으뜸이다."
전라남도 여수시 월내동 1089-9,,38,0.0,A01,A0101,A01011400,2784342,12,20211201192906,http://tong.visitkorea.or.kr/cms/resource/42/2797842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2797842_image2_1.jpg,127.7208053766,34.8584266517,6.0,20211215051203,0,13,,월내선착장,,"월내 선착장은 여수시 월내동에 위치한 선착장으로 갯장어, 붕장어, 농어, 도다리, 감성돔 등을 주로 잡는 어부들의 배가 주로 드나든다. 낚시꾼들이 갑오징어, 감성돔, 주꾸미 등을 잡기 위해 방문하기도 한다. 묘도대교와 대교 중간에 위치한 목도라는 이름의 작은 섬이 있는 풍경이 아름답다. 묘도대교는 목도를 징검다리 삼아 다리를 세우고, 여수시 월내동 국가산업단지와 여수시의 묘도를 이어주는 역할을 톡톡히 수행한다. 묘도는 섬 모양이 고양이처럼 생겼다고 해서 그 이름이 붙었다."
전라남도 여수시 중앙동 385-6,,38,0.0,A01,A0101,A01011400,2783150,12,20211130012645,http://tong.visitkorea.or.kr/cms/resource/62/2790262_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2790262_image2_1.jpg,127.7361904089,34.7389264222,6.0,20220705165316,4,13,,여수구항,,"여수는 한국 제2의 수산항으로 많은 섬이 천연 방파제를 이루고 있으며 수심이 깊고 항만이 넓어 훌륭한 자연조건을 갖춘 곳이다. 한려수도와 뱃길로 이어지며, 오동도를 비롯해 돌산도·금오도·남해도 등에 연결되는 관광 항구이기도 하다. 여수항은 자산공원을 중심으로, 북쪽 수정동 일대에는 북항이라고 하는 신항이 있고 남서쪽 교동과 중앙동 일대에는 남항이라고 하는 구항이 있다. 여수 구항에 있는 여객선 터미널은 9개 선사에서 17척의 여객선을 운항한다. 또한, 수산물의 집산 및 유통의 중심지라 다양한 수산물을 즐길 수 있다. 연안여객선 터미널 앞에는 여수수산시장과 여수수산물특화시장이 있어 싱싱한 바다먹거리를 맛볼 수 있다."
전라남도 여수시 어항단지로 116,(국동),38,0.0,A01,A0101,A01011400,2783148,12,20211130012432,http://tong.visitkorea.or.kr/cms/resource/71/2787571_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2787571_image2_1.jpg,127.7213781344,34.7263609059,6.0,20221103092818,1,13,,국동항,59765,"국동항은 국동에 있는 어항으로 여러 섬들이 파도와 바람을 막아줌으로써 천혜의 어항 조건을 갖추고 있다. 이곳은 선박의 접안과 수산물 위판 등은 물론 대표적인 여수의 해산물 집산지이며 지역발전의 핵심적인 역할을 하고 있다. 1979년 1월 국가어항으로 지정되었다.  또한 어항 주변에 수산물 가공공장과 선박 수리업체 등이 밀집해 있으며, 제빙, 냉동, 냉장시설 등이 있어 복합적인 어항의 면모를 갖추고 있어 2013년 1월 다기능 어항으로 거듭났다. 국동항 인근 봉산동에는 국동항 수변공원이 있는데 조용하고 한적해 여수 시민들이 즐겨 찾는 곳 중 하나다. 야자나무와 푸르른 잔디, 잠시 앉아 쉬어 갈 수 있는 의자도 많이 있어 산책하기에 좋다. 공원의 끝엔 넓고 푸른 바다가 있어 시원한 바람을 맞으며 여수 바다를 즐길 수 있으며 바닷가엔 여수시에서 허가를 받은 푸드트럭들이 있어 잠시 허기를 달랠 수도 있다."
전라남도 여수시 박람회길 1,(덕충동),38,0.0,A02,A0205,A02050300,2783060,12,20211130003920,http://tong.visitkorea.or.kr/cms/resource/92/2787592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2787592_image2_1.jpg,127.7465197232,34.7522251119,,20221103110714,1,13,,BIG-O쇼 (빅오쇼),59723,"2012 여수세계박람회에서 최고로 인기를 끌었던 빅오쇼는 47m 높이의 원형 조형물 디오(TheO)와 10m 간격 3열(각 120m)로 설치된 해상분수, 빔프로젝터 14대와 레이저 4대가 하나로 결합해 선보이는 최첨단 특수효과 쇼로, 여수밤바다를 배경으로 환상적인 광경을 연출한다. 디오의 크기를 면적으로 계산하면 약 660㎡로, 세계에서 가장 큰 CGV 영등포 스타리움 스크린의 1.5배가 넘는다. 물과 불, 빛과 레이저, 영상과 음악, 디오와 해상분수를 활용한 바다 이야기를 3차원 입체 영상으로 보노라면 마치 꿈을 꾸는 듯한 몽환의 세계에 빠져들고 만다. 해가 진 후 수면 위에서 펼쳐지는 지상 최대 해상분수쇼 빅오(BigO)쇼 는 여수 야경을 제대로 느낄 수 있다."
