addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 영광군 백제문화로 67,,38,,A02,A0202,A02020700,2825937,12,20220701132404,http://tong.visitkorea.or.kr/cms/resource/80/2825880_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2825880_image3_1.jpg,126.4355366128,35.3648087939,6,20220701151603,0,16,,숲쟁이꽃동산,57009,"숲쟁이공원을 지나 백제불교최초도래지로 가는 길에 자리잡은 꽃동산으로 푸른 나무 숲과 형형색색의 꽃들이 조화를 이룬 산책로를 걸으면서 법성포의 아름다운 풍경을 볼 수 있다. 특히, 매년 봄이 되면 알록달록 피어난 푸릇푸릇한 나무들과 장관을 이루며 2022년에는 금계국 군락지를 새롭게 조성하여 6월이면 온 들판을 노랗게 물들인다. 시원한 바람을 맞으며 법성포 전경을 볼 수 있는 정자도 설치되어 있어 가족과 함께 방문할 수 있는 힐링 여행지로 추천한다."
전라남도 영광군 법성면 진내리,28-1,38,,A02,A0202,A02020700,2825936,12,20220701132047,http://tong.visitkorea.or.kr/cms/resource/78/2825878_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2825878_image3_1.jpg,126.4399112429,35.3640395093,6,20220701132059,0,16,,숲쟁이공원,57009,"조선 중종때 축조된 법성진성의 연장으로 심은 느티나무 등이 300년 이상 성장하여 성주변으로 울창하게 이루어진 숲으로 아름다운 꽃이 만발한 숲쟁이꽃동산을 거쳐 백제불교최초도래지와 연결된다. 국가지정 명승 '한국의 아름다운 숲'으로 선정되었으며, 매년 국가무형문화재 법성포단오제가 이곳에서 열려왔다. 숲쟁이 공원을 걷다가 하늘을 올려다보면 푸른 하늘과 느티나무 잎 사이로 들어오는 따사로운 햇살에 눈이 부시다. 살랑살랑 불어오는 봄바람에 느티나무잎이 사각사각 소리를 내며 이따금 노래하는 새들의 소리가 정겹다."
전라남도 영광군 영광읍 현암길 43,,38,0.0,A04,A0401,A04010700,2775333,12,20211117192837,,,126.5094683447,35.2764339291,6,20211117192837,0,16,,GB포유공방,57044,"GB포유공방은 전라남도 영광군 영광읍에 위치한 비누공방, 캔들 공예, 화장품을 제작하는 공방 주민사업체이다. 청년주민사업체로서 다양한 캔들 제품을 제작, 판매하고 원데이 클래스를 운영하는 등 다양한 활동을 하고 있다. 영광군의 로컬 스토리가 유니크한 디자인 공방 제품을 직접 제작  구매할 수 있는 공간이다. 이 외에도 난이도 별 클래스 운영, 영광군 관광 기념품, 굿즈 제품 생산을 준비하고 있다."
전라남도 영광군 영광읍 중앙로 121-2,,38,0.0,A02,A0203,A02030600,2775331,12,20211117192359,,,0.0,0.0,6,20211117192359,0,16,,놀아본(BORN),57045,"놀아본(BORN)은 영광 지역 내 소상공인(플로리스트, 비건디저트 카페 등)이 함께 관광 활성화를 위한 프리마켓 기획 및 프크닉세트 렌탈 사업을 진행 예정인 주민사업체이다. 현재 청년 주민사업체로서 자유로움 자연스러움 익숙한것에서 찾는 새로움을 추구하고 있다.관광두레 주민사업체로서 영광군 관광 활성화에 큰 영향을 미칠 것으로 기대하고 있다."
전라남도 영광군 대마면 원당길1길 8,,38,0.0,A02,A0203,A02030600,2775323,12,20211117190721,,,0.0,0.0,6,20211117190721,0,16,,서로마을,57055,"서로마을은 청년주민사업체로서 가장 젊은 마을 만들기 라는 미션을 가진 공동체이다. 영광군 대마면에 위치해있으며, 폐교를 리모델링한 장소에 트리하우스, 생태체험, 잔디밭 등이 구성되어있다. 현재는 관광두레 사업을 통한 관광체험상품을 개발하여 농가체험, 숙박, 생태체험 활성화, 전기카트장 등을 목표로 사업을 영위하고 있다."
전라남도 영광군 백수읍 대신길2길 11-3,,38,0.0,A02,A0203,A02030100,2775315,12,20211117190434,,,0.0,0.0,6,20211117190434,0,16,,다락해영어조합법인,57025,"영광군 백수읍에 위치한 다락해영어조합법인은 백수읍 대신항 주변 관광상품을 개발하며, 영광군 9경에 해당하는 영광백수해안도로를 인접한 사업장 주소지로서 다양한 해양관광 활성화를 위한 프로그램을 기획한다. 특히 국내 관광, 로컬 관광과 해양 치유관광에 대한 관심이 증가하고 있어 미래가 기대된다. 고객들에게 해양 치유, 해양관광에 대한 플랫폼을 제공하여 영광군 관광 활성화와 해양관광에 대한 대중성 증가를 토대로 지역 소상공인의 소득증대를 위한 역할을 원하는 다락해영어조합법인의 관광상품 개발을 기대해 본다."
전라남도 영광군 영광읍 현암길 43,,38,0.0,A02,A0203,A02030600,2775304,12,20211117185752,,,0.0,0.0,6,20211117190147,0,16,,아올,57044,"아올은 목공예 작가, 한지공예가, 청년 작가 등이 함께 목공을 활용한 관광기념품을 개발하여 판매하기 위한 주민사업체로 전남 영광읍 내 청꿈공방 공방거리에 있다. 젊은 인재들의 집합인 청년 주민사업체로서 목공예품에 디자인 요소를 접목시켜 다양한 상품을 개발한다. 광읍 청꿈공방 공방거리는 목공방뿐만 아니라 세라믹 공방, 캔들 공방, 금속 공방 등 다양한 분야의 공방들을 만날 수 있다."
전라남도 영광군 자비길 225,,38,0.0,A02,A0210,A02100700,2775019,12,20211117024241,,,126.5346294053,35.1881971138,6,20220811144452,0,16,,불갑다향,57058,"전남 영광군에 위치한 불갑다향은 관광두레를 통해 농촌교육, 예절교육, 다도체험 등을 개발하고 있다. 불갑다향을 이끄는 리더 강현식 대표는 군산대학교에서 산업도예를 전공했고,  국가 중요무형문화재 105호 백산 김정옥 선생의 전수자이다. 현재까지 영광군 불갑면에서 도예가로 활동하였다. 불갑면에 위치한 불갑다향 사업장 주위에는 불갑사, 권역사업 상사화피는마을, 불갑수변공원 등의 영광군 대표 관광지가 있다."
전라남도 영광군 백수읍 백수로7길 14,,38,0.0,A02,A0203,A02030600,2775018,12,20211117023705,,,0.0,0.0,6,20211117190116,0,16,,모시나라,57029,"영광군 백수읍에 위치한 모시나라는 영광군 특산품인 모싯잎송편의 원재료인 모시를 활용한 다양한 상품을 개발하는 주민사업체이다. 지역브랜드 모싯잎을 활용하는 만큼 향후 방향성이 기대된다. 모시세제, 모시샴푸, 모시를 활용한 식음료 상품개발을 주된 방향성으로 확립하였으며, 특히 마을 내 고택시설, 모싯잎떡 판매장을 활용한 판로를 구축하고 있다. 이외에도 기존의 체험프로그램과 모시를 활용한 체험프로그램을 연계한 상품의 출현을 기대해본다."
전라남도 영광군 영광읍 영대로 648,,38,0.0,A02,A0203,A02030600,2775017,12,20211117021457,,,0.0,0.0,6,20211117190022,0,16,,주식회사 하늘,57022,"주식회사 하늘은 전국 최초로 토판염보리굴비 특허를 보유하고 있는 기업이다. 토판염보리굴비는 야외 덕장에서 말리지 않고 실내 건조와 토판염을 활용한 염좌를 활용하여 굴비의 맛이 일정하고 담백하다. 특히 관광두레 사업을 통해 추후 영광굴비 브랜드를 전국에 널리 알리고 직접 개발한 건조기술, 염좌 기술을 활용한 토판염보리굴비를 판매, 체험 프로그램을 개발 중에 있다. 명절마다 바쁜 일상을 보내고 있다는 하늘굴비의 추후 성장을 기대해 본다."
전라남도 영광군 염산면 향화로5길 21-22,,38,0.0,A01,A0101,A01011400,2751333,12,20210929232833,,,126.3735709017,35.2115084707,6,20211118235844,0,16,,설도항,57066,"설도항은 전남 영광군 염산면에 위치한 작은 항구로, 염산면이라는 이름에서 유추할 수 있든 소금이 많이 생산되는 곳이다. 이런 이유로 염산면은 소금과 더불어 천일염으로 만든 젓갈도 유명해, 설도항에 위치한 설도젓갈타운이 큰 규모로 운영 중이다. 또한 바닷가로는 수산물 판매센터도 있어 영광 앞바다에서 잡힌 신선한 해산물을 구매하고 맛보려는 관광객으로 붐비는 항구이다. 계절별로 잡히는 다양한 활어와 꽃게, 낙지, 왕새우 등을 저렴하게 구매해 맛볼 수 있도록 벤치도 마련되어 있다. 설도항의 수산물과 젓갈이 신선하고 저렴해 특히 단골 손님과 관광객이 많이 찾는 곳이다."
전라남도 영광군 백수읍 해안로 565-17,,38,0.0,A02,A0205,A02050600,2751332,12,20210929232601,,,126.3788010046,35.3238708267,6,20211118235225,0,16,,백암해안전망대,57025,"백암해안전망대는 영광에서 노을을 감상하기 가장 좋은 곳 중 하나이다. 이 전망대는 영광 9경 중 하나인 백수해안도로의 중간에 자리 잡고 있어 주변 관광지와 연계해 드라이브를 즐기다 들르기 좋다. 구불구불한 해안도로를 따라가면서 비슷한 눈높이에서 바다를 봤다면, 높은 지대에 위치해 파노라마로 펼쳐진 풍경을 선사하는 이곳을 찾아보자. 바다와 해안선의 아름다운 풍경이 색다르게 보일 것이다. 가까이 보이는 작은 섬과 멀리 보이는 풍력발전기 단지가 시원하면서도 이국적인 풍경을 더한다."
