addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 영암군 구림로 50-1,,38,,A02,A0203,A02030200,2932871,12,20221214150940,http://tong.visitkorea.or.kr/cms/resource/52/2932852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2932852_image3_1.jpg,126.6270150037,34.7619967236,6,20221214151307,1,17,,한복입고 유유자적,58434,"한복입고 유유자적은 전통한복을 전공한 고영박사님이 고향인 구림한옥마을로 귀향하여, 
전통문화의 아름다움을 소중하게 생각하는 지인들과 함께, 다음과 같은 체험과 프로그램이 있다. 
영암의 고택인 삼성당에서 한복공유공간에서 즐기는 다도의 즐거움과 깊은맛, 우리 한복의 멋을 즐길수 있는 전통바느질체험, 한복입기 체험은 2200년의 역사와 아름다움이 가득한 구림마을의 이야기와 함께 잊을 수 없는 행복한 추억을 선물한다. 

1. 한복공유공간 : 한복입고 즐기는 카페, 교육 · 체험프로그램 운영 등
2. 한옥스테이 치유 바느질 : 아이 한복(손주, 첫아이 선물), 혼례복, 수의 등
3. 교육 · 체험(1day class) : 한복입고 차마시기, 전통바느질(조각보, 보자기 등) 등
4. 한옥스테이 스몰웨딩(전통혼례), 돌잔치 : 혼례, 리마인드 웨딩, 재혼식, 돌잔치 등
(한복문화를 통한 행복한 가족모임)
5. 한복입고 유유자적 : 토크콘서트, 성인식, 구림마을 투어 등
6. 제작 : 체험한복, 재현한복, 특수한복 등"
전라남도 영암군 기찬랜드로 41,,38,,A02,A0203,A02030400,2932828,12,20221214135402,http://tong.visitkorea.or.kr/cms/resource/24/2932824_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2932824_image3_1.jpg,126.6849592028,34.790475035,6,20221214135622,1,17,,우리술과힐링,58420,"영암 우리술과 힐링은, 술익는 마을 영암을 찾아 떠나는 치유여행을 제공한다. 
영암의 특산물인 고구마를 활용한 빛깔도 고운 전통주 보라와 함께 남도미식의 세계로 초대하는 주안상과 며칠이라도 아름다운 월출산과 둘레길인 기찬묏길이 펼쳐진 수려한 자연속에서 몸과 마음이 쉬어가는 한옥체험도 가능하다. 전통주 만들기 체험, 전통주와 페어링 안주만들기, 전통주 소믈리에 프로그램으로 아름다운 영암에서의 특별한 추억을 만들어볼 수 있다."
전라남도 영암군 왕인로 710-25,,38,,A02,A0203,A02030400,2932810,12,20221214133853,http://tong.visitkorea.or.kr/cms/resource/01/2932801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2932801_image3_1.jpg,126.6472434502,34.7754233257,6,20221214133934,0,17,,예담은 규방문화원,58434,"예담은 규방문화원은 전통천연염색 체험과 천연염색 전문가 양성 교육, 천연염색 판촉물을 생산과 판매하는 곳이다. 천연염색을 활용한 영암의 전통과 상징을 대표할 이미지로 굿즈 제작과 천연 염색 제품을 만들고 난 자투리 천을 활용한 미니 굿즈를 제작 및 판매하고 있다. 
체험프로그램은 섬유아트, 블루아트, 규방공예 및 생활용품 만들기 등 다양한 체험프로그램이 있다. 스카프와 티셔츠, 키링, 애착인형 등을 만들어 보는 체험이 있으며, 천연염색 전문가 양성 프로그램 및 천연염색 자격증과 창업 프로그램도 준비되어 있다."
전라남도 영암군 왕인로 710-30,,38,,A02,A0203,A0203,2891349,12,20221031101240,http://tong.visitkorea.or.kr/cms/resource/42/2876342_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2876342_image3_1.jpg,126.6467879439,34.7750122529,6,20221107101947,0,17,,미술관아래협동조합,58434,None
전라남도 영암군 군서면 도갑사로 306,,38,0.0,A01,A0101,A01010100,2759617,12,20211020190928,http://tong.visitkorea.or.kr/cms/resource/29/2759829_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2759829_image2_1.JPG,126.6747581245,34.7575896758,6,20221115154552,2,17,,월출산국립공원천황사지구,58434,"월출산은 달 뜨는 산이라는 이름에 걸맞게 아름다운 자연경관과 문화자원, 그리고 남도의 향토적 정서가 골고루 조화를 이루는 한반도 최남단의 산악형 국립공원이다. 적은 면적에 (56.220㎢)에 암석과 경사가 급한 계곡이 많지만 식물 약 700종, 동물 약 800종이 서식하고 있다. 오랜 세월 암석으로 된 지형에 적응해 온 생태의 독특성과 난대림과 온대림이 혼생하는 위치 여건으로 그 보전 중요성은 매우 크다고 할 수 있다.
등산로를 따라 올라가다 보면 천황사 야외 조각공원과 야영장이 있다. 월출산 천황계곡의 시원한 물소리는 하산하는 등산객들에게 시각적, 청각적으로 많은 위안을 준다."
전라남도 영암군 영암읍 기찬랜드로 19-10,,38,0.0,A02,A0203,A02030400,2657848,12,20200601224931,http://tong.visitkorea.or.kr/cms/resource/44/2639044_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2639044_image3_1.jpg,126.6853535853,34.791588805,6,20221212104040,0,17,,한국트로트가요센터,58420,"월출산기찬랜드에 문을 연 한국트로트가요센터는 1930년대부터 2000년대까지의 한국트로트의 흐름을 한눈에 볼 수 있다. 1층에는 트로트역사관, 명예의 전당, 2층에는 하춘화 전시관이 있다. 하춘화의 아버지 하종오 씨는 딸이 데뷔한 1961년부터 50년 남짓 트로트 관련 자료와 음반 등을 기증하며 한국트로트가요센터를 건립하는 토대를 마련했다."
전라남도 영암군 군서면 구림로 43-14,,38,0.0,A02,A0203,A02030100,1996248,12,20150410002140,,,126.627609425,34.7607829808,6,20211013022612,3348,17,,영암 왕인촌마을 [농촌체험휴양마을],58434,"백제시대 왕인박사, 신라말 도선국사, 고려초 최지몽 선생등 역사 속 인물을 배출한 마을로500년 전통의 대동계가 현존하고 있다. 마을 내에는 유형문화자원인 회사정, 국암사, 담숙제 등 12개의 누정과 전통가옥, 돌담, 고목 등이 잘 보전되어 있어 전통의 아름다움을 느끼기에 좋은 곳이다. 마을의 안녕을 위해 매년 올리는 당산제와 구림 대동계 등 민속문화가 전승되고 있으며, 왕인촌마을의 영암도기문화센터에서는 1200년의 역사를 지닌 영암도기를 재현하고 있다."
전라남도 영암군 군서면 죽정서원길 19,,38,0.0,A02,A0201,A02010700,1957478,12,20141018013404,,,126.623140313,34.7633215107,6,20220826141724,3332,17,,죽정서원,58434,"1683년 박권(朴權, 14651506년)과 박규정(朴奎精, 14931580년), 1726년에 이만성(李晩成, 16591722년)이 추가 배향되었다. 이후 1868년 흥선대원군의 서원철폐령으로 훼철되었다가 1961년 지방유림들에 의하여 복설되면서 박승원(朴承源, 15731640년)을 추가 배향하여 총 5위를 제향하고 있다. 서원 경내에는 정면 3칸 측면 1칸  맞배지붕의 사우, 내삼문인 소원문, 강당인 강례당, 간죽정, 화수정, 조양재영당, 조양재영당사적비, 죽정서원 중건사적비, 외삼문, 간죽정 연혁비, 고직사 등이 들어서 있다.
박성건은 호가 오한 (五恨)이고 나주에서 태어났다. 이후 성종 때 문과에 급제하여 춘추관 기주관, 장수현감 등 여러 벼슬을 역임하며 선정을 베풀었다. 말년에는 벼슬을 내놓고 영암군 구림에 내려와 간죽정(間竹亭)을 짓고 후손의 교육과 향촌의 교화에 힘썼다. 국문학사상 중요한 자료가 되는 경기체가 금성별곡(錦城別曲)을 지었다."
전라남도 영암군 영암읍 교동로 73,,38,0.0,A02,A0201,A02010700,1957360,12,20141017195422,,,126.6937082673,34.7971966462,6,20220721132356,3276,17,,녹동서원,58414,"녹동서원은 존양사(存養祠)라는 이름으로 1630년(인조 8) 창건된 뒤 녹동(鹿洞)이라는 사액을 받았다. 이 서원에는 최덕지(崔德之:1384∼1455), 최충성(崔忠成:1458∼1491), 김수항(金壽恒:1629∼1689), 김창협(金昌協:1651∼1708) 등을 배향하고 있다. 녹동서원에는 많은 고문서류와 목판 등이 보존되어 있다. 이곳에 소장되어 있는 목판은 봉안 인물의 문집인 《연촌유사 26판, 《문곡집 560판, 《산당집 60판 등과 인근 지역 인물인 임억령의 《석천집(石川集), 강항의 《강감회요(綱鑑會要) 등이 보존되어 있었다. 그러나 현재 지정된 목판은 《연촌유사 26판, 《문곡집 560판, 《산당집 54판 등 총 642판에 이른다. 이 목판은 영암군 영암읍 교동리 녹동서원에 보관되어 있었으나 1868년 서원 훼철 이후 현재 보관장소인 덕진면 영보리에 있는 합경당의 목판각에 보존되어 있다. "
전라남도 영암군 삼호읍 대불로 93,,38,0.0,A02,A0204,A02041000,1853265,12,20131024200837,,,126.3857063141,34.7380843358,6,20220421132215,8569,17,,현대삼호중공업,58462,현대삼호중공업은 삼호읍 일대 330만㎡ 부지에서 세계 4위 규모의 선박 생산능력을 갖춘 조선해양 선도 기업이다. 단체를 대상으로 생산 공정 견학 프로그램을 운영 중이다.
