addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 완도군 약산면 장용리,,38,,A01,A0101,A01011300,2824813,12,20220620162912,,,126.9056134944,34.3865351126,6,20220623133232,0,18,,약산도(조약도),59135,"완도의 동북쪽에 위치한 섬으로, 삼지구엽초와 흑염소 등 몸에 좋은 보양음식들이 이곳의 특산물이다.
옆에있는 고금도와 연결되는 약산대교가 생긴뒤 고금도에서 가교리로 연결되는 고금대교가 생기면서 뭍으로 이동할수있는 육로가 연결되었다.
약산도에는 진달래공원과 트래킹코스로 유명한 삼문산, 조약돌해변, 가사동백숲해변 등의 관광명소가 있으며 , 위에 언급되었던 육로 외 
조약도 동쪽으로 당목항에서는 평일도와 생일도를 오가는 배편을 이용하여 약산도와 평일도 , 생일도까지 오가는 완도 관광객의 수요가 늘고있다."
전라남도 완도군 구계등길 47-1,,38,0.0,A01,A0101,A01011200,2795092,12,20211214183513,http://tong.visitkorea.or.kr/cms/resource/85/2797885_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2797885_image2_1.JPG,126.7092411439,34.2983945076,6,20220621165132,0,18,,정도리해변,59110,"흔히 구계등으로 알려진 완도군 완도읍 정도리의 해변이다. 구계등은 우리말 그대로 옮기면 「9개의 계단을 이룬 비탈」이란 뜻이다. 파도에 씻겨서 아홉 계단 모양으로 쌓인 다양한 크기의 돌들로 유명하다. 달걀만 한 것에서 수박만 한 것까지 크기도 제각각이다. 예전에는 해수욕장으로도 이용되었지만 현재 국립공원에서 자연공원으로 관리하고 있어 탐방로만 출입이 가능하다. 해변의 길이는 800m, 폭 200m(방풍 숲 포함)이며, 뒤쪽에는 40여 종의 상록수와 단풍나무가 어우러진 넓은 숲이 있다. 참나무, 떡갈나무 등 40여 종의 상록수와 단풍숲이 주위에 우거져있어 울창한 숲 속에 잠시 몸을 맡기고 더위에 지친 몸을 달래기에 안성맞춤이다. 새롭게 정비된 해안길과 숲길이 있는데 해안길 500여 미터 숲길 500여 미터에 이른다."
전라남도 완도군 완도읍 대야일구1길 115,,38,0.0,A01,A0101,A01010600,2795081,12,20211214183307,http://tong.visitkorea.or.kr/cms/resource/70/2797870_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2797870_image2_1.JPG,126.7024237803,34.3527049894,6,20221117111615,0,18,,전라남도완도자연휴양림,59104,"전라남도에서 운영하는 난대림 속 산림휴양공간으로 휴식과 치유를 위해 이곳을 찾는 사람들이 많다. 섬, 바다, 난대숲이 어우러지는 천혜의 자연조건을 갖추고 있어 휴양하기에 적합하다. 숙소로 이용하는 숲속의집은 10동이 마련되어 있다. 아침에는 새소리가 가장 먼저 반기며 테라스에서는 다도해를 바라보는 뷰가 일품으로 일출을 감상하기 좋다. 다른 휴양림에 비해 객실 수가 적어서 조용하고 한적하다. 숲속의집 뒤로는 숲속 산책로가 조성되어 있어 휴양림 주변만을 가볍게 걷기 좋고, 상왕산까지 이어진 등산로를 따라 정상까지 다녀올 수도 있다. 정상까지 왕복 1시간 정도 소요된다."
전라남도 완도군 완도읍 장보고대로 341,,38,0.0,A01,A0101,A01011400,2784657,12,20211201221933,http://tong.visitkorea.or.kr/cms/resource/33/2797833_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2797833_image2_1.jpg,126.7618416664,34.3162017143,6,20211215050404,2,18,,완도항,59126,"전라남도에서 해상 교통의 중요한 위치에 있는 완도항은 등대 입구까지 차량 진입이 가능하다. 방파제에서 낚시도 할 수 있다. 갯바위 위로 데크를 이용해 조성한 계단을 올라가면 완도타워로 등산로가 연결된다. 완도타워를 오르면서 완도항과 완도 시내 광경을 볼 수 있다. 완도항은 여객선 터미널과 화물부두, 해양경찰 부두와 함께 맨 끝자락 레저용으로 이용되는 소형 선박들이 정박하는 부두가 있다. 총 3개의 등대가 설치된 완도항의 등대가 레저용 선박이 정박하는 부두 방파제에 설치되어 있다. 항만법상 1종 항으로 100여 척의 레저용 선박이 정박한 아름다운 풍경과 멀리 바다 풍경, 빨간등대, 하얀등대 등 볼거리가 풍부하다."
전라남도 완도군 노화읍 노화서로 563-49,,38,0.0,A01,A0101,A01011400,2778466,12,20211124193147,http://tong.visitkorea.or.kr/cms/resource/22/2797122_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2797122_image2_1.jpg,126.5760961783,34.2266475728,6,20221122105319,0,18,,산양진항,59154,"전복의 고장으로 유명한 노화도의 최북단에 위치한 산양진항은 횡간도, 흑일도, 땅끝마을을 오가는 페리호가 운항하는 곳이다. 2005년 1월 준공한 산양진항은 물량장, 접안장, 주차장, 대합실, 등대형 홍보탑 등을 갖추고 있다. 2008년 1월 노화도와 보길도 간의 보길대교가 개통됨에 따라 고산 윤선도 유적지가 있는 보길도 관광의 주요 항로가 되었다. 주요 배편인 땅끝(해남)  산양진(완도 노화) 항로는 ㈜해광운수와 노화농협 소속 여객선 7척이 매일 편도 62회, 연간 약 2만 회를 운항하여 50만 명의 이용객과 23만 대의 차량을 수송하는 항구다."
전라남도 완도군 약산면 당목길 135,,38,0.0,A01,A0101,A01011400,2752794,12,20211005194334,http://tong.visitkorea.or.kr/cms/resource/46/2752646_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2752646_image2_1.JPG,126.9466739884,34.3782033922,6,20221116175414,5,18,,당목항,59136,"완도군 약산면에 위치한 당목항은 금일도와 생일도를 연결하는 여객선이 운항하는 곳이다. 바다 위를 떠다니는 배들이 연출하는 풍경이 아름답기로 유명하다. 과거에는 열악한 기반 시설 등으로 어업활동이나 관광에 애로사항이 있었다. 하지만 2021년 9월 국가 어항으로 지정되면서 남해권 수산 거점이자 금일도와 평일도를 잇는 해상 교통·관광 거점 어항으로 개발되어 어항 현대화가 이뤄질 전망이다. 당목항 주변에서 전복, 멸치, 미역, 다시마 등 양식업이 활발하고, 수산자원이 풍부한 청정해역을 끼고 있어 수산물 유통의 거점이 될 것으로 보인다."
전라남도 완도군 완도읍 화흥포길 242,,38,0.0,A01,A0101,A01011400,2752740,12,20211005192247,http://tong.visitkorea.or.kr/cms/resource/79/2752679_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2752679_image2_1.JPG,126.6794047025,34.3054460078,6,20211005192247,0,18,,화흥포항,59110,"화흥포항은 오래전 해도(海圖) 상에 '천지두'라고 명기되어 있었는데, 2001년 11월 연안항으로 지정되면서 화흥포항으로 불리게 되었다. 무역항으로 포화상태인 완도항의 기능을 분담하고 제주도 및 인근 도서 지역의 해상물류, 교통, 관광 요지의 역할 및 기능을 수행할 수 있도록 하기 위해서였다. 화흥포항에서는 항일운동의 3대 성지인 '소안도'와 완도의 전복 80가 생산되는 '노화도', 고산 윤선도의 세연정이 있는 '보길도', 3개의 섬으로 각각 '대한호', '민국호', '만세호'를 타고 갈 수 있다. 소안농협 운항 시간 안내 밴드도 운영하고 있어, 선박 운항 여부와 시간, 정보 등을 미리 확인할 수 있다."
전라남도 완도군 고금면 신장길 31-8,,38,0.0,A01,A0101,A01011300,2752416,12,20211001194427,http://tong.visitkorea.or.kr/cms/resource/36/2752436_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/2752436_image2_1.JPG,126.8246284492,34.4062510113,6,20211112221128,0,18,,고금도,59132,"고금도는 완도군에서 두 번째로 큰 섬이다. 2007년 강진군과 고금도를 잇는 고금대교의 개통으로, 배로 40분인 거리를 자동차로 5분 만에 다닐 수 있게 되면서 주민들의 삶의 질도 크게 향상되었다. 2017년 장보고대교가 건설되면서 뛰어난 관광자원을 잘 활용한 축제나 행사 등을 활발하게 진행할 수 있게 되었다. 청동기시대를 대표하는 무덤 유적인 완도 고금도 지석묘군(전라남도 기념물)이 있는 고인돌 공원, 목조 관음보살 좌상(전라남도 유형문화재)이 있는 수향사, 우수영전진도첩도(전라남도 문화재자료), 고금도와 붙어있는 완도 묘당도 이충무공 유적(사적) 등 뛰어난 문화재들이 많다. 해산물이 유명할 뿐만 아니라 따뜻한 해양성 기후와 해풍, 풍부한 일조량을 받고 자라 향기와 빛깔이 좋고 맛도 뛰어난 고금의 대표 특산물인 유자 등 먹거리도 풍부하다."
전라남도 완도군 신지면 신지로 1259-1,,38,0.0,A01,A0101,A01011200,2723525,12,20210625231415,http://tong.visitkorea.or.kr/cms/resource/19/2723519_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2723519_image2_1.jpg,126.8799032227,34.3297826984,6,20220621165402,0,18,,동고리해수욕장,59148,"완도의 대부분 마을들은 바닷가를 끼고 있어 방풍림이 조성되어 있는데 동고리해수욕장 역시 수백년된 해송 300여그루가 마을 앞에 방풍림으로 아름다운 자태를 뽐내는 곳이다.
명사십리해수욕장의 명성에 가려 별로 알려지지 않았지만 조용함을 찾는 관광객은 이곳을 많이 찾는다. 해수욕장 앞 진섬(長島)이나 구멍섬(穴島)은 낚시터로 널리 알려져 있다."
전라남도 완도군 청산면,,38,0.0,A02,A0203,A02030600,2714563,12,20210427022526,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2026123_image3_1.jpg,126.8621029923,34.1722722127,6,20221018160207,0,18,,서편제 촬영지,59150,청산도항에서 당리 언덕길을 오르면 영화 '서편제' 촬영지를 만날 수 있다. 영화 서편제는 우리나라 최초로 100만 관객을 돌파한 영화로 남도 이곳저곳에서 촬영 되었지만 이곳이 유독 유명한 이유는 유봉일가가 당리의 황토길을 내려오며 진도아리랑을 부르는 장면이 가장 아름다운 명장면으로 손꼽히기 때문이다. 황토길 옆에는 송화가 소리공부를 하던 초가가 복원 되어 있다. 영화에서는 당리마을의 초가집을 사용 했으나 현재는 관광객들을 위해 이곳에 복원 하였다.
