addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 장성군 북일면 오산리,290-1,38,,A02,A0203,A02030600,2820999,12,20220520162543,http://tong.visitkorea.or.kr/cms/resource/67/2820967_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2820967_image2_1.jpg,126.7988120521,35.3897398403,6,20220620141245,0,19,,토토마마,57230.0,"전라남도 장성군 북일면에 위치한 토토마마는 여성농업인이자 청년 농업인으로 장성에 귀농하여 대추 방울토마토 농장을 운영하고 있다. 사람들이 평소에도 맛 좋은 토마토를 즐겨 찾고 건강하고 행복한 삶을 살 수 있기를 바라는 마음에 토마토를 활용한 다양한 체험활동도 진행한다. 토토마마를 찾는 아이들에게는 재미와 즐거움, 추억을 선사하고 함께하는 부모들에게는 쉼이 있는 공간이 되도록 노력하고 있다."
전라남도 장성군 역전로 105,2층,38,,A02,A0203,A02030600,2820820,12,20220520102105,http://tong.visitkorea.or.kr/cms/resource/91/2820791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2820791_image2_1.jpg,126.7805131111,35.3017383853,6,20220614172039,0,19,,위인더랜드,57220.0,"위인더랜드는 장성 지역 생산자들의 숨겨진 가치를 발굴하여 외부관광객은 물론 지역주민에게 소개하며 자체적으로는 지속적인 메뉴개발 및 상품개발을 통해 관광 앵커지를 지향한다. 첫 시도로 수제햄을 기반으로 하는 샌드위치 개발을 진행 중이며, 지역 식재료를 적극 활용할 예정이다. 
방문객들은 위인더랜드의 공간 방문으로 트랜디하면서도 전통을 담은 아이템들을 접하게 되고 장성 관광의 로드맵을 그릴 수 있는 정보를 얻게 된다. 주기적으로 열리게 되는 수제햄 체험공방은 어린이들 체험 프로그램의 한 소스가 될 전망이다."
전라남도 장성군 남창로 351,,38,,A02,A0203,A02030600,2820794,12,20220520093754,http://tong.visitkorea.or.kr/cms/resource/85/2820785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2820785_image2_1.jpg,126.8433731091,35.4551665134,6,20220614171951,0,19,,별내리마을,57204.0,"주식회사 별내리마을은 주민 공동체에서 출발하여 10여년의 체험 휴양마을 운영의 노하우를 바탕으로 지역 청년 중심의 경영체제로 전환하면서 결성되었다. 기존 천문체험, 도예체험, 숲체험 등 다양한 경험이 있으며 주식회사 설립을 통해 농촌에서 만드는 나만의 수제맥주 컨셉으로 양조전문가를 양성하고 새롭게 체험장을 조성하게 되었다. 아울러 기존 숙박의 퀄리티를 높이고 양질의 서비스를 제공하고자 어메니티 고급화, 친절 교육 등을 수료하고 전문 경영컨설팅을 높여 자립하는 청년기업으로 성장하고 있다. 
1. 농촌수제맥주 체험 : 농촌체험마을에서 직접 제조하는 수제맥주로 8종의 수제맥주를 비롯해 개인취향 맥주 레시피 개발, 제조, 시음하는 체험 프로그램 
2. 산촌숙박 체험 : 내장산 국립공원에 있어 청정한 숲속에 있는 산촌마을이며 장성 8경 가운데 하나인 남창계곡에 위치해 치유와 놀이가 가능한 숙박 시설로 6인실, 4인실, 2인실로 구성되어 있음"
전라남도 장성군 장성읍 신흥로 138,,38,0.0,A02,A0202,A02020100,2778474,12,20211124193548,http://tong.visitkorea.or.kr/cms/resource/42/2800642_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/2800642_image2_1.JPG,126.8171084963,35.3562245018,6,20220705171432,0,19,,장성호수변공원,57209.0,"장성호는 농업용수와 홍수조절을 위해 건설된 인공 호수이다. 한국관광공사에서 대한민국 대표 걷는 길로 선정된 장성호수변공원은 사계절 내내 산책하며 걷기 좋아 많은 사람에게 사랑받고 있다. 봄에는 꽃나무가 피고, 여름에는 시원한 호수변을 거닐며 산책을 하고, 가을에는 단풍들의 향연, 겨울의 설경까지 어느 하나 빼놓을 수 없는 즐거움이 있다. 주차장에서 계단을 오르면 탁 트인 넓은 시야와 함께 웅장한 장성호의 전경이 펼쳐지고, 장성호의 아름다운 풍경에 넋을 잃고 걷다 보면 어느새 옐로우 출렁다리를 만나게 된다. 고요함이 은은하게 풍겨나는 장성호수에 아름다운 풍경이 수를 놓으면 한 폭의 수묵화를 보는 듯한 아름다움을 느낄 수 있어 어느 계절에 가도 후회가 없다."
전라남도 장성군 서삼면 모암리 569-5,,38,0.0,A01,A0101,A01010600,2752469,12,20211001200858,http://tong.visitkorea.or.kr/cms/resource/58/2752458_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2752458_image2_1.JPG,126.7563745485,35.3739797975,6,20221110153249,0,19,,축령산 휴양림,,"축령산 휴양림은 4060년생 편백과 삼나무 등 늘 푸른 상록수림대 1,148ha가 울창하게 조성된 공간으로 이국적인 분위기를 연출한다. 故 춘원 임종국 선생이 한국전쟁으로 황폐해진 축령산에 1956년부터 20여 년간 조림하고 가꾸어, 현재 전국 최대 난대수종 조림지를 성공적으로 만들어 낸 곳이다. 2002년 그 공로가 인정되어 ""숲의 명예의 전당""에 헌정되기도 했다. 이곳은 천연 항균 물질인 피톤치드 향이 가득하여 삼림욕을 하기에 적합하다. 햇빛, 음이온, 소리, 경관, 산소 등 숲의 다양한 환경요소를 활용하여 면역력을 높일 수 있다. 축령산 휴양림은 데크로드를 따라 거닐며 쉽게 둘러볼 수 있을 만큼 경사가 완만하여 어린이나 노인을 동반한 가족 여행객들도 만족할 만하다. 남녀노소 누구나 생활 속 스트레스를 날려버리기에 적합한 장소이다."
전라남도 장성군 장성읍 기산리 57-14,,38,0.0,A01,A0101,A01010500,2742213,12,20210909221809,http://tong.visitkorea.or.kr/cms/resource/88/2742588_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2742588_image2_1.JPG,126.7775938272,35.305674002,6,20221103134403,0,19,,황룡강 생태공원,57220.0,"장성 여행에서 꼭 가봐야 할 관광지인 황룡강 생태공원은 황룡강 줄기를 따라 꽃밭과 산책로가 잘 조성되어 있다. 인위적인 개발보다 자연 생태를 잘 보존하면서 꾸민 친환경적인 공간이다. 강과 어우러진 계절별 꽃 군락지를 감상하기 위해 많은 관광객이 찾는다. 13.5km에 이르는 우리나라에서 가장 길고 아름다운 꽃 정원이 약 20만㎡ 규모로 조성되어, 편안한 휴식을 즐기며 화려한 꽃을 감상할 수 있다. 봄을 대표하는 유채꽃을 비롯해 꽃창포, 수레국화, 꽃양귀비, 수국, 해바라기, 코스모스, 황화코스모스 등 계절에 따라 다양한 꽃을 감상하고 즐길 수 있다. 꽃길을 따라 걷다가 공원 곳곳에 위치한 포토존에서 아이들과의 추억도 남길 수 있어, 가족과 함께 행복한 시간을 보내기에 안성맞춤이다."
전라남도 장성군 황룡면 홍길동로 431,,38,0.0,A02,A0202,A02020600,2742209,12,20210909221214,http://tong.visitkorea.or.kr/cms/resource/72/2742572_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2742572_image2_1.jpg,126.7265702481,35.3186605607,6,20220412145105,0,19,,홍길동 테마파크,57223.0,"소설 속의 주인공으로 알려졌지만, 조선왕조 실록의 충분한 고증을 거쳐 실존 인물로 거듭난 홍길동의 일대기를 기록해 놓은 테마파크이다. 홍길동은 15세기 중엽 명문가의 자제로 태어났으나 첩의 자식이라는 신분 때문에 출세의 길이 막힌 인물이다. 이후 차별받던 민중을 규합해 활빈당을 결성, 사회정의를 구현하는 실천적 삶을 살다가 관군에 체포되었지만, 무리를 이끌고 탈출하여 일본 오키나와로 진출하였다. 그곳에서도 민중의 소리를 대변하는 민권운동의 선구자가 되었다. 홍길동 테마파크는 소설 속 허구적 인물에서 역사상 실존 인물로, 반역자 또는 도적에서 영웅으로 부활한 홍길동의 발자취를 따라가 볼 수 있는 특별한 테마파크다."
전라남도 장성군 삼계면 수연로 620,,38,0.0,A02,A0202,A02020700,2742199,12,20210909220334,http://tong.visitkorea.or.kr/cms/resource/54/2742554_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2742554_image2_1.jpg,126.6849053261,35.2856108248,6,20220412145242,0,19,,평림댐 장미공원,57236.0,"한국수자원공사가 장성에 평림댐을 건설하면서 명품 장미공원을 조성, 인근 주민과 관광객들을 위한 관광 명소가 되었다. 평림댐 장미공원에는 벽천폭포, 체육시설, 파고라, 전망대 등도 갖춰져 있으며, 옐로우 시티를 내세운 장성답게 특색 있는 노란장미도 볼 수 있다. 장미공원에는 체리 메이딜란트 장미, 하이브리드 티 장미, 랜드스케이프 장미, 플로리분다 장미, 덩굴장미, 멘티크 터치 장미, 미니어처 장미 등 총 130종 13,780주의 장미가 장관을 이룬다. 아름다운 장미를 보면서 힐링하는 장소가 되어준다."
전라남도 장성군 장성읍 용강리 171-1,,38,0.0,A02,A0205,A02050100,2741622,12,20210908230758,http://tong.visitkorea.or.kr/cms/resource/38/2741738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2741738_image2_1.jpg,126.8177640087,35.3556356907,6,20211115194941,0,19,,황금빛 출렁다리,57209.0,"장성호 수변 길에 자리한 황금빛 출렁다리는 맑은 하늘과 녹음이 우거진 산, 그리고 장성호가 어우러진 풍경 속에 2020년 6월에 개통했다. 총 길이 154m로 옐로우 출렁다리와 길이는 같지만, 폭이 1.8m로 30cm 더 넓어 흔들림이 덜한 편이다.  흔들림이 덜해 줄을 잡지 않고도 건널 수 있다. 장성호 수변 길을 걷다보면 옐로우 출렁다리와 스카이 전망대를 지나 황금빛 출렁다리를 만난다. 다리를 건너다 보면 무주탑 방식으로 중앙부가 수면과 좀 더 가까이 있어 자연을 만끽하는 짜릿함을 느낄 수 있다."
전라남도 장성군  장성읍 봉덕리 산37-1,,38,0.0,A02,A0205,A02050100,2741616,12,20210908230046,http://tong.visitkorea.or.kr/cms/resource/09/2741709_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2741709_image2_1.jpg,126.8219939218,35.3662456715,6,20221114173045,2,19,,옐로우 출렁다리,57230.0,"옐로우 출렁다리는 전라남도 장성의 장성호에 있는 출렁다리다. 길이 154m, 폭 1.5m이다. 맑은 하늘과 푸른 나무가 멋지게 펼쳐진 주변 풍경이 장성호 수면에 그림처럼 비치면 형용할 수 없는 아름다움이 느껴진다. 아찔한 출렁다리 위에서 보는 경관은 스릴감과 감탄을 자아내기 충분하다. 옐로우 출렁다리는 장성호 수변길과ㄷ 연결되어 있다. 트레킹을 하면서 장성호의 아름다운 경관을 즐기며, 아찔한 즐거움까지 만끽할 수 있다."
