addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 장흥군 대덕읍 천관산문학길 297,,38,0,A02,A0201,A02010800,2795025,12,20211214182101,http://tong.visitkorea.or.kr/cms/resource/05/2798005_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/2798005_image2_1.JPG,126.9092374563,34.5310523296,6.0,20220706112821,0,20,,탑산사큰절,59352,"천관산의 남쪽 사면 해발 고도 600여 미터 높이에 구룡봉 아래 옛 절터 자리에 새로 중창한 절이다. 절의 이름은 절의 북서쪽에 있던 아육왕탑에서 유래되었으나 현재 탑은 전해지지 않는다. 원래 이곳의 절은 800년(신라 애장왕)에 창건되었다고 한다. 설화에 의하면 인도 왕 아소카가 탑을 세워 부처님의 사리를 봉안했다고 한다. 1592년 임진왜란 때만 해도 대웅전과 시왕전, 공수청, 향적각 등 많은 건물이 있었던 절이었으며 800근이나 되는 큰 종도 있었다고 한다. 탐산사큰절로 가는 길은 그리 어렵지 않다. 등산로 입구 주차장에서는 900미터 거리에 있으며 20분 정도 걸린다. 완만한 오르막길을 걷다 보면 숲에서 작은 대나무 군락지로 바뀌면서 탁 트인 곳이 나온다. 큰 바위 아래 원래 있던 돌로 축대를 쌓고 지은 절이다. 전각은 대웅전과 요사채, 화장실이 전부이지만 이곳에서 바라보는 완도 일대의 바다 풍경은 여느 절이 갖지 못한 것이다."
전라남도 장흥군 회진면 회진리 2184,,38,0,A01,A0101,A01011400,2784755,12,20211201230515,http://tong.visitkorea.or.kr/cms/resource/17/2798017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2798017_image2_1.jpg,126.9411052837,34.4825305171,6.0,20211215190003,4,20,,회진항,,"회진항은 전라남도 장흥군 회진면 회진리에 있는 국가 어항이다. 조선 시대에는 회령포라 불렸으며, 충무공 이순신이 백의종군을 명받고 임지로 가는 도중 삼도수군통제사를 제수받아 전선 12척을 인수, 임진왜란의 전세를 뒤집은 발판이 되는 곳이 바로 이곳이다. 회진항은 소설가 이청준과 한승원의 고향 바다로 소설 속의 정감 어린 장면들이 고스란히 살아있는 곳이다. 이청준의 소설을 원작으로 한 임권택 감독의 영화 천년학의 촬영지이기도 하다. 청정 해역과 접해 있어 감성돔, 농어, 갯장어, 낙지 등의 입질 좋은 어종이 많이 잡히기로 유명하다. 갯바위 낚시도 가능하며 선상낚시를 하려는 낚시꾼들로 항상 붐비는 곳이다. 항 주변으로 약초가 많이 난다는 부용산과 고운 여인의 치맛자락 형상이라는 억불산 등 명산이 많아 등산객들에게도 사랑받는 어항이다. 주변으로 늘어선 많은 횟집은 싱싱한 해산물을 판매하며 이곳의 명물인 된장물회는 관광객들에게 특별한 맛을 선사해준다."
전라남도 장흥군 안양면 수문리 151-42,,38,0,A01,A0101,A01011400,2783151,12,20211130012858,http://tong.visitkorea.or.kr/cms/resource/52/2787652_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2787652_image2_1.jpg,127.0321186683,34.631326477,6.0,20220705171532,1,20,,수문항,,"수문항은 득량만 중서부 북서쪽에 위치한 어항이다. 청정해역과 바다 생태계의 보고인 수문항 서쪽으로는 사자산과 골치산, 삼비산에서 흐르는 물이 합수되어 수문천을 이루고 있다. 이곳은 매년 장흥 키조개축제가 개최되는 곳으로 장흥 여행 시 먹거리를 맛볼 수 있는 장소이기도 하다. 수문항에 있는 수문 어촌체험 마을은 가족 단위의 관광객이 다양한 바다 체험을 즐기기에 안성맞춤이다. 바다 다슬기 잡기, 갯벌 놀이, 키조개까기 체험, 바지락 캐기 등 평소 쉽게 경험하지 못하는 바다 체험을 할 수 있다. 전국적으로 서남해안의 갯벌 보전지구로 지정될 만큼 생태계가 우수한 수문항은 해산물 이외에도 쪽파, 감자, 벌꿀 등의 특산물로도 유명하다."
전라남도 장흥군 회진면 진목1길 9-9,,38,0,A02,A0201,A02010500,2782987,12,20211130001900,http://tong.visitkorea.or.kr/cms/resource/93/2787693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2787693_image2_1.jpg,126.9199268293,34.4724535147,6.0,20221103104541,0,20,,진목마을 이청준생가,59361,"한국 문학계의 거목인 이청준 생가는 전남 장흥 진목마을에 있다. 소설 퇴원으로 등단한 이청준은 언어사회학서실, 남도사랑, 당신들의 천국 등 수많은 작품을 발표했으며 특히 선학동 나그네와 벌레 이야기는 각각 천년학과 밀양으로 영화화되어 많은 사랑을 받았다. 이청준은 향년 68세로 별세하였다. 이청준의 생가는 그가 태어나고 자라온 장소이자 문학작품의 탄생 근원지로서 생가를 떠나기 전 모습 그대로를 복원해 놓았다. 생가에서 나와 이어지는 길은 그의 묘소가 안치된 곳으로 안내한다. 한적한 시골 마을에 이청준 소설문학길이 조성되어 있다."
전라남도 장흥군 관산읍 방촌길 91-32,,38,0,A02,A0201,A02010400,2782981,12,20211130001659,http://tong.visitkorea.or.kr/cms/resource/80/2787680_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2787680_image2_1.jpg,126.9501334184,34.5495370518,6.0,20221103104755,0,20,,존재고택,59354,"장흥 존재 고택은 장흥 위씨의 종갓집으로 마을 깊숙한 곳에 자리 잡고 있다. 조선 후기 실학의 선구자인 위백규의 생가이며, 그의 호를 따서 존재 고택이라 불린다. 그는 지방 교육 개선을 통해 향촌 질서유지와 교화뿐만 아니라 관리 선발, 지방 관리의 경제 기능까지 담당할 것을 주장하였다. 또한, 정치 기강의 해이로 인해 도탄에 빠진 민생을 구제하기 위해 관제 축소, 향촌의 자율적 공평 부세 등 무너져가는 향촌을 살리기 위해 많은 주장을 알렸다. 그의 생가는 모두 다섯 동의 큰 규모를 자랑하며 안채, 서재, 사당, 곳간채, 문간채로 구성되어 있다. 문간채의 우측으로 서재가 작고 특이한 구조로 만들어져 있다. 북쪽에는 19세기 말에 지어진 것으로 추정되는 사당이 있다. 장흥 여행 시 한 번쯤 둘러보기 좋은 곳이다."
전라남도 장흥군 장동면 만수길 25-121,,38,0,A02,A0201,A02010700,2774088,12,20211112214843,http://tong.visitkorea.or.kr/cms/resource/27/2774227_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2774227_image2_1.jpg,126.9385768081,34.7476201917,6.0,20211112232251,0,20,,해동사,59308,"해동사는 안중근 의사를 모신 전국 유일의 사당이다. 만주 하얼빈역에서 이토 히로부미를 사살한 그는 온 국민의 존경을 받는 독립운동가이지만 후손이 없어 오랫동안 제사를 지내지 못했다. 이를 안타깝게 여긴 장흥의 유림과 죽산 안씨 문중의 발의로 1955년, 지금의 만수사 부지 내에 사당을 건립하게 됐다. 당시 대통령이었던 이승만은 대한민국을 밝게 비추라는 뜻의 '해동 명월' 친필 현판을 내리며 존경을 표했고, 이에 해동사란 이름을 얻게 되었다. 해동사 내에는 안중근 의사의 영정사진과 위패, 그리고 이토 히로부미를 저격한 시간인 9시 30분을 가리키며 멈춘 시계가 자리하고 있다. 또 해동사로 들어서는 입구는 둥글고 낮은 형태인데, 이곳에 들어오는 사람은 항상 겸손한 마음으로 고개를 숙이라는 의미를 담았다고 한다."
전라남도 장흥군 관산읍,,38,0,A01,A0101,A01010400,2704702,12,20210128005019,,,126.9065847389,34.538154268,,20220520085039,0,20,,천관산동백생태숲,59351,"천관산 동백 생태숲은 국내 최대 면적을 자랑하는 동백나무 군락지다. 수령 50년200년가량의 동백나무 2만여 그루가 자생적으로 군락을 형성하는데 그 면적이 자그마치 20ha에 달한다. 숲의 가장자리를 따라 도로가 구불구불 이어지고, 숲 중심부는 계곡을 따라 길게 이어진다. 동백나무 단일 수종으로만 형성된 천연 숲이라서 더욱 가치가 높다. 천관산 동백 생태숲은 지난 2000년부터 산림유전자원보호림으로 지정해 보호하고 있다. 전라남도가 선정한 2021년 방문해야 할 아름다운 명품 숲 12선 가운데 하나로 선정되기도 했다."
전라남도 장흥군 용산면 상발리 산225,,38,0,A01,A0101,A01011300,2514005,12,20171103011955,http://tong.visitkorea.or.kr/cms/resource/55/2618255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2618255_image3_1.jpg,127.0047356151,34.6046206793,6.0,20220323173344,598,20,,소등섬,59343,"소등섬은 남포마을 앞에 떠있는 작은 무인도이다. 먼 바다에 고기잡이를 나간 남편이나 가족들을 위해 호롱불을 켜놓고 그 불빛을 보고 무사히 귀환하기를 빌었다하여 소등섬이라 불린다고 한다. 소등섬은 사진찍기 좋아하는 사라들에게는 잘 알려진 일출 명소이며 득량만의 떠오르는 해나, 지는 해와 같이 어우러졌을 때 특유의 아름다움이 있다. 현 소등섬은 모세의 기적을 체험하는 신비로운 섬으로 하루 두 세 차례 썰물 때가 되면 바닷물이 빠지고 섬으로 이어진 길이 서서히 모습을 드러낸다. 바다를 가로질러 나타난 길로 소등섬까지 걸어갈 수 있는데 천천히 5분 정도 걸으며 색다른 경험을 할 수 있다."
전라남도 장흥군 관산읍 정남진해안로 242-58,,38,0,A02,A0205,A02050600,2514004,12,20171103010344,http://tong.visitkorea.or.kr/cms/resource/43/2516743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2516743_image2_1.jpg,126.9746516336,34.5117250291,6.0,20220901101832,991,20,,정남진 전망대,59357,"정남진이라는 이름은 광화문 기준 정남쪽 방향에 있다고 해서 붙여졌다. 정남진 전망대에서는 득량만 일대와 고흥 소록도, 거금대교, 완도, 금일도 등 수많은 섬들을 한눈에 볼수있다."
전라남도 장흥군 유치면 지천길 52-227,,38,0,A02,A0204,A02040800,2469450,12,20161224011858,,,126.8839425838,34.7534047382,6.0,20220520104251,2099,20,,장흥다목적댐 물 문화관,59310,"stong정남진 장흥에서 한 숨 쉬어가기 좋은 곳 stong  동그란 원통형 전망대가 이색적인 장흥댐 물 문화관에서는 수자원의 중요성과 슬기로운 이용에 대해 살펴볼 수 있다. 워터리움의 시원한 물벽과 물의 원리를 살펴보는 과학놀이 등이 흥미롭고 이곳에서 보는 탐진호, 어우러진 산세가 아름답다. "
