addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 진도군 의신사천길 26 운림예원,,38,,A02,A0203,A02030600,2924016,12,20221128160058,http://tong.visitkorea.or.kr/cms/resource/01/2924001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2924001_image2_1.jpg,126.2975677827,34.4657885008,6,20221128160121,0,21,,구름숲아토리,58934,"'구름숲 아토리'는 예향의 고장답게 진도 민속문화 체험, 스페셜티 커피 체험 등을 할 수 있는 복합문화 체험공간이다. 시, 서, 화, 창, 무를 다양하게 체험할 수 있으며 특히 진도북놀이 체험, 솟대만들기, 서화 체험, 각 나라 최고 등급 원두를 사용하여 핸드드립으로 내려 커피의 맛과 향을 경험하는 핸드드립 커피 내리기, 모카포트 커피 만들기, 나만의 드립백 선물 만들기 등 스페셜티 커피 체험도 할 수 있다. 푸른 잔디정원과 고즈넉한 한옥에서 즐기는 다양한 체험은 즐거운 진도를 제대로 즐기는 특별한 시간을 선사한다.
 반려동물 동반 불가"
전라남도 진도군 임회면 진도항길 101,,38,0.0,A01,A0101,A01011400,2795148,12,20211214184402,http://tong.visitkorea.or.kr/cms/resource/32/2798032_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2798032_image2_1.JPG,126.1346537229,34.3739989519,6,20220706113005,1,21,,진도항,58945,"진도군의 서남쪽 끝에 있는 연안항이다. 진도의 관문 역할을 하는 항구이다. 1996년 12월 해양수산부에 연안항 지정 신청을 내어 1998년 2월 24일 국가지정 어항으로 지정되었다. 과거에는 목포팽목제주도를 잇는 항구였으며, 현재는 진도 근해의 섬, 그중에서도 팽목과 조도군도를 연결하는 항로의 출발지가 되고 있다. 진도군은 진도항이 연안항으로 지정, 개발되면서 항구다운 항구를 갖추게 되었다(진행 중). 한편 세월호의 아픈 기억이 새겨진 곳이기도 하다. 2016년 세월호 사고의 수습 항구로 사용되면서 그 영향이 아직 미치고 있다."
전라남도 진도군 진도읍 서부해안로 411,,38,0.0,A01,A0101,A01011400,2795125,12,20211214184126,http://tong.visitkorea.or.kr/cms/resource/21/2798021_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/21/2798021_image2_1.JPG,126.2002337643,34.5051408457,6,20221205140128,0,21,,쉬미항,58930,"쉬미항은 봄철 유채꽃과 목련이 아름다운 마을에 위치한다. 한적하고 조용하여 부둣가에서 사색을 하기에도 좋다. 진도의 항구 중 주변 부속 섬으로 정기선이 다니는 곳은 진도항과 쉬미항이 있다. 진도항 다음으로 큰 항구가 바로 쉬미항이다. 쉬미항은 주로 진도의 북서쪽 섬들을 연결하는 포구로, 가까운 섬 중에는 가사도를 중심으로 다수의 섬들이 있다. 특히 최근에는 진도유람선이 출항하면서 이전보다 더 붐비는 포구가 되었다. 진도유람선의 운항 경로는 작도도광대도혈도주지도양덕도방고도를 돌아온다. 하루에 4회 운행을 하는데 마지막 타임은 상황에 따라 유동적이라고 한다."
전라남도 진도군 지산면 소앵무길 41-1,,38,0.0,A02,A0203,A02030100,2795046,12,20211214182542,http://tong.visitkorea.or.kr/cms/resource/53/2798053_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2798053_image2_1.JPG,126.197004881,34.4460363167,6,20221206110233,0,21,,소앵무마을,58947,"이 마을의 독특한 지명은 마을의 뒷산이 앵무새처럼 생겼다 하여 이름 지어진 앵무리에서 유래했다고 한다. 소앵무 마을은 ​이 마을 출신의 한 가수의 인기 덕에 전국 각지에서 찾아오는 사람들로 항상 붐빈다. 2019년 한 종편의 트로트 오디션 경연 대회에서 1등을 차지하며 트롯 열풍을 일으킨 송가인의 고향마을이다. 한마디로 트로트 열풍의 큰 영향을 끼친 가수라 할 수 있는데, 얼마 전까지 ""송가인 이어라"" 그의 독특한 인사법으로 많은 팬들로부터 열광을 불러일으키기도 했다. 최고의 인기를 모으고 있는 송가인의 시골집은 연일 많은 관광객들이 방문하여 진도의 새로운 관광코스가 되었다. 2021년 초에는 동네 어귀에 제법 큰 규모의 송가인공원도 만들어졌다."
전남 진도군 임회면 남동리,,38,0.0,A01,A0101,A01011400,2784692,12,20211201223651,http://tong.visitkorea.or.kr/cms/resource/45/2797845_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2797845_image2_1.jpg,126.1686092945,34.3642339238,6,20221121113749,0,21,,서망항,58945,전남 진도군 서망항은 가을 꽃게잡이가 풍어를 이루는 전국 꽃게 주산지다. 진도에서도 남쪽 끝자락에 위치한 서망항은 진도읍에서 약 40분 정도 소요된다. 진도군 조도면 해역에 매일 40여 척이 출어해 1척에 200kg가량을 잡아 하루 위판량이 3t5t에 달한다. 냉수대가 형성돼 플랑크톤 등 먹이가 풍부한 진도 조도면 해역은 갯바위 모래층으로 꽃게 서식에 최적의 조건을 갖추고 있으며 또 연중 적조가 발생하지 않는 청정해역으로 다른 지역보다 꽃게의 상품성이 좋아 관광객들의 발길이 줄을 잇는 곳이다. 서망항에는 싱싱한 횟감과 수산물을 살 수 있는 수산물 시장과 맛집들도 있다 .
전라남도 진도군 지산면 지산로 160-60,,38,0.0,A02,A0205,A02050600,2754979,12,20211008193540,http://tong.visitkorea.or.kr/cms/resource/52/2755352_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/52/2755352_image2_1.png,126.100139214,34.4118608191,6,20211008232432,0,21,,급치산전망대,58952,"한반도 최서남단 진도군 지산면에 위치한 급치산 전망대는 가장 늦은 해넘이를 볼 수 있는 곳 중 한 곳이다. 가슴이 탁 트이는 시원한 바다 위를 수놓은 다도해의 섬들 사이로 떨어지는 낙조를 감상할 수 있는 최고의 일몰 명소이다. 360도 탁 트인 전망대 옥상에서 바라보는 동석산 암골맥(巖骨脈)의 수려한 바위 능선과 높은 고도에서 내려다보는 아름다운 진도 해안은 마치 한 폭의 산수화를 보는 듯해, 그림 같은 풍경에 절로 감탄을 자아낸다. 급치산 전망대에서 세방낙조전망대에 이르는 해안 도로는 '한국의 아름다운 길 100선'에 선정될 만큼 아름다운 풍광을 자랑하고 있어, 진도에 가면 꼭 들러봐야 할 곳이다."
전라남도 진도군 임회면 동령개길 1-92,,38,0.0,A01,A0101,A01010600,2754972,12,20211008192935,http://tong.visitkorea.or.kr/cms/resource/39/2755339_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2755339_image2_1.jpg,126.186446769,34.3575710683,6,20211008232052,0,21,,국립진도자연휴양림,58945,"한반도 서남단 남도의 끝자락, 산과 바다가 어우러진 보배의 섬 진도는 우리나라에서 3번째로 큰 섬이다. 에메랄드빛 드넓은 푸른 바다와 섬들을 품고 있으며 암갈색의 수피를 입고 있는 해송, 천연 항균 피톤치드가 함유된 편백 등 다양한 수종을 체험할 수 있으며, 미르길이란 옛길이 조성되어있다. 진도에 위치한 국립 진도 자연휴양림은 천혜의 자연경관인 다도해상국립공원과 진도 신비의 바닷길, 운림산방, 세방낙조 등 진도의 관광명소와 인접해있어 체험 및 볼거리가 풍부하다. 국립 진도 자연휴양림에는 숲속의 집, 산림문화 휴양관, 방문자 안내소, 목공예 체험관, 잔디 바다, 데크로드 등을 이용할 수 있고, 다양한 나무와 꽃들을 보면서 산책할 수 있는 산책로가 잘 조성되어 있다."
전라남도 진도군 고군면 신비의바닷길 148,,38,0.0,A02,A0203,A02030600,2752492,12,20211001203332,http://tong.visitkorea.or.kr/cms/resource/86/2752486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2752486_image2_1.jpg,126.3513556228,34.4273047987,6,20221103131920,0,21,,신비의 바닷길 체험관,58911,"국가지정 명승인 '신비의 바닷길'은 고군면 회동리와 의신면의 띠섬(모도) 사이 약 2.8㎞ 길이로 해마다 음력 2∼3월 보름쯤에 조수간만의 차이로 폭 30∼40m의 길이, 1시간여 동안 열렸다가 닫히는 해할현상이다. 신비의 바닷길 처험관은 이 신비의 바닷길 체험을 자연 일기와 관계없이 연중 체험할 수 있는 체험관으로, 형상체험관에서 진도 바다 만나기, 신비의 바닷길 건너기, 신비의 바닷길 기억하기 등을 체험할 수 있다. 또한, 진도군을 찾는 관광객들에게 휴양, 레저, 체험 등의 편의를 제공하고 진도에서 생산된 홍주, 구기자, 울금, 미역, 김, 전복, 멸치 등 특산물도 만날 수 있다."
전라남도 진도군 진도읍 성죽골길 30,,38,0.0,A02,A0202,A02020600,2732638,12,20210811010115,http://tong.visitkorea.or.kr/cms/resource/39/2732639_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2732639_image2_1.jpg,126.2785746191,34.4823946639,6,20221005132245,2,21,,진도개테마파크,58927,"진도개는 석기시대부터 사람들이 기르던 개의 종류로 육지와 떨어진 특수한 환경 때문에 그 순수한 혈통이 그대로 잘 보존되어온 개이다. 진도개는 1962년 국가에서 문화재 보호법에 의해 천연기념물로 지정하고 한국진도개 보호 육성법과 문화재 보호법을 제정하여 보호·육성하고 있다.진도개테마파크는 진도개 홍보관, 경주장, 어질리티장, 메디컬센터, 어린이 썰매장 등으로 구성되어 있고 매일 진도개Dog스포츠를 볼 수 있다."
전라남도 진도군 의신면 사천리,,38,0.0,A01,A0101,A01010600,2712642,12,20210330195924,http://tong.visitkorea.or.kr/cms/resource/76/2708876_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2708876_image3_1.jpg,126.2928986347,34.4706406587,6,20220426181110,0,21,,운림산림욕장,58934,"전남 진도군 첨찰산 자락에 위치한 운림산림욕장은 30ha의 편백숲을 산림욕장으로 조성한 곳으로, 약 2km에 걸쳐 일반 보행자뿐만 아니라 노약자, 장애우, 어린이 등 모든 계층이 숲을 즐길 수 있는 무장애 숲길이 조성되어 있다. 유아숲과 연계해 트리하우스, 암벽등반, 모래밭 체험, 그물다리 등 여가시설을 설치해 아이와함께 방문하기에 좋다."
전라남도 진도군 명량대첩로 103,산2-146,38,0.0,A02,A0201,A02010700,2433991,12,20161012012005,,,126.3093811192,34.562658373,6,20221021141758,1731,21,,망금산 강강술래터,58900,"망금산은 13척의 배로 3백여척의 왜선을 물리친 명량해전지 (울돌목)에 연접하여 울돌목이 바로 내려다보이는 해발 115m의 나지막한 산이다.명량해전 당시 이순신 장군은 적으로 하여금 우리 군사가 많이 보이게 하기 위하여 이 망금산에 토성을 쌓고 부근의 부녀자들을 모아 남장을 시켜 산봉우리를 원을 그리며 반복하여 돌게 하였다고 한다. 주로 추석날 밤, 곡식의 풍년을 기원하며 추던 부녀자들의 민속놀이를 의병술로 사용한 것이다.지금도 망금산 산봉에는 망터가 있고, 그 밑으로 강강술래터가 뚜렷하게 남아 있다. 또한 충무공 이순신 장군의 전술을 존경하는 마음이 담긴 강강술래에 관한 많은 전설이 전해져오고 있다."
전라남도 진도군 군내면 진도대로 8439-19,(군내면),38,0.0,A02,A0202,A02020100,2407125,12,20160901024025,http://tong.visitkorea.or.kr/cms/resource/68/2405168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2405168_image3_1.jpg,126.2996762157,34.57122392,6,20220520104436,1644,21,,이충무공승전공원,58900,진도대교 아래 진도군과 해남군사이에 서로 마주보고 있는 좁은 해협을 '울돌목'이라 한다.빠른 물살이 암초에 부딪히며 좁은 해협을 통과하면서 울음소리를 낸다하여 '울돌목'이라고 붙여진 이름이다. 울돌목의 빠른 물길은 이순신장군의 '명량대첩'의 대승을 가능케 하는 원동력이기도 하다. 진도대교 아래'울돌목'해협을 사이로 진도군에는 '이충무공 승전공원'이 있다.
전라남도 진도군 군내면 만금길 112-41,,38,0.0,A02,A0205,A02050600,2406053,12,20160830013147,http://tong.visitkorea.or.kr/cms/resource/09/2511609_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2511609_image3_1.jpg,126.3025094229,34.5660078857,6,20220418093307,4940,21,,진도타워,58900,"진도타워는 진도대교 근처에 있는 망금산 정상에 위치한다. 카페테리아와 레스토랑 등에서 관광객들에게 편의를 제공하고 주변의 아름다운 풍광을 감상할 수 있다. 진도타워는 이순신 장군의 명량대첩 승전을 기념하고 진도군 관광의 랜드 마크로 군민들에게 자긍심을, 진도를 찾는 관광객들에게 볼거리를 제공 할 것으로 기대된다."
전라남도 진도군 의신면 의신사천길 26,,38,0.0,A02,A0203,A02030100,1996263,12,20150410004727,,,126.2978344269,34.4657357336,6,20220615171351,3356,21,,진도 의신사천마을 [농촌체험휴양마을],58934,"진도는 과거 유배문화에 의해 시・서・화와 더불어 진도아리랑, 남도들노래, 다시래기, 진도북춤 등 소리 문화가 발달하였다. 사천마을에서는 다시래기(무형문화재. 부모상을 당한 상주와 유족들의 슬픔을 덜어주고 위로하기 위하여 벌이는 상여놀이)・북놀이 등을 무형문화재 이수자에게 직접 배울 수 있는 곳이다. 마을 주변에 진도에서 가장 높은 첨찰산 아래 운림산방, 쌍계사(진도 최고 목조건물), 진도역사관 등 다양한 문화, 역사 자원이 많아 진도여행에서 빼놓기 아쉬운 곳이다."
