addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 함평군 월야면 용월리 355-4,,38,0,A02,A0202,A02020700,2783805,12,20211130231630,http://tong.visitkorea.or.kr/cms/resource/98/2798098_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2798098_image2_1.JPG,126.6270439999,35.1653928999,6,20221202102725,0,22,,달맞이공원,,"광주 시내에서 자동차로 30분이면 닿을 수 있는 나들이하기 좋은 공원이다. 4,628㎡(1,400평)의 큰 규모를 자랑하는 이곳은 연꽃이 피는 37,000㎡의 저수지와 길이 200m의 조롱박 터널이 자리 잡고 있어 산책하기에도 좋고 너른 잔디밭에선 축구 및 운동을 겸할 수 있다. 봄에는 빨간 철쭉이 가득하고 여름에는 저수지를 가득 메운 연꽃과 수련, 창포 등을 볼 수 있고 가을에는 형형색색의 낙엽을 볼 수 있는 등, 계절마다 다양한 모습을 보여준다. 특히 하얗고 연분홍색을 띤 수생식물이 석양빛에 물든 풍경은 한 폭의 그림 같다. 연못 위로 놓인 오작교와 원두막도 운치 있으며 공원 곳곳에 조형물이나 벤치, 정자 등이 마련되어 있어 한적한 나들이를 즐기기엔 안성맞춤인 장소다. 또한, 공원 이름처럼 이곳에서는 달이 뜨는 모습을 감상할 수 있는데 매년 정월 대보름을 이틀 앞둔 날에 한 해의 소망을 비는 행사와 추석 전날 달맞이 행사도 열리고 있다."
전라남도 함평군 함평읍 주포한옥길 10,,38,0,A02,A0203,A02030600,2778518,12,20211124200304,http://tong.visitkorea.or.kr/cms/resource/20/2797020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2797020_image2_1.jpg,126.4607105379,35.09230673,6,20220705172237,2,22,,주포 한옥전원마을 / 주포지구한옥전원마을,57137.0,"함평주포한옥마을은 함평의 멋진 서해안 바닷가 풍경과 함께 한옥의 정취를 느낄 수 있는 조용하고 고즈넉한 곳이다. 골목골목 돌담과 한옥의 풍경이 어우러져 산책하기에 좋고, 한옥마을 내에 30여 개 민박집을 운영하고 있어 가족과 함께하는 힐링의 시간을 만들기에 적합하다. 주포 한옥마을 입구에서 길을 따라 언덕을 올라가면 팔각정자 주변 억새밸리존을 만날 수 있으며, 9월11월경 핑크뮬리를 보며 산책할 수 있다. 함평 오일장과 차로 3분, 걸어서 20분 이내에 위치한 돌머리해수욕장 등 먹거리, 볼거리가 풍부하고, 마을 일대와 해변에서 바라보는 함평만의 낙조 풍경이 아름답기로 유명하다. 전원마을에서 여유롭고 쾌적한 여행을 즐기고 싶다면 함평주포한옥마을이 제격이다."
전라남도 함평군 함평읍 석성리 311-12,,38,0,A02,A0202,A02020700,2751323,12,20210929231943,,,126.4631825243,35.093009469,6,20221208133208,0,22,,억새밸리존,,"함평군 주포한옥전원마을 안에 있는 억새밸리존에는 그 이름값을 하는 듯 억새가 가득하다. 억새와 함께 핑크뮬리, 코스모스 등이 함께 어우러져 장관을 이루며 가을 정취를 물씬 즐길 수 있도록 관광객들의 눈을 즐겁게 해 준다. 서해를 배경으로 펼쳐져 있는 돌머리 해수욕장 인근에 한옥마을이 마련되어 한옥과 바다, 억새가 어우러진 이색적인 풍경을 연출한다. 10,000㎡ 규모의 큰 공간을 자랑하기에 가을이 깊어갈수록 인생 사진을 찍으러 오는 사람들로 붐빈다. 지역 경제 활성화를 위해 마련된 곳인 만큼 산책로도 잘 마련되어 있으며 음악회 등 각종 행사도 열리곤 한다."
전남 함평군 손불면 학산리 1013-32,,38,0,A01,A0101,A01011400,2751311,12,20210929231203,,,126.3730749864,35.1599754068,6,20211119001923,0,22,,함평항,,"영문 대문자로 'HAM PYEONG'이라고 적힌 커다란 전시물이 반기는 함평항은 서해 함평만으로 들어오는 초입에 위치한 항구로, 부두와 방파제가 넓게 펼쳐져 있다. 가장 큰 볼거리는 유리 전망대로, 노을이 내려앉은 바다를 감상하기에 안성맞춤이다. 멀리 보이는 육지와 섬의 실루엣, 이 둘을 이어주는 칠산대교를 뚜렷하게 볼 수 있는 곳이다 보니 일몰이 참으로 아름답다. 함평항에서는 적지만 어선이 조업하는 모습을 종종 볼 수 있는데 자연산 활어는 물론, 낙지, 갑각류 등을 잡는 모습까지 볼 수 있다. 가까운 곳에 편의시설은 없으나 바로 앞 공원에 바람과 노을을 즐기기 위해 마련된 벤치가 있어 여유로움을 즐기기 좋다."
전라남도 함평군 나산면 사산길 38-35,(나산면),38,0,A02,A0201,A02010700,1957421,12,20141017225125,,,126.6030857299,35.136329119,6,20220419143157,1764,22,,사산사,57129.0,"공자와 맹자, 주자를 배향하는 사당이며 1511년(중종 6년)에 건립되었다. 1912년과 1957년에 중수되었다. 사당의 구성은 중앙강당이 사산제가 있고 입구에는 홍살문이 있다. 사당에는 창암 공소(昌庵 孔紹)의 비석이 있는데 창암은 원나라 사람으로 한림학사로 고려에 왔으며 공민왕 때 문하시랑평장사에 임명되었다. 그후 원나라에 돌아가지 않고 공씨의 시조가 되었다. 소재지는 전라남도 장성군 북이면 만무리 505번지 율정마을에 있다."
전라남도 함평군 함평읍 기각리,산 12-2,38,0,A01,A0102,A01020100,1624075,12,20120508002407,http://tong.visitkorea.or.kr/cms/resource/05/1608305_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1608305_image3_1.jpg,126.5182976307,35.0707878929,6,20221025164914,19000,22,,함평 기각리 붉가시나무 자생북한지,57147.0,"함평읍 기각리는 우리나라 난대 성 식물 중 붉가시나무의 자생 북한계 지대로 알려져 있다. 이 곳에 자생하는 붉가시나무는 1962년 12월 3일 천연기념물로 지정되었다. 현재 박례순씨가 소유하고 있으며, 차지하는 면적은 33㎡이며, 부락 집 뒤에 울타리와 같이 자라고 있으며, 높이는 8m, 수관의 너비가 5m 정도이다. 이 붉가시나무는 참나무과에 속하는 난대성 늘푸른 넓은 잎나무의 난대성식물로 제주도를 비롯한 남쪽해안지방에 주로 자생하는 식물이다. 그 재질이 단단하고 빛깔이 붉다는 뜻에서 붉가시나무라 불리게 되었다고 한다. 수령이 200살쯤 되었다고 하는데 우리나라에서 가장 북쪽에서 자생하는 것이기 때문에 천연기념물로 지정 받았으며, 내륙지방에서는 함평 일대가 자생 북한지대가 되는 것이다."
전라남도 함평군 해보면 상모길 80,,38,0,A02,A0201,A02010600,962201,12,20100302224404,http://tong.visitkorea.or.kr/cms/resource/76/1810076_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1810076_image3_1.jpg,126.5943525751,35.1604068068,6,20220824175552,29234,22,,모평마을,57119.0,"전라남도 함평군에 위치한 모평(상모)마을은 역사와 전통, 그리고 생생한 자연을 체험할 수 있는 아주 특별한 농촌마을이다.예쁜 돌담길로 시작되는 모평마을은 함평군의 뿌리가 되는 마을이다. 마을전체가 고풍스런 전통한옥으로 조성되어 있으며 27종의 역사문화 자원을 간직하고 있다. 마을 주변의 해보천(海保川)을 따라 늘어선 마을숲은 500여 년 전에 조성된 천연보호림으로 느티나무와 팽나무, 왕버들나무가 40여 그루 모여있는 울창한 숲을 이루고 있다. 특히 이 마을에서는 80년의 역사를 지닌 모평헌(募平軒), 소풍가(笑豊家), 희소문(喜笑門영화황토민박집) 등의 한옥민박집에서의 숙박체험이 가능하다.  이 외에도 기억을 되살려 복원시킨 물레방아간을 비롯하여 숲속 물놀이 체험장, 전통 찻집운영 및 녹차케익만들기, 장 담그기 체험, 오디따기, 누에 먹이주기 등 지역자원을 활용한 체험거리가 풍성하다. 또한 모평권역은 함평 나비축제, 용천사 꽃무릇(석산화) 축제, 국향대전 등의 축제가 펼쳐지며 자연생태공원, 생활유물 전시관 등 볼거리가 가득하여 매년 함평을 방문하는 관광객이 늘어나고 있다.  모평권역에는 모평(상모)마을 뿐만 아니라 하모, 운곡(雲谷), 원산(元山)마을이 어우러져 있다.원산마을에서는 뽕밭 오디 체험과 농촌 전원체험이 가능하고 빼어난 경관을 자랑하는 마을호수가 있는 운곡마을에는 관광객들을 위한 휴식의 공간과 월양산 등산로를 갖추고 있다."
전라남도 함평군 해보면 용천사길 209,,38,0,A02,A0201,A02010800,129246,12,20060925090000,http://tong.visitkorea.or.kr/cms/resource/42/1809842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1809842_image3_1.jpg,126.5453369056,35.1834950462,6,20221019111319,22401,22,,용천사(함평),57115.0,"용천사는 대한불교조계종 제18교구 본사인 백양사의 말사이다. 600년(백제 무왕 1) 행은(幸恩)이 창건하였다. 절 이름은 대웅전 층계 아래에 있는 용천(龍泉)이라는 샘에서 유래한다. 이 샘은 황해로 통하며 용이 살다가 승천했다는 전설이 전한다. 645년(의자왕 5) 각진(覺眞)이 중수하고, 1275년(고려 충렬왕 1) 국사 각적(覺積)이 중수하였다.조선시대에 들어서도 세조와 명종 때 중수하여 큰 절로 성장하였다. 《용천사대웅전현판단청기에 따르면 전성기에는 3천여 명의 승려가 머물렀다고 한다. 1597년(조선 선조 30) 정유재란 때 불에 탄 것을 1600년(선조 33) 중창하였고, 1632년(인조 10)에는 법당을 새로 지었다. 1638년(인조 16)과 1705년(숙종 31)에 중건하고, 1938년에 중수했으나 1950년 6·25전쟁 때 모두 불에 타 없어졌다. 1964년에 금당이 옛 보광전(普光殿)자리에 대웅전을 새로 세우고, 요사채도 지어 절의 면모를 바꾸었다. 1996년에 대웅전을 중수하여 오늘에 이른다.

 용천사의 건물과 볼거리
용천사의 건물로는 대웅전과 범종각·웅진당·요사채 등이 있고 유물로는 용천사석등과 해시계 등이 전한다. 이 중 1981년 전라남도유형문화재 제84호로 지정된 석등은 높이 2.38m로 1685년(숙종 11)에 제작된 것이다. 짜임새가 투박하지만 하대석에 거북이 조각되어 있다. 해시계는 석등과 비슷한 시기에 만들어진 것으로 6·25전쟁 때 잃어버렸다가 1980년 경내 흙더미 속에서 발굴된 것이다. 본래는 높이 14cm, 가로 세로 각 39cm의 정사각형이었으나 지금은 절반이 떨어져나간 상태이다. 하지만 낮시간에 해당되는 묘시(卯時)부터 유시(酉時)까지는 남아 있어 사용하는 데는 이상이 없다고 한다. 그밖에 대웅전에는 18세기 때 조성된 후불탱화가 있었으나 2000년 5월에 도난당하였다."
전라남도 함평군 해보면 용천사길 209,,38,0,A02,A0201,A02010800,129247,12,20060925090000,http://tong.visitkorea.or.kr/cms/resource/99/1608299_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/1608299_image3_1.jpg,126.5453369056,35.1834950462,6,20220923163519,18765,22,,용천사 석등,57115.0,"1981년 10월 20일 전라남도유형문화재로 지정되었다. 이 석등은 대웅전의 오른쪽에 있는 삼층석탑 옆에 자리잡고 있다. 석등은 절 안을 환하게 밝히는 기능 뿐 아니라 부처님의 빛이 사방을 비춘다는 상징적인 의미를 가지고 있다. 이 석등은 조선시대에 만들어진 석등으로 크기나 짜임새가 투박하면서도 정감이 있다. 쑥돌(화강암)로 만들어졌으며 높이 2.37m이다.용천사는 신라 때 행은존자에 의해 창건된, 서해안 지역에서 가장 오래된 사찰이다. 사찰 앞에는 용천이 있는데 이곳에서 용이 승천하였다 하여 용천(龍泉)이라 하였고 이곳에 절을 지어 용천사라 하였다고 한다. 한국전쟁 때 불에 타서 거의 모든 유물이 사라졌는데 다행히 이 석등은 기둥 받침석의 상단에 붙어 있는 두귀의 거북만 깨졌을 뿐 제 모습을 갖추고 있다.   용천사 석등의 형태와 모양에 대해  이 석등은 크기나 짜임새가 투박하면서도 정감이 있어 조선시대 석등으로는 대표급이다. 재질은 쑥돌이고 높이는 2.38m이다. 8각의 간석(竿石) 위에 4각의 화사석(火舍石)을 얹었고 그 위에 4각의 옥개석(屋蓋石)을 올렸다. 화사석의 네 벽면에는 둥근 화창(火窓)이 있으며 지붕돌의 네 귀에 거북을 조각하였는데 그 형상은 간략하나 모양이 세련되었다. 거북조각은 간략하게 묘사되어 있지만 그 모양이 세련되어 보인다. 석등 상부의 지붕돌은 목조건물의 팔작지붕(옆에서 볼때 '八'자 모양) 형식을 그대로 모방한 것으로 특이한 양식이다. 석등 밑 8각 간석에 새겨진 글에는 숙종11년(1685)에 만들어졌으며 당시 시주한 사람의 이름을 알 수 있다.  문화재 정보 지정종목 : 시도유형문화재 지정연도 : 1981년 10월 20일 시대 : 조선 종류 : 석등 크기 : 높이 2.38m"
전라남도 함평군 월야면 용월리,,38,0,A02,A0201,A02010700,129248,12,20060925090000,http://tong.visitkorea.or.kr/cms/resource/91/1608291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1608291_image3_1.jpg,126.6240665886,35.1612322096,6,20220921134724,16342,22,,함평 용월리 지석묘군,57127.0," 거석문화의 대표 고인돌, 용월리 지석묘군   1995년 12월 26일 전라남도기념물로 지정되었다. 영산강의 지류인 고막원천 주변에 총 16기가 한 군데에 밀집해 있다. 고인돌은 선돌과 함께 거석문화(巨石文化)를 대표하는 유적으로 전세계적인 분포를 보인다.우리나라에서 발견된 고인돌은 돌방石室 이 지상에 있는 북방식(탁자식)과 지하에 있는 것으로 크게 나누어지며, 지하에 있는 것은 받침돌支石이 있는 남방식과 받침돌이 없는 개석식(蓋石式)으로 구분된다.   용월리 지석묘군의 형태   용월리 고인돌은 청동기 시대의 전기부터 후기에 이르기까지 축조되었다. 총 16기 가운데 12기가 받침돌이 보이는 남방식 고인돌인데, 상돌이 받침돌에 의해 들려진 상태여서 하부는 대부분 교란되어 있다. 상돌은 60∼80cm의 두께이며 대부분 직사각형이다. 북방식 고인돌의 장벽석과 같은 두꺼운 판석을 가진 것도 1∼5개가 있는데 대부분 유실된 상태이다.   문화재 정보지정종목 : 시도기념물지정번호 : 전남기념물지정연도 : 1995년 12월 26일 시대 : 청동기시대 종류 : 고인돌군 크기 : 면적 3,000㎡ "
