addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라남도 해남군 미황사길 164 미황사,,38,,A01,A0101,A01010500,2911432,12,20221117141658,,,126.5764257785,34.3830967469,6.0,20221117141715,0,23,,달마고도,59067,"빼어난 산세와 다도해의 절경이 어우러진 달마산에 조성된 17.74km의 둘레길인 달마고도는 남도명품길이다. 자연을 훼손하지 않기 위해 중장비 없이 사람의 힘으로 완성했기 때문에 자연 그대로의 아름다움을 느낄 수 있다. 달마고도의 11월은 단풍의 절정을 맛볼 수 있으며 단풍과 함께 떨어진 낙엽의 바스락 거리는 소리를 들으며 걷노라면 저절로 힐링됨을 느낄 수 있다. 4코스로 이뤄진 달마고도는 매 구간마다 역사자원과 아름다운 다도해 등 색다른 풍광을 선사한다. 한국의 산티아고라고도 불리우는 만큼 길을 걸으며 나를 돌아보는 시간을 가질 수 있는 인생순례길이다. 일상생활에 지친 현대인에게 여유와, 쉼 그리고 힐링이 가능한 달마고도를 거닐며 나를 되돌아 보는건 어떨까
 달마고도·남파랑길 계절별 걷기행사줍깅 추진
  계절별 달마고도 및 남파랑길 걷기 행사를 환경정화와 연계·추진함으로써 친환경 여행 문화 확산에 기여
  행사 참여 인증이벤트(SNS인증) 추진 등을 통해 전국적 홍보 및 참여 유도로 전국 최고의 걷기여행 명소로 거듭
 힐링프로그램 연계 프로그램 운영
  코로나19 이후 치유여행에 대한 수요 증가에 따라 해남의 자연 속에서 누릴 수 있는 힐링 걷기 프로그램 운영
  차별화된 지역 자원을 활용한 체류형(1박2일) 여행상품 운영"
전라남도 해남군 문내면 우수영안길 96,,38,0.0,B01,B0102,B01020400,2795168,12,20211214184709,http://tong.visitkorea.or.kr/cms/resource/76/2798176_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/2798176_image2_1.JPG,126.3115358728,34.5884443998,6.0,20211215194450,0,23,,해남우수영여객선임시터미널,59004,"전남 해남군에 있는 해운 여객 수송을 위한 시설로 주로 우수영과 제주도 및 추자도를 배편으로 연결하는 서비스를 제공하기 위해 건립되었다. 2013년에 우수영항의 여객선 접안시설과 여객선 터미널 등이 준공되었다. 우수영항은 서해안고속도로와 목포 간 연결성이 뛰어나며 무료 주차 공간이 넓다. 여객선 터미널은 임시 터미널 건물로 세워져 있다. 현재 씨월드고속페리 주식회사에서 우수영추자도제주도 간 퀸스타 2호를 운행하고 있다. 탑승 정원 규모는 1층 좌석 281명, 2층 좌석 163명이다. 소요 시간은 우수영추자도까지는 2시간, 제주도까지는 3시간이다. 출항 시간은 매일 오후 2시 30분이다."
전라남도 해남군 송지면 땅끝해안로 1354-4,,38,0.0,A02,A0203,A02030100,2782971,12,20211130001303,http://tong.visitkorea.or.kr/cms/resource/61/2794461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2794461_image2_1.jpg,126.5211480704,34.3505189364,6.0,20211214023903,0,23,,대섬어촌복합체험공원,59064,"해남 땅끝해안로에 있는 갯벌에 조성되어 있다. 조개, 물고기 형상의 포토존과 흔들의자 등이 설치되어 있어, 바다 전망을 구경하기 좋다. 체험장 주변에는 벽화가 그려져 있어 사진찍기에도 좋다. 하루 두 차례 신비의 바닷길이라고 불리는 마을과 앞섬까지 연결되는 바닷길을 볼 수 있다. 조개잡이 체험장은 7월 초에서 8월 말까지 운영하며, 체험공원 사무소에서 입장권을 살 수 있다. 입장권을 사면 바구니, 호미, 고무신을 대여해주는데, 조개잡이 체험은 조류간만의 시간에 따라 운영이 달라질 수 있으니 미리 확인하고 방문하는 것이 좋다."
전라남도 해남군 삼산면 대흥사길 88-11,,38,0.0,A02,A0202,A02020600,2782959,12,20211130000741,http://tong.visitkorea.or.kr/cms/resource/17/2800917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2800917_image2_1.jpg,126.6221801205,34.4983234749,6.0,20221202173307,0,23,,두륜미로파크,59047,"전라남도 해남군 삼산면 구림리에 있는 테마공원이다. 서양측백나무, 동백나무, 이팝나무 등 1만 3,000여 그루의 나무로 미로를 조성한 야외미로 공원에는 숲 곳곳에 또롱이, 다롱이, 영롱이 같은 캐릭터와 잠망경, 소리통, 동물 조형물, 전망대, 신비의 거울 등을 설치하여 아이들이 다양한 체험을 할 수 있는 시설을 갖추었다. 전시동은 미로 전시관과 미로 체험관으로 구성되어 있는데, 1층에는 미로의 유래와 역사를 알 수 있는 미로 역사관과 휴게시설인 미로 카페가 있고, 2층에는 거울로 만든 미로숲과 공룡어드벤처, 도솔암 등 다섯 가지 테마의 트릭아트 존을 꾸민 미로 체험관이 있다."
전라남도 해남군 송지면 땅끝마을길 100,땅끝모노레일매표소승강장,38,0.0,A02,A0205,A02050600,2782949,12,20211130000408,http://tong.visitkorea.or.kr/cms/resource/42/2794442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2794442_image2_1.jpg,126.5250351589,34.2947474622,6.0,20220720150236,1,23,,땅끝전망대,59065,"해남 갈두산은 한반도 육지의 가장 끝, 땅끝이라고 부른다. 갈두산 사자봉 정상에 땅끝전망대가 있다. 전망대에 오르면 진도에서 완도까지 서남해의 풍경이 파노라마로 펼쳐진다. 맑은 날에는 제주도의 한라산까지 보인다고 한다. 전망대 1층에는 해남의 상징물과 땅끝 마을을 배경으로 사진을 찍을 수 있는 포토 부스가 있고, 전망대 내에는 카페도 운영 중이다. 전망대까지는 걸어서 올라갈 수도 있지만 땅끝마을의 풍경을 여유롭게 감상하기 좋은 모노레일을 타보는 것도 좋다."
전라남도 해남군 송지면 땅끝마을길 111,,38,0.0,A01,A0101,A01011400,2778520,12,20211124200605,http://tong.visitkorea.or.kr/cms/resource/07/2797007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2797007_image2_1.jpg,126.5297763212,34.2984887873,6.0,20220705172747,1,23,,땅끝항(갈두항),59028,"땅끝항은 해남군 유일한 연안항으로 갈두항으로 불리었으나, 2014년 9월 땅끝리 행정마을 명칭과 일치하도록 땅끝항으로 개명하였다. 땅끝해안도로, 땅끝탑, 땅끝전망대 등 주변에 볼거리도 많아, 이웃한 노화도, 횡간도, 흑일도 등 완도군 지역주민들과 해남을 찾는 관광객 등 연간 27만여 명이 방문하고 있다. 그동안 땅끝항에는 여객선 터미널이 없어서 많은 불편을 겪어 왔으나, 2021년 4월 지상 1층 연면적 499.6㎡ 규모의 시설로 매표소와 대합실, 사무실 등 다양한 편의시설을 갖춘 여객선 터미널이 들어섰다. 여객선 터미널이 준공됨에 따라 이용객들이 보다 쾌적하고 편리하게 뱃길을 이용할 수 있게 됐다."
전라남도 해남군 문내면 관광레저로 12-20,,38,0.0,A02,A0203,A02030600,2774392,12,20211115221127,http://tong.visitkorea.or.kr/cms/resource/77/2774377_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/2774377_image2_1.JPG,126.3089614695,34.5728516656,6.0,20221115111109,0,23,,명량해상케이블카,59004,국내 최초 역사의 현장에 개통한 명량해상케이블카는 이순신 장군이 왜군에 맞서 조선을 지켜낸 명량대첩 승전지 '울돌목' 해협 위 공중을 가로지르는 케이블카로 해남과 진도를 잇는 약 1km 구간을 운행한다. 하늘에서 신비로운 울돌목 회오리를 감상하며 명량대첩 그날의 벅찬 감동을 느낄 수 있을 뿐 아니라 다도해의 아름다운 낙조와 미려한 진도대교가 함께 빚어내는 환상적인 파노라마 뷰를 감상하며 힐링할 수 있다.
전라남도 해남군 송지면 어란4길 2-1,,38,0.0,A01,A0101,A01011400,2765243,12,20211101190911,,,126.4760409147,34.3507487318,6.0,20221206101941,0,23,,어란진항,59063,"1971년 12월 21일 국가 어항으로 지정된 어란진항은 임진왜란 당시, 이순신 장군이 삼도수군통제사로 복귀해 처음 승전한 곳으로 유명하다. 어란진항과 마주 보고 있는 어불도가 천혜의 방파제 역할을 해 외해에서 밀려오는 너울 파도인 파랑을 막아주어 뛰어난 어항의 조건을 잘 갖추고 있다. 해남 다도 해역의 풍부한 수자원으로 사시사철 물고기가 풍부하고, 주변에 김 양식장이 있어 다양한 어종이 많이 잡히는 것으로 유명해 낚시객들의 핫플레이스이다. 1989년 방파제, 물양장, 선착장, 선양장 등 기본시설이 설치되어 이용하기에 불편함이 없다."
전남 해남군 북일면 흥촌리 산117-7,,38,0.0,A01,A0101,A01010400,2765204,12,20211101182736,,,126.6506085641,34.4822174145,6.0,20211110194154,0,23,,오소재쉼터,,"해남 두륜산과 주작산을 오르는 산행 들머리인 북쪽의 오소재쉼터는 주변에 오소재 약수터, 주차장이 같이 있다. 오소재는 해남군 평활리와 용동리에서 흥촌리로 넘어가는 재를 말하며, 인근 주작산의 큰 바위가 까마귀 집을 닮은 형국이라 하여, 까마귀 오(烏)자에 집 소(所)자를 써 오소재라고 이름 붙여졌다. 오소재 쉼터에서는 두륜봉, 가련봉, 노승봉, 흔들바위, 오심재 등으로 갈 수 있는데, 오소재쉼터, 오심재, 노승봉, 가련봉((703m, 두륜산 정상) 왕복 코스는 두륜산 정상을 가장 빨리 등반하는 5.4km 최단 코스로 2시간 정도 소요된다. 주변 경관을 보며 정상까지 트래킹하기 좋은 코스이다."
전라남도 해남군 황산면 고천암로 752-14,,38,0.0,A01,A0101,A01010500,2755146,12,20211008222041,http://tong.visitkorea.or.kr/cms/resource/29/2755129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2755129_image2_1.jpg,126.4627296611,34.5231902986,6.0,20221111141838,0,23,,고천암 자연생태공원,59009,"고천암 자연생태공원은 자연 맞이 광장, 철새 솟대 화랑, 나들이 뜰, 안뜰광장의 바닥분수, 수향 습지원, 새소리 숲, 들꽃 향기원, 새맞이 광장 등의 시설물을 갖춘 곳으로, 계절감을 느낄 수 있는 자연을 벗 삼아 걷는 즐거움이 가득한 곳이다. 해남 고천암은 본래 철새 도래지로 유명하여 해남을 찾는 철새들의 조형물과 고천암호에 출현하는 조류를 테마로 한 철새 솟대 화랑 등을 어린이의 눈높이에 맞춰 관람할 수 있다. 특히 여름에 운영하는 안뜰광장의 바닥분수와 놀이터는 어린이들이 뛰어놀기에 안성맞춤이며 가을에 담수호를 배경으로 찍는 사진은 인생 사진으로 남을 것이다. 도심을 떠나 녹지 속에서 산책과 여유를 느낄 수 있는 공간이다."
