addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode
전라남도 화순군 백아면 노치리,,38,,A01,A0101,A01011900,2931999,12,20221128185400,http://tong.visitkorea.or.kr/cms/resource/83/2917983_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2917983_image3_1.jpg,127.1736322748,35.1458154558,6,20221213173011,0,24,,백아산 석회동굴,58101
전라남도 화순군 화순읍 중지길 200,,38,0,A01,A0101,A01010100,2795061,12,20211214182825,http://tong.visitkorea.or.kr/cms/resource/87/2798187_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2798187_image2_1.JPG,126.9930742585,35.1043059553,6,20220117145256,2,24,,무등산국립공원,58104
전라남도 화순군 한천면 동산1길 77-11,,38,0,A01,A0101,A01010900,2783959,12,20211201000307,,,127.0651158561,34.9642118532,6,20220706173719,0,24,,동가리계곡 (숲속유원지),58144
전라남도 화순군 사평면 사평리 104-13,,38,0,A01,A0101,A01011800,2774302,12,20211115185746,http://tong.visitkorea.or.kr/cms/resource/23/2795123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2795123_image2_1.jpg,127.0968870109,35.0059771333,6,20221130094508,0,24,,사평천,
전라남도 화순군 화순읍 안양산로 258,,38,0,A01,A0101,A01010500,2754463,12,20211007185427,http://tong.visitkorea.or.kr/cms/resource/31/2754531_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2754531_image2_1.jpg,127.0026934106,35.0821086218,6,20211008185015,1,24,,수만리생태숲공원,58104
전라남도 화순군 화순읍 동구리,,38,0,A02,A0202,A02020100,2718413,12,20210526230640,,,126.9858810969,35.0784670815,6,20220519175117,0,24,,동구리호수공원,58105
전라남도 화순군 이서면 적벽로 630,,38,0,A01,A0101,A01010500,2614897,12,20190810005441,http://tong.visitkorea.or.kr/cms/resource/92/2614892_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/92/2614892_image2_1.bmp,127.0874076075,35.1039492636,6,20221208164413,0,24,,적벽 (무등산권 국가지질공원),58103
전라남도 화순군 백아면 백아로 2080,,38,0,A01,A0102,A01020200,2614891,12,20190810004747,http://tong.visitkorea.or.kr/cms/resource/86/2614886_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/86/2614886_image2_1.bmp,127.0907917647,35.1695446988,6,20221208164504,0,24,,서유리 공룡화석지 (무등산권 국가지질공원),58100
전라남도 화순군 도곡면 고인돌1로 180,,38,0,A01,A0101,A01010500,2614884,12,20190810002017,http://tong.visitkorea.or.kr/cms/resource/78/2614878_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/78/2614878_image2_1.bmp,126.9169533590,34.9866762658,6,20221208164528,0,24,,화순 고인돌 장동응회암 (무등산권 국가지질공원),58154
전라남도 화순군 도암면 천태로 91-44,,38,0,A01,A0102,A01020200,2614841,12,20190809233138,http://tong.visitkorea.or.kr/cms/resource/35/2614835_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/35/2614835_image2_1.bmp,126.8825772633,34.9291016185,6,20221213135129,0,24,,운주사 층상응회암 (무등산권 국가지질공원),58158
전라남도 화순군 화순읍 동구리,,38,0,A01,A0102,A01020200,2614775,12,20190809192423,http://tong.visitkorea.or.kr/cms/resource/74/2614774_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/74/2614774_image2_1.bmp,126.9858810969,35.0784670815,6,20221208164403,0,24,,만연사 선캄브리아기 화강편마암 (무등산권 국가지질공원),58105
전라남도 화순군 화순읍 안양산로 537,,38,0,A02,A0203,A02030100,2606239,12,20190613013340,http://tong.visitkorea.or.kr/cms/resource/51/2608251_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/51/2608251_image2_1.PNG,127.0118922664,35.0953433965,6,20220708174247,1,24,,무등산 양떼목장,58104
전라남도 화순군 화순읍 서당길 58-16,,38,0,A02,A0201,A02010700,1957486,12,20141018013939,,,126.9931731868,35.0358525658,6,20211103005514,2369,24,,지곡서원,58133
,,38,0,A01,A0101,A01011800,1915088,12,20140422004313,,,0,12627107,6,20220322144159,4430,24,,세량지,
전라남도 화순군 백아면 백아로 1310-56,,38,0,A02,A0204,A02040800,1624013,12,20120507234137,http://tong.visitkorea.or.kr/cms/resource/08/1608208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1608208_image3_1.jpg,127.1403761184,35.1757559543,6,20211007195930,19592,24,,백아산 관광목장,58100
전라남도 화순군 봉수길 25 봉하 산촌생태마을,,38,0,A02,A0203,A02030100,1347045,12,20110801233705,http://tong.visitkorea.or.kr/cms/resource/28/2515928_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2515928_image2_1.jpg,126.8700432381,34.8894197643,6,20220704173626,46059,24,,봉하산촌마을,58160
전라남도 화순군 화순읍 앵남리,,38,0,A02,A0205,A02050200,742654,12,20090527235210,http://tong.visitkorea.or.kr/cms/resource/27/742027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/742027_image3_1.jpg,126.9063165839,35.0510716054,6,20211015201430,17153,24,,화순광산이씨승지공비,58108
전라남도 화순군 능주면 잠정리,,38,0,A02,A0201,A02010700,742623,12,20090527234218,http://tong.visitkorea.or.kr/cms/resource/06/742306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/742306_image3_1.jpg,126.9632078416,34.9774447522,6,20220929142432,17308,24,,화순성화명도로수축시주목록암각기문,58153
전라남도 화순군 능주면 죽수길 73,,38,0,A02,A0201,A02010300,742586,12,20090527233407,http://tong.visitkorea.or.kr/cms/resource/73/742273_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/742273_image3_1.jpg,126.9586440470,34.9898599429,6,20220706163914,16397,24,,죽수절제아문,58153
전라남도 화순군 동복면 독상1길 48-1,,38,0,A02,A0201,A02010500,742566,12,20090527232539,http://tong.visitkorea.or.kr/cms/resource/56/742256_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/742256_image3_1.jpg,127.1303463628,35.0691566945,6,20210928234607,17014,24,,화순 오지호 생가,58102
전라남도 화순군 동복면 독상리,,38,0,A02,A0205,A02050200,742561,12,20090527231658,http://tong.visitkorea.or.kr/cms/resource/97/742297_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/742297_image3_1.jpg,127.1298826317,35.0644961011,6,20210818024735,16399,24,,화순동복남덕원비,58102
전라남도 화순군 동복면,,38,0,A02,A0205,A02050200,742556,12,20090527230919,http://tong.visitkorea.or.kr/cms/resource/97/742097_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/742097_image3_1.jpg,127.1280437461,35.0708148019,6,20220930105803,16340,24,,독상리석등,58102
전라남도 화순군 동복면 탑동길 21-23,,38,0,A02,A0205,A02050200,742551,12,20090527230037,http://tong.visitkorea.or.kr/cms/resource/92/742292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/742292_image3_1.jpg,127.1285349996,35.0854992660,6,20220804104557,15886,24,,한산사지삼층석탑,58102
전라남도 화순군 도곡면 달아실길 24,,38,0,A02,A0201,A02010400,252559,12,20071031090000,http://tong.visitkorea.or.kr/cms/resource/19/742219_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/742219_image3_1.jpg,126.9114955646,34.9843792101,6,20220722132426,19374,24,,화순양동호가옥,58154
전라남도 화순군 이양면 쌍산의로 459,,38,0,A02,A0205,A02050200,250389,12,20071025090000,,,127.0606598252,34.8876259521,6,20220617140709,17665,24,,화순 쌍봉사 철감선사탑,58165
전라남도 화순군 화순읍 벽라리,,38,0,A02,A0205,A02050200,231903,12,20071005090000,,,126.9694721248,35.0508615833,6,20220728112204,20761,24,,화순대리석불입상,58149
전라남도 화순군 화순읍 만수길 42,,38,0,A02,A0203,A02030100,129368,12,20061113090000,http://tong.visitkorea.or.kr/cms/resource/11/2516311_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2516311_image2_1.jpg,127.0035790355,35.0983845794,6,20210812201654,26346,24,,화순 수만리들국화마을,58104
전라남도 화순군 이서면 물염로,(이서면) 일원,38,0,A01,A0102,A01020200,128991,12,20060602090000,http://tong.visitkorea.or.kr/cms/resource/32/186832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/186832_image3_1.jpg,127.1075356983,35.1312687471,6,20220406153908,20510,24,,물염적벽,58103
