addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 고창군 고창읍 석정2로 173,,37,0,A02,A0202,A02020300,2778917,12,20211124234916,http://tong.visitkorea.or.kr/cms/resource/25/2780625_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2780625_image2_1.jpg,126.7410244472,35.4320812865,6.0,20221025092904,0,1,,석정온천휴스파,56451,"석정온천휴스파는 게르마늄이 함유된 온천수를 100 사용하여 치유 온천수로 명성이 높아 온천의 즐거움과 건강을 함께 선사하는 곳이다. 온천수에 함유된 게르마늄 성분은 노화 방지 및 신진대사 활성화와 고혈압, 당뇨병, 신경통 등에 뛰어난 효능이 있다. 스파는 기포탕, 플로팅, 넥 샤워, 보행 유수풀 등이 구성돼 있다. 피로를 풀어주는 실내 스파와 여름이 되면 즐길 수 있는 슬라이드, 유아 풀, 성인풀, 홍삼탕, 복분자탕 등이 구성된 야외 스파로 구성되어 있다. 2,000명이 동시 이용할 수 있는 라커룸과 푸드코트, 수유실, 휴게공간 등 다양한 편의시설이 있어 쾌적하고 여유롭게 즐길 수 있다."
전라북도 고창군 부안면 복분자로 307,,37,0,A02,A0204,A02040800,2743322,12,20210910230105,,,126.6264384089,35.5027352266,6.0,20221130091827,0,1,,꽃객프로젝트,56417,"1972년 전북 고창의 한 시골 마을에서 시작된 가족 정원이 2010년 새 정원으로 옮겨졌다. 이후 김보헌 대표는 수십 년 경력의 원예 전문가인 아버지의 대를 이어 나무를 심고 꽃을 가꾸며 민간정원을 아름답게 꾸며가는 중이다. 정원에 들어서면 귀하고 멋진 반송이 반겨준다. 특히 가을이면 몽환적인 핑크색의 핑크뮬리로 뒤덮여 장관을 이룬다. 새로운 정원 ""꽃객프로젝트""로 2019년부터 고창 핑크뮬리 축제도 진행하고 있다. 66,000m²의 정원에 펼쳐진 10여 만 본의 핑크뮬리, 핑크메밀, 백일홍, 천일홍, 코키아 등 아름다운 꽃들과 정원수들을 감상할 수 있다. 꽃과 정원을 찾는 여행객인 '꽃객'은 현명한 로컬여행에 참여하며 즐거운 추억을 쌓게 된다."
전라북도 고창군 상하면 자룡리 984,,37,0,A01,A0101,A01011400,2737299,12,20210830191709,http://tong.visitkorea.or.kr/cms/resource/40/2737440_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/40/2737440_image2_1.JPG,126.4297461318,35.4496435148,6.0,20211105224549,0,1,,구시포항,56408,"1800년 무렵부터 소금을 생산하던 포구로써 염전을 일구기 위하여 설치한 수문 모양이 소의 구시통(구유의 방언)처럼 생겼다고 하여 현재의 이름이 붙어졌다. 주변 경치가 아름다워 해양수산부에서 선정한 '아름다운 어촌 100선'에 뽑혔으며, 울창한 송림과 넓고 단단한 모래사장을 갖춘 구시포 해수욕장과 해수 찜이 잘 알려져 있다. 고창의 남쪽 끝에 위치한 구시포항은 여느 항구와 달리 육지에서 떨어져 있는 가막도라는 섬에 자리하고 있다. 다른 항구에 비해 조수간만의 영향을 받지 않고 어선이 입출항할 수 있는 조건을 갖추고 있으며, 항구를 와인잔 형태로 넓게 정비하면서 바다로 뻗은 800m의 긴 제방과 등대, 전망데크, 트릭아트, 공원 등의 시설을 갖춰 더욱 쾌적하고 즐겁게 항구를 즐길 수 있다."
전라북도 고창군 아산면 운곡서원길 362,,37,0,A01,A0102,A01020100,2720432,12,20210610002030,,,126.6540256843,35.4693367042,6.0,20220502134241,1,1,,고창 운곡람사르습지,56452,"2011년 람사르 습지로 등록된 운곡습지는 국가생태관광지로 멸종 위기의 야생동물을 비롯한 희귀 동식물을 관찰할 수 있는 최고의 장소로 다양한 생명체들이 내뿜는 강인한 생명력을 느낄 수 있다. 습지 탐방로는 총 4가지 코스로 구성돼 있다.  1코스는 3.6㎞ 길이로 50분 정도 소요되며, 고인돌 유적지에서 오베이 골을 따라 운곡람사르습지에 이른다. 2코스는 9.5㎞로 2시간30분 소요되며, 운곡저수지를 한 바퀴 일주하면서 안덕제, 운곡서원, 조류관찰대, 용계마을을 두루 거치는 코스다.  3코스는 가장 긴 10.2㎞로 3시간30분 이상 소요되며, 고인돌 유적지에서 화암봉, 옥녀봉, 호암재, 무재등, 화시봉 등 일대 주요 산봉우리와 능선을 지나 운곡람사르습지 자연생태공원에 이르는 코스다. 4코스는10.1㎞ 코스로 2시간50분 정도 소요되며, 탐방안내소(친환경 주차장)에서 출발해 굴치농원, 전망대, 인덕사 옛 터, 물맞이폭포, 백운재를 거쳐 운곡람사르습지 자연생태공원에 이르는 코스다."
전라북도 고창군 공음면 청천길 41-27,,37,0,A02,A0204,A02040800,2719004,12,20210602013716,http://tong.visitkorea.or.kr/cms/resource/01/2719001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2719001_image2_1.jpg,126.5350719884,35.373642785,6.0,20220519174146,2,1,,고창 청농원,56461,"고창 공음면에 위치한 스테이팜 관광지로, 여름에는 라벤더 정원, 가을에는 핑크뮬리 정원 관람 서비스를 제공하고 있으며 이 외에도 카페, 한옥스테이 시설을 이용할 수 있다. 2019년 한옥 술암제 스테이,2020년 핑크뮬리 정원 관람을 시작으로 2021년 5월 카페시설과 라벤더 정원 오픈을 앞두고 있다. 약 3,500여평의 핑크뮬리 부지와 4,000여평의 라벤더 부지를 조성해놓아 계절별로 우수한 자연경관을 관람할 수 있다. 시즌이 아닐 때는 자유롭게 카페이용과 산책로, 정원 산책 등이 가능하다. 또한 80년된 한옥을 현대식으로 개조한 독채형 한옥 술암제는 정원6명(최대 10명)이 머무를 수 있으며 청농원의 부지 가운데 위치하여 아늑하고 고즈넉한 한옥의 정취를 제대로 즐길 수 있다."
전라북도 고창군 고창읍 동리로 120,,37,0,A02,A0203,A02030400,2690525,12,20201203010023,http://tong.visitkorea.or.kr/cms/resource/57/2687457_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2687457_image3_1.jpg,126.7054775943,35.432500083,6.0,20211118221838,6,1,,고창읍성 도예체험장,56441,"한옥으로 지어진 편하고 쾌적한 체험공간으로 가마, 물레, 토륜기, 각종 도구 등 완벽한 시설을 구비한 곳이다. 실내, 실외 체험이 모두 가능하며 전통자기부문 명인의 강의를 받을 수 있다."
전라북도 고창군 상하면 상하농원길 11-23,,37,0,A02,A0204,A02040800,2673663,12,20200922235502,,,126.4504387799,35.4477857379,,20220901155158,1,1,,상하농원,56408,"stong매일유업과 고창군이 조성한 체험형 농촌 테마파크stong 매일유업과 고창군이 조성한 체험형 농촌 테마파크다. 지역과 농민, 소비자의 연결고리가 되는 농원인 동시에 아이들에게 농촌의 가치와 자연산 먹거리의 소중함을 일깨우는 것을 지향한다. 농산물 재배, 가공, 유통, 소비가 한꺼번에 이루어지는 농원으로, 농축산업(1차), 제조업(2차), 서비스업(3차)이 혼합된 6차 산업의 특성을 경험할 수 있는 것이 특징이다. 방문객은 유기농 먹거리를 맛보고 구입하고 직접 만드는 과정을 통해 친환경 식재료가 음식이 되는 과정을 몸소 체험할 수 있다. 체험교실은 아이들이 소시지, 동물 쿠키, 유기농 아이스크림 등을 만드는 공간이다. 과일·햄·빵·발효 공방에서는 지역 농민들이 농사 지은 식재료가 제조되는 과정을 통유리 너머로 견학할 수 있다. 또한 푸릇한 초원에서 양, 염소, 젖소, 꽃사슴 등 다양한 동물에게 먹이를 주며 동물과 교감하는 시간을 가질 수 있다. 상하키친과 농원식당은 각각 햄공방에서 만든 햄과 소시지, 고창산 장어구이 덮밥 등 농원과 고창군의 신선한 재료로 건강한 음식을 낸다. 파머스빌리지는 상하농원 전경이 한눈에 내려다 보이는 언덕 위에 자리한 친환경 호텔로, 청정한 자연 속의 팜스테이를 표방한다. "
전라북도 고창군 심원면 애향갯벌로 311,,37,0,A02,A0202,A02020700,2662512,12,20200707201113,,,126.5147698594,35.5310384693,6.0,20220906162419,0,1,,서해안 바람공원,56401,"고창 서해안 바람공원은 빨간풍차와 바람개비 등 시원한 바닷바람과 서해안의 일몰을 감상할 수 있는 공원이다. 남녀노소 누구나 휴식을 하기에 좋은 곳으로, 광장, 산책로, 전망대, 등 다양한 편의시설이 있다."
전라북도 고창군 고창읍 고인돌공원길 74,,37,0,A01,A0101,A01010500,2616725,12,20190827221702,,,126.6523626392,35.4416675934,6.0,20221205140927,0,1,,운곡습지 및 고인돌군 (전북 서해안 국가지질공원),56443,"운곡습지는 산지형 습지로서 생물다양성이 풍부하고 생태적으로 우수한 자연환경이 보전된 지역이다. 과거 운곡습지는 계단식 논으로 개간되어 경작이 이루어지던 경작지였으나, 폐경 등 인위적인 간섭이 배제되어 현재는 생태계의 놀라운 회복과정을 거쳐 본래의 산지습지로 자연 복원되고 있어, 폐경지와 같은 유휴 농지의 습지복원 사례로 그 가치가 높다. 운곡습지는 2014년 국가지정 생태관광지역으로 선정되어 고창 고인돌 유적과 함께 생태와 지질, 역사문화를 한번에 탐방할 수 있는 지질명소라 할 수 있다.  고인돌은 큰 바위를 이용하여 무덤을 만드는데 사용하였기 때문에 당시의 기술과 사회현상을 파악하고 우리나라 선사문화의 독창성과 과학성을 엿볼 수 있다. 특히, 고창 고인돌군 밀집 지역 인근에 위치한 고인돌 채석장에서 어떻게 큰 바위를 채굴하고 이동했는지에 대한 과학적 원리를 이해할 수 있다. 특히, 채석장은 약 23곳에서 확인되었는데 쐐기구멍으로 추정되는 것을 비롯해 다양한 채석 흔적들이 보인다. 한편 고인돌 축조에 사용된 석재는 유문암, 유문암질 화산력응회암, 데사이트(석영안산암) 등이 사용되어 왔다.  출처 : 전라북도지질공원"
전라북도 고창군 부안면 용산리,,37,0,A01,A0101,A01010400,2615254,12,20190814221703,http://tong.visitkorea.or.kr/cms/resource/49/2615249_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/49/2615249_image2_1.bmp,126.6208411893,35.5223856789,6.0,20221208170108,0,1,,소요산 (전북 서해안 국가지질공원),56417,"소요산 8부 능선 부근에는 선운산 화산암체가 형성되는 최후기에 마그마의 점성이 큰 유문암의 관입으로 인해 형성된 용암돔을 관찰할 수 있다. 용암돔은 안산암질이나 유문암질 마그마와 같이 점성이 큰 용암이 지표로 분출하여 화구 위로 솟아올라서 종을 엎은 모양으로 된 화산을 말하며, 흔히 종상화산이라고도 한다. 화구에서 밀려나온 점성이 큰 용암은 화구에서 멀리 흘러내리지 못하고, 화구를 메우면서 돔 모양의 화산체를 형성한다. 여기서는 화산암이 유동하면서 굳어질 때 가지게 되는 평행 구조인 유상구조가 내부에서 수직 방향으로 발달해 있는 것을 관찰할 수 있다. 그렇기 때문에 소요산 용암돔은 점성이 큰 유문암질 용암돔의 내부 성장과정을 학습할 수 있는 좋은 장소가 된다."
