addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 군산시 철새로 120 금강미래체험관,,37,,A01,A0101,A01010500,2911408,12,20221117135645,,,126.7648961534,36.0201953261,6.0,20221117135702,0,2,,금강미래체험관,54045,"2003년 금강하구 서해안의 넓은 갯벌과 갈대밭에 조성된 금강미래체험관은(구.금강철새조망대) 금강의 생태와 기후위기를 소재로 한 전시와 체험 프로그램, 야외 생태공원으로 구성된 생태와 기후위기 체험시설이다. 

겨울철 금강에 서식하는 철새들 관찰 용도의 전시관으로 조성되었으나, 지구 온난화와 조류 인플루엔자 유행 등의 상황 변화에 따라 기존 철새관찰 위주의 전시관에서 나아가 금강의 생태와 기후변화 체험을 다루는 전시관이자 체험관으로 변화하며 전시관 내부 리모델링 공사를 진행중이다. 

1층과 2층 전시관에서는 금강의 생태를, 9층에서는 곤충들의 표본과 기후변화가 곤충들에 미치는 영향에 대해 전시하고 있으며, 10층은 기후변화, 물, 해양쓰레기, 자원순환, 신재생에너지 등의 주제와 관련된 체험활동 공간이다. 
11층 전망대에서는 금강을 조망할 수 있다. 

야외 생태공원은 독수리와 수리부엉이를 볼 수 있는 맹금사장, 열대식물과 미어캣, 앵무새 등을 만날 수 있는 온난화 체험장, 기후변화 교육장, 자원순환체험장, 태양광과 풍력 에너지 체험이 가능한 에너지체험장, 물의 소중함을 알 수 있는 물체험관, 해양쓰레기의 심각성을 보여주는 해양체험관 등으로 구성되어, 공원 산책을 즐기며 생태와 기후위기의 심각성에 대해 배우는 체험이 가능하다. 

【인접관광지】금강습지생태공원, 금강자전거길 
금강미래체험관의 맞은 편에는 금강 수변에 조성된 금강습지생태공원이 위치한다. 갈대숲 산책로와 생태연못, 수변 철새탐방로 등이 조성되어 있고, 곳곳에 쉬어갈 수 있는 정자와 벤치가 있어 한가로운 산책을 즐기기에 좋으며, 특히 해질녘 금강의 석양을 감상할 수 있는 명소이다. 
금강수변로를 따라 형성된 금강자전거길은 자전거 여행족이 즐겨 찾는 아름다운 자전거길이기도 하며, 금강습지생태공원 입구에는 군산시에서 운영하는 공공자전거 무인대여소가 위치해 있다. 

금강미래체험관에서는 자연의 소중함을 깨닫고 기후위기 극복을 위한 방법과 금강의 문화・생태에 대해 배우는 다양한 금강미래체험프로그램운영을 통해 유・소년부터 성인에 이르기까지 일상생활에서 기후 위기 극복을 위한 실천기능한 대안들을 마련하고 실천에 앞장서고 있다. 

유·초등 체험프로그램 찾아가는 초등미래교실 찾아가는 중등미래교실 등의 프로그램을 통해 금강미래체험관에서 자체 양성한 강사진이 금강의 생태·문화, 기후위기 체험 및 교육을 추진하고 있으며, 프로그램은 강사진이 학교에 직접 출강, 야외체험학습, 금강미래체험관 관람(견학) 등의 형태로 진행된다. 

2020년부터 금강미래체험관을 알리고 일상에서의 기후위기 대응 실천 방안을 전파하고자 SNS를 중심으로 기후행동 실천 캠페인을 추진하면서 플로깅, 음쓰제로(음식물쓰레기 제로), 일회용품 다이어트 등의 주제로 시민참여 캠페인을 추진해왔다. 그동안 어린이 학생 위주의 기후위기 교육을 중장년 노인층까지 확대하고자 22년 하반기중에는 자원순환의 개념, 분리배출, 쓰레기 처리과정 등에 관해 체험을 연계한 시민캠페인을 추진한다. 

  내부 전시관(1,2층) 리모델링으로 인해 출입 제한 (  22. 12월)"
전라북도 군산시 옥도면 대장도리,,37,,A01,A0101,A01011300,2860680,12,20220927111458,,,126.3945094696,35.8181426562,6.0,20220927172634,1,2,063-454-7280,대장도,54000,"옛날에 어떤 사람이 나타나 섬을 한바퀴 돌아보고 훗날에 크고 긴 다리가 생길 것이라고 말한 후 사라져 버렸는데 그 말을 믿고 주민들이 대장도라 불렀다고 한다. 지금은 현수교가 놓여져 편리하게 장자도와 오간다. 산 중턱에는 아기를 업고 고기잡이 나간 남편을 기다리다가 돌이 되었다는 전설이 서린 할매바위가 있다.

한 개인이 수십 년 간 채집한 각양각색의 분재와 수석을 전시하는 곳도 가 볼만하다. 일출과 일몰 광경은 장자도로 이어지는 다리 앞 언덕이 최고로 아름답다. 0.34km 의 아주 조그만 섬으로 한 폭의 그림과 같고 평화롭고 조용한 전형적인 어촌마을이다. 선유도, 장자도와 다리로 연결되어 걷거나 자전거 하이킹을 즐길 수 있다. 선유도까지는 걸으면 30분 정도가 걸린다. (출처 : 군산시 문화관광 홈페이지)"
전라북도 군산시 옥서면 선연리,,37,0.0,A01,A0101,A01011400,2784660,12,20211201222038,http://tong.visitkorea.or.kr/cms/resource/89/2798889_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2798889_image2_1.jpg,126.624411592,35.9089445152,6.0,20221202164036,1,2,,하제선착장,,"하제항은 한때는 어선들이 많이 드나들던 곳이었으나, 새만금 방조제가 건설되면서 어항의 기능을 상실하고 버려진 배들로 가득한 폐 선착장이다. 이곳은 얕은 바다 갯벌에 아무렇게나 뒹굴고 있는 낡은 폐선들의 무덤이기도 하지만, 사진작가들에게는 핫플레이스로 자리매김하고 있다. 일몰 빛에 기대어 버려지고 잊혀져가는 하제항의 무망한 풍경을 담기 위해 찾는 이들이 많다."
전라북도 군산시 새만금북로 27,(비응도동),37,0.0,A02,A0202,A02020700,2783863,12,20211130233142,http://tong.visitkorea.or.kr/cms/resource/67/2798267_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2798267_image2_1.jpg,126.5389933376,35.9438890764,6.0,20220506101213,0,2,,새만금 비응공원,54003,"새만금 비응공원은 48,993㎡의 부지에 다양한 수경 시설, 파고라, 녹향길, 야외무대, 무궁화동산 등이 다채롭게 구성되어 있다. 무궁화동산에는 30여 종의 무궁화를 식재하고 다양한 색깔의 무궁화를 이용해 태극무늬 모양을 꾸미는 등 자연스럽게 무궁화에 대해 배울 수 있는 공간으로 조성되었으며 다목적 잔디마당에는 넓은 초원과 야외무대가 있어 야외 콘서트를 비롯해 이벤트 등이 펼쳐져 여가와 문화생활을 즐기는 데 도움이 되고 있다. 또한, 광장 주변에는 무더운 한여름 밤을 시원하게 날려 줄 파노라마, 무지개 분수 등 수경 시설 6개소가 있으며 특히 야간에는 경관조명과 함께 연출되는 분수가 새로운 군산의 사진 명소가 되고 있다. 이 밖에도 이용자들의 편의를 위한 화장실, 주차장, 음수대 등이 있으며 특히 녹향길이라는 산책로와 쉼터 등은 연인들의 데이트 장소로 사랑받고 있다."
전라북도 군산시 옥도면 선유도1길 238-7,,37,0.0,A01,A0101,A01011200,2759671,12,20211020193841,http://tong.visitkorea.or.kr/cms/resource/42/2759842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2759842_image2_1.jpg,126.4022890673,35.8284888289,6.0,20220622141908,1,2,,몽돌해수욕장/몽돌해변,54000,"군산 몽돌해수욕장은 선유도 남악마을 뒤편에 자리 잡고 있다. 해변의 전체 길이는 100m 남짓이며 모래 대신 파도에 풍화된 동그랗고 부드러운 모양의 자갈이 해변 바닥에 깔려있어 몽돌해수욕장으로 불린다. 돌멩이 크기는 제각각이지만 모가 나지 않고 동글동글해 맨발로 걸어도 상처가 나지 않는다. 또, 파도가 칠 때마다 몽돌들이 부딪치며 내는 소리가 아름답고 인상적이다. 자연환경이 수려해서 사진 찍는 명소로 알려져 있고 몽돌해변 정면에 위치한 방축도를 바라보며 바닷가를 산책하기에도 좋다. 가볍게 물놀이를 즐길 수도 있다. 환경관련 법이 적용돼 몽돌이 예쁘다고 외부로 가져가서는 안된다."
전라북도 군산시 옥도면 선유도리,,37,0.0,A01,A0101,A01011400,2748819,12,20210924184346,,,126.4113027053,35.8065470386,6.0,20221206103859,0,2,,선유1구항,,"선유1구항은 천혜의 비경에 신선이 노닐었다는 섬, 선유도의 중심 어항으로 선유1구항, 2구항, 3구항이 있다. 새만금 방조제가 생기면서 선유도는 육지 섬이 되었고 승용차로 선유항으로의 접근이 가능해졌다. 무녀도에서 선유대교를 건너 교차로에서 좌회전하면 선유1구항과 조용한 어촌을 만날 수 있다. 이곳은 구불8길 고군산길(B 코스) 구간이기도 하다. 어선들이 정박해 있는 평화로운 항구 주변에서는 낚시도 즐길 수 있는데 삼치, 고등어, 주꾸미, 벵에돔, 갑오징어 등이 잡힌다. 마을에서 해안을 따라 남녀노소 편하게 산책을 할 수 있는 해안 산책로도 잘 조성되어 있으며 중간중간에 해안 바위 쪽으로 내려갈 수도 있다. 바위에 부딪히는 파도 소리와 주상절리, 기암괴석, 고군산군도 바다 풍광에 발걸음이 저절로 멈춰진다. 마을에는 바다 전망의 민박과 펜션, 마트와 식당이 있다."
전북 군산시 옥도면 야미도리 153,,37,0.0,A01,A0101,A01011400,2748815,12,20210924184056,,,126.4885088245,35.8406444497,6.0,20211110201937,0,2,,야미도선착장,,"야미도는 새만금 사업으로 육지화된 고즈넉한 섬마을로 고군산군도 섬 중에서 육지에서 가장 가까운 섬이다. 군산에서 남서쪽으로 약 11km 정도 떨어져 있다. 원래 밤나무가 많아 밤섬이라 불리다가 '밤(栗)'을 한자로 잘못 표기하여 야(夜)로 쓰면서 야미도라 불렸다. 결국 밤(夜)이 맛있다 하여 미(味)를 붙여 야미도라 했다. 야미도가 방조제로 육지와 연결되기 전에는 주민들이 어업에 주로 종사했으며 지금은 낚시 관광지로도 유명하다. 농어, 우럭, 흑돔, 노래미 등이 잡히는 바다낚시의 명소로 인기가 많으며 서해의 아름다운 일출과 일몰을 동시에 감상할 수 있는 곳이다."
전라북도 군산시 옥도면 장자도1길 10,,37,0.0,A02,A0202,A02020800,2748799,12,20210924183729,,,126.3951207303,35.8100796971,6.0,20211112225500,0,2,,장자도여객터미널,54000,"장자도 여객터미널은 군산의 많은 섬 중 관리도, 방축도, 명도, 말도행 여객선을 탈 수 있는 터미널이다. 여객선은 섬을 드나드는 주민들뿐만 아니라 당일치기로 섬을 둘러보는 여행객들도 즐겨 찾는다. 장자도 선착장에서 출발한 여객선은 관리도, 방축도, 명도, 말도를 돌아 나오는 코스로 운항하기 때문에 바다 위에 떠 있는 섬들의 절경과 책바위, 독립문바위, 말도 등대를 편하게 배 위에서 감상할 수 있다. 여객선을 타고 유람하는 여행객들이 많은 이유도 바로 이 때문이다. 배 위에서 마주하는 바다와 섬이 조화를 이루어 자아내는 풍경은 육지에서의 그것과는 사뭇 다르게 느껴질 것이다. 여객선을 타고 유람선처럼 섬을 돌며 관람하는 여행객들도 많다."
전라북도 군산시 옥도면 장자도1길 10,,37,0.0,A01,A0101,A01011400,2748760,12,20210924183209,,,126.3951207303,35.8100796971,6.0,20211111005039,0,2,,장자도선착장,54000,"장자도 선착장은 고군산군도 중 도로가 끝나는 위치에 자리한 곳으로, 예로부터 태풍이 불면 어선들이 대피하는 항구로 유명하다. 고군산도의 유인도 중 가장 작은 섬으로 힘이 센 장자가 나왔다 하여 장자섬이라 불린다. 섬의 모양은 뛰는 말을 닮았고, 예로부터 선유 8경 중 하나인 '장자어화'로 유명하다. 멸치 포구로 유명하여 90년대 후반까지 포구 주변에 젓갈을 담은 통들이 빼곡했다. 현재는 멸치보단 까나리가 전국적으로 유명하다. 주변의 섬인 관리도, 방축도, 명도, 말도 등을 이어주는 항으로 섬 주민 외에도 관광객이 주로 이용한다. 장자도 선착장은 망주봉, 장자봉, 선유봉 등을 한꺼번에 볼 수 있는 경관 명소이기도 하다."
전라북도 군산시 옥도면 선유도리 산66,,37,0.0,A01,A0101,A01011200,2748431,12,20210924022656,,,126.4104277756,35.8068858742,6.0,20221202160217,0,2,,옥돌해수욕장,54000,"선유항 선유1구 통계 마을 앞에는 아담한 크기의 옥돌 해수욕장이 있다. 해변에 모래가 아닌 부드러운 옥돌이 깔려 있어 옥돌해수욕장으로 불린다. 한적한 바다 위 윤슬과 옥돌이 파도에 부딪히며 들려주는 소리는 매혹적이고 주변의 기암괴석과 어우러지는 바다와 섬 풍경은 그 자체로 한 폭의 그림처럼 아름답다. 군산 도보여행 길인 구불8길 구간에 위치하는 해수욕장은 산책로와 연결되어 있어 인근 선유봉도 둘러볼 수 있다. 선유봉에서 내려다보는 옥돌 해수욕장과 해변 데크 산책로, 고군산군도 및 선유팔경 중 하나인 삼도귀범(귀향하는 고깃배 형상을 가진 세 개의 섬인 앞삼섬, 주삼섬, 장구도) 풍경은 자연의 아름다움을 그대로 전해준다."
전라북도 군산시 옥도면 새만금로 1563-26,,37,0.0,A02,A0202,A02020700,2743296,12,20210910224250,,,126.4761631654,35.8225768576,6.0,20221202140757,0,2,,새만금무궁화공원,54000,"새만금 무궁화공원은 한국농어촌공사 새만금 33센터 바로 맞은편에 있는 자연 쉼터 내에 있는 작은 공원이다. 넓은 잔디밭과 꽃을 감상하며 쉬어가기 좋은 공원으로 새만금 방조제의 배수관문을 가까이에서 볼 수 있다. 시원한 조망의 하늘과 바다를 바라보며 산책하다 보면 힐링이 따로 없다. 무궁화 31품종과 회양목이 식재되어 있고 무궁화를 계통별(배달계, 아사달계, 단심계 무궁화)로 한자리에서 관람할 수 있다. 새만금 인접 지역인 군산시, 김제시, 부안군의 화합과 발전을 기원하는 의미로 세 갈래의 무궁화 물결이 하나를 이루는 것을 형상화한 화합 마당도 마련되어 있다. 해 질 무렵 이곳에서 바라보는 서해의 노을도 참 아름답다. 바로 옆 33센터 전망대도 함께 들르면 좋다."
전라북도 군산시 분멀5길 29,(오식도동),37,0.0,A02,A0202,A02020700,2743290,12,20210910223443,,,126.5701955001,35.9672674923,6.0,20221202153136,0,2,,생말공원,54005,"오식도동에 위치한 생말공원은 축구장, 테니스장, 농구장, 풋살장 등 체육시설이 있고 산책로가 잘 조성된 근린공원이다. 인근 주민이나 직장인들이 산책하며 휴식을 취하고 운동을 하기 위해 들른다. 평일에는 한산한 편이고 주말에는 산책과 소풍을 나온 이용객들이 많다. 특히 축구장과 풋살경기장 등은 규모도 크고 관리가 잘 되어 있어 군산에 있는 회사들이 이곳에서 체육대회를 많이 치르곤 한다. 축구장과 풋살 경기장은 군산시청에서 관리 운영하는 공공 체육시설로 담당자에게 사용 신청 후 이용하면 된다."
전라북도 군산시 옥도면 선유북길 37,,37,0.0,A02,A0202,A02020800,2743288,12,20210910222719,,,126.4161049225,35.811732639,6.0,20211110202851,0,2,,군산선유도유람선,54000,"군산 선유도 유람선은 선유도에서 출항하여 고군산군도를 돌아볼 수 있는 해상관광 유람선이다. A 코스와 B 코스가 있으며 선유1구(구불길), 선유봉, 인어등대, 독립문바위, 장자할매바위, 방축도, 횡경도(거북바위), 닭섬신시도 등을 돌아볼 수 있다. 부정기선으로 출발 시간은 그날 상황에 따라 달라질 수 있다. 코스와 이용일, 시간 등을 확인 후 온라인으로 쿠폰을 구매하고, 이용 당일 신분증을 지참하고 출항 시간 30분 전에 도착해 예약확인 후 안내에 따라 탑승하면 된다. 유람선을 타고 바라보는 선유8경(선유낙조, 삼도귀범, 월영단풍, 평사낙안, 명사십리, 망주폭포 등)의 풍광은 환상 그 자체이다."
