addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 김제시 죽산면 화초로 180,,37,0,A02,A0203,A02030600,2778525,12,20211124200953,http://tong.visitkorea.or.kr/cms/resource/91/2788191_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2788191_image2_1.jpg,126.8425483574,35.7743969017,6.0,20220706174159,3,3,,아리랑문학마을,54420,"조정래 작가의 대하소설 아리랑 속 장소들을 재현한 아리랑 문학마을은 김제를 배경으로 민족의 수난과 투쟁의 역사를 체험할 수 있는 곳으로 홍보관, 하얼빈 역사, 이민자 가옥, 내촌 외리 마을, 근대 수탈 기관으로 구성되어 있다. 홍보관 1층 벽면에 12권짜리 대하소설 대강의 줄거리를 한눈에 볼 수 있고, 2층은 죽음도 불사하고 나라를 독립시키려고 전진했던 김제 출신의 독립투사들에 관한 이야기를 담아냈다. 안중근 의사의 하얼빈 의거 장면을 실감 나게 볼 수 있는 하얼빈 역사, 일제의 수탈에 고향을 떠나 타지로 갔던 사람들의 열악한 이민자 가옥, 근대 수탈 기관을 재현해낸 내촌이 재현되어 있다. 외리 마을의 촌락과 토지조사사업으로 조선의 땅을 빼앗는 데 활용되었을 망원경, 나침반, 카메라, 주판, 등사기 등이 전시된 죽산 면사무소, 주재소(일제강점기 순사가 근무하던 기관), 우체국, 정미소 등도 관람할 수 있다."
전라북도 김제시 명덕1길 240-8,(명덕동),37,0,A02,A0201,A02010700,1957057,12,20141016224621,,,126.8382620959,35.7950361459,6.0,20221005162643,2020,3,,율산서원,54370,율산 서원은 한말의 호남의 대 유학자 금재(欽齋) 최병식(崔秉心) 선생의 학문과 덕망을 숭모하고자 제자 라지는 선 선생이 자신의 향리인 죽림 후원에 사재를 헌납하여 1984년 7월에 건립한 서원이다. 1984년 10월 금재 선생 영위(靈位) 봉안 후 매년 추향 샤로 배향해왔다. 1997년 부지 확장을 통한 서원 중건 후 단청 및 조경공사를 했다. 2001년 7월 라지는 선 선생이 향년 96세로 타계하시니 지역 유림들의 절대적 추대로 2003년 8월 정재(正齋) 라지는 선(羅鎭旋) 선생 영위가 봉안되며 배향됐다. 매년 음력 10월 중정이에 지역 유림 인사와 율산 서원 강학 회원이 참석한 가운데 경건한 향사 봉행이 이어져 오고 있다.
전라북도 김제시 백산면 하서3길 84,,37,0,A02,A0201,A02010700,1956984,12,20141016185537,,,126.8718860797,35.8258554346,6.0,20220826142046,2059,3,,백산서원(김제),54365,"1928년에 지은 목조 건물로서 조선 선조 때의 문신 청곡(靑谷) 윤찬을 비롯하여 구봉(九峰) 윤여임(尹汝任), 죽계(竹溪) 백선남(白善男), 죽음(竹陰) 윤자선(尹滋善), 담재(澹齋) 윤자민(尹滋民) 등의 위패를 모시고 있다. 윤여임은 윤찬의 아들로 백선남과 함께 병자호란 때 순국하여 병조참판에 추증되었고, 윤자선은 윤찬의 후손으로 병마절제도위(兵馬節制都尉)를 지냈으며, 윤자민은 윤자선의 동생이다.  경내에는 제사를 지내는 사당인 정면 3칸의 백산사와 무인 및 무관들이 모여서 강의를 한 정면 5칸의 강당, 정면 각 3칸의 내·외삼문이 있다. 기둥은 백두산에서 벌채한 나무로 만들었으며, 건물의 규모가 웅장하고 보존상태가 매우 좋다. 매년 음력 2월 중정(中丁)에 제사를 지낸다. 보호면적 2,387㎡로, 파평윤씨 백산사 종중에서 소유 관리하고 있다. "
전라북도 김제시 성덕면 만경로 600-92,(성덕면),37,0,A02,A0201,A02010700,1956442,12,20141016002113,,,126.8247510083,35.8408084793,6.0,20220826114901,1105,3,,남산서원(김제),54314,1574년(선조 7)에 창건하였다가 1890년(고종 7)에 철폐되었던 것을 1970년 이 지방에서 유교를 공부하는 학자들이 다시 지었다. 이곳에는 병자호란 당시 척화파였던 유지화(柳志和)를 모시고 있었으나 그 뒤 순조 때에 남궁석제(南宮石齊)를 추가 배향하였다.
전라북도 김제시 장화동,,37,0,A02,A0201,A02010700,1600978,12,20120413005859,,,126.8615522722,35.7723224633,6.0,20211105191210,16360,3,,화동서원,54417,"정씨 효자 3형제를 기리는 서원이다. 김제시 장화동에 있다. 화동서원에 배향된 정씨 3형제는 정윤교, 정윤준, 정윤검이다. 이들은 16년 동안 상복을 입고 전국을 누비며 무고로 사망한 아버지의 원수를 갚았다. 그리고 그 후 동헌에 자진출두해 벌 받기를 자청했다. 그 효성에 감복해 고을 사또가 3형제 중 첫째만 옥에 가두었다. 그러자 나머지 두 동생이 함께 벌을 달라 무릎꿇어 호소했다. 저간의 사정을 들은 인근 선비들이 탄원해 첫째가 풀려날 수 있었는데, 가뭄을 앓던 마을에 단비가 내려 해갈되었다고 전한다. 그 후 3형제는 벼슬을 마다하고 고향에서후진을 양성하는 데 온 힘을 쏟았다고 한다. 서원은 인근 지방의 유림들이 이들 3형제의 효심과 우애를 본받고자 1924년에 세웠다. "
전라북도 김제시 백산면 생건길 48,(백산면),37,0,A02,A0201,A02010700,1600967,12,20120413005038,,,126.8902565094,35.8318217374,6.0,20220324174159,15209,3,,학당서원,54365,"학당서원은 1654년(효종 5)에 창건하고 1869년(고종 6)에 철폐되었던 것을 1971년에 다시 지은 것이다. 사당에는 안처(安處)를 중심으로 정담(鄭湛), 안경지(安敬智), 안징(安徵), 안위(安衛), 안철(安徹), 나신도(羅伸道), 나팔기(羅八起), 안대규(安大規) 등이 모셔져 있다."
전라북도 김제시 효자로 109-2,(신풍동),37,0,A02,A0201,A02010700,1600944,12,20120413004004,,,126.8889993041,35.7925484092,6.0,20221125140454,15249,3,,팔효사,54411,"8효자 집안으로 유명한 나주나씨 가문의 사당이다. 김제시 신풍동에 있다. 팔효사 안에는 크고 오래된 은행나무가 있다. 이 사당 안에 주벽으로 모셔진 나안세의 부친이 심은 것이다. 문중에 경사가 있을 때면 이 은행나무에 큰북을 달아서 두드림으로서 그 사실을 알렸다고 한다. 희한한 것이 이 은행나무는 8효자가 태어날 때 열매가 맺히지 않았다고 한다. 이 은행나무의 수령은 500년 정도로 추정하고 있다. 1629년(인조7)에 건립된 팔요사는 1868년(고종 5) 서원철폐령 당시 훼철됐다가 됐다가 1965년 다시 세워졌다. 정면 3칸, 측면 4칸으로 이루어진 맞배지붕형태의 사당과 정면 4칸, 측면 3칸으로 이루어진 팔작지붕형태의 강당이 있다. "
전라북도 김제시 금산면 청도4길 143-28,,37,0,A02,A0201,A02010800,1600898,12,20120413001507,,,127.0551637022,35.7378741535,6.0,20220916175237,16584,3,,천국사(김제),54343,"금산면 청도리 모악산 밑에 위치한 천국사는 원래 이름이 천위사(天圍寺)로, 1767년 박재천 스님이 작은 암자로 유지해 오다가 1982년에 법전(法典) 주지가 부임해 29평 목조기와집인 법당을 짓고 절의 면모를 갖추어 천국사라 했다. 이 천국사에는 감천수가 있어 지금도 약수를 받으러 오는 사람이 많은 곳이다."
전라북도 김제시 진멀길 134-7,,37,0,A02,A0201,A02010700,1600728,12,20120412224329,,,126.8835880247,35.8177232279,6.0,20220923164321,15393,3,,지음서원,54365,1634년(인조 12)에 지방유림의 공의로 나쾌(羅快)의 학문과 덕행을 추모하기 위하여 경기도 이천에 창건하여 위패를 모셨다. 그 뒤 병자호란으로 소실되자 1752년(영조 28) 김제 지봉(芝峰) 아래로 옮겨 세우고 이귀(李貴)·고봉익(高鳳翼)·나처대(羅處大)를 추가 배향하였다. 선현배향과 지방교육의 일익을 담당하여오던 중 1871년(고종 9)에 대원군의 서원철폐령으로 훼철되었다. 1909년 유림에 의하여 제단을 설치하고 향사를 계속해오다가 1911년 유허지(遺墟地)에 복원하고 그 뒤 나수눌(羅守訥)·나희후(羅喜厚)를 추가 배향하였다.
전라북도 김제시 장화2길 150-5,(장화동),37,0,A02,A0201,A02010400,1600719,12,20120412223336,,,126.8585497199,35.7739388945,6.0,20220919174523,16837,3,,정구례고가(정구례옛집),54417,"구례군수를 지냈던 정준섭이 살았던 전통 가옥이다. 구례군수의 '구례', 정준섭의 '정'을 따서 '정구례'가옥이라 불리고 있다. 김제시 장화동에 자리하고 있다. 본래 지붕이 초가였으나 현재는 모두 기와로 바꿨다. 조선 후기 건립된 이 가옥에는 안채, 사랑채, 안 사랑채, 행랑채, 안 행랑채, 고방채, 사당채, 등으로 이루어져 있다. 세월이 많이 흘렀으나 옛모습을 비교적 잘 간직하고 있다. 김제 지방의 전형적인 상류층 가옥으로 두리기둥에 '亞'자 살문을 달고 있다. 1976년 전라북도 민속자료 제11호로 지정된 장화리 쌀뒤주가 안채 앞에 있다."
