addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 남원시 소리길 86,,37,,A02,A0203,A02030600,2895267,12,20221103172059,,,127.3869484935,35.403989972,6,20221124095404,0,4,,남원에어레일,55795,"남원시의 주요 관광지가 밀집해있는 남원관광단지 내 춘향테마파크 – 함파우소리체험관 – 남원항공우주천문대를 연결하는 3개 스테이션, 총 연장 2.44KM 구간을 순환하는 관광 모노레일이다. 또한 차량 내 냉·난방 시스템과 8인승의 쾌적한 내부공간을 자랑하며 최고 높이 11.2m 고공 레일을 따라 이동하며 남원시의 아름다운 경관을 조망할 수 있으며, 하늘길을 따라 펼쳐진 경관 위로 고급스러운 롤러코스터를 타는 기분을 만끽할 수 있는 힐링 짜릿 모노레일이다."
전라북도 남원시 인월면 인월리 산53-1,,37,0.0,A01,A0101,A01010600,2795178,12,20211214184922,http://tong.visitkorea.or.kr/cms/resource/68/2796868_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2796868_image2_1.JPG,127.5872436242,35.4449249475,6,20221122095558,0,4,,흥부골자연휴양림,,"남원시 인월면에 위치한 자연휴양림으로 2002년에 개장하였다. 덕두산 정상까지 이어지는 등산로가 개설되어 있는데 휴양림에서 덕두산 정상까지는 약 1시간 30분 정도 걸린다. 산자락에 수령 약 55년의 잣나무 군락이 있어 삼림욕을 하기에 좋고, 경관 또한 뛰어나다. 덕두봉은 지리산에서 아침햇살을 제일 먼저 받는 곳이다. 정상에 올라서면 동쪽에서 서쪽으로 이어지는 천왕봉을 위시한 제석봉, 촛대봉, 영신봉, 명선봉, 토끼봉, 반야봉, 노고단, 만복대를 비롯한 1,500m급의 지리산 연봉들을 모두 조망할 수 있다. 지리산 태극 종주라는 테마의 지리산 종주가 있는데, 지리산의 서북 능선의 첫 봉우리인 덕두봉을 포함해 웅석봉까지의 도상 72㎞의 코스인 주 능선과 함께 지리산 동부 능선으로 이어지는 형상이 태극무늬와 비슷하다 하여 지리산 태극 종주라고 부른다."
전라북도 남원시 주천면 회덕길 27,,37,0.0,A02,A0201,A02010600,2794650,12,20211214032252,http://tong.visitkorea.or.kr/cms/resource/80/2796880_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2796880_image2_1.jpg,127.4949696652,35.3978897622,6,20221124130639,0,4,,회덕마을,55720,"회덕마을은 임진왜란 때 밀양 박(朴)씨가 피난하여 살게 된 것이 마을을 이룬 시초라고 한다. 원래 이 마을의 이름은 모데기였다. 남원장을 보기 위해 운봉에서 오는 길과 지리산 산줄기 너머 달궁 쪽에서 오는 길이 모인다는 의미와, 풍수지리설에 의해 덕두산(德頭山), 덕산(德山), 덕음산(德陰山)의 덕을 한 곳에 모아 이 마을을 이루었다고 해서 회덕, 모덕이라는 이름이 지어졌다고 전한다. 회덕마을 앞 도로를 걸으면서 마을을 바라보면 억새로 지은 집, 즉 '샛 집이 눈에 들어온다. 회덕마을은 평야보다 임야가 많기 때문에 짚을 이어 만든 지붕보다 억새를 이용하여 지붕을 만들었으며 지금도 두 가구가 그 형태를 보존하고 있다. 산간 마을로서는 구하기 힘든 볏짚보다 지리산에 널브러진 억새풀을 이용하여 지붕을 잇는 일이 더 수월했기 때문에 억새 지붕이 생긴 것이다."
전라북도 남원시 주천면 장안리 260-1,,37,0.0,A02,A0201,A02010600,2794625,12,20211214031413,http://tong.visitkorea.or.kr/cms/resource/43/2796943_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2796943_image2_1.jpg,127.4455825376,35.3910396771,6,20221124104448,0,4,,외평마을,,"지리산 둘레길 주천운봉 구간의 들머리이자 날머리가 되는 외평마을은 지금도 주천면의 면 소재지기도 하지만, 예전에도 하원천면 면사무소 소재지였다고 한다. 약 600여 년 전 마을의 농업용수를 구하기 위해 용궁마을에 장안저수지를 만들면서 식수 및 농업용수가 해결되었고, 이후 마을이 번성하기 시작하였다. 외평마을이 있던 원천면의 이름을 살펴보면 재미있는 이야기가 나온다. 마을 이름이 원천이 된 이유는 만복대, 정령치, 고리봉 등 지리산 서북능선이 품고 있는 골골의 물들이 모여, 남원의 요천, 나아가 섬진강의 시원을 이루는 물길이라는 의미를 생각해 볼 수 있다. 아울러 지리산 구룡계곡의 수려한 물길을 품고 있다는 자부심과 애정이 담겨 있는 이름이라고도 할 수 있다."
전라북도 남원시 산내면 장항안길 8-1,,37,0.0,A02,A0201,A02010600,2794620,12,20211214031150,http://tong.visitkorea.or.kr/cms/resource/33/2796933_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2796933_image2_1.jpg,127.6174220466,35.4246305475,6,20221123103707,0,4,,장항마을,55804,"장항마을은 덕두산 줄기의 자락에 있는 마을로 산세가 노루목과 같은 형국이라 하여 노루 장(獐)자, 목 항(項)자를 써서 장항리라 하였다. 지금도 사람들은 노루목이라 부르고 있다. 배너미재에서 숲길을 내려서면 소나무 당산나무가 반긴다. 장항리에서는 매년 음력 정월 초이튿날이 되면 당산제를 지낸다."
전라북도 남원시 운봉읍 운봉신기길 103,,37,0.0,A02,A0201,A02010600,2794614,12,20211214030910,http://tong.visitkorea.or.kr/cms/resource/50/2796950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2796950_image2_1.jpg,127.542975123,35.4521400229,6,20221122092226,0,4,,신기마을,55716,"신기마을은 선조 28년(1595) 임진왜란 후 인동 장씨 장덕복이 이곳에 터를 잡아 마을이 형성되었다. 전란에 고통을 받다가 지리산의 기운이 이어지는 명당자리로 새 삶을 시작하는 터전이란 뜻으로 새터(신기,新基)라 하였다. 신기마을은 지형학적으로 와우형, 즉 소가 누워 있는 평화로운 정경이라고 한다. 초봉에는 운봉의 갑부 박희옥이 만든 별장이 있었다. 이곳에서 많은 명창 소리꾼들을 불러 판소리를 감상하고, 또 그들을 적극적으로 후원하여 판소리 발전에 크게 기여하였다고 한다."
전라북도 남원시 운봉읍 가장길 4,,37,0.0,A02,A0203,A02030100,2793231,12,20211213232419,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2800792_image2_1.jpg,127.5179339854,35.4101221138,6,20221208113456,0,4,,가장마을,55720,가장마을은 노치마을 오른쪽에 있는 덕산저수지 동쪽의 구릉 지대와 경계로 접하고 있다. 노치마을의 동쪽부터 가장마을까지 이어지는 들판은 해발 500m 고지라고는 믿어지지 않을 만큼 너른 들녘이 이어진다. 또한 섬진강과 낙동강을 이루는 물줄기가 처음 이루는 곳이 광천인데 이 물길은 운봉읍을 지나면서는 람천이라는 이름으로 사람들이 더 많이 부르고 있다. 풍수지리에 의하면 하늘에서 내려온 선녀가 화장을 하는 형국이라 하여 가장리(佳粧里)라 불렀다 한다. 지금은 들녘에 농사짓는 움막 터를 뜻하는 농막 장(庄) 자를 써 가장리(佳庄里)로 쓰고 있다. 마을 사람들은 옥녀봉 아래에 옥녀가 베를 짜는 옥녀직금의 천하명당이 있다고 믿고 있다.
전북 남원시 주천면 은송리 299-1,,37,0.0,A02,A0203,A02030100,2793229,12,20211213232157,http://tong.visitkorea.or.kr/cms/resource/09/2800809_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2800809_image2_1.jpg,127.4535399899,35.3979029289,6,20221208092730,0,4,,내송마을,55802,"내송마을은 지리산 둘레길 주천운봉 구간을 거닐며 만날 수 있는 마을 중 하나이다. 지금으로부터 약 600여 년 전 한양 조(趙)씨들이 자리를 잡기 시작하여, 이후 30여 호 마을을 이루면서 주위의 비옥한 농토와 산림을 토대로 부유한 마을로 발전하기에 이르렀다. 내송마을은 난중잡록의 저자 의병장 조경남 선생의 출신 마을이기도 하다. 난중잡록은 조선 전·후기를 관통하는 임진, 정유년의 왜란, 그리고 병자년의 호란 등과 관련한 정치, 외교, 풍속 등과 관련된 많은 기록을 담고 있어, 역사 문화적으로 귀중한 자료로 평가받고 있다. 그래서 이 마을 위 산자락 곳곳에는 선생과 관련된 많은 이야기가 지금도 전해져 내려오고 있다."
전라북도 남원시 운봉읍 군화동길 48-1,,37,0.0,A02,A0203,A02030600,2793221,12,20211213231954,http://tong.visitkorea.or.kr/cms/resource/06/2800806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2800806_image2_1.jpg,127.5707003057,35.4577148782,6,20220720150051,0,4,,군화마을,55717,"군화마을은 운봉읍 화수리에 있는 마을이다. 화신리는 북한 김신조 부대의 대남 침투 사건 이후 독가촌(獨家村)을 한데 모아 화수리에 편입하였으며, 화신리는 화수리에 새로 생긴 마을이란 뜻으로 붙여진 이름이다. 1961년 대홍수 때 소멸한 화수리 이재민들의 가옥을 군인들이 주둔하면서 13가구를 건립하였는데, 이주 후 마을 이름을 군인들이 지은 화수 마을이란 뜻으로 군화동(軍花洞)이라 부르게 되었다. 군화마을은 지리산 바래봉 자락에 자리 잡고 있어 자연 풍광이 아름답다. 지리산 자락에 있는 작은 마을의 정취를 느낄 수 있는 마을이다."
전라북도 남원시 산내면 황치길 156,,37,0.0,A02,A0203,A02030600,2793217,12,20211213231845,http://tong.visitkorea.or.kr/cms/resource/18/2800818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2800818_image2_1.jpg,127.6487720227,35.42597539,6,20220720150652,0,4,,상황마을,55804,"마을 주변의 3개 자연 마을 중 위쪽에 있어 웃황치라 하다가 한자로 바꾸어 상황(上黃)이라 하였다. 마을 뒤로는 삼봉산(三峰山) 1186.7m이, 동쪽으로는 백운산(白雲山)902.7m 줄기인 등구재가 있다. 마을 뒤쪽의 등구재는 도로가 개설되기 전까지 경상남도 함양군 마천면으로 통하는 유일한 고갯길이었다. 이곳에서 오른쪽에 보이는 두루뭉술한 봉우리가 백운산이고, 그 왼쪽 아래로 이어지는 잘록이가 등구재인데, 왼쪽으로 오르며 이어지는 산줄기는 삼봉산으로 이어진다. 그리고 바로 이 산줄기가 전라북도와 경상남도를 경계 짓는데, 도 경계를 이루는 삼봉산과 백운산은 가히 지리산 전망대라고도 할 수 있을 정도로 주 능선이 잘 조망되는 곳이기도 하다."
