addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 무주군 부남면 대소리,,37,,A01,A0101,A01010500,2932010,12,20221128185547,http://tong.visitkorea.or.kr/cms/resource/59/2918159_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2918159_image3_1.jpg,127.5613208148,35.9732423441,6,20221213171745,0,5,,금강벼룻길,55503,"굽어굽이 흐르는 금강 상류의 기암괴석과 절벽을 따라 조성된 금강벼룻길은 강과 절벽, 생태환경이 연출하는 경관적 가치가 매우 높은 곳이다. 이 벼룻길의 대표 명소인 각시바위와 주변에서는 선캄브리아기의 변성암, 습곡구조 등을 볼 수 있다.
  출처 : 국가지질공원"
전라북도 무주군 무주읍 장백리,,37,,A01,A0101,A01010500,2932009,12,20221128185535,http://tong.visitkorea.or.kr/cms/resource/57/2918157_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2918157_image3_1.jpg,127.7005348349,36.024650081,6,20221213171642,0,5,,오산리 구상화강편마암,55525,"우리나라에서 산출되는 대표적인 구상 암석으로 무주의 오산리 구상화강편마암, 상주 구상화강암, 부산 구상반려암이 있으며, 이들 모두 천연기념물로 지정되어 보호 중이다. 무주 오산리 구상화강편마암은 기존 암석이 열과 압력 등에 의한 변성으로 생산된 것 으로 알려져 있으며, 호랑이(표범)이나 엽전을 연상케 하는 원형 무늬가 아름다운 모습을 보여준다. 이러한 무늬 때문에 예전부터 주변 마을 주민들로부터 호랑이 (표범)바위라 불려왔으며, 엽전 과 흡사한 무늬 때문에 돌을 만지면 부자가 된다는 전설이 전해오고 있다. 또한 구상화강 편마암이 분포하는 지역 일대는 한반도 최후의 호랑이가 발견된 곳이기도 한다.
  출처 : 국가지질공원"
전라북도 무주군 대평길 16,,37,,A01,A0101,A01010500,2932008,12,20221128185524,,,127.7568631689,35.9217155705,6,20221213171617,0,5,,외구천동 지구,55555,"수심대파회 수심대와 파회는 중생대 백악기의 화산활동 으로 형성된 유문암질 응회암이 분포하며, 이들 암석의 오랜 풍화와 침식으로 험준한 절벽과 하천 바닥의 평평한 지형이 만들어져 현재와 같은 멋진 경관을 연출한다. 특히 수심대와 파회를 따라 크게 굽이쳐 흐르는 하천은 이들 지질명소의 대표적 경관자원이다. 나제통문 과거 백제와 신라의 경계이자, 두 나라의 관문으로 알려진 나제통문은 일제감정기에 물자의 수송 등을 위해 만들어진 인공 굴이며, 주변에서는 선캄브리아기의 변성암등을 관찰할수 있다. 나제통문이 위차한 산과 하천은 예로부터 주변 지역의 교류에 걸림돌이 되었던 것으로 전해지며, 이로 인해 통문 양쪽 지역의 언어, 생활풍습 등의 차이를 발생시켜 독특한 문화를 형성케 하였다.
  출처 : 국가지질공원"
전라북도 무주군 적상면 산성로 359,,37,0.0,A02,A0205,A02050600,2737304,12,20210830192953,http://tong.visitkorea.or.kr/cms/resource/20/2737520_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2737520_image2_1.jpg,127.6975367132,35.9649734835,6,20211207234826,0,5,,적상산전망대,55528,적상산 전망대는 무주 양수발전소의 상부 저수지인 적상호의 북쪽 끝자락에 자리하고 있다. 거대한 굴뚝처럼 생긴 전망대는 무주 양수발전소의 발전설비인 조압수조다. 발전기가 갑자기 멈췄을 때 수로 압력이 급상승하는 걸 완화해 주는 설비인데 건물 34층 높이 전망대 꼭대기에 오르면 소백산맥과 덕유산 전경이 파노라마처럼 펼쳐진다. 전망대를 한 바퀴 돌면서 무주의 아름다운 산하를 감상할 수 있다. 특히 늦가을에 찾으면 적상산의 붉은 단풍과 어우러진 풍경을 감상할 수 있다.
전라북도 무주군 무주읍 무학로 153-36,,37,0.0,A01,A0101,A01010600,2706626,12,20210219222229,,,127.6699125722,36.0240523805,6,20221014142236,0,5,,무주향로산자연휴양림,55523,"무주 향로산 자연휴양림은 전북 무주군 무주읍 오산리에 위치하고 있으며, 숙박시설로는 초록빛휴양관, 은하빛휴양관, 동굴집, 숲속나무집, 야영장 21기, 부대시설로는 반디쉼터, 굴다리쉼터, 인공폭포, 모노레일, 야외수영장이 있다."
전라북도 무주군 설천면 만선로 185,,37,0.0,A01,A0101,A01010400,2704644,12,20210126235716,,,127.7443793143,35.879081303,6,20220414150740,0,5,,설천봉,55556,"무주덕유산 리조트에서 곤돌라를 이용하여 탐방할 수 있는 코스로 설천봉에서 향적봉까지 편도 0.6km로 약 20분 소요된다. 경사가 완만하여 쉬운 코스로 온가족이 함께 부담없이 즐길 수 있는 탐방코스이다. 무주덕유산리조트에서 운영하는 관광곤돌라를 이용하여 덕유산 최고봉인 향적봉을 남녀노소 누구나 쉽게 오를 수 있고, 겨울에는 상고대와 설경, 봄에는 진달래와 철쭉 군락이 아름다우며 다양한아고산대 야생화를 볼 수 있는 코스로 연간 약 60만명이 탐방하고 있다."
전라북도 무주군 설천면 심곡리,,37,0.0,A01,A0101,A01010900,2606138,12,20190612232308,http://tong.visitkorea.or.kr/cms/resource/53/2368853_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2368853_image3_1.jpg,127.7537521598,35.928175892,6,20220408130924,0,5,,파회계곡,55555,"무주구천동 제11경인 파회(巴洄)는 연재(淵齊) 송병선이 이름 지은 명소로, 고요한 소(沼)에 잠겼던 맑은 물이 급류를 타고 쏟아지며 부서져 물보라를 일으키다, 기암에 부딪히며 제자리를 맴돈 후 그 사이로 흘러들어 가는 곳이다. 화려한 계류의 움직임을 볼 수 있으며, 역사·문화적 가치가 뛰어나 문화재청으로부터 명승으로 지정되었다. 파회가 있는 곳은 계류가 큰 S자를 그리며 뱀이 지나가는 모습을 한 사행천으로, 무주구천동에서도 독특한 지형에 속한다. 거대한 바위엔 노송 한 그루가 묵묵히 파회의 비경을 굽어보고 있으며, 사람들은 이를 천년송, 바위를 천송암이라 부른다. 천년송은 신라시대의 고승이 흙이라고는 조금도 없는 바위 위에 소나무 가지를 꽂았는데 지금도 그 소나무가 뿌리를 내리고 살아 있다는 전설이 내려온다. 파회와 바로 옆 제12경 수심대사이에는 캠핑장이 조성되어 있다."
전라북도 무주군 설천면 삼공리,,37,0.0,A01,A0101,A01010500,2606128,12,20190612224506,http://tong.visitkorea.or.kr/cms/resource/44/2368844_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2368844_image3_1.jpg,127.7797039026,35.881220579,6,20221104164018,1,5,,인월담,55557,"인월담은 일사대, 파회와 함께 무주구천동 3대 명소로 꼽힌다. 이곳은 신라시대 인월화상이 인월보사를 창건하고 수도한 곳이라 하여 이름 붙여졌다. 덕유산 봉우리를 배경으로 탁 트인 하늘과 어우러진 구천동계곡은 인월담에서만 볼 수 있는 장관이다. 방문객을 맞이하는 붉은색의 아담한 다리가 인상적이며, 숲 속에는 휴식을 취할 수 있는 정자 '인월정'이 있다. 폭포와 반석이 자아내는 절묘한 풍광을 감상한 후, 인월담 하류로 발길을 돌리면 개울물이 암벽을 타고 크게 비폭하는 장면을 목격할 수 있다. 달빛 아래로 쏟아지는 은빛 같은 맑은 여울은 보는 이의 감탄을 자아낸다. 일월담은 3월 중순에 꽃다지와 쇠별꽃이, 4월 초순에 제비꽃과 처녀치마가 봄을 장식해 꽃구경하기에도 좋은 곳이다. 인월담과 제 15경 월하탄 사이에는 야영장이 있다."
전라북도 무주군 설천면 삼공리,,37,0.0,A01,A0101,A01010900,2606127,12,20190612223552,http://tong.visitkorea.or.kr/cms/resource/41/2368841_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2368841_image3_1.jpg,127.7769788969,35.8903833785,6,20220831131913,0,5,,무주구천동 월하탄 계곡,55557,"월하탄 계곡은 무주구천동이 품은 33경 중 15경이다. '월하탄'은 선녀들이 달빛 아래 춤을 추며 내려오듯 폭포수가 쏟아져 푸른 담소(潭沼)를 이룬다 하여 붙여진 이름이다. 무주구천동의 제1경 나제통문에서 제14경 수경대까지를 외구천동, 제15경 월하탄에서 제33경 향적봉까지를 내구천동이라 하므로, 월하탄은 내구천동의 시작점이다. 덕유산국립공원 사무소를 지나 백련사 방면으로 500m가량 계곡을 따라 올라가면 월하탄의 신비한 모습이 드러난다. 잔잔하게 흘러온 폭 50m의 계곡물이 암석단애를 타고 여덟 줄기로 쏟아져 내린다. 이곳의 암석단애는 높이 7m, 폭 50m, 경사 60도의 수직절리가 동서 방향으로 발달한 기반암이다. 낙수로 인해 옴폭 파인 커다란 기암은 비경의 조연으로 손색이 없다. 전체적으로 청아한 듯 들려오는 물소리와 시원한 기운이 넘쳐나는 계곡의 아름다움이 절묘한 조화를 이룬다. 월하탄 계곡은 낮과 밤의 분위기가 다르기에 더욱 매력적이다. 폭포수가 달빛에 비치는 밤이면 그 은빛 찬란한 그윽함이 고스란히 전해진다."
전라북도 무주군 설천면 무설로 682,,37,0.0,A02,A0203,A02030100,2002500,12,20150512004235,,,127.714147718,36.0171067381,6,20220516145507,5802,5,,무주 호롱불마을,55544,"덕유산 자락에 위치한 호롱불 마을의 남대천에는 쉬리 등 다양한 민물고기와 수달이 서식할 만큼 물이 깨끗하여 여름이면 찾는 이가 많다. 호롱불 마을에 가면 굵은 대나무를 엮어 만든 뗏목을 꼭 한번 타보길 권한다. 물이 맑아 물고기가 잘 보이고 대나무 뗏목 사이로 발을 적시는 물이 곧 가라앉을 듯한 착각을 느끼게 한다. 또한 육지와 물 속을 거침없이 달리는 수륙양용 체험도 거친 오프로드를 달리는 재미를 선사해준다.   먹거리 : 산채비빔밥, 표고버섯국밥, 어죽, 버섯전골, 두부요리"
