addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 부안군 변산면 참뽕로 434-20,,37,0,A02,A0203,A02030100,2792637,12,20211213191801,http://tong.visitkorea.or.kr/cms/resource/56/2796156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2796156_image2_1.jpg,126.5130146993,35.6319714099,6,20221129103729,0,6,,유유누에오디마을,56339,"우리나라에서 누에와 뽕나무가 가장 많은 곳이 부안이다. 부안을 둘러싼 자연환경 덕분에 뽕나무가 잘 자라고, 뽕잎의 영양도 풍부하다. 오디도 다른 곳에서 생산되는 오디와 달리 당도가 높고 품질 또한 우수하다. 유유마을은 우리나라에서 단일 규모로 가장 많은 뽕나무를 재배하고 있는 마을이면서 누에를 기른 지가 무려 150년에 이르는 전통적인 양잠마을이다. 그래서 유유 마을은 누에 오디마을로 불린다. 대표적인 식품으로 오디를 이용한 오디즙, 주류로는 와인과 막걸리, 오디주를 개발해 수출하고 있고, 누엣가루, 누에동충하초, 뽕잎차와 뽕잎김치도 맛볼 수 있다."
전라북도 부안군 변산면 격포리 252-11,,37,0,A01,A0102,A01020100,2759666,12,20211020193731,http://tong.visitkorea.or.kr/cms/resource/75/2759675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2759675_image2_1.jpg,126.4613747665,35.6357395587,6,20221122164630,7,6,,수성당유채꽃,,"새만금전시관에서 변산해수욕장까지 이어진 트래킹 코스를 따라가다 보면, 수성당 주변 32,000㎡의 군유지에 노란 유채꽃 밭이 펼쳐져 있는데 그곳을 수성당 유채꽃밭이라 부른다. 봄에는 유채꽃, 여름에는 메밀, 가을에는 코스모스, 겨울에는 눈으로 덮여 언제 봐도 아름답다. 특히 바닷가에 유채꽃밭이 펼쳐져 있는 곳은 전국에서 제주도와 부안 수성당 뿐이라 더 특별하고 유명하다. 파란 바다를 배경을 펼쳐진 유채꽃밭을 산책하기 위해 봄이면 전국에서 많은 관광객들이 모여드는 곳이다."
전라북도 부안군 진서면 내소사로 243,,37,0,A01,A0101,A01010400,2759612,12,20211020190316,http://tong.visitkorea.or.kr/cms/resource/72/2759872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2759872_image2_1.jpg,126.5875750757,35.6178548254,6,20211020224017,0,6,,내소사전나무숲길,56344,"내소사 전나무 숲길은 내소사 일주문에서 사천왕문까지 500m 가량 이어지는 숲길을 뜻한다
150여 년 임진왜란 때 피해를 입은 사찰을 복구하면서 삭막한 사찰 입구에 생기를 더하기 위해 조성된 것이 지금에 이른다고 한다. 700여 그루의 전나무가 하늘 높이 솟아오른 시원한 산책길로 '한국의 아름다운 길' 100선, 제7회 아름다운 숲 전국대회에서 '함께 나누고픈 숲길'로 선정, 우수상을 인정받을 만큼 수려한 자태를 뽐내는 곳이다. 그늘로 된 산책길이기 때문에 아이, 연인, 가족과 여유롭게 걷기 좋아 가벼운 등산을 하거나, 사진을 찍기도 좋다
한국의 5대 사찰로 내소사가 꼽힌 것도 건물 자체보다 숲과 어울리는 조화를 매력으로 꼽혔다고 한다.
드라마 대장금의 촬영 장소였던 작은 연못도 들러볼 만 하다"
전라북도 부안군 변산면 격포리 720-2,,37,0,A01,A0101,A01010500,2755809,12,20211013005305,http://tong.visitkorea.or.kr/cms/resource/06/2755806_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/06/2755806_image2_1.png,126.468772143,35.6033517003,6,20221117174105,0,6,,궁항,,"전북 부안의 작은 어항인 궁항(弓項)은 한자로 활의 목덜미를 뜻한다. 반월(半月) 모양의 산이 둘러있고 마을 앞바다에는 견도(犬島개섬)가 자리하고 있는데, 바다에서 궁항을 보면 마을이 활과 같은 모양이고 견도는 활촉 같아서 활궁 또는 목항, 즉 활목이라 부르게 되었다고 한다. 주변에 펜션 등 숙박 가능한 시설들이 많이 있어 휴양지로도 좋고 많이 알려지지 않아 조용한 가운데 휴식을 취할 수 있는 곳이다. 그리 넓은 규모는 아니지만 방파제 걷기, 마을 탐방과 바닷가에서 시간을 보내도 그리 바쁘지 않다.  키 작은 소나무와 넓적한 바위가 한 폭의 그럼처럼 어우러진 정자에서 바라보는 궁항의 낙조는 장관이다. 부안의 많은 항구 중에 작지만 아름다운 항구로 낙조의 경관이 뛰어나 해넘이 장소로 제격인 궁항은, 두 개의 방파제에 낚시객들이 낚시하는 모습을 많이 볼 수 있다."
전라북도 부안군 변산면 마포리 385-19,,37,0,A02,A0205,A02050600,2743387,12,20210910235642,,,126.495518435,35.6558906164,6,20211115203146,0,6,,하섬전망대,56339,"'물 위에 연꽃이 떠 있는 모습을 닮았다' 하여 이름 지어진 하섬(荷島), 그 신비의 섬을 한눈에 볼 수 있는 전망대이다. 하섬은 새우를 닮아 새우 하(蝦) 자를 써서 하섬(蝦島)이라고도 부르며, 한 달에 두 번 바닷길이 열리는 한국판 모세의 기적을 볼 수 있는 섬으로 유명하다. 매월 음력 1일과 15일 전후, 간조 때 하섬 전망대에 오르면 시원하게 펼쳐진 하늘과 약 2km에 이르는 신비의 바닷길을 볼 수 있다. 조개가 많아 '뻘 반 조개 반'이라는 말이 있을 정도로 조개가 많기로 유명하다. 전망대의 지대가 높아 하늘이 잘 보이고 서해안 3대 낙조라 불리는 외변산 일몰도 감상할 수 있는 명소이다. 변산마실길 3코스 적벽강 노을길 (성천 → 하섬전망대 → 적벽강 → 채석강 → 격포항까지 9.8km, 2시간 30분)에 속한다. 이곳 전망대에 도착하면 하섬을 배경으로, 추억에 남을 멋진 사진을 남겨보자."
전라북도 부안군 변산면 송포길 55,,37,0,A01,A0101,A01011400,2743337,12,20210910231748,,,126.5268651547,35.6750084123,6,20211111005842,0,6,,송포항,56342,"송포항은 변산해수욕장의 남단에 움푹 들어간 곳에 있는 작은 어항이다. 어업 인구는 30여 명, 어선 10여 척이 조업하며 지역 특산물로는 노랑조개, 도다리, 오징어 등이 있다. 작은 어선을 정박해 놓는 항구이며 주로 변산 마실길을 즐기는 사람들이 찾는다. 송포항은 변산 마실길 2코스인 노루목 상사화길(송포항 → 선비마을 → 상사화 군락지 → 노리목 → 고사포 → 성천포구까지 5.3km, 1시간 15분 소요)의 시작점이다. 봄에는 송포항 앞 야산 언덕에 하얀 샤스타데이지 꽃이 만발한다. 군락을 이룬 하얀 꽃밭과 푸른 바다를 배경으로 셔터를 누르는 순간 인생 사진이 탄생할 것이다."
전라북도 부안군 변산면 운산리 439-15,,37,0,A01,A0101,A01010500,2743326,12,20210910230633,,,126.5113807171,35.663448356,6,20221124164136,0,6,,변산해안도로 (부안변산해안도로),56339,"변산해안도로는 산과 바다가 어우러진 아름다운 해안 풍경과 변산의 명소들을 함께 돌아볼 수 있는 도로이다. 고사포해수욕장에서 시작해 하섬전망대, 적벽강, 채석강과 격포해수욕장에 이르는 약 8km 구간의 해안도로이다. 새로운 자동차 전용 도로가 생겼지만, 여행 고수들은 드라이브를 즐기기 위해 이 해안도로를 찾는다. 차창 밖으로 바닷바람을 느끼고 적벽강에서 붉은 바위와 절벽을 감상하며 바다를 즐기다 보면 일상의 스트레스가 절로 날아간다. 푸른 솔숲 캠핑장이 있는 고사포 해수욕장에서 명품 솔숲 산책로를 따라 걷는 것도 좋고 격포해수욕장에서는 닭이봉 한쪽에 있는 채석강의 멋진 풍경을 볼 수 있다. 일몰 때는 여기저기 노을로 더욱 진하게 물드는 변산의 절경을 감상해보자."
전라북도 부안군 변산면 새만금로 447-27,,37,0,A01,A0101,A01011400,2743285,12,20210910222116,,,126.5314023248,35.7269248004,6,20211110203703,0,6,,가력도항,56343,"가력도항은 부안군산 간 총 길이 33.9km의 새만금 방조제 위에 건설된 어항이다. 부안군 어민들이 가장 많이 이용하는 항구로 부안군 관할이지만 부안뿐 아니라 인근 군산시, 김제시 어선들도 많이 이용하는 항구다. 봄철과 가을철 꽃게가 많이 나오는 곳으로도 유명하며 생활 낚시인들도 즐겨 찾는 낚시 명소이다. 가력도항 내항 방파제, 가력 갑문 소공원, 새만금 방조제 갯바위 등이 낚시 포인트이며 계절이나 물때, 상황에 따라 삼치, 우럭, 노래미, 망둥어, 주꾸미, 고등어, 꽁치, 갈치, 갯장어 등 다양한 어종이 잡힌다. 가력도항은 바닷바람을 맞으며 힐링하며 산책하기에도 좋고 붉게 물드는 서해 낙조를 보는 것도 황홀하다. 가력도항 길 건너에는 가력도 생태공원과 전망대, 풍력발전기가 있다."
전라북도 부안군 변산면,,37,0,A01,A0101,A01011300,2637838,12,20191120234506,http://tong.visitkorea.or.kr/cms/resource/35/2392335_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2392335_image3_1.jpg,126.4897039036,35.5916589365,6,20221208170214,0,6,,부안 솔섬,56340,"2017년 전북서해안권 지질공원(부안 고창 지질명소)이 지정되었으며 부안은 적벽강, 채석강, 솔섬, 모항, 위도, 직소폭포가 이에 포함된다. 전북학생해양수련원과 상록해수욕장이 인근에 위치하고 있는 솔섬에는 응회암 내에 부석암편이 옆으로 길게 늘어져 있는 퇴적구조를 볼 수 있다. 분출 이후에 재용융되고 결착되어 다져짐에 의해 형성된 것이다. 이곳에서는 마치 곳곳에 동그랗게 부풀어 오른 특이한 구조를 관찰할 수 있으며, 솔섬 단면부에서는 부풀어 오른 부분을 절단한 것과 같은 동그란 원통형 튜브 형태와 함께 이를 수직 방향으로 연장해 놓은 듯한 깔때기 모양의 단면을 관찰할 수 있다. 이 특이한 구조는 현재 형성과정에 대해 알려진 바가 없어 연구중에 있다. 이처럼 여기서는 다양한 크기와 모양을 가진 화산 탈가스 구조를 3차원적으로 관찰할 수 있기 때문에 지질학적으로 중요한 의미를 가진다."
전라북도 부안군 줄포면 선돌로 1377-13,,37,0,A02,A0204,A02040800,2606143,12,20190612235708,http://tong.visitkorea.or.kr/cms/resource/89/2553489_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/89/2553489_image2_1.bmp,126.6791424606,35.5964726915,6,20221115095021,0,6,,부안오디 하늘숲농장,56324,"부안오디 하늘숲농장은 오디(뽕나무 열매)와 약용식물을 재배하는 곳이다. 과거 농장대표인 조인환 씨가 콘크리트에 못을 박다 눈을 다쳐 실명위기에 처했으나, 오디를 먹고 시력을 회복했다는 내용이 방송을 타면서 유명해졌다. 그는 안토시아닌과 항산화 성분이 풍부한 오디를 저염장 등 조미료로 만들어 꾸준히 섭취한 결과 눈 건강에 도움이 되었다고 말했다. 방송에 출연한 한의사는 '오디는 시력을 강화해주고 머리를 검게 해준다'는 동의보감의 기록을 들어 그의 주장을 뒷받침했다. 농장은 직접 찾아오는 방문객에게 오디따기 체험기회를 제공한다. 맨손으로 오디를 따면 진한 오디 물이 손톱 밑을 까맣게 만들기 때문에 비닐장갑착용은 필수이다. 단순작업이지만 중간중간 달콤한 오디를 입에 넣는 재미가 쏠쏠하다. 즙이 풍부해 어느새 입술은 자줏빛으로 변한다. 농장은 홈페이지를 통해 오디즙, 오디발효액효소, 오디식초,​ 뽕잎차 등을 판매하기도 한다."
