addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 순창군 동계면 어치리 814,,37,0,A01,A0102,A01020200,2737277,12,20210830184607,http://tong.visitkorea.or.kr/cms/resource/30/2737530_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/30/2737530_image2_1.png,127.1899336818,35.4693375031,6.0,20221027170803,0,7,,요강바위,56026,"요강 바위는 둥근 구멍이 뚫린 순창의 명물로 한국전쟁 때 마을 주민 중 바위에 몸을 숨겨 화를 면했고, 장군목을 찾아 요강 바위 위에 앉으면 아들을 낳을 수 있다는 속설도 있다. 전국적인 명성은 15톤가량 요강바위를 도난당했다가 주민들이 되찾은 일화로 유명해졌다. 요강 바위는 무게 15t에 높이 2m, 폭 3m로 장정 34명이 들어설 수 있는 바위 포트 홀이 만들어져 있다. 요강 바위 같은 포트 홀은 1억 년 정도 물살이 지나야 생긴다고 한다. 이 같은 바위들은 천태만상으로 장군목에서 구암정까지 약 5km가량 이어져 있다. 구미마을 앞 만수탄변 하늘에서 보면 개미 떼가 적성강을 올라가듯 바위가 이어져 개미 바위로도 유명하다. 만수탄을 비롯 종호와 육로암 주변에는 암각서와 시율(詩律)의 풍류의 흔적을 엿볼 수 있다. 노블레스 오블리주를 실천한 양운거의 산인동과 석문, 양배, 양동 형제바위와 조대바위, 술동우 바위와 금암, 9개의 술동이 바위인 구준암이 종호와 육로암 주변에 산재해 있다. 이를 노래한 종호팔경(鍾湖八景)이 있다."
전라북도 순창군 인계면 인덕로 427-128,,37,0,A02,A0203,A02030600,2713440,12,20210409020614,http://tong.visitkorea.or.kr/cms/resource/69/2705769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2705769_image3_1.jpg,127.130603794,35.4316546376,,20221014161824,0,7,,건강장수연구소 쉴랜드,56015,"건강과 친해지는 첫걸음은 순창읍내로 들어가는 모악로 길목에서 시작된다. 쉴랜드. 표지판에 적힌 이름만 봐도 마음이 평온해진다. 이곳은 군에서 직접 운영하는 건강장수연구소다. 넓은 부지 안에 건강장수체험과학관, 명상관, 찜질방, 방갈로, 의농업체험관, 편백치유숲 등 다양한 시설이 들어서 있다. 일반적으로 공공기관이나 기업에서 단체 연수를 받으러 오는 곳이기에 생소하게 느껴질 수 있지만, 개인 자격으로 예약 없이 방문해도 얼마든지 좋은 경험을 쌓을 수 있다. "
전라북도 순창군 인계면 인덕로 427-127,,37,0,A02,A0203,A02030600,2663368,12,20200714000909,,,127.1319703843,35.4299159695,,20220923163310,0,7,,순창건강장수체험과학관,56015,"생·로·병·사를 테마로 구성되어있으며, 생명체험, 장수체험, 건강생활체험, 죽음체험 등을 통해 생명의 신비와 건강의 소중함을 체험하고 학습할 수 있는 순창 건강장수과학특구 내에 위치한 신개념 과학관이다."
전라북도 순창군 순창읍 민속마을길 61-59,,37,0,A01,A0101,A01011900,2663273,12,20200713190757,,,127.1021801835,35.3671558953,,20210729030041,0,7,,발효소스토굴,56048,"전국 최대 규모의 발효소스토굴로 연평균 15℃를 유지하며 장기 숙성중인 고추장, 된장, 간장을 비롯한 전 세계 다양한 소스를 한 곳에서 볼 수 있도록 조성되었다. 토굴 내에 카페를 조성하여 청국장균(고초균)을 이용해 발효한 순창발효커피를 만날 수도 있다."
전라북도 순창군 적성면,,37,0,A02,A0205,A02050100,2654773,12,20200429011414,,,127.2381309303,35.4104866623,6.0,20220217171707,5,7,,순창군 채계산 출렁다리,56030,"채계산은 순창 적성면과 남원 대강면 일원에 자리하고 있는 해발 342m의 산이다. 채계산은 회문산, 강천산과 더불어 순창의 3대 명산 중 하나로 일명 화산(華山)이나 적성산과 책여산 등 여러 이름으로불리우고 있다. 바위가 책을 쌓은 것처럼 보인다 하여 책여산, 적성강변 임동의 매미 터에서 동쪽을 바라보면 마치 비녀를 꽂은 여인이 누워서 달을 보며 창을 읆는 모습인 월하미인(月下美人)의 형상을 하였다고 하여 채계산이라 불리고, 적성강을 품고 있어 적성산 으로도 불린다.
채계산 출렁다리는 24번 국도 사이에 적성 채계산과 동계 채계산으로 나뉘어지는 채계산을 하나로 이어주는 역할을 하며 현재 국내에서 가장 긴 무주탑 산악 현수교이다. 길이는 270m 이고 높이는 최고 7590m이다."
전라북도 순창군 풍산면 대가리,,37,0,A02,A0205,A02050500,2616353,12,20190823200426,http://tong.visitkorea.or.kr/cms/resource/40/2613240_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2613240_image3_1.jpg,127.1868344916,35.3402742767,6.0,20220513174646,0,7,,순창 향가터널,56056,"향가터널은 일제강점기 말 순창과 남원, 담양 지역의 쌀을 수탈하기 위해 일본군이 만든 것이다. 일제강점기에 목포와 나주, 송정, 담양, 순창 등 호남의 곡창지대를 관통하던 철도가 이 터널을 지나갔다. 단단한 암벽을 뚫고 만든 터널은 길이 384m에, 차 한 대가 너끈히 지나갈 정도로 넓다. "
전라북도 순창군 쌍치면 둔전2길 83,,37,0,A02,A0201,A02010400,2357469,12,20161229232419,http://tong.visitkorea.or.kr/cms/resource/89/2360289_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2360289_image2_1.JPG,126.9684393428,35.4726472168,6.0,20220923132733,2265,7,,훈몽재 유지,56009,"훈몽재는 조선 명종 3년(1548) 하서 김인후가 처향(妻鄕)인 순창의 점암촌에 이거하고, 초당을 세워 훈몽이라는 편액을 걸고 강학했던 곳이다. 김인후가 훈몽재에 머물렀던 시기는 1548년부터 그가 부친상을 당하여 장성으로 돌아간 1549년까지 약 2년간이다.이후, 1680년경 김인후의 5대 손인 김시서가 인근에 자연당을 짓고 기거하며 훈몽재를 중건하여 후학을 양성하였으나, 다시 퇴락하였다. 1820년경 김인후의 후손들이 점암마을에 훈몽재를 중건하고, 어암서원을 건립하여 김인후, 김시서, 정철, 이이의 위패를 봉안하였으나, 대원군의 서원철폐령에 의하여 훼철되었다. 일제강점기에 훈몽재가 중건되었으나, 1951년 한국전쟁으로 소실되었다.2005년 전주대학교 박물관의 발굴조사 결과 표토층의 1020㎝ 아래에서 훈몽재의 유지로 추정되는 건물지가 확인되었고, 현재는 복토작업이 이루어져 있다.지정대상지에 인접하여 훈몽재와 부속건물인 자연당, 양정관, 심연정이 위치하고 있으며, 동쪽 추령천변에는 대학암(大學巖)이라고 새겨진 바위가 있는데, 송강 정철이 이곳에서 김인후에게 대학을 배웠다는 전설이 전하고 있다."
전라북도 순창군 순창읍 금산로 56,(순창읍),37,0,A02,A0201,A02010800,2357452,12,20161229223915,http://tong.visitkorea.or.kr/cms/resource/45/2357345_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2357345_image2_1.JPG,127.132954886,35.3808965342,6.0,20220829162006,1743,7,,실상암,56037,"순창 읍내에 자리잡고 있는 이 암자는 1936년 10월 15일 순창읍 순화리에 거주하는 이가화 일명 정실행(正實行)와 주운대사(柱雲大師)의 제기로 창건하고 성가불상을 봉안하였다. 다시 1938년에 관음보살상을 봉안하였다. 1972년 이상호 승려가 대웅전을 중건하였다. 이 절을 창건할 때 순창여자중학교에 위치하고 있는 3층석탑으로부터 상서로운 빛이 이곳에 비쳤다고 해서 절 이름을 실상암이라 지었다고 한다. 경내에는 대웅전, 요사채 2동, 석탑, 관음보살상이 있다."
전라북도 순창군 동계면 서호길 48-12,(동계면) 일대,37,0,A02,A0202,A02020100,2357444,12,20161229221913,http://tong.visitkorea.or.kr/cms/resource/19/2357319_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2357319_image2_1.JPG,127.2377304453,35.4306954797,6.0,20221115142838,1834,7,,구송정 유원지,56029,"이곳은 면 소재지로부터 서쪽으로 1km 지점에 위치한 곳으로 약 300년전에 나라의 창고가 서쪽에 위치하고 있다 하여 서창(西倉) 이라 불리우다가 마을앞에 조그마한 호수가 있어 이를 본따 서호(西湖)라 부르게 되었다. 특히 마을앞에 계수천이 양갈래로 흐르고 그 중간에 약 6천명 정도의 평지를 이룬 곳이 있어, 봄, 여름, 가을이면 행락객들이 붐비는데 이곳이 바로 구송정(九松亭)이다. 전설에 의하면 옛날 이곳 마을에 양씨, 김씨, 하씨, 정씨, 황씨, 최씨, 박씨, 이씨, 벽씨 등 70세 이상의 백발노인 아홉명이 구노회(九老會)라는 계를 조직하여 풍류를 즐기며 기념으로 소나무 한 그루씩 심었는데 지금도 이 소나무들이 남아 있어 사철 푸른 기상을 더해주고 있다. 특히 1991년부터 군에서 체육시설과 각종 편의시설 설치하여 방문객들에게 편의를 제공하고 있다."
전라북도 순창군 팔덕면 팔왕길 77,,37,0,A02,A0205,A02050200,2357431,12,20161229202915,http://tong.visitkorea.or.kr/cms/resource/53/2357253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2357253_image2_1.jpg,127.0891225791,35.3838871112,6.0,20221012110402,1810,7,,산동리 남근석,56021,"남근석은 남자 성기 모양으로 자연암석이나 암석을 조각하여 세운 것으로 복을 받거나 다산 풍농, 풍어를 기원하는 민간신앙의 대상이 되고 있다. 산동리마을 앞 당산나무 부근에 자리한 이 남근석은 화강암으로 정교하게 조각되었다. 생김새는 건장한 남성의 성기가 충분히 발기되어 있는 모양으로 아랫부분에 연꽃무늬가 조각되어 있는 점이 독특하다. 500여년전 여장사가 2기의 남근석을 차마에 싸가지고 오다가 무거워서 1기는 창덕리에 버리고 1기는 이곳에 세웠다는 이야기가 전해진다. 언제 세운 것인지는 정확히 알 수 없으나 다른 남근석에 비해 매우 섬세하게 조각되어 주목되는 작품이다."
전라북도 순창군 팔덕면 창덕리,,37,0,A02,A0205,A02050200,2357424,12,20161229201705,http://tong.visitkorea.or.kr/cms/resource/54/2357254_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2357254_image2_1.jpg,127.0933114402,35.3704275951,6.0,20220824130433,1366,7,,창덕리 남근석,56021,"남근석은 남자 성기 모양으로 자연암석이나 암석을 조각하여 세운 것으로 복을 받거나 다산 풍농, 풍어를 기원하는 민간신앙의 대상이 되고 있다. 창덕리 남근석은 포경선을 자세히 표현해 놓았고 아래 부분에 연꽃무늬를 새겨 놓았다. 전해오는 전설에 따르면 옛날 500여년전 태촌마을에 한 걸인이 살았는데 신분 때문에 결혼 뿐만 아니라 성 생활도 할 수 없어 이를 비관하여 남근석을 세웠다고 한다. 자녀를 갖지 못하는 부녀자가 이곳에서 공을 드리면 자식을 얻을 수 있다하여 매년 정월 대보름날이면 많은 사람들이 이곳을 찾아왔다고 한다. 제작자와 제작년도는 알 수 없지만 다른 남근석에 비해 그 표현방법이 섬세한 것이 특이하다."
전라북도 순창군 팔덕면 강천산길 270,(팔덕면) 부근,37,0,A01,A0102,A01020100,2357460,12,20151229230200,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2357358_image2_1.JPG,127.0556862716,35.3987570781,6.0,20210803181507,2706,7,,강천사 모과나무,56020,"강천산의 앞쪽과 삼인대 사이에 한 그루 노거수가 서 있는데 나무의 높이는 20m, 둘레는 3.1m, 수령은 300년이 된 모과나무이다. 이 모과나무는 지금도 꽃을 피우고 열매를 맺고 있어 가을에 이곳을 찾는 사람들에게 기분 좋은 볼거리가 되고 있다. 순창군에서는 우리나라에서 가장 오래된 이 모과나무를 지난 1981년 보호수로 지정하고 관리하다가 지난해 1998년 1월 9일에는 기념물로 지정하여 관리하고 있다."
전라북도 순창군 적성면,,37,0,A02,A0205,A02050200,2357456,12,20151229224936,http://tong.visitkorea.or.kr/cms/resource/56/2357356_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2357356_image2_1.jpg,127.1958643619,35.4440821316,6.0,20210901000555,1541,7,,석산리 마애여래좌상,56022,"순창 적성면의 선돌마을을 지나 도왕마을 쪽으로 1km 정도 떨어진 곳에서 산 쪽으로 1km 정도 올라간 곳에 위치 약 2.5m 정도되는 바위에 새겨져 있는데 오른쪽 대좌부분이 약간 떨어져 나간 것을 제외하고 전체적으로 보존상태는 양호한 편이다. 평평한 바위면에 도광과 신광, 불신, 대좌등을 얕은 부조로 조각하였는데 전체적으로 신체에 비하여 얼굴이 큰 편이며 항마촉지인을 결한 채 결가부좌하였다. 두부는 마치 두터운 모자를 쓴 듯 투박하게 표현되었으며 소발의 머리에 큼직한 육계가 묘사되었다. 얼굴은 정사각형에 가까운 편으로 눈은 마모되어 분명치 않으나 가늘게 뜨고 있는 듯하며 큼직한 코, 두툼한 입술과 이마 선을 따라 붉은 색의 칠이 선명하게 남아있다. 목이 짧아서 삼도는 모의 상찬에 걸쳐지게 표현되었으며 신체는 얼굴에 비하여 유난히 작게 표현 되었는데 어깨가 좁고 위축되어있다. 오른쪽 어깨에는 아무것도 걸치지 않았으며 왼쪽 어깨에는 대의자락을 걸쳐 우견편단식 착의법을 보여주고 있다. 법의 자락은 배 부근에서 결가부조하나 두다리 위로 평행밀집형의 가는 주름을 이루며 흘러내리고 있다. 오른 손은 결가부좌한 다리 아래로 내려 촉지인을 결하고 있으며 왼손은 손바닥을 위로 하여 양 무릎위에 살짝 올려 놓았다. 대좌는 연화대좌이지만 오른쪽 부분이 파손되었으며 광배는 키형의 거신광 안에 두광과 신광을 표현하였는데 광배의 여백을 따라 당초 무늬를 선각 하였다."
