addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 완주군 구이면 항가리,1203,37,,A02,A0202,A02020600,2828241,12,20220719135256,http://tong.visitkorea.or.kr/cms/resource/36/2828136_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/36/2828136_image3_1.png,127.1084150032,35.7193438461,6.0,20220719161655,0,8,,아쿠아틱파크 아마존,55362,"아쿠아틱파크 아마존은 전라북도 명품 수변 구이저수지의 아름다운 풍광을 바라보며 물을 이용한 다양한 즐거움을 만끽할 수 있는 국내 최초의 아쿠아틱파크다. 한폭의 그림 같은 명품 수변 구이저수지의 풍광이 내려다 보이는 인피니티풀,  전라북도 최장 길이를 자랑하는 280M 수로식 물놀이 시설,  고객들 누구나 소중한 사람들과 가져온 음식을 직접 조리하여 즐길 수 있는 개별 카바나 시설,  90M의 스릴 있는 레인을 미끄러져 내려오는 사계절 썰매장과 같은 레포츠 시설이 물을 중심으로 한 공간에 모여 있는 복합관광레저시설이다."
전라북도 완주군 죽림편백길 196,,37,,A01,A0102,A01020100,2827407,12,20220712101946,,,127.2036587957,35.7393126708,6.0,20220719171009,0,8,,상관 공기마을 편백숲,55360,"공기마을에는 1976년에 조성된 산지에 10만여 그루의 편백나무,  삼나무, 낙엽송이 식재 되어있다. 영화 '최종병기 활'의 촬영지이기도 하다. 전주한옥마을에서 차로 15분거리로 치유의 숲이라 불리는 울창한 편백나무 숲을 만낄할 수 있다. 숲이 만들어낸 피톤치드와 청량한 그늘을 맘껏 즐길 수 있다."
전라북도 완주군 봉동동서로 100,,37,,A02,A0203,A02030600,2815625,12,20220411102444,http://tong.visitkorea.or.kr/cms/resource/17/2815617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2815617_image2_1.jpg,127.1635182834,35.9374199897,6.0,20220520155327,0,8,010-6697-3723,사부작 채집가,55326,"사부작 채집가는 몰입의 기쁨, 과정의 즐거움을 선물한다.  클래스 없이 홀로 온전히 재료를 탐구하고, 평가와 기준 없는 자유로운 그림 그리기에 몰입하고 즐길 수 있는 공간이다. 더불어 수채화, 오일파스텔, 유성 색연필등 여러 종류의 미술도구와, 다양한 나라의 종이로 구성된 백지 종이세트를 제공하며, 완주군에 여행 온 사람들을 위한 완주군 풍광 무료 도안을 준비되어 있다. 클래스 없는 화실 사부작 채집가는 100 예약제로 운영되며, 예약 방문시 완주군 봉동 토종생강을 활용한 웰컴 드링크는 무료다.  
예약은 네이버 예약을 통해 예약할 수 있고, 영업일과 예약시간을 확인 하실 수 있다."
전라북도 완주군 구이면 덕천리,420-14,37,,A02,A0203,A02030600,2815256,12,20220406155522,,,127.1345148131,35.7442414673,6.0,20220418172558,0,8,010-3675-0052,전북에어포스 스쿨,55361,"전국 생활체육연합협회에 공인 등록되어 있으며, 2002년 대한패러글라이딩협회 우수 스쿨로 선정되었으며 오랜 비행 경력을 갖춘 전문 조종사 5명이 상시 대기하여 체험자들의 안전과 즐거움을 책임지고 있다."
전라북도 완주군 비봉면 소농리 485,,37,,A02,A0203,A02030100,2815080,12,20220405175058,http://tong.visitkorea.or.kr/cms/resource/62/2815062_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/62/2815062_image2_1.jpeg,127.1416270682,35.9943686742,6.0,20220411093904,0,8,,말순농장,55306,말순농장은 말과 함께 다양한 체험을 할 수 있는 체험농장이다. 동물과의 교감을 통해 마음을 치유받을 수 있다. 아이와 함께 하기에 좋은 자연체험농장이다.
전라북도 완주군 동상면 신월리,,37,,A01,A0101,A01010400,2814812,12,20220404161944,,,127.3455178741,35.9701444451,6.0,20220411161804,0,8,,기차산 해골바위,55345,실제 공수부대의 산악 훈련장으로도 쓰인 기차산은 가파른 석벽산이고  밧줄을 붙잡고 마치 특수부대 훈련하는 군인들처럼 산을 오르내려야 하며 체력에 자신있는 아미만 도전할 수 있는 장소이다. 기차산의 명물인 해골바위는 주민들은 마치 용이 뜯어먹은 바위라고 부르며 구멍이 뚫려있어 괴이하며 신기한 해골처럼 보이는 부분이 있다. 해골의 입에 해당하는 부분이 인생샷 포인트이며 해골바위 구멍에 누워 사진을 찍을 수 있는 명소이다.
전라북도 완주군 화산면 성북리,,37,0.0,A01,A0101,A01011800,2784663,12,20211201222338,http://tong.visitkorea.or.kr/cms/resource/44/2784844_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/2784844_image2_1.png,127.2395171794,36.0381431707,6.0,20221028094455,0,8,,경천저수지,,"전북 완주군 화산면에 있는 저수지다. 둘레가 16km, 만수 면적이 319ha에 이르고 담수어가 많이 서식하고 있다. 저수지 제방 아래 피는 벚꽃은 아름다운 경관을 자랑하며 저수지 북쪽의 고성산성은 백제 시대 축조된 산성으로 화산면 일대를 한눈에 조망할 수 있다. 서쪽으로 호남고속도로가 지나고, 익산시 미륵사지를 중심으로 한 관광 명소에 인접해 있다. 경천저수지에서 잡히는 참붕어는 전국적으로 유명하다. 아름다운 풍경 속에서 캠핑을 즐길 수 있는 완주 자연쉼터빌리지가 있다. 


​"
전라북도 완주군 소양면 송광수만로 472-23,,37,0.0,A02,A0205,A02050100,2778924,12,20211124235207,http://tong.visitkorea.or.kr/cms/resource/28/2800028_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2800028_image2_1.jpg,127.2431120827,35.9037196596,6.0,20221202130929,0,8,,오성 한글다리,55348,"완주 오성한옥마을 내에 자리한 한글다리는 자음과 모음을 디자인 요소로 배열해 한국적인 멋을 살린 건축물이다. 다리에 이용된 석재는 국내에서 생산되는 지역 특산 석으로 포천에서 출토되는 화강암인 포천석, 우리나라의 대표적인 회색화강석인 고흥석, 구리와 철을 뽑아내는 원석인 황동석 등 다섯 종류가 사용되었다고 한다. 또 자연석이 지닌 아름다움을 최대한 살려 다리가 지닌 의미와 매력을 더했다. '오성한옥마을', '완주 사랑', '완주군에 바란다' 등의 글귀로 이루어진 난간은 한글다리의 조형감각에 묘미를 느끼게 한다. 각각의 글자들을 찾아보는 재미도 있다. 또 한글다리 중간 부분에는 전망공간이 마련돼 오성한옥마을 주변의 빼어난 풍광을 조망할 수 있다."
전라북도 완주군 이서면 신지앵곡길 234,,37,0.0,A02,A0203,A02030100,2757755,12,20211015231045,,,127.030758618,35.8033551737,6.0,20211022183132,0,8,,콩쥐팥쥐동화마을 (완주벽화마을),55368,"전북 완주군 이서면 은교리 앵곡마을(콩쥐팥쥐동화마을)은 콩쥐팥쥐의 배경이 되는 곳으로 마을 곳곳에 콩쥐팥쥐를 주제로 조성한 포토와 벽화가 가득한 아름다운 마을이다. 콩쥐팥쥐는 한국인이라면 누구나 익숙한 권선징악 스토리를 대표하는 전래동화다. 마을 어귀 입간판 앞에 주차하고 걸으며 벽화를 구경 할 수 있고, 이야기의 주요 소재인 꽃신과 항아리 조형물, 콩쥐가 빠져 죽은 우물 터도 볼 수 있다. 마을근처에 위치한 콩쥐팥쥐관광한옥리조트는 콩쥐동과 팥쥐동에 객실이 있고, 모두 2층 구조다. 매점, 바비큐 시설, 전통찻집, 산책로 등을 갖춰 온 가족이 편히 쉬기에 좋다."
전라북도 완주군 봉동읍 둔산3로 94,,37,0.0,A01,A0101,A01010500,2755847,12,20211013012226,http://tong.visitkorea.or.kr/cms/resource/43/2755843_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/43/2755843_image2_1.png,127.1284207931,35.9609583634,6.0,20221116150922,0,8,,둔산공원,55316,"둔산공원은 대둔산과 모악산이 있어 자연 속에서 살기 좋은 도시 완주를 대표하는 도시 근린공원이다. 아파트 단지 앞에 조성된 공원이라 아침저녁으로 운동하고, 산책하는 시민들이 많은 곳으로, 어르신들을 위한 게이트볼 장, 운동기구, 아이들을 위한 모래 놀이터, 자전거 타기, 축구 등을 할 수 있는 넓은 잔디밭, 공원 한편에는 공연장도 갖추고 있을 정도로 넓고 규모가 큰 공원이다. 데크로드를 따라 생태연못을 한 바퀴 돌아도 보고, 아이들과 놀이터의 미끄럼틀, 그네, 모래놀이도 하고, 반려견과 함께 산책을 즐기다 보면 일상에서 느낄 수 있는 편안함과 안락함이 가득한 곳이다."
