addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 익산시 황등면 율촌길 9,,37,0,A01,A0101,A01010700,2783713,12,20211130222242,,,126.9562068358,36.0199236519,6,20221117170028,2,9,063-856-4671,아가페정원,54531,"아가페정원은 전라북도 제4호 민간정원으로 메타세쿼이아, 섬잣나무, 공작단풍 등 수목 17종 1,416주기 등재되어 있다. 1970년 故 서정수 신부가 노인복지시설인 아가페정양원을 설립하였으며, 시설 내 어르신들의 건강하고 행복한 노후를 위해 자연친화적인 수목 정원을 조성하였다. 정원 자체가 수목원처럼 잘 가꾸어진 늘푸른 숲을 시민들에게 개방하여 휴식과 정서함양을 제공하고자 2021년 3월 민간정원으로 등록한 후, 정비사업을 거쳐 시민쉼터공간으로 재탄생하였다. 계절마다 수선화, 튤립, 목련, 양귀비 등 아름다운 꽃의 향연이 이어지고, 하늘 높이 뻗은 메타세쿼이아가 울타리처럼 조성된 산책길이 인상적이며, 향나무, 소나무, 오엽송, 공작단풍, 백일홍 등의 관상수로 이어진 숲길을 걷다 보면 자연의 싱그러운 공기와 주변의 풍경이 어우러져 그윽한 향수를 느낄 수 있다."
전라북도 익산시 왕궁면 호반로 8,,37,0,A02,A0202,A02020600,2778914,12,20211124234518,http://tong.visitkorea.or.kr/cms/resource/53/2781553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2781553_image2_1.jpg,127.102605645,35.9907045238,6,20220411100551,0,9,,공룡테마공원,54575,"익산 공룡테마공원은 왕궁 보석테마관광지 내인 익산시 왕궁면 동용리 보석 박물관 옆에 위치하고 있다. 아이들이 마음껏 뛰어놀 수 있는 놀이터와 마이아 사우라, 티아노사우루스, 파키케팔로사우루스, 프레라 노돈, 브라키오사우루스 등 다양한 공룡 조형물들이 전시되어 있어 어린이들을 위한 종합놀이시설로 자리매김하고 있다. 거대한 크기의 브라키오사우루스 공룡 조형물이 특히 인상적이다. 미로 찾기, 시소, 돔 슬라이드 등의 놀이시설과 황토 산책로 등이 마련되어 있어 아이들의 창의력과 호기심을 키워줄 수 있다. 자연 속에서 뛰어놀 수 있는 장점으로 가족 단위 관광객에게 훌륭한 즐길 거리를 제공한다."
전라북도 익산시 금마면 신용리 541-3,,37,0,A01,A0101,A01010400,2755545,12,20211012222227,http://tong.visitkorea.or.kr/cms/resource/53/2755553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2755553_image2_1.jpg,127.0471294687,36.0124233055,6,20211117234653,1,9,,구룡마을 대나무 숲,54571,"익산 미륵산 자락에 있는 구룡마을 대나무 숲은, 전체 면적 50,000㎡ 정도로 한강 이남 최대 대나무 군락지이다. 분포하고 있는 주요 수종은 왕대이며, 일부 구간에 검은 대나무인 오죽 또는 분죽이라 부르는 솜대가 자라고 있다. 우리나라에 분포하는 대나무의 주요 수종인 왕대의 북방한계선에 위치하여 생태적인 가치가 매우 높고, 다른 지역의 대나무 숲과 다르게 마을 한가운데에 크게 위치하고 있어 경관적으로도 매우 중요한 가치를 지니고 있다. 구룡마을에서 재배되는 대나무로 만든 죽제품은 우리나라 3대 오일장의 하나였던 강경 오일장을 통해 인근 지방뿐만 아니라 충청도, 경기도 지방까지 팔려 나간 역사적 전통이 있다. 익산지역 경제의 중요한 소득 자원으로 '생금밭'이라 불리기도 했다. 구룡마을 대나무 숲의 또 다른 멋은 초 여름밤 반딧불이의 군무를 볼 수 있다는 것인데, 자연과 하나 되는 행복함을 만끽할 수 있다."
전라북도 익산시 춘포면 천서길 149,,37,0,A01,A0101,A01010700,2755480,12,20211012190738,http://tong.visitkorea.or.kr/cms/resource/64/2755564_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2755564_image2_1.jpg,127.0330409637,35.9398452252,6,20221109111856,0,9,,달빛소리 수목원,54580,"20여 년 전부터 전국 각지에서 수집한 희귀한 고목들로 2018년 6월 사설 수목원으로 개장하였다. 아담한 규모의 수목원으로, 기묘한 형상의 고목들을 곳곳에 배치한 것이 특징이다. 수목원의 마스코트인 '황순원의 소나기 나무', '첫사랑 나무'라고도 불리는 500년 된 느티나무와 청괴불나무, 삼각소나무, 연필향나무, 금목서은목서 등 약 50여 종의 희귀목을 보유하고 있다. 봄에는 개나리, 진달래, 벚꽃이 피고, 여름에는 백합, 산나리꽃, 목화꽃이, 가을에는 천일홍, 백일홍, 금목서, 은목서, 단풍이, 겨울에는 동백나무꽃, 납매를 볼 수 있어 사계절 꽃 속에서 커피 한 잔과 함께 힐링을 느낄 수 있는 곳이다. (네이버 발췌)"
전라북도 익산시 성당면 성당로 762,,37,0,A02,A0202,A02020600,2755034,12,20211008201543,http://tong.visitkorea.or.kr/cms/resource/10/2755110_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/10/2755110_image2_1.JPG,126.921387595,36.1307381717,6,20211008222843,0,9,,바람개비 마을,54504,"익산 근교 데이트 코스이자 사진 찍기 좋은 곳인 바람개비 마을은 조선 후기까지 세곡을 실어 나르던 성당포구 금강 제방 둑길 4.8km에 이르는 구간에 형형색색의 바람개비를 설치하여 금강 변의 시원한 바람을 맞으며 바람개비 열차도 타고, 자전거 라이딩도 즐기면서 산책을 할 수 있도록 조성되었다.알록달록 무지갯빛 바람개비들이 바람에 빙글빙글 돌아가는 그림 같은 풍경이 맞아주는 성당포구 바람개비 마을은 색종이를 뿌려놓은 듯 돌아가는 바람개비들의 존재만으로도 꽃길 같은 느낌이 든다.​ 바람개비 조형물 끝자락에서 낙조도 감상하고, 인증샷도 남기면서 아름다운 풍경을 눈에 담으며 평화로운 시간을 즐길 수 있다."
전라북도 익산시 석암로 207-1,(석암동),37,0,A02,A0202,A02020300,2754739,12,20211007235419,,,127.0140704278,35.9400837587,6,20221206140317,0,9,,익산온천랜드,54589,"용출 온도 32.5도, ph9.53의 알칼리성, 지하 790m에서 용출되는 천연 온천수를 사용하는 익산온천랜드는 천년고도 마한 백제의 향기가 서려있는 익산에 자리하고 있다. 나트륨, 칼륨, 마그네슘 및 음이온인 중탄산, 염소, 황산 등 인체에 이로운 성분들이 다량 함유된 광천으로 아토피 피부염, 만성 피부병, 당뇨, 신장 결석에 좋다. 수질이 부드럽고 상쾌한 느낌을 주는 온천수는 산성체질을 알칼리성 체질로 변화시켜 긴장 완화, 피로 회복, 스트레스 해소에 탁월한 효과 있으며, 온천수에 함유된 리튬(Li)은 우울증에도 좋은 것으로 알려져 있다. 또한 몸에 자극이 적고 신경통 류머티즘성 질환, 신경마비, 운동기능장애, 외상 후유증, 병후 회복. 불면증에 효험이 있다. 입욕 시 체온 1도가 상승하면 몸의 신진대사는 10씩 항진하므로 건강을 증진하는 데 도움이 된다. 노천탕과 찜질방이 갖추어져 있고 여름에는 물놀이 풀장도 운영한다."
전라북도 익산시 금강동 992-5,,37,0,A01,A0102,A01020100,2752414,12,20211001194440,http://tong.visitkorea.or.kr/cms/resource/75/2752475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2752475_image2_1.jpg,126.9759630262,35.928220563,6,20211116232518,3,9,,유천생태습지공원,54611,"익산 동산동에 있는 유천생태습지공원은 만경강 지류의 분기수로인 유천에 생태습지를 조성해 하천 수질을 정화하고, 지역주민에게 쾌적한 생활 공간을 제공하기 위해 2015년 준공됐다. 공원 내 전체 경관을 감상하며 산책할 수 있는 하늘언덕에도 올라가 보고, 생태수로, 가로수길, 전통정원, 미로공원, 야외공연장, 어린이 모래 놀이터 등에서 놀다 보면 하루가 어떻게 지나는지도 모를 만큼 재미있는 경험을 할 수 있다. 물길을 따라 만든 나무데크 산책로는 하루의 고단함을 내려놓고 운동과 산책을 할 수 있게 잘 조성되어 있다. 익산시에서 심혈을 기울여 만든 유천생태습지공원은 시민들에게 힐링과 휴식의 공간으로 자리매김하고 있다."
전라북도 익산시 함열읍 익산대로 1424-14,,37,0,A02,A0203,A02030600,2647939,12,20200217192235,http://tong.visitkorea.or.kr/cms/resource/32/2647932_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/32/2647932_image2_1.bmp,126.9609196389,36.0452625078,6,20211220223850,3,9,,고스락,54526," '으뜸', '최고'를 뜻하는 고스락  고스락은 으뜸, 최고를 뜻하는 순수 우리말 옛글로 3만여평 장독정원에서 4,000여개의 전통 옹기를 이용하여 100 우리땅에서 자란 유기농 인증을 받은 원료만을 사용하여 자연발효 숙성시킨 최고급 유기농 전통 식품을 제조하고 있으며 영농조합법인 다송리사람들은 2011년 돌나라인증코리아로부터 유기가공식품인증(28161)을 획득, 엄격한 품질관리시스템에 의하여 대한민국 최고의 명품 유기 장류를 생산하고 있고, 발효식품 메카로 거듭나기 위하여 연구, 노력하고 있는 곳이다.약식동원(藥食同原) 즉,  먹는 것이 약이 된다는 뜻으로 음식과 약은 그 원천이 같으므로 음식으로 병을 치료할 수 있다고 하는데고스락은 앞으로 100세 시대를 살아가는 현 시대에 오래 건강하게 사는 삶을 생각하며 선조들의 지혜와 정성이 담긴 건강한 전통 장류의 맛과 향기를 이어가고 있다."
전라북도 익산시 성당면 함낭로 207,,37,0,A02,A0203,A02030600,2594360,12,20190402193117,http://tong.visitkorea.or.kr/cms/resource/33/2643533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2643533_image3_1.jpg,126.930682816,36.0695231043,6,20220401091616,32,9,,익산교도소세트장,54505,"성당면 와초리 성당초등학교 남성분교 폐교부지 위에 세워진 국내 유일의 교도소 세트장이다. 이곳에서는 영화 '홀리데이','아이리스','전설의 마녀','7번방의 선물','내부자들',등 200여 편의 영화와 드라마가 촬영 되었다. 세트장에 들어서면 '영화가 탄생하는 마술상자' 라는 말을 증명하듯 그동안 촬영된 영화 포스터들을 전시 하고 있다. 또한 운동장에 깔린 천연잔디는 관광객들의 휴식공간으로 각광받고 있다."
전라북도 익산시 금마면 금마호수길 37,,37,0,A02,A0203,A02030100,2549351,12,20180529181251,http://tong.visitkorea.or.kr/cms/resource/57/2549357_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2549357_image2_1.jpg,127.0550427936,36.0070073937,6,20220315145206,1327,9,,익산 액션하우스,54571,"사막여우, 캥거루, 앵무새를 비롯한 50여종의 이색동물들을 가까이서 교감하며 먹이를 주는 체험을 할 수 있다. 1000여평의 잔디밭에서 동물과 함께 자유롭게 산책을 하며 먹이를 주고, 동물과 사진찍기, 양몰이와 원반던지기와 같은 체험을 세상에서 가장 똑똑한 강아지 보더콜리들통해 멋진 공연을 감상할 수 있는 전북 최고의 동물농장이다."
