addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 임실군 석전로 28,,37,,A02,A0203,A02030100,2891340,12,20221031100728,http://tong.visitkorea.or.kr/cms/resource/81/2872081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2872081_image3_1.jpg,127.2162952606,35.5758342231,6.0,20221107102052,2,10,,임실레드팜영농조합법인,55935,None
전라북도 임실군 두만1길 45-50 두만숲속학교(유아숲체험원),,37,,A02,A0203,A02030100,2821874,12,20220526170549,http://tong.visitkorea.or.kr/cms/resource/08/2821808_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2821808_image3_1.jpg,127.2386182778,35.5759762601,6.0,20220620142819,0,10,,두만꽃피오리(두만숲속학교),55932,"전북 임실의 주민사업체 두만꽃피오리는 임실 팔경 중 하나인 두만산을 배경으로 생태 마을 두만숲속학교를 운영하고 있다. 어른과 아이 모두 자연의 넉넉함과 고요함을 만끽하며 쉼을 통해 평온함을 느끼는 휴식 공간이다. 꽃누르미, 자연물 놀잇감, 텃밭 가꾸기, 자연생태 습성놀이터같은 다양한 체험 활동은 두만꽃피오리의 지향점이 가장 돋보이는 과정이다. 이 외에도 참여하는 팀의 인원과 연령, 성향 등을 고려해 눈높이에 맞는 체험활동을 선보인다. 모든 과정에서 참가자는 자연의 소중한 가치와 유대를 배우고 조금씩 성장해 나갈 수 있다. 두만꽃피오리는 배움과 쉼, 그리고 힐링의 공간을 넘어 다양한 형태의 사랑과 감사를 나눌 수 있는 공간으로 도약하기 위해 노력한다."
전라북도 임실군 덕치면 장암2길 16,,37,0.0,A02,A0203,A02030600,2789698,12,20211209004346,http://tong.visitkorea.or.kr/cms/resource/59/2796159_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2796159_image2_1.jpg,127.1627412404,35.4850880281,6.0,20211214232805,0,10,,진메마을,55943,"섬진강 자락에 위치한 진메마을은 6.25 전쟁 당시 불에 타 흔적만 남은 것을 마을 주민들이 다시 돌아와 지은 것이다. 시인 김용택이 나고 자란 곳으로 알려져 있다. 작고 소박한 마을이지만 굽이굽이 소박한 돌담과 정겨운 초가지붕이 시인의 문학과 삶을 톺아보게 만든다. 임실에서 순창 가는 길에 시인의 모교이자 시인이 직접 아이들을 가르쳤던 덕지초교가 있고, 여름이면 마을 앞 느티나무가 그늘을 드리워 쉼터를 만들어준다. 시인은 마을 주변을 흐르는 아름다운 섬진강과 고향마을에 애정을 고스란히 담아 시로 옮겼다. 시인의 집으로 들어가면 책이 빼곡한 서재의 툇마루가 방문객들을 위해 항상 열려있다."
전라북도 임실군 운암면 입석1길 59,,37,0.0,A01,A0101,A01010500,2755487,12,20211012191750,http://tong.visitkorea.or.kr/cms/resource/80/2755580_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/80/2755580_image2_1.png,127.1526966679,35.6320795208,6.0,20211012231734,1,10,,요산공원 (옥정호 요산공원),55904,"옥정호에 위치한 요산공원은 2009년부터 9년간 진행한 붕어섬 주변 생태공원 조성 사업으로 만들어졌으며, 임진왜란 때 낙향한 성균관 지사 최응숙 선생이 세운 누각인 양요정(전라북도 문화재자료 제137호)과 섬진강댐 건설로 수몰된 사람들의 슬픔을 달래고자 세운 망향탑이 있는 곳이다. 요산공원은 27,392㎡의 크기로 공원 곳곳에 심어놓은 아름다운 꽃들을 볼 수 있어 풍경이 아름답고, 옥정호를 끼고 걷는 데크로드 산책로가 있어 가족과 연인과 함께 걷기 좋다. 주변 국사봉 전망대에 올라가 붕어섬을 보는 것도 추천한다."
전라북도 임실군 임실읍 호국로 1630,,37,0.0,A02,A0203,A02030600,2718998,12,20210601234526,,,127.2837719286,35.6020990809,6.0,20220519175140,0,10,,전라북도 119안전체험관,55928,"전라북도 119안전체험관은 교육체험놀이를 결합한 신개념 에듀테인먼트 시설이다. 태풍이나 교통사고, 화재 등의 재난부터 항공기, 완강기, 지진 등 실생활에서 접하기 어려운 재난까지 체험하며 위험 상황이 닥쳤을 때 어떻게 대처해야 하는지를 배울 수 있다. 또한 야외에는 어린이를 위한 놀이터와 포토존, 그리고 소방차들이 전시되어 있다."
전라북도 임실군 성수면 도인2길 50,,37,0.0,A02,A0202,A02020600,2718832,12,20210528195424,,,127.30126679,35.6331736386,6.0,20220331151101,0,10,,임실치즈테마파크,55918,"임실치즈테마파크는 임실치즈를 테마로 한 국내 유일 체험형 관광지로 1960년 지정환 신부가 산양 2마리를 키운 것으로 시작, 한국 치즈 산업의 중심지로 자리매김하고 있다. 임실군 성수면 도인리 13만 제곱미터, 축구장 19개 넓이의 드넓은 초원 위에 조성되었으며, 임실치즈의 맛과 멋이 깃든 체험교육을 진행하고 있다. 식당에서는 이곳에서 생산한 치즈 요리를 맛볼 수 있으며 드넓은 초지, 유럽풍의 아름다운 경관은 스위스 아펜젤러를 온듯한 착각을 불러 일으킨다."
전라북도 임실군 오수면 금암리 261,,37,0.0,A02,A0202,A02020600,2712746,12,20210331012635,,,127.3324914502,35.5399708581,6.0,20220421164641,0,10,,오수의견 관광지,55955,오수의견 관광지는 위험에 빠진 주인의 목숨을 구하고 죽은 의견의 이야기가 전해오는 곳으로 주변의 천변 길로 계절 꽃이 식재되어 있어 주변 경치가 아름다우며 반려견을 동반하여 산책하기에 좋다. 전국 유일의 대규모 애견관광지로 관광지내 애견놀이터(애견훈련장)가 있으며 소형견·중대형견으로 나눠져 있다.  오수의견 관광지 : 임실군 오수면 금암리 261 애견놀이터 : 임실군 오수면 충효로 209616
전라북도 임실군 임실읍 치즈마을1길 4,,37,0.0,A02,A0203,A02030600,2649950,12,20200317012818,http://tong.visitkorea.or.kr/cms/resource/86/1605286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1605286_image3_1.jpg,127.2949061605,35.6363398359,6.0,20220422134433,3,10,,임실 치즈마을,55923,"전북 임실 치즈마을은 전주시로부터 약 20Km 거리에 위치하여 도심과의 접근성이 우수한 마을로써 한국치즈의 원조 임실치즈의 뿌리를 가진 마을이다. 치즈마을이 오늘의 모습을 갖추기까지는 벨기에 출신 디디에세스테벤스(한국명:지정환) 신부님과 심상봉목사님, 이병오 이장님과 같은 선구자와 주민들의 밤낮 없는 노력이 있었기에 가능했다. 1966년 지정환 신부님이 산양 두마리를 키우면서 치즈 만들기를 시작하였고, 느티나무로 마을가꾸기를 한 결과 느티마을로 불리우다가 마을총회를 통해 치즈마을로 개칭하게 되었다.

출처 : 임실 치즈마을"
전라북도 임실군 오수면 순천완주고속도로 74,,37,0.0,A02,A0203,A02030600,2602932,12,20190523192644,http://tong.visitkorea.or.kr/cms/resource/25/2602925_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/25/2602925_image2_1.bmp,127.3116543997,35.5402593524,6.0,20221206145611,2,10,,오수휴게소 펫펨레스토랑,55950,과거 다가오는 불길속에 주인을 구하기 위해 온몸이 물을 묻혀 불을 끄고 죽어갔던 '오수의견'의 정신을 기려 오수(완주방향)휴게소에 문을연 '펫팸레스토랑' 전국 고속도로휴게소 최초의 펫과 함께 식사와 휴식을 즐길수 있는 소중한 공간이 문을 열었다. 펫펨레스토랑은 2017년 한국도로공사가 선정한 서비스경진대외에서 '우수상'을 수상하고 2017년 테마휴게소에 선정 되는등 대외적으로 많은 인정을 받으며 운영되고 있다. 2017년 이후 매년 5월8월까지 열리는 '팻팸랫토랑 추억 만들기 사진전'은 펫팸레스토랑에서 추억을 사진을 남긴 많은 분들의 참여로 알차게 꾸며지고 있다.
전라북도 임실군 운암면 강운로 1239,,37,0.0,A02,A0204,A02040800,2469189,12,20161223003330,,,127.1100900042,35.6063733697,6.0,20220826135421,2695,10,,섬진강댐 물 문화관,55906,"섬진강의 역사, 섬진강 댐과 물자원에 대한 전시물을 관람할 수 있는 곳이다. 운암대교에서 국사봉전망대로 향하는 드라이브 코스의 시작점으로 꼭 한번 들러볼 만하다. 특별히 다른 것을 하지 않더라도 옥정호의 아름다운 풍광을 보러 방문하는 보람이 있다. "
전라북도 임실군 지사면 계산4길 89,(지사면),37,0.0,A02,A0201,A02010700,1957304,12,20141017181219,,,127.349409015,35.5546222699,6.0,20220906144307,1957,10,,현주서원,55922,"본 서원이 처음 세워진 것은 1761년(영조 37)이다. 그 뒤 고종 연간에 대원군의 전국 서원 철폐령에 의해 훼철되었다. 해방 뒤 후손들에 의해 복설되었다. 이 서원에는 이능간(李凌幹)을 주벽으로 정염(丁焰), 김복흥(金復興), 변유(邊瑜), 정견(丁涀)을 배향하였다."
전라북도 임실군 청웅면 구고8길 35-3,(청웅면),37,0.0,A02,A0201,A02010700,1957156,12,20141017011620,,,127.2015437858,35.5760395007,6.0,20220518163837,1984,10,,학정서원,55934,"학정서원은 1656년(효종 7) 지금의 오수면 주천리에 창건되었다. 그 뒤 1840(헌종 6)년 지금의 청웅면 구고리 원동에 이건하였으며 하정서원이라는 사액을 예조에 청원하였으나 같은 해 김천일의 원호(院號)가 다른 곳에 사액되어 중복할 수 없으므로 사액서원의 예로 향사토록 하고 관제물물목(官祭物物目)을 봉하여 현감 제주(縣監祭主)로 향사하라는 하교가 내려졌다.1859년(철종 10) 절요(節要)를 마련 매년 3월 3일 향사하게 되었다. 1868년(고종 5)에 이르러 대원군의 전국 서원철폐령으로 훼철되었다. 그 뒤 단(壇)을 세워 1년에 한번 제사를 모신다. 이 서원에는 김천일(金千鎰)을 주벽으로 박번(朴蕃), 박훈(朴薰), 홍붕(洪鵬), 이흥산(李興算), 조평(趙平), 김원근(金元根)을 배향하였다."
전라북도 임실군 지사면 원산3길 1-22,(지사면),37,0.0,A02,A0201,A02010700,1956447,12,20141016003142,,,127.3591767398,35.5874020585,6.0,20220516171332,1902,10,,덕암서원,55921,"덕암서원은 1607년(선조 40) 창건되어 포은 정몽주를 주벽으로 최양(崔瀁)을 배양하다가 1821년(순조 21) 정지년(鄭知年)을 추배하였으며, 1829년(순조 29)에 이르러 박종수(朴從壽)를 다시 추배하였다. 그 뒤 고종 5년(1868) 대원군의 전국 서원 철폐령에 의해 훼철되었다. 해방 후 1965년 복설되었다."
전라북도 임실군 지사면 관기1길 32-7,,37,0.0,A02,A0201,A02010700,1956436,12,20141016001151,,,127.3597153262,35.5971481855,6.0,20210914021008,1455,10,,관곡서원,55920,"1820년(순조 20)에 지방 유림들이 최윤덕(崔潤德)·이형남(李亨南)·이적(李迪)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모시고 선현배향과 지방교육의 일익을 담당하였다. 흥선대원군의 서원철폐령으로 1868년(고종 5)에 훼철되었다가 1958년 후손에 의해 복원되어 오늘에 이르고 있다. 경내의 건물로는 3칸의 사우가 있다. 매년 3월 중정(中丁 : 두번째 丁日)과 9월 중정에 향사를 지내고 있으며, 제품은 4변(籩) 4두 (豆)이다."
