addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 장수군 번암면 죽림리,,37,0,A02,A0203,A02030600,2788276,12,20211208015651,http://tong.visitkorea.or.kr/cms/resource/69/2791569_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2791569_image2_1.jpg,127.540417217,35.5505427333,6,20221111092217,0,11,,죽림옛마을(죽곡물빛마을),,"죽림옛마을은 전북 장수군 번암면 죽림리에 자리 잡고 있다. 구전에 따르면 조선 영조 전라감사가 마을을 지나가며 큰 인물이 날 것이라 예언했고, 훗날 백용성 조사가 출생하였다. 마을에는 백운천을 조망할 수 있는 수변 산책로가 있어 한갓지게 산책하기 좋다. 죽림옛마을길, 자전거 체험로, 우마차로 등도 조성되어 있어 도보여행 말고도 즐길 거리가 많다."
전라북도 장수군 번암면 지지로 97-21,,37,0,A02,A0202,A02020700,2787949,12,20211208002738,http://tong.visitkorea.or.kr/cms/resource/02/2791502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2791502_image2_1.jpg,127.5425728412,35.5406438919,6,20220506091811,0,11,,장수물빛공원(물빛공원),55659,"장수물빛공원은 전북 장수군 번암면 죽림리에 자리 잡고 있다. 동화 댐을 활용한 자연 친화적 체험테마공원이다. 물 맑기로 소문난 동화 댐 제방 밑에 있으며, 상징분수인 분천과 캐스케이드 등 10여 종의 다양한 분수가 설치되어 있다. 공원은 광주대구고속도로 동남원IC에서 가까운 거리에 위치하고 있다. 인근에는 방화동 자연휴양림과 장안산군립공원이 있다."
전라북도 장수군 장수읍 덕산로 620-200,,37,0,A01,A0101,A01010900,2787474,12,20211207220743,http://tong.visitkorea.or.kr/cms/resource/14/2791614_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2791614_image2_1.jpg,127.5456680994,35.6049811048,6,20221114095310,0,11,,덕산계곡(덕산용소),55639,"전북 장수의 덕산계곡은 장수군의 군립공원인 장안산에서 발원한 계곡으로 법년동에서 시작해 밀목치를 지나 장수로 흘러 들어간다.
계곡 주위로 숲이 울창하고 바위가 많아 곳곳에 절경이 펼쳐진다. 이곳에는 용소라 부르는 소가 두 개 있다. 큰 용소와 작은 용소인데, 두 곳의 경관이 특히 아름답다. 가을이면 단풍과 어우러져 더욱더 멋진 경관을 연출한다."
전라북도 장수군 번암면 남양길 12,,37,0,A02,A0203,A02030100,2787392,12,20211207195607,http://tong.visitkorea.or.kr/cms/resource/24/2790724_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2790724_image2_1.jpg,127.5353358324,35.4933157881,6,20221109142320,1,11,,유정농촌체험휴양마을,55662,"마을 어디서든 시냇물 소리를 들을 수 있고 아침 안개의 신비로움을 느낄 수 있는 평온하고 아름다운 지역이다. 각박한 일상에서 벗어나 자연을 느끼고 자연과 어우러져 지낼 수 있는 유정 농촌체험 휴양마을은 장수군 번암면 유정권역 내에 자리하고 있다. 이곳에서는 장수의 특산품인 사과 판매는 물론, 사과 따기, 사과 아이스크림 만들기 등 다양한 사과 관련 체험을 할 수 있고, 산기슭에서 나는 산나물을 주요 재료로 하는 산채비빔밥 만들기 체험 등의 체험 프로그램을 운영하고 있다. 또한, 민박도 가능하다. 이른 아침 운무가 춤추고 넉넉한 인심과 따뜻한 농촌의 정을 듬뿍 느낄 수 있는 마을이다."
전라북도 장수군 장수읍 물뿌랭이길 10-18,,37,0,A01,A0101,A01010500,2658237,12,20200603010306,,,127.5013445805,35.5921873324,6,20220906165437,0,11,,뜬봉샘 생태관광지,55643,"전북 장수군에 위치한 뜬봉샘 생태공원은 금강의 시작 발원지에 위치한 생태공원이며, 약 십만평의 부지에 금강사랑 물체험관, 물의 광장, 생태연못 등 금강의 생물자원과 생태를 체험하고 교육할 수 있는 공간이다. 금강의 발원지인 '뜬봉샘'에서 솟아오른 물줄기는 강태등을 지나며 금강의 첫 실개천인 강태등골을 만들었다. 원수분천은 강태등골을 시작으로 1.5km를 흘러 수분천으로 이어지며 이웃 하는 실개천과 합류하여 금강으로 이어지고 17개 시군을 거쳐 서해까지 약 395km, 약 천 리의 길을 흐른다."
전라북도 장수군 장수읍 논개사당길 65,,37,0,A02,A0202,A02020100,2606189,12,20190613002708,http://tong.visitkorea.or.kr/cms/resource/75/2608475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2608475_image2_1.jpg,127.5232663533,35.6411155055,6,20220217112406,0,11,,장수누리파크,55636,"장수읍에 위치한 장수누리파크는 농업·농촌자원의 가치와 중요성을 농촌주민과 도시민이 공감할 수 있는 장을 마련하고 주변 관광자원과 연계하여 지역경제 활성화를 도모하고자 조성되었으며 장수누리파크를 포함한 의암공원, 논개사당 등은 장수군 연간 관광객의 30를 차지하는 대표 관광지구이며 지역 대표농특산물인 레드푸드(한우, 사과)와 농업·농촌을 테마로 한 체험, 관광, 휴양의 공간을 제공하며 농촌의 가치와 다양성을 도시민과 지역민이 함께 공유할 수 있는 농촌테마공원. 문화체육관광부 육성 축제「장수 한우랑 사과랑 축제」개최장소이다."
전라북도 장수군 계남면 화산길 24-21,(계남면),37,0,A02,A0201,A02010700,1957320,12,20141017183445,,,127.5873204143,35.6932579427,6,20211029002813,1559,11,,화산서원(장수),55623,"화산사는 사람들의 절의와 우국충절을 보인 선현들을 선양하고자 전국 각처 유림의 호응을 얻어 1961년 창건되었다.이 사우는 화산마을에서 남쪽으로 약 300m정도 떨어진 능선의 서쪽 사면에 있다. 진덕문을 들어서면 정면 4칸, 측면 2칸 맞배지붕으로 된 화산사가 있다. 이 화산사에는 파은 박수기, 문간공 눌재 박상, 충암 김정, 안재 박지견, 문충공 사암 박순, 육류정 박지효의 위패가 모셔져 있다."
전라북도 장수군 장계면 도장골길 37-8,(장계면),37,0,A02,A0201,A02010700,1957044,12,20141016203905,http://tong.visitkorea.or.kr/cms/resource/42/2553342_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/42/2553342_image2_1.bmp,127.5962463746,35.7320009279,6,20220826141927,1476,11,,월강서원,55619,"1826년(순조 26)에 지방유림의 공의로 백장(白莊)·송보산(宋寶山)·김남택(金南澤)·최경회(崔慶會)의 학문과 덕행을 추모하기 위하여 창건, 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여오던 중 1868년(고종 5)에 대원군의 서원철폐령으로 훼철되었으나, 유림과 후손에 의하여 제단을 마련하고 춘추로 향사를 지내오다가 그 뒤 1948년에 복원하였다. 1974년에는 백여옥(白如玉)·김남중(金南重)·송수산(宋壽山)을 추가 배향하였다. 경내의 건물로는 3칸의 사우(祠宇), 4칸의 강당, 고사(雇舍)·행랑·대문 등이 있다. 사우에는 백장을 주벽(主壁)으로 하여 좌우에 송보산·백여옥·김남중·최경회·김남택·송수산의 위패가 봉안되어 있다. 중앙의 마루와 양쪽 협실로 된 강당은 원내의 여러 행사와 유림의 회합 및 학문의 토론장소로 사용된다. 행랑은 공부하는 유생이 거처하는 곳으로 사용하며, 고사는 관리자가 거처하는 곳이다. 이 서원에서는 매년 3월과 9월 15일에 향사를 지내고 있으며, 제품(祭品)은 4변(籩) 4두(豆)이다. 유물로는 『사선생사실록(四先生事實錄)1책 등 40여 권의 문헌이 있으며, 재산으로는 전답 1,500여 평과 임야 700여 평이 있다."
전라북도 장수군 산서면 사창길 35,,37,0,A02,A0201,A02010700,1957006,12,20141016194051,,,127.3784922884,35.5646883027,6,20211215224847,1680,11,,사동서원,55652,"이 사우는 조선 1847년(헌종 13) 창건되었다가 1868년(고종 5)대원군의 전국 서원철폐령에 의해 훼철되었던 것을 1957년 복설한 것이다. 처음에는 이 지역에 거주하던 김해김씨의 선조 가운데 김준손, 김기손, 김일손, 김대유, 김치삼, 김정택의 위패를 봉안하였다. 복설하면서 김극일을 추배하고, 확실한 연대는 알 수 없지만 김종직을 추배하고 김극일을 주벽으로 하였다."
전라북도 장수군 계남면 화산길 24-21,(계남면),37,0,A02,A0201,A02010700,1625093,12,20120509010527,,,127.5873204143,35.6932579427,6,20221012102450,16121,11,,화산사,55623,"전라북도 장수군 계남면 화음리에 있으며 1984년 전라북도문화재자료로 지정되었다. 화산사(華山祠)에는 박수기(朴秀基), 박상(朴祥), 조선 전기의 문신 김정(金淨), 박지견(朴枝堅), 박정(朴渟), 육유정(六柳亭), 박지효(朴之孝) 등이 배향되고 있다. 이 사우는 이곳에 배향하고 있는 분들의 절의와 진충보국정신을 높이 받들고 길이 후손에게 거울을 삼게 하고자 건립된 것으로서, 이곳 유림들이 주동이 되고, 전국 각지의 유림들이 협조를 얻어 건립하였다. 눌재 박상 선생은 조선 중기 문신으로 연산군 2년(1496)에 진사가 되었고, 1505년 전라도사를 지냈다. 중종 6년(1511)에는 담양부사가 되었으며, 1515년에는 중종반정으로 폐위된 단경왕후 신씨의 복위를 주장하기도 하였다.   1526년에는 문과중시에 장원하였으며 1529년에는 병으로 관직을 사직하고 고향으로 돌아왔다. 저서로는 눌재집이 있고 시호는 문간이다. 충암 김정 선생은 조선 전기 문신이며 학자이다. 중종 2년(1507) 과거에 장원으로 급제하였으며 1514년에는 순창군수가 되었다. 눌재 박상과 함께 중종이 왕후 신씨를 폐출한 처사가 어긋나는 일이라 하여 신씨의 복위를 주장하였다. 김정 선생은 시문과 그림에 능하였으며 왕도정치 실현을 위해 개혁정치를 펼치기도 하였다. 저서로는 충암집이 있으며 시호는 문간이다. 1961년 세운이 사당은 앞면 3칸, 옆면 2칸 규모의 건물로, 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕이다."
전라북도 장수군 천천면 장자울로 4,(천천면),37,0,A02,A0205,A02050200,1625055,12,20120509005315,,,127.5171518556,35.6847326746,6,20220812091950,16392,11,,타루비(장수),55609,"전라북도 장수군 천천면 장판리에 있는 조선시대의 비로 전라북도 기념물로 지정되었다. 장판리 앞의 장척애에 있는 순 의리의 비이다. 순 의리는 당시 현감 조종면(趙宗冕)의 수하에 있던 통인(조선시대에 관아에서 잔심부름하던 이속)이었으나 그 성명은 전하지 않아 누구인지 알 수 없다.   1678년(숙종 4) 조종면은 현의 서쪽 천천면으로 민정시찰을 나섰는데 장척애의 길을 지나다가 풀숲의 꿩이 소리치며 날아오르는 소리에 말이 놀라 벼랑 밑의 깊은 소의 물결 속으로 말과 함께 떨어져 빠져 죽었다. 이 때 현감을 배행하던 통인은 상전이 죽었으니 혼자 돌아갈 수 없다고 생각하고 그의 손가락을 깨물어 벼랑 위에 꿩과 말의 그림을 그리고 타루(墮淚:눈물을 흘리다)라는 두 글자를 쓴 후 스스로 몸을 던져 순절하였다.  그 뒤 1802년(순조2) 현감 최수형(崔壽亨)이 주인을 따라 죽어 의리를 지키고 충성을 다한 통인의 절의를 추모, 타루비를 세워 제사를 지냈다. 뒤에 군민들에 의하여 주논개(朱論介)·정경손(丁敬孫)과 더불어 장수삼절로 받들어져 추앙되고 있다.비각 안에 모셔둔 이 비는 받침돌 위로 비몸을 세운 간결한 구조이며, 비몸의 윗변 양 모서리를 비스듬히 잘라 다듬었다. 순조 2년(1802)에 세운 비로, 받침부분이 부러져 다시 보수하였으나 역시 볼품이 없어 1881년에 지방민들의 뜻을 모아 장수 순의리비를 다시 세워 옆에 함께 모셔두었다. 성이 백씨라고만 전하는 이 통인은 논개, 정경손과 함께 장수지역의 3절(三節:절개를 지킨 3인)로 추대되고 있다. 비각 옆 바위 윗면에는 같은 날 생을 마친 조종면 현감을 기리는 불망비(不忘碑)라는 글귀가 남아 있다."
전라북도 장수군 장수읍 팔공로 50-19,,37,0,A01,A0101,A01010400,1625014,12,20120509004319,,,127.4921889831,35.6246334952,6,20211215234040,16148,11,,타관산,55642,"전라북도 장수군의 장수읍 송천리, 용계리, 개정리 등의 경계에 있는 높이 624m의 산이다. 서쪽에 팔공산, 북쪽에 봉황산, 남쪽에 신무산 등이 있다. 조선지형도에서 타관산은 그 높이만 적혀 있고, 주변에 용추리와 용계리 등이 함께 기재되어 있다.
 타관에서 떠 내려왔다고 해서 붙여진 이름 
향토지에 의하면, 과거 어느 홍수 때 타관에서 떠 내려왔다고 해서 붙여진 이름이라고 전한다. 즉 고향에 있는 산이 아니고 객지에서 온 산이라는 뜻이다. 장수읍의 주변은 장안산에서 뻗은 호남정맥이 병풍처럼 둘러쳐져서 지형이 천옥에 해당하는데, 풍수지리에서 천옥의 터는 집터나 묘지가 될 수 없기 때문에 이를 면하기 위해 타관산으로 칭했다고 한다. 한편, 산맥이 연계되지 못하고 들 가운데 홀로 있어서 붙여진 이름이라는 설도 있다."
전라북도 장수군 천천면 연평리,,37,0,A01,A0101,A01010400,1624877,12,20120508231638,,,127.5372022891,35.8109909201,6,20221208170528,17468,11,,천반산,55605,"전라북도 진안군의 동향면 성산리와 장수군 천천면 연평리 경계에 있는 높이 647m의 산이다. 장수군 천천면 연평리, 진안군 상전면, 동향면 등에 걸쳐 있는 산으로 무주군 안성면에서 발원하는 양천이 감입곡류하면서 만든 죽도(竹島)를 잘 조망할 수 있다. 동향면의 8경 가운데 하나이다. 

 송판서굴과 할미굴의 전설이 있는 산 
천반산의 주봉 서쪽 약 1.5km 지점에 옛 성터가 있는데 평평하여 군사가 주둔할 만하다. 그 아래 송판서 굴과 할미굴이 있다. 천반산 성지는 진안읍 가막리와 동향면 성산리, 장수군 천천면 오봉리의 경계 지점에 위치하며 산 정상이긴 하지만 넓은 벌이 형성되고 우물이 있어 농성하기에 적당한 곳이다. 특히, 북동쪽은 깎아지른 듯한 절벽이어서 따로 성벽이 필요치 않다. 따라서 성벽은 서쪽과 남쪽으로만 축조하였는데 현재 서쪽 일부와 남쪽 일부가 무너진 채 남아 있다. 성의 형태로 보아 삼국시대의 산성으로 보인다. 전설에 의하면 정여립이 역적으로 몰렸을 때 그 일당이 관군과 이 성에서 싸웠다고 하나 당시 전말로 보아 믿기 어렵다. 원래 성의 둘레는 약 2,000m이며, 상당량의 옛 기와편도 수습되었다.

 천반산의 원래 지명은 천방산으로부터 변형 
산의 형태가 소반처럼 생겨 지명이 유래된 것으로 보인다. 광여, 해동지도, 등에는 천반산이 아닌 천방산(天方山)으로 기록되어 있으며, 1872년 지방지도에는 천방산(天防山)으로 기록되어 있다. 이로 미루어 천반산의 원래 지명은 천방산으로 부터 변형되었다고 유추할 수 있다. 향토지에 의하면, 성터를 비롯해서 장군바위, 마당바위, 뜀바위, 깃대봉, 시험바위와 대섬 등 정여립 15461589)에 얽힌 이야기들이 있다. "
