addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 전주시 덕진구 한배미6길 23,,37,,A02,A0202,A02020700,2930122,12,20221205144924,http://tong.visitkorea.or.kr/cms/resource/03/2930103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2930103_image3_1.jpg,127.168340315,35.822547039,6,20221205144946,0,12,,아중체련공원,55030.0,"전주시 덕진구 우아동 1가에 있는 아중체련공원은 기린봉 등산로와 맞물려 있는 곳으로 인조 잔디 축구장, 족구장, 풋살장 등 여러 생활 체육 공간과 산책로로 이루어져 있다. 체련공원 옆에 아중 수영장도 있어서 다양한 체육 활동을 즐기기에 안성맞춤인 곳이다. 반려견과 함께 산책하기에도 좋아 인근 주민들이 산책로로 애용하는 장소다. 도심 속에 있는 공원으로 사계절의 변화를 가장 잘 느낄 수 있는 곳이기도 하다. 이곳에는 여러 종류의 운동기구가 모여 있는 주민 체육 시설이 세 군데 마련되어 있어 간단한 생활 체육을 즐기는 주민들이 즐겨 찾는다. 인조 잔디 축구장과 풋살장은 예약하여 이용할 수 있으며, 야간에는 조명이 켜져 새벽이나 야간에도 공을 차러 오는 동호회 사람들이 많다. 평일 낮에는 어린이 축구 교실도 운영하고, 저녁에는 공터에서 무료 에어로빅도 수강할 수 있다.
 반려동물 동반 가능"
전라북도 전주시 완산구 원색장길 2-15,(색장동),37,0.0,A05,A0502,A05020900,2804498,12,20211231031232,,,127.1874892635,35.7976390938,6,20220228145644,0,12,,색장정미소,55117.0,"전북 전주시 한옥마을에서 남원 방향으로 차로 약 5분 거리에 위차한 색장 정미소는 70년쯤 된 오래된 정미소를 원형복원하여 예술작품과 골동품, 민속품 등을 전시 판매하고 있으며, 이색 카페 공간을 마련해, 차 한 잔의 여유를 만끽할 수 있는 곳이다. 감성 가득한 분위기와 카페 시그니처라고 할 수 있는 2층 다락방은 타임머신을 타고 과거로 여행을 온듯한 느낌을 준다."
전라북도 전주시 덕진구 소리로 68,(덕진동1가),37,0.0,A02,A0202,A02020600,2790515,12,20211209213054,http://tong.visitkorea.or.kr/cms/resource/06/2792406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2792406_image2_1.jpg,127.1443249321,35.8551623554,6,20220701145728,1,12,,전주드림랜드,54901.0,"전주드림랜드는 전주동물원 내에 자리한 놀이동산이다. 규모는 크지 않지만 전주시민들에겐 추억의 장소로, 관광객들에겐 동심을 불러일으키는 여행지로 사랑받는다. 드림랜드의 트레이드마크인 청룡열차를 시작으로 놀이기구계의 터줏대감인 바이킹, 동물원 전경을 눈에 담을 수 있는 대관람차, 대덕연구단지에서 개발한 최첨단 IT 놀이랜드인 슈퍼라이더 등 약 12개의 놀이기구를 즐길 수 있다. 단 안전상의 이유로 25개월부터 5세까지는 전 기종에 대하여 단독탑승이 불가하다. 신나게 놀이기구를 즐긴 후에는 잠시 걸음을 쉬어가며 휴식을 즐기기 좋은 공원도 마련됐다. 이곳에선 파릇파릇한 나무와 푸른 하늘, 청아한 아름다움을 뽐내는 수련이 가득 핀 연못이 그림처럼 어우러진다."
전라북도 전주시 완산구 모악산자락길 22,(중인동),37,0.0,A02,A0202,A02020100,2783891,12,20211130233930,http://tong.visitkorea.or.kr/cms/resource/14/2796214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2796214_image2_1.jpg,127.1015476939,35.7675438033,6,20220506100348,0,12,,완산생활체육공원(산책로),55142.0,"완산생활체육공원은 모악산 자락길에 자리 잡고 있다. 완산체련공원, 삼천동체련공원, 중인리체련공원​ 등으로 불리기도 하며 축구장, 테니스장, 족구장, 농구장, 실내인공암벽장, 그라운드골프장, 풋살장 등을 갖추고 있어 다양한 종류의 체육 활동을 즐길 수 있다. 또한, 공원 내에 있는 어두제(작은 저수지)를 중심으로 산책길이 잘 조성되어 있어 유모차를 밀고 가기에도 좋으며 자전거 타기에도 좋다. 지압 산책길도 있으며 지압 산책이 끝나면 발을 씻을 수 있는 장소도 마련되어 있다. 넓은 야외공연 장소도 있고, 나무 그늘 아래 돗자리 펴놓고 휴식을 즐길 수도 있다."
전라북도 전주시 덕진구 장동 1094,,37,0.0,A02,A0202,A02020100,2783878,12,20211130233655,http://tong.visitkorea.or.kr/cms/resource/22/2798322_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2798322_image2_1.jpg,127.0645268438,35.8413069939,6,20220407170037,0,12,,기지제 수변공원,,"기지제 수변공원은 전북 혁신도시가 있는 덕진구 혁신동과 만성동에 걸쳐 있는 호수에 조성된 공원으로 피크닉 명소로 꼽힌다. 기지제(호수) 주변으로 데크가 조성되어 있으며 중간중간 쉬어갈 수 있는 그늘막 벤치도 있다. 산책 중에 습지에서 지저귀는 다양한 새소리를 들을 수 있고 수달 등 습지에 사는 여러 생명체를 만날 수 있다. 공원 내 약 460m 구간에 가우라베이비, 니포피아, 억새, 백합 등 개화기가 각기 다른 5종의 화초류 7,544본이 식재되어 있어 사계절의 즐거움을 느낄 수 있다. 또한, 밤에는 물에 반영되어 비친 아파트의 불빛과 고요한 호수의 모습이 어우러져 멋진 풍광을 이룬다. 기지제를 끼고 전망 좋은 카페나 음식점도 많다."
전라북도 전주시 덕진구 장동 1110,,37,0.0,A01,A0101,A01011800,2782910,12,20211129233909,http://tong.visitkorea.or.kr/cms/resource/54/2795454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2795454_image2_1.jpg,127.0627518776,35.8460758643,6,20221130105309,0,12,,기지제,54861.0,"전주시 덕진구 여의동에 있으며 1934년에 만들어진 저수지이다. 베틀처럼 생긴 연못 같다고 하여 이름 붙여졌다. 수변 전망대, 체력 단련 시설 및 휴게 시설이 설치되어 있고, 생태 공원의 습지에는 갈대, 억새 숲을 조성하고, 아름다운 틀못다리와 정자 만성루도 설치되어 있다. 데크로 조성된 산책로를 걸으며 호수와 습지에서 살아가는 여러 생물을 만나고 연꽃과 억새, 갈대, 노을과 같은 자연을 만끽할 수 있는 도심 속의 휴식처로 사랑받고 있다. 데크길을 한 바퀴 도는데 소요되는 시간은 성인 걸음으로 약 1시간 정도 소요된다."
전라북도 전주시 완산구 중앙동2가 10-1,,37,0.0,A02,A0203,A02030600,2774063,12,20211112212647,http://tong.visitkorea.or.kr/cms/resource/19/2774219_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2774219_image2_1.jpg,127.143728744,35.817666612,6,20221025132334,0,12,,객사길,,"고려와 조선 시대에 고을마다 설치했던 객사는 외국 사신이나 다른 지역에서 온 벼슬아치를 대접하고 묵게 했던 숙소다. 전주 시내에도 이 같은 객사가 남아 있는데, 그 주변으로 전주 구도심 최대의 번화가가 조성돼 '객사길'로 불린다. 객사 길에는 수많은 로드숍과 프랜차이즈 음식점들이 즐비해 시민들은 물론 관광객들도 즐겨 찾는다. 특히 전주 객사 길은 매년 열리는 전주국제영화제의 배경이기도 하다. 국내 3대 영화제의 하나로 꼽히는 전주국제영화제는 독립영화를 중심으로 운영되며 수많은 화제작과 신인배우를 발굴했다. 객사길 한편에는 전주영화제작소를 비롯해 여러 영화관이 밀집해 '영화의 거리'로도 불린다. 영화의 거리 뒤편으로는 영화 팬들의 감성을 겨냥한 음식점과 카페, 옷가게가 자리해 일명 '객리단길'을 형성하고 있다."
전북 전주시 덕진구 송천동2가 1316,,37,0.0,A02,A0202,A02020700,2759662,12,20211020193359,http://tong.visitkorea.or.kr/cms/resource/24/2759724_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2759724_image2_1.jpg,127.1307950117,35.876867983,6,20221121165640,0,12,,세병공원,,"전주 에코 시티에 위치한 세병공원은 유모차로 다녀도 다른 사람들에게 불편함이 없을 만큼 산책로가 넓고, 산책로 중간중간 휴식을 취할 수 있는 그네 의자, 평상과 같은 공간들을 많이 배치해 누구나 쉽게 찾을 수 있는 공원이다. 세병공원의 넓은 잔디밭에서는 아이들이 자연을 느끼며 신나게 뛰어놀 수 있고, 어린이 놀이터 역시 자연친화적으로 구성된 다양한 놀이 기구가 있어 아이들이 즐겨 찾는 공간이다. 전주의 피크닉 명소로 알려져 있을 만큼 가족이나 연인끼리 돗자리를 펴고 도시락이나 간식을 즐길 수 있고 랜드마크인 세병호 주변으로는 안전망이 있어 아이와 함께 걷기 좋다. 둘레길 역시 잘 조성돼 있어 계절이나 시간대에 상관없이 언제든 찾기 좋은 도심 속 공원이다."
전라북도 전주시 덕진구 여의동 1217-9,,37,0.0,A02,A0201,A02010300,2750918,12,20210929003042,,,127.0708838777,35.8693955733,6,20221201092450,0,12,,호남제일문,54808.0,"전주IC 인근에 있는 호남제일문은 길이 43m, 폭 3.5m, 높이 12.4m의 규모를 자랑하는 국내에서 가장 큰 일주문이다. 전주의 지역 특색과도 잘 어울리는 한옥으로 지어졌으며, 8차선 도로를 가로지르는 육교의 역할도 겸하고 있다. 전주로 진입하는 차들이 가장 먼저 만나게 되는 일주문으로, 湖南 第一門(호남 제일문)이라는 큼직한 글자가 눈에 띄는데, 강암 송성용 선생이 직접 쓴 글자이다. 호남지역 제1의 문이라는 의미와도 어울리게 웅장하고 화려하여, 전주를 방문하는 여행객들에게는 색다른 볼거리를 제공한다."
전라북도 전주시 덕진구 우아동1가 1111-5,,37,0.0,A01,A0101,A01011700,2750859,12,20210929000207,,,127.1745230113,35.8258578809,6,20221129170811,0,12,,아중호수,55028.0,"저수량 1,388,000㎥, 만수 면적 26.05ha 규모를 자랑하는 큰 규모의 호수이다. 과거 농업용수를 공급하던 저수지였지만 현재는 시민들이 편안하게 산책할 수 있는 문화공간으로 자리매김하고 있다. 데크로 조성된 산책길이 마련되어 있어 잔잔한 호수를 바라보며 산책을 즐기는 인근 주민들을 위한 건강 로드 역할을 감당하고 있다. 해가 지면 산책로에 설치된 조명이 호수를 비추는데, 그 야경이 아름다워 여행객에게는 관광 명소로 사진작가들에게는 출사 명소로도 널리 알려져 있다. 수상데크 광장도 마련되어 있어 공연과 축제 등의 행사가 진행되기도 한다."
