addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
전라북도 정읍시 내장호반로 37,(쌍암동),37,0,A02,A0205,A02050300,2738691,12,20210901193242,http://tong.visitkorea.or.kr/cms/resource/34/2740834_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/34/2740834_image2_1.png,126.8973999766,35.5207877681,6.0,20221206110228,0,13,,내장산 문화관광 음악분수 (내장산 워터파크),56199,"규모 25,600㎡의 내장산 워터파크 내에 위치한 내장산 문화관광 음악분수는 110여 곡(동요, 가요, 영화OST 등)을 14종(워터스크린, 고사분수, 곡사분수, 하트분수, 안개분수 등)의 분수쇼로 보여준다. 규모는 56m×21m, 분수노즐 463개, 수중조명 276개로 지켜보는 사람들의 탄성을 자아낼만한 스케일이다. 음악분수는 하루에 3번 공연하는데 시간대 별로 음악이 다르다. 기성가요 중심의 7시 공연, 유아·어린이 동요 중심의 8시 공연, 발라드·아이돌 음악 중심의 9시 공연 등 좋아하는 시간대를 골라서 즐길 수 있다. 음악에 맞춰 환상적인 춤을 추는 듯한 분수쇼를 통해 연인, 가족과 함께 행복한 시간을 누릴 수 있다."
전북 정읍시 내장동 560,,37,0,A01,A0101,A01010500,2715684,12,20210510182949,http://tong.visitkorea.or.kr/cms/resource/79/2715679_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2715679_image2_1.jpg,126.9069744245,35.5090642612,6.0,20220922102249,1,13,,내장산 단풍생태공원,,"내장산국립공원과 정읍시가 공동으로 조성한 공원시설로 내장호 인근에 위치해 있으며 넓이는 69,000여㎡로 내장호 체험학습관과 조류관찰대, 멸종위기 식물원, 생태습지, 세계단풍원, 단풍분재원, 단풍전통차길, 체육시설등이 조성되어 있다. 정읍시민과 탐방객은 누구나 이용할 수 있고 잔디광장 경관이 좋고 편리한 공간은 야외 결혼식장이나 각종 문화행사장으로 활용되고 있다."
전라북도 정읍시 내장호반로 194-28,(쌍암동),37,0,A01,A0101,A01010700,2414865,12,20160910002241,http://tong.visitkorea.or.kr/cms/resource/60/2405160_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2405160_image3_1.jpg,126.8981779623,35.5099112372,6.0,20211220193538,2883,13,,내장산수목원,56199,"내장산수목원은 대상그룹(전 미원그룹)이 1984년 정읍시민과 내장산탐방객의 자연학습과 야외 여가활동에 기여하고자 내장산 일대 부지 총 2,993,732㎡를 기부하였음. 1996년 그 중 50,000㎡의 부지에 내장산 자생수목을 중심으로 다양한 관목류와 초화류를 식재하고, 각종편의, 휴게시설을 설치, 수목원으로 조성하여 무상으로 개방. 운영하고 있음."
전라북도 정읍시 중앙1길 147,(장명동) 일대,37,0,A02,A0203,A02030600,2047242,12,20151208232103,,,126.8567468461,35.5673234605,6.0,20220818134024,3983,13,,전설의 쌍화차 거리,56165,"정읍 도심에 자리잡은 쌍화차 거리는 정읍경찰서에서 정읍세무서까지 이어지는 새암로에 있다. 이 거리에 특화된 쌍화탕은 넉넉한 한약재에 밤, 대추, 견과류를 넣어 만든 제대로 된 전통 한방탕이다. 쌍화차 거리에는 30년을 훌쩍 넘긴 쌍화탕 찻집이 아직도 건재하고, 크고 작은 쌍화탕 찻집이 10여 곳이나 성업 중이다. 소박하고 편안한 분위기가 그대로 남아 있는 골목길에 옹기종기 자리한 찻집들을 기웃거리다 보면 특유의 쌍화탕 향기가 발길을 잡는 곳이다."
전라북도 정읍시 산외면 공동길 58,,37,0,A02,A0210,A02100700,2009156,12,20150610193619,http://tong.visitkorea.or.kr/cms/resource/37/2009137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2009137_image2_1.jpg,127.0201949462,35.6166039952,6.0,20221028130936,4723,13,,고택문화체험관,56122,"고택문화체험관은 정읍시 산외면 '김동수씨 가옥' 옆에 위치해 있으며, 정읍의 선비문화와 풍류예술을 컨셉으로 다양한 문화예술을 체험할 수 있는 시설로, 쉽고 재미있게 고택문화예술을 체험하며 우리 전통문화예술의 우수성을 이해할 수 있는 문화 및 교육시설이다. 전통문화의 신명과 풍류를 결합하여 현대인의 감성에 맞는 여가문화를 제공하는 체험 프로그램이 진행되며, 문화예술 체험과 숙박을 체험하는 사람들에게 전국 어디에서도 경험하지 못할 감동 체험과 힐링의 시간을 제공한다. "
전라북도 정읍시 내장동,,37,0,A02,A0202,A02020200,1958000,12,20141021184002,http://tong.visitkorea.or.kr/cms/resource/97/1929797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/1929797_image3_1.jpg,126.9036809149,35.4838615072,6.0,20221114165055,6892,13,,정읍 내장산 관광특구,56199,"내장산, 백암산, 입암산 등의 다양한 산악 지형을 갖춘 내장산 관광특구는 활엽수의 타들어 가는 듯한 붉은 단풍이 아름다워 대한민국 단풍 명소 1위로 손꼽히는 곳이다. 조선시대부터 호남의 금강이라 불렸다.정읍 시내에서 약 11km 떨어진 내장산은 산 안에 숨겨진 것이 무궁무진하다는 의미에서 붙여진 이름이다. 해발 763m의 신선봉을 주봉으로 9개의 봉우리가 말발굽처럼 둘러선 모양이 신비감을 자아낸다. 전국 8경의 하나로 꼽힐 만큼 아름다운 경치를 자랑하며 금선폭포, 도덕폭포 등을 품은 금선계곡과 백암계곡 등이 유명하다. 10개가 넘는 등산 코스는 1.514km까지 다양한 코스가 있어 체력이나 취향에 따라 선택적인 트레킹이 가능하다. 등산이 어렵다면 평지로 이어지는 3.6km의 자연관찰로를 탐방해도 좋다. 매표소에서 케이블카를 타고 전망대까지 쉽게 갈 수도 있다.
서쪽 해안으로는 변산반도가 위치해 있어 바다와의 연계 관광이 가능하며 반경 50km 이내에 전라도 서부의 주요 관광지가 분포되어 있어 다양한 여행 계획을 세우기 좋다. 정읍역으로 KTX 열차가 운행하면서부터 관광객이 꾸준히 증가하고 있다. 특히 단풍이 절정인 가을에는 KTX를 이용하면 교통 체증 없이 내장산까지 쉽게 오갈 수 있다. 매년 5월에는 동학농민혁명기념제가 열리고 10월에는 내장산단풍축제가 열린다.

 정읍 내장산 관광특구 현황
1) 범위 : 정읍시 내장 지구(내장동, 쌍암동), 용산 지구(용산동, 신정동)
2) 면적 : 3,448,365㎡
3) 관광특구 지정일 : 1997년 1월 18일

 정읍 내장산 관광특구 시설 현황
내장산국립공원, 옥정호, 정읍사공원, 정읍천, 충렬사, 동학농민혁명기념관 등"
전라북도 정읍시 칠보면 동편길 41-3,(칠보면),37,0,A02,A0201,A02010700,1957028,12,20141016202345,,,126.9883564854,35.6019523345,6.0,20220331112509,1745,13,,용계서원,56130,"1701년(숙종 27) 향현사(鄕賢祠)의 서원으로 창건되어 관곡 최서림(崔瑞琳 1632∼1698)을 향사하였다. 최서림은 조선 중기의 문신이자 학자인 김집(金集 15741656)의 문인으로 1662년 진사시에 합격하였고, 1694년 공능참봉에 제수되었으나 벼슬에 나가지 않고 후진 교육에 힘쓴 선비이다. 1750년(영조 26) 최서림의 문인인 동곡 김정호(金挺昊 1673∼1742)와 백계 은정화(殷鼎和 1650∼1724)를 모셨으며, 1757년 오천 한백유(韓佰愈 1675∼1742)와 안식와 김습(金習 1638), 월곡 유종흥(柳宗興)을 추배하였다. 용계서원에 향사되어 있는 인물들은 거의 벼슬에 나가지 않고 학문을 닦으며 후학을 양성하였던 이들이다. 1868년(고종 5) 서원철폐령으로 헐렸다가 1910년 다시 세워졌다."
전라북도 정읍시 소성면 애당모촌길 9,(소성면),37,0,A02,A0201,A02010700,1957023,12,20141016201430,,,126.7800129508,35.5299847292,6.0,20211019202126,1682,13,,옥산서원,56214,"의촌 김남식과 시은 김이성·인일정 김성은의 학문과 덕행을 추모하고 이를 계승하고자 세운 서원이다. 김남식은 김집 선생의 문인으로 병자호란 때 청나라와 굴욕적인 화의를 맺었다는 소식을 듣고 통곡하며 돌아와 계령산 밑에 살며 집 이름을 대명유계라 하였다. 김이성은 김남식의 아들로 송시열 선생의 문인이며 효성이 지극하였다고 전한다. 김성은은 김이성의 증손으로 황의찬 문하에서 수학하였고『동국문헌록등의 저술이 있다.
옥산서원은 크게 세 영역으로 구분된다. 중심 영역에는 사우와 내삼문, 강당인 옥산정사가 일렬로 배치되어 있으며, 강당 동쪽에는 고직사가 자리잡고 있다. 또 강당 남서쪽에는 인일정의 영당과 삼강문이 있는데, 각각 삼문과 담장을 갖추어 별도의 영역을 이루고 있다. 사우는 1956년 다시 지은 것으로 중앙에는 김남식을 모시고 있으며, 좌우에는 김이성과 김성은을 모시고 있다. 규모는 앞면 3칸·옆면 3칸으로, 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕이다. 강당인 옥산정사는 정조 10년(1786) 개축한 것으로 1987년 복원하였다. 규모는 앞면 6칸·옆면 3칸으로, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕이다. 인일정 영당은 앞면 3칸·옆면 2칸으로 맞배지붕이다. 삼강문은 1948년 다시 지었는데 앞면 3칸·옆면 2칸 규모의 누각 형식으로 지붕은 팔작지붕이다. 

(출처 : 문화재청)"
전라북도 정읍시 덕천면 학전길 32-57,(덕천면),37,0,A02,A0201,A02010700,1956972,12,20141016181005,,,126.8183851923,35.6134120183,6.0,20210901234046,1987,13,,동죽서원,56149,"1516년(중종 11) 함경도에 여진족이 침입하여 여러 장군이 출병하였다. 그러나 모두 패하여 민심이 흔들리고 국정이 혼란스러워졌다. 이에 조광조(趙光祖)가 덕촌 최희정(崔希汀)을 천거하여 출전하게 하였고, 최희정은 여진족을 토벌하였다. 그 공을 높이 산 중종은 지금 서원이 자리잡고 있는 동죽산 입구를 하사하였다. 그 뒤 1844년(헌종 10)에 지방의 유림들이 뜻을 모아 최희정의 공과 학덕을 추모하기 위해 사당을 세워 위패를 모셨다.1868년(고종 5)에 흥선대원군의 서원철폐령으로 헐렸다가 1900년에 지금의 위치로 이전하여 중건되었다. 이때 동죽서원으로 이름을 바꾸었고 조광조를 함께 배향하였다. 사당의 가운데에 최희정과 조광조의 위패가 봉안되어 있다. 강수재(講修齎)는 4칸으로, 여러 행사와 학문을 강론하는 강당으로 사용된다.그 밖에 정의문, 입덕문, 홍살문, 3칸의 직사(直舍) 등이 있다. 해마다 2월과 8월에 제사를 지낸다. 《고운집(孤雲集) 1책과 30여 종의 책 50여 권이 소장되어 있다."
전라북도 정읍시 북면 보림1길 392,,37,0,A02,A0201,A02010700,1956440,12,20141016001852,,,126.9205021494,35.5728516987,6.0,20220826142106,1657,13,,남고서원,56138,"1577년(선조 10)에 지방유림의 공의로 이항(李恒)과 김천일(金千鎰)의 학문과 덕행을 추모하기 위해 사우를 창건하여 위패를 모셨다. 1685년(숙종 11)에 남고(南皐)라고 사액되어 서원으로 승격되어 선현배향과 지방교육의 일익을 담당하였다. 흥선대원군의 서원철폐령으로 1871년(고종 8)에 훼철되었다가 유림에 의하여 제단을 마련하고 향사를 계속하여왔다. 그 뒤 1899년에 강수재(講修齋)를 중건하였으며, 1927년 서원을 복원하는 동시에 김점(金坫)·김복억(金福億)·김승적(金承績)을 추가 배향하고, 1974년에 다시 소산복(蘇山福)을 추가 배향하였다. 경내의 건물로는 3칸의 묘우(廟宇), 내신문(內神門), 4칸의 강수재, 외신문(外神門) 등이 있다. 묘우의 중앙에는 이항의 위패가 봉안되어 있으며, 오른쪽에는 김천일·김복억·소산복, 왼쪽에는 김점·김승적의 위패가 봉안되어 있다. 이 서원은 전라북도 문화재자료로 지정되었으며, 해마다 2월 중정(中丁 : 두번째 丁日)과 8월 중정에 향사를 지내고 있다. 제품(祭品)은 4변(籩) 4두(豆)이며, 유물로는 『공자통기속록(孔子通紀續錄) 등 70여권의 문헌이 있다. 재산으로는 대지 880평 및 전답 6,500여 평, 임야 7,500여 평 등이 있다."
