addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
제주특별자치도 서귀포시 서홍동,,39,,A01,A0101,A01010500,2932006,12,20221128185503,http://tong.visitkorea.or.kr/cms/resource/34/2918134_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2918134_image3_1.JPG,126.5539839945,33.2711977633,6.0,20221213171809,0,3,,서귀포 패류화석산지,63578.0,"서귀포패류화석층은 제주도가 만들어지기 시작할 무렵 얕은 바다에서 폭발한 수성화산활동으로 생긴 화산체가 오랜 시간 파도에 깎이고 바다에서 조개와 같은 해양퇴적물과 함께 쌓이기를 반복하면서 만들어진 약 100m 두께의 퇴적암층이다. 이후 계속된 화산활동으로 용암이 그 위를 덮으면서 서귀포층은 지하에 자리잡게 되었다. 서귀포층을 구성하는 화산분출물과 해양퇴적물은 제주도 형성 초기 화산활동 흔적과 과거의 해양환경을 알려주는 중요한 자료이다. 서귀포층 내부에는 따뜻하고 얕은 바다에서 살던 조개류, 산호, 성게, 상어 이빨 등의 화석과 차가운 바다에 살던 생물의 화석이 함께 퇴적되어 있어, 제주도를 비롯한 동아시아 일대의 해수면 변동과 기후의 변화를 추측할 수 있다.
  출처 : 국가지질공원"
제주특별자치도 서귀포시 에듀시티로 178,,39,,A01,A0101,A01010200,2858467,12,20220922115604,http://tong.visitkorea.or.kr/cms/resource/62/2858462_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2858462_image3_1.jpg,126.2735802771,33.2832503451,6.0,20221025174627,0,3,,제주곶자왈도립공원,63644.0,"제주곶자왈도립공원은 서귀포 대정읍 보성리, 구억리, 신평리에 걸쳐 조성한 1,546,757m2 규모의 도립공원이다. 입구에는 탐방 안내소가 있으며 전시학습실, 생태학습실, 카페가 있다. 탐방코스는 1.5km의 테우리길, 0.9km의 한수기길, 0.9km의 빌레길, 1.5km의 오찬이길, 2.2km의 가시낭길로 다섯 가지 코스가 있으며 평일 2회, 주말 4회 해설 탐방을 운영한다. 테우리길, 빌레길, 오찬이길이 만나는 곳에는 15m 높이의 곶자왈 전망대가 있어 곶자왈과 주변 경관을 조망할 수 있다. 탐방 시 등산화, 운동화는 필수이며 구두, 샌들, 키높이 운동화 착용 시 입장이 불가하다."
제주특별자치도 서귀포시 색달동,3093-1,39,,A01,A0101,A01010500,2858445,12,20220922114105,http://tong.visitkorea.or.kr/cms/resource/35/2858435_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/2858435_image3_1.JPG,126.4072611777,33.2456204901,6.0,20221201152358,0,3,,쉬리의언덕,63535.0,"'쉬리의 언덕''은 제주 중문단지 내 신라호텔과 파르나스호텔 (구 하얏트호텔) 사이의 산책로에 있다. 1999년에 개봉한 강제규 감독, 한석규, 최민식 주연의 영화 쉬리의 마지막 장면을 촬영한 장소이다. 영화 ''쉬리''는 제35회 백상예술대상 영화 부문 대상을 비롯해 다수의 수상을 기록했고 한국 영화의 한 획을 그은 영화로 평가받고 있다. 특히 쉬리의 언덕 장면과 함께 ''When I deam'' OST가 많은 사람에게 각인되어 명소로 사랑받고 있다. 영화 속에서 배우 한석규와 김윤진이 앉았던 ''쉬리 벤치''에서는 중문 색달 해수욕장과 제주 남쪽 바다를 시원하게 조망할 수 있으며 바다를 배경으로 사진찍기에도 좋다."
제주특별자치도 서귀포시 안덕면 사계리,산16,39,,A01,A0101,A01010500,2854521,12,20220916095017,http://tong.visitkorea.or.kr/cms/resource/18/2854518_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2854518_image3_1.jpg,126.3139554558,33.2424165996,6.0,20220916095030,4,3,,산방산유채꽃밭,63528.0,"산방산유채꽃밭은 산방산랜드 앞 공영주차장에서 찾아갈 수 있다. 산방산을 배경으로 한 유채꽃밭이 몇군데 있으며, 이중 선택하여 입장하면 된다. 개인이 밭농사 대신 유채꽃밭을 가꾸어 운영하는 사유지로, 사진 촬영료 1,0002,000원을 받고 있다. 보통 3월이면 만개한 유채꽃과 함께 산방산이 노란 카펫을 깔고 앉은 듯한 사진을 찍을 수 있다. 주변 여행지로 산방산, 용머리해안, 사계 해안 등이 있다."
제주특별자치도 서귀포시 월평로50번길 17-30,,39,,A01,A0101,A01010500,2854437,12,20220915161056,http://tong.visitkorea.or.kr/cms/resource/29/2854429_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2854429_image3_1.jpg,126.4642673842,33.2438882462,6.0,20221205154710,0,3,,답다니수국밭,63562.0,"답다니수국밭은 서귀포시 월평동 동병듸 버스정류장 근처에 있다. 입장료를 내면 입장과 함께 수국 한 송이를 제공하며 집, 벤치, 테이블 등 다양한 포토존에서 인생 사진을 찍을 수 있다. 수국 특유의 화려하고 탐스러운 이미지 덕분에 웨딩스냅샷 명소로도 알려져 있다. 67월 중 개화 시기에 맞춰 영업하며, 날씨와 개화 상황에 따라 개방이 유동적이기 때문에 SNS를 통해 개방 여부 확인 후 방문하길 추천한다. 주변 여행지로 약천사, 대포주상절리, 중문관광단지 등이 있다."
제주특별자치도 서귀포시 상예동,5002-26,39,,A01,A0101,A01010500,2852643,12,20220913171709,http://tong.visitkorea.or.kr/cms/resource/15/2852615_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2852615_image3_1.JPG,126.3964787343,33.2476589842,6.0,20220913171721,4,3,,대왕수천예래생태공원,63536.0,"대왕수천예래생태공원은 올레 8코스, 서귀포 상예동에 있는 습지 공원이다. 이곳에 대왕수라는 산물(용천수)이 흐르는데 아무리 가물어도 수량이 줄지 않고, 예래동 일대에 가장 큰물이라는 의미로 대왕수라 불러왔다. 보통 제주의 하천은 비가 오지 않을 때 물이 없는 경우가 대부분이라 사시사철 흐르는 이곳의 물은 독특한 풍경이다. 공원 남쪽에는 예래생태체험관이 있으며 봄에는 이 일대가 벚꽃명소로 유명하다. 예래생태공원 일대는 한국반딧불이연구회가 지정한 제1호 반딧불이 보호지역이며 이 대왕수천 하류 쪽에는 여름철 물놀이 장소로 유명한 논짓물이 있다."
제주특별자치도 서귀포시 안덕면 사계리,117-2,39,,A02,A0202,A02020600,2852538,12,20220913164554,http://tong.visitkorea.or.kr/cms/resource/35/2852535_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/2852535_image3_1.JPG,126.3117113904,33.2341424783,6.0,20220913164605,2,3,,산방산 랜드,63528.0,"산방산랜드는 산방산과 용머리 해안관광지구에 있다. 소규모 놀이동산으로 우리나라에서 가장 높게 올라가는 바이킹을 비롯해 회전목마, 미니 바이킹, 레일 썰매, 야구 연습장, 사격, 동물 체험 우리가 있다. 2012년 가수 페퍼톤스가 산방산 바이킹을 타고 난 후 '바이킹'이라는 노래를 만들어 더욱 유명해졌으며 수학여행온 학생과 청소년들에게 인기이다. 주변 여행지로 산방산, 용머리해안, 용머리하멜상선전시관, 사계해안 등이 있다."
제주특별자치도 서귀포시 성산읍 수산리,1021,39,,A01,A0101,A01010500,2851320,12,20220907153513,http://tong.visitkorea.or.kr/cms/resource/86/2851286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2851286_image3_1.jpg,126.8788936618,33.4401926388,6.0,20220907153524,3,3,,짱구네유채꽃밭,63630.0,"짱구네유채꽃밭은 제주 수산리 수산2리 공원 근처 주유소 옆에 있다. 개인 사유지로 유채꽃을 가꾸고 여행자들이 사진을 찍을 수 있도록 다양한 포토존을 제공한다. 보통 야생 유채는 3월4월이 제철이지만 짱구네유채꽃밭에서는 일찍 개화하는 종을 심어 12월5월까지 넉넉하게 유채꽃을 즐길 수 있다. 유채꽃밭에서는 커피, 녹차, 유자차, 셀카봉, 밀감 모자 등 간단한 음료와 촬영 소품을 판매한다. 사진 촬영을 할 때는 유채꽃을 밟지 말고, 꽃 사이 만들어 놓은 길에서 찍을 것을 당부하고 있다. 낮에는 사람이 많아 오전 9시 전후에 가면 사진 찍기가 좋다. 전용 주차장이 넓어 차 대기가 좋다. 함께 둘러볼 만한 여행지로는 광치기해변, 빛의 벙커, 섭지코지 등이 있다."
제주특별자치도 서귀포시 현청로 41-19,,39,,A01,A0101,A01010700,2836814,12,20220816131414,http://tong.visitkorea.or.kr/cms/resource/12/2836812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2836812_image3_1.jpg,126.5546645878,33.2668788062,6.0,20220816131428,0,3,,서귀포칠십리시공원,63578.0,"칠십리시공원은 올레 6코스, 작가의 산책길, 하영올레 등 걷기 길이 지나는 서귀포 공원이다. 칠십리는 제주의 옛 도읍이었던 정의현성 관문에서 서귀진까지의 거리를 말하는 것으로 예로부터 서귀포를 의미해 왔다. 이곳에 서귀포와 제주에 관련된 시비 16기가 있고, 일본 이바라키현과 친선을 기념하는 매화공원이 있다. 가장 유명한 볼거리는 천지연폭포를 조망하는 전망대와 파고라연못이다. 파고라는 서양식 정자를 뜻하며 연못 한가운데 있는 거울 구조물까지 징검다리를 건너 사진을 찍는다. 연못에 비치는 한라산, 매화가 필 때 꽃과 함께 보이는 한라산, 그리고 천지연 폭포와 함께 감상하는 한라산 등 한라산 조망에도 좋은 곳이다. 공원 남쪽 전망대에서는 서귀포항이 내려다 보인다."
제주특별자치도 서귀포시 서귀동,,39,,A02,A0201,A02010700,2822432,12,20220531163552,http://tong.visitkorea.or.kr/cms/resource/18/2822418_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2822418_image3_1.jpg,126.5648114621,33.2432287988,6.0,20220531163653,1,3,,서귀진지,63596.0,조선시대 대표적인 방어유적으로 3성9진(三城九鎭)의 하나이다. 최초축성은 1439년대로 판단된다. 본래 홍로천에 있었으나 조선 선조23년(1590) 이옥 목사가 현재 위치로 옮겨 축성했다. 일제강점기에는 일본군의 관청으로 사용되어지다가 제주4.3사건 이후 이곳의 성담을 헐어 마을을 방어하는 축성용으로 사용하였고 이후에는 주거용 건축용도와 밧담으로 이용되어 지금에는 당시의 성담이었던 담들이 '우잣담'과 '성굽담'으로 일부 남아 있다.
