addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
제주특별자치도 제주시 조천읍 신촌리,1559-1,39,,A02,A0203,A02030100,2932129,12,20221209155113,http://tong.visitkorea.or.kr/cms/resource/23/2932123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2932123_image3_1.jpg,126.6232111992,33.5218294987,6.0,20221209155445,1,4,,당신의과수원,63337.0,"제주도 감귤 과수원 소유 경험 서비스이다.
당신의 과수원 투어와 딜리버리가 있다. 당신의 과수원 투어는 오직 한 팀이 1,000평의 과수원과 부대시설 (오두막, 카라반, 선과장, 수영장, 바비큐 시설, 화로)을 이용할 수 있다.
당신의 과수원 딜리버리는 10월부터 3월까지 5가지 감귤과 감귤 꽃꿀, 청귤 청, 감귤주스, 감귤과즐 등 감귤 및 가공품을 집 앞까지 배송받는 서비스이다."
제주특별자치도 제주시 애월읍 곽지리,,39,,A01,A0101,A01010500,2930935,12,20221206182533,http://tong.visitkorea.or.kr/cms/resource/30/2930930_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2930930_image3_1.jpg,126.3106092402,33.4592286841,6.0,20221206182555,0,4,,한담해안산책로,63034.0,"곽금올레길이라고도 부르는 한담해안산택로는 애월항에서 곽지과물해변까지 해안을 따라서 조성된 산책로이다. 주변 경관과 조화를 이루고 있어 아름답다. 총길이는 1.2km이며, 바로 옆에 파도가 철썩이는 해안 길을 따라 걸을 수 있다. 2009년 제주시가 기존의 관광 명소 이외에 제주시 일대의 대표적인 장소 31곳을 선정해 발표한 '제주시의 숨은 비경' 중 하나이기도 하다. 용암이 굳어지면서 만들어진 기암괴석이 시선을 끌고, 검은 바위로 이루어진 해안을 따라 구불구불하게 이어지는 길은 산책길에 재미를 더해준다.
제주도의 서쪽에 있어 아름다운 일몰을 잘 감상할 수 있다는 점도 이곳의 매력 포인트다."
제주특별자치도 제주시 와흘로 103,,39,,A02,A0203,A02030100,2905045,12,20221110155626,http://tong.visitkorea.or.kr/cms/resource/33/2905033_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2905033_image3_1.jpg,126.636227363,33.4942966434,6.0,20221206131525,0,4,,와흘메밀마을,63344.0,"와흘메밀마을 메밀 6차 산업화 공동체 사업장은 제주 조천읍 와흘리에 있다. 약 330,580m2(10만 평) 넓이의 메밀밭으로 제주는 메밀을 2모작 하므로 매년 5월과 10월이면 하얀 메밀꽃이 만개해 사진 촬영 명소로 유명하다. 5월에는 축제가 열리며 다양한 체험행사도 진행한다. '먼나머루'는 와흘메밀마을농촌체험휴양센터로 1층에 식당, 세미나실, 2층에 숙소가 있고, 3층 옥상에서 메밀밭을 조망할 수 있다. 체험프로그램은 주로 10명 이상 단체로 진행하며 숙소 역시 단체방과 가족방이 있다."
제주특별자치도 제주시 조천읍 신촌리,(3403),39,,A02,A0201,A02010700,2872927,12,20221021164141,,,126.6131117136,33.5377303544,6.0,20221021164200,0,4,,신촌 4.3 성터,63337.0,"신촌리의 4.3 성터는 제주도 4.3 사건 당시에 사람들을 감시하기 위한 목적으로 돌을 직접 쌓아 만든 성터로, 우리 역사의 단면을 보여주는 곳이다. 닭머르해안 인근에 위치하고 있어, 관광객들이 해안길 방문을 위해 자주 찾는 곳이다."
제주특별자치도 제주시 추자면 대서리,산186,39,,A01,A0101,A01010500,2863882,12,20221005150834,http://tong.visitkorea.or.kr/cms/resource/68/2863868_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/2863868_image3_1.JPG,126.2866221544,33.9612503055,6.0,20221006094649,0,4,,나바론하늘길,63000.0,"나바론하늘길은 제주 상추자도에 있다. 큰산에서 독산까지 이어지는 2.1km 도보길로 산의 능선을 따라 걷는다. 길을 걷는 동안 추자섬에서 보이는 망망대해를 감상하며, 중간에는 숲길을 지나고, 상추자도항과 포구마을의 모습도 볼 수 있다. 아찔한 절벽의 모습이 영화 '나바론요새'에 등장하는 지중해섬과 닮았다고 해서 붙여진 이름이다. 산 위로 오르는 길이 가파를 뿐 아니라 길폭이 좁으며 가드 바깥은 낭떠러지이므로 안전에 유의하여 걸어야 한다."
제주특별자치도 제주시 월림7길 90 과학영농연구시설,,39,,A01,A0101,A01010500,2863718,12,20221005141652,http://tong.visitkorea.or.kr/cms/resource/07/2863707_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2863707_image3_1.JPG,126.2486058878,33.3533894224,6.0,20221005141708,0,4,,제주특별자치도농업기술원서부농업기술센터,63016.0,"제주특별자치도 농업기술원서부농업기술센터는 제주 월령 제주선인장마을 근처에 있다. 맞춤형 농업기술지도, 현장컨설팅, 농작업기계화 등의 연구와 교육을 진행하고 있다. 계절별로 꽃밭과 나무, 선인장 온실을 가꾸며 자연학습장과 과수원예종합전시포가 있다. 계절별로 수국, 맨드라미, 코스모스, 설악초, 소철과 야자수가 있어 여행자들에게 사진 찍기 좋은 곳으로 입소문이 났다. 꽃밭 사이에는 정자와 연못도 있다. 2,730m2의 선인장 전시관에는 350여 종의 선인장과 140여 종의 다육식물이 있다. 주변 여행지로 월령포구와 월령 선인장군락지, 협재해수욕장, 저지문화예술인마을 등이 있다."
제주특별자치도 제주시 구좌읍 김녕리,1296,39,,A01,A0101,A01010500,2863615,12,20221005133859,http://tong.visitkorea.or.kr/cms/resource/05/2863605_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/2863605_image3_1.JPG,126.7512770228,33.5580358818,6.0,20221202143821,0,4,,청굴물,63357.0,"청굴물은 제주시 구좌읍 김녕해수욕장 근처 김녕리 청수동에 있는 곳으로 이 지역 용천수를 모아 쓰던 물통이다. 용천수란 땅 밑으로 흐르던 지하수가 바다 가까이에 이르러 솟아 나오는 물을 말한다. 이 동네 이름이 지금은 청수동이지만 예전에는 청굴동이었기 때문에 지금도 청굴물로 불린다. 물통은 보통 노천탕으로 쓰였으며 남녀를 나누는 경우가 많아 커다란 원이 반으로 나뉘어 있다. 김녕지질트레일 A코스에 해당하며 물통 끝에 앉아 사진을 찍기 위해 여행자들이 많이 찾아온다. 주변 여행지로 김녕해수욕장, 월정해수욕장 등이 있다."
제주특별자치도 제주시 조천읍 북촌리 393,,39,,A01,A0102,A01020200,2858656,12,20220922140951,http://tong.visitkorea.or.kr/cms/resource/46/2858646_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2858646_image3_1.jpg,126.7000343788,33.5524884484,6.0,20220922141007,0,4,,창꼼,63339.0,"창꼼은 북촌환해장성, 북촌 용물 동쪽에 있다. '창꼼'은 창 고망(구멍)난 돌이라 하고, 뙤창문의 제주어이기도 하다. 뙤창문은 방문에 낸 작은 창문을 뜻한다. 말처럼 창을 뚫어 놓은 듯한 기암으로, 서 있는 바위에 구멍이 나 있어 여행자들은 이 구멍을 통해 사진을 찍는다. 창꼼바위에서는 바다 쪽으로 다려도가 보이고, 방파제가 보인다. 창꼼 가까이 있는 용물은 용천수를 뜻하며 지하를 흐르다 바다 가까이에서 분출하는 지하수를 말한다. 이곳 역시 사진 포인트이다."
제주특별자치도 제주시 금능남로 76,,39,,A02,A0202,A02020600,2858860,12,20220922115503,http://tong.visitkorea.or.kr/cms/resource/57/2858457_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2858457_image3_1.jpg,126.2360869133,33.3811722638,6.0,20221201152737,2,4,,액티브파크 제주,63016.0,"액티브파크는 라오프라이빗 CC 옆 일주서로에 접해 있다. 액티브파크는 클라이밍 놀이시설의 세계적 브랜드 클립앤클라임과 키즈카페, 레저카트, 놀이터 등으로 구성되어 있다. 클립앤클라임의 경우 뉴질랜드에 본사를 둔 실내 암벽등반 테마 놀이시설로 액티브파크가 아시아 최대 시설 인증을 받았다. 만 6세부터 이용할 수 있으며, 키즈 카페는 실내외가 결합된 어린이 전용 놀이시설이다. 주변 여행지로 금능해수욕장, 협재해수욕장, 비양도 등이 있다."
제주특별자치도 제주시 신대로10길 48-9,,39,,A02,A0202,A02020700,2853484,12,20220914154639,http://tong.visitkorea.or.kr/cms/resource/77/2853477_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/2853477_image3_1.JPG,126.4924649191,33.4914863265,6.0,20220914154651,0,4,,삼무공원,63125.0,"삼무공원은 제주 시내 연동에 있다. 1978년 도시 근린공원으로 조성하였으며 삼무의 의미는 제주에 도둑, 대문, 거지가 없다는 삼무에서 따 온 이름이다. 삼무공원은 베두리오름에 조성된 공원으로, 베두리오름은 높이 85m, 폭 240m, 둘레 617m의 작은 언덕으로 삼무공원이 곧 베두리오름이다. 공원에는 증기기관차가 있는데, 1978년 박정희 대통령이 섬에 사는 아이들에게 기차를 보여주려고 사용이 중단된 기차를 흑산도와 제주도에 보낸 것이다. 현재는 제주도에만 미카형 증기기관차 304호가 남아있다. 연동 주민들이 산책과 운동을 즐기는 공원으로 봄에는 능수 벚꽃이 아름다워 여행자들이 찾아온다."
